name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
あの夏のいつかは,0.542,0.895,1,-2.803,0,0.0523,0.11,0,0.304,0.453,159.98,audio_features,2ZSkwABRscUTyZ5qGwd8lF,spotify:track:2ZSkwABRscUTyZ5qGwd8lF,https://api.spotify.com/v1/tracks/2ZSkwABRscUTyZ5qGwd8lF,https://api.spotify.com/v1/audio-analysis/2ZSkwABRscUTyZ5qGwd8lF,255516,4
流星のパルス (feat. 鏡音レン),0.488,0.796,7,-5.426,1,0.038,0.000307,0.00524,0.247,0.551,96.033,audio_features,0hgBNUmvRqa8se2Gs10Un3,spotify:track:0hgBNUmvRqa8se2Gs10Un3,https://api.spotify.com/v1/tracks/0hgBNUmvRqa8se2Gs10Un3,https://api.spotify.com/v1/audio-analysis/0hgBNUmvRqa8se2Gs10Un3,285657,4
8.32,0.571,0.87,0,-4.641,1,0.0495,0.00421,3.17e-05,0.123,0.469,110.026,audio_features,3Osxc6iyRIEhdXjKWNSXCt,spotify:track:3Osxc6iyRIEhdXjKWNSXCt,https://api.spotify.com/v1/tracks/3Osxc6iyRIEhdXjKWNSXCt,https://api.spotify.com/v1/audio-analysis/3Osxc6iyRIEhdXjKWNSXCt,250088,4
アトラクトライト,0.472,0.855,5,-4.313,1,0.0544,0.0733,0,0.134,0.629,195.942,audio_features,4qFIPftASj7it8cqKfl8KE,spotify:track:4qFIPftASj7it8cqKfl8KE,https://api.spotify.com/v1/tracks/4qFIPftASj7it8cqKfl8KE,https://api.spotify.com/v1/audio-analysis/4qFIPftASj7it8cqKfl8KE,272533,4
アトラクトライト,0.472,0.855,5,-4.313,1,0.0544,0.0733,0,0.134,0.629,195.942,audio_features,26iv9mmrzyOWOGdZbwUOeK,spotify:track:26iv9mmrzyOWOGdZbwUOeK,https://api.spotify.com/v1/tracks/26iv9mmrzyOWOGdZbwUOeK,https://api.spotify.com/v1/audio-analysis/26iv9mmrzyOWOGdZbwUOeK,272533,4
イノセント,0.722,0.742,8,-6.393,0,0.044,0.04,0.0103,0.238,0.55,128.056,audio_features,7AeBIxSXZZ6Ny6aO7ihdgD,spotify:track:7AeBIxSXZZ6Ny6aO7ihdgD,https://api.spotify.com/v1/tracks/7AeBIxSXZZ6Ny6aO7ihdgD,https://api.spotify.com/v1/audio-analysis/7AeBIxSXZZ6Ny6aO7ihdgD,261206,4
ラズライト,0.618,0.903,4,-3.949,1,0.0397,0.0821,0,0.0583,0.841,107.982,audio_features,2JiwQ51htytiUHffzXwp4e,spotify:track:2JiwQ51htytiUHffzXwp4e,https://api.spotify.com/v1/tracks/2JiwQ51htytiUHffzXwp4e,https://api.spotify.com/v1/audio-analysis/2JiwQ51htytiUHffzXwp4e,278500,4
あの夏のいつかは,0.508,0.835,1,-4.649,0,0.0401,0.0454,1.02e-05,0.441,0.538,160.032,audio_features,2koUAmGKozVqajvzxdfl1O,spotify:track:2koUAmGKozVqajvzxdfl1O,https://api.spotify.com/v1/tracks/2koUAmGKozVqajvzxdfl1O,https://api.spotify.com/v1/audio-analysis/2koUAmGKozVqajvzxdfl1O,247392,4
Heal Me,0.533,0.867,0,-6.886,1,0.04,0.00869,0.000635,0.108,0.507,160.065,audio_features,4VR6woqwPnwn3xh0E9GVS3,spotify:track:4VR6woqwPnwn3xh0E9GVS3,https://api.spotify.com/v1/tracks/4VR6woqwPnwn3xh0E9GVS3,https://api.spotify.com/v1/audio-analysis/4VR6woqwPnwn3xh0E9GVS3,195013,4
メインキャラクター,0.523,0.934,9,-4.415,1,0.0553,0.00387,4.14e-05,0.0691,0.615,96.086,audio_features,6iebG80PrPopl2fYjwRQOc,spotify:track:6iebG80PrPopl2fYjwRQOc,https://api.spotify.com/v1/tracks/6iebG80PrPopl2fYjwRQOc,https://api.spotify.com/v1/audio-analysis/6iebG80PrPopl2fYjwRQOc,201302,4
Ours (feat. 初音ミク),0.669,0.89,9,-6.278,1,0.0427,0.0161,6.93e-05,0.143,0.539,128.04,audio_features,39vMWHBi9wjjkS4MNfONN9,spotify:track:39vMWHBi9wjjkS4MNfONN9,https://api.spotify.com/v1/tracks/39vMWHBi9wjjkS4MNfONN9,https://api.spotify.com/v1/audio-analysis/39vMWHBi9wjjkS4MNfONN9,230996,4
アナクロニズム,0.618,0.747,7,-5.165,1,0.04,0.0739,1.23e-06,0.23,0.374,113.977,audio_features,24GYR6PqTi5zMy2DJXpKPw,spotify:track:24GYR6PqTi5zMy2DJXpKPw,https://api.spotify.com/v1/tracks/24GYR6PqTi5zMy2DJXpKPw,https://api.spotify.com/v1/audio-analysis/24GYR6PqTi5zMy2DJXpKPw,271214,4
憧憬の翼,0.65,0.915,7,-4.887,1,0.108,0.106,0,0.107,0.665,97.99,audio_features,67ZF6AHVB9mFuh3c87nGYi,spotify:track:67ZF6AHVB9mFuh3c87nGYi,https://api.spotify.com/v1/tracks/67ZF6AHVB9mFuh3c87nGYi,https://api.spotify.com/v1/audio-analysis/67ZF6AHVB9mFuh3c87nGYi,269691,4
Black Out,0.658,0.728,8,-6.31,1,0.0365,0.0298,0.000506,0.135,0.608,127.999,audio_features,1xoSc615wdQJiegfuJ8wPH,spotify:track:1xoSc615wdQJiegfuJ8wPH,https://api.spotify.com/v1/tracks/1xoSc615wdQJiegfuJ8wPH,https://api.spotify.com/v1/audio-analysis/1xoSc615wdQJiegfuJ8wPH,269368,4
パーフェクト・ピース,0.49,0.75,9,-6.272,1,0.0425,0.0334,3.99e-06,0.142,0.453,170.037,audio_features,5m4uQpCbJxvShGpp6I9Gj0,spotify:track:5m4uQpCbJxvShGpp6I9Gj0,https://api.spotify.com/v1/tracks/5m4uQpCbJxvShGpp6I9Gj0,https://api.spotify.com/v1/audio-analysis/5m4uQpCbJxvShGpp6I9Gj0,233064,4
Check this out (feat. 初音ミク),0.689,0.706,9,-6.48,1,0.0791,0.0563,9e-06,0.064,0.691,120.016,audio_features,0DOTvaMaYceKachQIEDsO7,spotify:track:0DOTvaMaYceKachQIEDsO7,https://api.spotify.com/v1/tracks/0DOTvaMaYceKachQIEDsO7,https://api.spotify.com/v1/audio-analysis/0DOTvaMaYceKachQIEDsO7,254426,4
シャリューゲ,0.7,0.698,6,-5.7,0,0.0918,0.123,3.24e-05,0.0528,0.701,106.006,audio_features,5kB65vgc1KUVQZhJ9JugV2,spotify:track:5kB65vgc1KUVQZhJ9JugV2,https://api.spotify.com/v1/tracks/5kB65vgc1KUVQZhJ9JugV2,https://api.spotify.com/v1/audio-analysis/5kB65vgc1KUVQZhJ9JugV2,249951,4
夏の魔法,0.565,0.852,5,-3.981,0,0.0866,0.0955,0,0.133,0.579,186.025,audio_features,2JsMO2GofEAw5BDrddbpJi,spotify:track:2JsMO2GofEAw5BDrddbpJi,https://api.spotify.com/v1/tracks/2JsMO2GofEAw5BDrddbpJi,https://api.spotify.com/v1/audio-analysis/2JsMO2GofEAw5BDrddbpJi,220143,4
アウトサイド - feat. +α/あるふぁきゅん。,0.413,0.931,10,-3.307,1,0.0543,0.0212,2.53e-05,0.126,0.712,197.933,audio_features,19DDepLoS3jOwE98vSX4HG,spotify:track:19DDepLoS3jOwE98vSX4HG,https://api.spotify.com/v1/tracks/19DDepLoS3jOwE98vSX4HG,https://api.spotify.com/v1/audio-analysis/19DDepLoS3jOwE98vSX4HG,212602,4
アトラクトライト,0.479,0.874,5,-4.211,1,0.0618,0.0664,0,0.424,0.624,195.981,audio_features,73DC7ptwDpxASZdASWLU4C,spotify:track:73DC7ptwDpxASZdASWLU4C,https://api.spotify.com/v1/tracks/73DC7ptwDpxASZdASWLU4C,https://api.spotify.com/v1/audio-analysis/73DC7ptwDpxASZdASWLU4C,271255,4
アンチリアリズム,0.492,0.927,0,-5.031,1,0.0854,0.00203,5.08e-06,0.252,0.659,169.969,audio_features,3PyyQvgD7TPWZVmIrT23KE,spotify:track:3PyyQvgD7TPWZVmIrT23KE,https://api.spotify.com/v1/tracks/3PyyQvgD7TPWZVmIrT23KE,https://api.spotify.com/v1/audio-analysis/3PyyQvgD7TPWZVmIrT23KE,305162,4
ラズライト,0.618,0.903,4,-3.949,1,0.0397,0.0821,0,0.0583,0.841,107.982,audio_features,31QDZdJ74EwRMaszV4X6II,spotify:track:31QDZdJ74EwRMaszV4X6II,https://api.spotify.com/v1/tracks/31QDZdJ74EwRMaszV4X6II,https://api.spotify.com/v1/audio-analysis/31QDZdJ74EwRMaszV4X6II,278500,4
アウトサイド - feat. +α/あるふぁきゅん。,0.413,0.931,10,-3.307,1,0.0543,0.0212,2.53e-05,0.126,0.712,197.933,audio_features,0ylBmJOQgQ1vK8yMQL8IOJ,spotify:track:0ylBmJOQgQ1vK8yMQL8IOJ,https://api.spotify.com/v1/tracks/0ylBmJOQgQ1vK8yMQL8IOJ,https://api.spotify.com/v1/audio-analysis/0ylBmJOQgQ1vK8yMQL8IOJ,212602,4
月のない夜は,0.594,0.343,10,-9.204,1,0.032,0.697,0,0.233,0.362,75.959,audio_features,0YiOgKAYiFlkxPVDRn1hck,spotify:track:0YiOgKAYiFlkxPVDRn1hck,https://api.spotify.com/v1/tracks/0YiOgKAYiFlkxPVDRn1hck,https://api.spotify.com/v1/audio-analysis/0YiOgKAYiFlkxPVDRn1hck,307457,4
魔女,0.636,0.956,6,-3.614,0,0.0744,0.0039,2.62e-06,0.352,0.771,128.011,audio_features,7jO4r3ceYkp86iJ3lqo0dp,spotify:track:7jO4r3ceYkp86iJ3lqo0dp,https://api.spotify.com/v1/tracks/7jO4r3ceYkp86iJ3lqo0dp,https://api.spotify.com/v1/audio-analysis/7jO4r3ceYkp86iJ3lqo0dp,277417,4
8.32,0.54,0.876,9,-4.223,0,0.0648,0.0161,0,0.103,0.599,109.987,audio_features,7aPxZ0w3Rp7vAhSteYF8nQ,spotify:track:7aPxZ0w3Rp7vAhSteYF8nQ,https://api.spotify.com/v1/tracks/7aPxZ0w3Rp7vAhSteYF8nQ,https://api.spotify.com/v1/audio-analysis/7aPxZ0w3Rp7vAhSteYF8nQ,248669,4
バッドエンドの映画は嫌いなんだ,0.556,0.844,9,-5.625,1,0.0551,0.0503,0,0.355,0.578,96.023,audio_features,69l8YZrHY1vpRV9cKAN66c,spotify:track:69l8YZrHY1vpRV9cKAN66c,https://api.spotify.com/v1/tracks/69l8YZrHY1vpRV9cKAN66c,https://api.spotify.com/v1/audio-analysis/69l8YZrHY1vpRV9cKAN66c,241016,3
