name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
第ゼロ感,0.431,0.954,2,-3.156,1,0.238,4.52e-05,8.26e-06,0.325,0.311,150.043,audio_features,3GGOKTfxgyluPvAFnB30zE,spotify:track:3GGOKTfxgyluPvAFnB30zE,https://api.spotify.com/v1/tracks/3GGOKTfxgyluPvAFnB30zE,https://api.spotify.com/v1/audio-analysis/3GGOKTfxgyluPvAFnB30zE,287991,4
LITTLE MORE THAN BEFORE,0.248,0.798,0,-2.656,1,0.0413,0.00608,3.93e-06,0.342,0.352,74.674,audio_features,0jOmMGpx3a1wHcsDjqWdky,spotify:track:0jOmMGpx3a1wHcsDjqWdky,https://api.spotify.com/v1/tracks/0jOmMGpx3a1wHcsDjqWdky,https://api.spotify.com/v1/audio-analysis/0jOmMGpx3a1wHcsDjqWdky,268040,4
super stomper,0.598,0.924,1,-4.938,1,0.109,0.00019,0,0.334,0.357,113.811,audio_features,06SDE4FKNvfG9Dxe2GZY3j,spotify:track:06SDE4FKNvfG9Dxe2GZY3j,https://api.spotify.com/v1/tracks/06SDE4FKNvfG9Dxe2GZY3j,https://api.spotify.com/v1/audio-analysis/06SDE4FKNvfG9Dxe2GZY3j,198680,4
その向こうへ,0.429,0.859,5,-3.475,1,0.0672,0.000111,0,0.0337,0.693,174.039,audio_features,0vGTbYvJkMOzwlgxHViUfE,spotify:track:0vGTbYvJkMOzwlgxHViUfE,https://api.spotify.com/v1/tracks/0vGTbYvJkMOzwlgxHViUfE,https://api.spotify.com/v1/audio-analysis/0vGTbYvJkMOzwlgxHViUfE,254107,4
VIBES BY VIBES,0.509,0.975,9,-3.023,1,0.0948,0.00076,0,0.629,0.428,108.988,audio_features,4IQ8TRkM7s24li5Y6xbEtp,spotify:track:4IQ8TRkM7s24li5Y6xbEtp,https://api.spotify.com/v1/tracks/4IQ8TRkM7s24li5Y6xbEtp,https://api.spotify.com/v1/audio-analysis/4IQ8TRkM7s24li5Y6xbEtp,236013,4
ハローフィクサー,0.442,0.963,7,-2.013,0,0.0826,0.0396,0,0.0739,0.753,175.144,audio_features,5Dv0DjR4PlyGgUZhnBEpkh,spotify:track:5Dv0DjR4PlyGgUZhnBEpkh,https://api.spotify.com/v1/tracks/5Dv0DjR4PlyGgUZhnBEpkh,https://api.spotify.com/v1/audio-analysis/5Dv0DjR4PlyGgUZhnBEpkh,203830,4
アオ,0.327,0.952,0,-2.345,1,0.128,0.0017,0,0.0259,0.296,189.938,audio_features,2XcpaIgYulHpwEESRX8L70,spotify:track:2XcpaIgYulHpwEESRX8L70,https://api.spotify.com/v1/tracks/2XcpaIgYulHpwEESRX8L70,https://api.spotify.com/v1/audio-analysis/2XcpaIgYulHpwEESRX8L70,224267,4
Fin,0.486,0.961,5,-1.614,0,0.102,0.0168,0,0.517,0.726,94.979,audio_features,0gAOZpY2aMUDZa7oF5tJRT,spotify:track:0gAOZpY2aMUDZa7oF5tJRT,https://api.spotify.com/v1/tracks/0gAOZpY2aMUDZa7oF5tJRT,https://api.spotify.com/v1/audio-analysis/0gAOZpY2aMUDZa7oF5tJRT,177480,4
ヒトリセカイ,0.355,0.972,8,-2.34,1,0.0631,0.0024,4.79e-06,0.0679,0.392,184.031,audio_features,4S4cjwHZKvuplNWq3cv1wK,spotify:track:4S4cjwHZKvuplNWq3cv1wK,https://api.spotify.com/v1/tracks/4S4cjwHZKvuplNWq3cv1wK,https://api.spotify.com/v1/audio-analysis/4S4cjwHZKvuplNWq3cv1wK,288600,4
goes on,0.395,0.987,8,-2.138,1,0.0754,7.77e-05,0.0905,0.325,0.451,113.019,audio_features,4lJD8Z27fCGnGxWAvc7eaM,spotify:track:4lJD8Z27fCGnGxWAvc7eaM,https://api.spotify.com/v1/tracks/4lJD8Z27fCGnGxWAvc7eaM,https://api.spotify.com/v1/audio-analysis/4lJD8Z27fCGnGxWAvc7eaM,192467,4
1sec.,0.525,0.977,8,-2.239,1,0.0731,0.00298,0.00082,0.0565,0.667,101.141,audio_features,1YFELxcch9jlPyyx5LkoZD,spotify:track:1YFELxcch9jlPyyx5LkoZD,https://api.spotify.com/v1/tracks/1YFELxcch9jlPyyx5LkoZD,https://api.spotify.com/v1/audio-analysis/1YFELxcch9jlPyyx5LkoZD,246987,4
1sec.,0.52,0.976,8,-2.646,1,0.0801,0.00209,0.000833,0.0633,0.623,101.222,audio_features,0YTwUfrL1Zr2ntRj0yAxmb,spotify:track:0YTwUfrL1Zr2ntRj0yAxmb,https://api.spotify.com/v1/tracks/0YTwUfrL1Zr2ntRj0yAxmb,https://api.spotify.com/v1/audio-analysis/0YTwUfrL1Zr2ntRj0yAxmb,246787,4
蜃気楼,0.502,0.946,5,-3.295,1,0.0637,0.0107,0,0.0858,0.437,92.441,audio_features,3wsI1dAwxVngYgg5LHwyR9,spotify:track:3wsI1dAwxVngYgg5LHwyR9,https://api.spotify.com/v1/tracks/3wsI1dAwxVngYgg5LHwyR9,https://api.spotify.com/v1/audio-analysis/3wsI1dAwxVngYgg5LHwyR9,270747,4
SHOES,0.517,0.981,9,-1.222,1,0.11,0.069,0,0.061,0.654,124.821,audio_features,3KYALFgiqZLKScioJGqz8a,spotify:track:3KYALFgiqZLKScioJGqz8a,https://api.spotify.com/v1/tracks/3KYALFgiqZLKScioJGqz8a,https://api.spotify.com/v1/audio-analysis/3KYALFgiqZLKScioJGqz8a,137893,4
アンテナラスト,0.455,0.794,7,-2.966,1,0.0835,0.0301,0,0.214,0.569,171.887,audio_features,0RfWTI5UBTzqNGW5ZMgbBh,spotify:track:0RfWTI5UBTzqNGW5ZMgbBh,https://api.spotify.com/v1/tracks/0RfWTI5UBTzqNGW5ZMgbBh,https://api.spotify.com/v1/audio-analysis/0RfWTI5UBTzqNGW5ZMgbBh,209773,4
Stay Gold,0.477,0.981,2,-2.834,1,0.0573,0.000161,5.48e-06,0.372,0.623,106.724,audio_features,1dIqodhNiWbsTNepZpptZy,spotify:track:1dIqodhNiWbsTNepZpptZy,https://api.spotify.com/v1/tracks/1dIqodhNiWbsTNepZpptZy,https://api.spotify.com/v1/audio-analysis/1dIqodhNiWbsTNepZpptZy,138893,4
