name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
BRAVO,0.356,0.336,2,-18.048,0,0.0338,0.973,0.852,0.105,0.473,99.427,audio_features,09DcUDbqJEwiEpkcpqw0Vp,spotify:track:09DcUDbqJEwiEpkcpqw0Vp,https://api.spotify.com/v1/tracks/09DcUDbqJEwiEpkcpqw0Vp,https://api.spotify.com/v1/audio-analysis/09DcUDbqJEwiEpkcpqw0Vp,48721,1
Amanojaku,0.527,0.915,2,-4.032,1,0.127,0.0593,0,0.298,0.769,100.574,audio_features,0LgZadzsnpOYzCFD22FhqW,spotify:track:0LgZadzsnpOYzCFD22FhqW,https://api.spotify.com/v1/tracks/0LgZadzsnpOYzCFD22FhqW,https://api.spotify.com/v1/audio-analysis/0LgZadzsnpOYzCFD22FhqW,185388,4
Time Machine,0.599,0.922,8,-4.056,1,0.0404,0.00725,2.66e-05,0.107,0.716,126.045,audio_features,7t5P9LwEX66lySUwevEaOy,spotify:track:7t5P9LwEX66lySUwevEaOy,https://api.spotify.com/v1/tracks/7t5P9LwEX66lySUwevEaOy,https://api.spotify.com/v1/audio-analysis/7t5P9LwEX66lySUwevEaOy,248374,4
Amanojaku,0.438,0.953,9,-2.277,1,0.0988,0.037,0,0.298,0.706,100.432,audio_features,2P8HxufC1uIUVFYGkyRkSm,spotify:track:2P8HxufC1uIUVFYGkyRkSm,https://api.spotify.com/v1/tracks/2P8HxufC1uIUVFYGkyRkSm,https://api.spotify.com/v1/audio-analysis/2P8HxufC1uIUVFYGkyRkSm,188300,4
チャーハン feat.音街ウナ,0.648,0.659,2,-7.325,1,0.0249,0.0165,0.000122,0.0966,0.553,97.483,audio_features,4p0ENfRlD2IoNrpnFif8cS,spotify:track:4p0ENfRlD2IoNrpnFif8cS,https://api.spotify.com/v1/tracks/4p0ENfRlD2IoNrpnFif8cS,https://api.spotify.com/v1/audio-analysis/4p0ENfRlD2IoNrpnFif8cS,224347,4
DELTA,0.236,0.241,10,-16.969,0,0.0359,0.989,0.813,0.0924,0.235,80.092,audio_features,74nTZz1lIdPmBVBLeCw2u5,spotify:track:74nTZz1lIdPmBVBLeCw2u5,https://api.spotify.com/v1/tracks/74nTZz1lIdPmBVBLeCw2u5,https://api.spotify.com/v1/audio-analysis/74nTZz1lIdPmBVBLeCw2u5,50901,1
KILO,0.183,0.104,5,-18.889,1,0.0425,0.961,0.848,0.0774,0.195,86.2,audio_features,5YGsTV2pU029Zoi3SlFqEN,spotify:track:5YGsTV2pU029Zoi3SlFqEN,https://api.spotify.com/v1/tracks/5YGsTV2pU029Zoi3SlFqEN,https://api.spotify.com/v1/audio-analysis/5YGsTV2pU029Zoi3SlFqEN,46692,4
MIKE,0.197,0.0417,7,-21.712,0,0.0437,0.984,0.884,0.146,0.092,91.95,audio_features,04u3dPjEpGDTKL2qgr3xeA,spotify:track:04u3dPjEpGDTKL2qgr3xeA,https://api.spotify.com/v1/tracks/04u3dPjEpGDTKL2qgr3xeA,https://api.spotify.com/v1/audio-analysis/04u3dPjEpGDTKL2qgr3xeA,51304,3
ALFA,0.168,0.322,9,-16.997,0,0.0445,0.995,0.977,0.129,0.306,112.545,audio_features,27kvSvywmtSALY94LsKvI0,spotify:track:27kvSvywmtSALY94LsKvI0,https://api.spotify.com/v1/tracks/27kvSvywmtSALY94LsKvI0,https://api.spotify.com/v1/audio-analysis/27kvSvywmtSALY94LsKvI0,45787,5
CHARLIE,0.586,0.136,8,-25.17,1,0.0377,0.947,0.842,0.0983,0.174,115.013,audio_features,1SfBmRviO2jrd2GxHZerGl,spotify:track:1SfBmRviO2jrd2GxHZerGl,https://api.spotify.com/v1/tracks/1SfBmRviO2jrd2GxHZerGl,https://api.spotify.com/v1/audio-analysis/1SfBmRviO2jrd2GxHZerGl,205917,4
ECHO,0.162,0.148,8,-20.358,1,0.0327,0.94,0.912,0.159,0.323,170.052,audio_features,1Gdeltkavwz11V0q0vU8Rx,spotify:track:1Gdeltkavwz11V0q0vU8Rx,https://api.spotify.com/v1/tracks/1Gdeltkavwz11V0q0vU8Rx,https://api.spotify.com/v1/audio-analysis/1Gdeltkavwz11V0q0vU8Rx,49981,4
GOLF,0.232,0.367,2,-17.625,1,0.0395,0.921,0.607,0.109,0.456,98.907,audio_features,0EGmVqtDWhzEDgRMsxEutZ,spotify:track:0EGmVqtDWhzEDgRMsxEutZ,https://api.spotify.com/v1/tracks/0EGmVqtDWhzEDgRMsxEutZ,https://api.spotify.com/v1/audio-analysis/0EGmVqtDWhzEDgRMsxEutZ,48762,4
LIMA,0.201,0.0619,10,-20.69,0,0.0471,0.994,0.751,0.13,0.113,112.249,audio_features,4T6O1sHnKEJw3epAQKauAz,spotify:track:4T6O1sHnKEJw3epAQKauAz,https://api.spotify.com/v1/tracks/4T6O1sHnKEJw3epAQKauAz,https://api.spotify.com/v1/audio-analysis/4T6O1sHnKEJw3epAQKauAz,46637,3
JULIET,0.29,0.309,2,-18.65,1,0.0435,0.954,0.897,0.106,0.398,84.88,audio_features,38ctuxpP21Att5b5bbzIY4,spotify:track:38ctuxpP21Att5b5bbzIY4,https://api.spotify.com/v1/tracks/38ctuxpP21Att5b5bbzIY4,https://api.spotify.com/v1/audio-analysis/38ctuxpP21Att5b5bbzIY4,47906,4
OSCAR,0.0727,0.105,4,-21.751,1,0.0376,0.973,0.783,0.121,0.0388,178.028,audio_features,4lm4ijGcU4SPfSYxW52bZc,spotify:track:4lm4ijGcU4SPfSYxW52bZc,https://api.spotify.com/v1/tracks/4lm4ijGcU4SPfSYxW52bZc,https://api.spotify.com/v1/audio-analysis/4lm4ijGcU4SPfSYxW52bZc,47464,5
Amanojaku,0.505,0.903,9,-2.552,1,0.105,0.0132,0,0.353,0.718,100.436,audio_features,7N2cYASWiJacIzyGqWjdCE,spotify:track:7N2cYASWiJacIzyGqWjdCE,https://api.spotify.com/v1/tracks/7N2cYASWiJacIzyGqWjdCE,https://api.spotify.com/v1/audio-analysis/7N2cYASWiJacIzyGqWjdCE,186300,4
HOMEROOM,0.587,0.756,5,-4.686,1,0.05,0.0313,0,0.0809,0.332,155.114,audio_features,3No1spehk36joe5QIsCWCn,spotify:track:3No1spehk36joe5QIsCWCn,https://api.spotify.com/v1/tracks/3No1spehk36joe5QIsCWCn,https://api.spotify.com/v1/audio-analysis/3No1spehk36joe5QIsCWCn,229013,4
Amanojaku,0.36,0.887,7,-4.315,0,0.132,0.0456,0,0.0851,0.341,100.386,audio_features,45tR7yHNeBGFGyuCiJJEJC,spotify:track:45tR7yHNeBGFGyuCiJJEJC,https://api.spotify.com/v1/tracks/45tR7yHNeBGFGyuCiJJEJC,https://api.spotify.com/v1/audio-analysis/45tR7yHNeBGFGyuCiJJEJC,187500,4
Sleeping Beauty,0.367,0.548,0,-3.765,0,0.0417,0.0858,1.05e-05,0.0962,0.202,123.751,audio_features,2CVcP7kthajagYdSZkh1UI,spotify:track:2CVcP7kthajagYdSZkh1UI,https://api.spotify.com/v1/tracks/2CVcP7kthajagYdSZkh1UI,https://api.spotify.com/v1/audio-analysis/2CVcP7kthajagYdSZkh1UI,237800,4
Amanojaku,0.483,0.964,2,-3.055,1,0.118,0.0136,0.000215,0.322,0.5,100.619,audio_features,6luf0qKXhw9xAVEkJcaSBW,spotify:track:6luf0qKXhw9xAVEkJcaSBW,https://api.spotify.com/v1/tracks/6luf0qKXhw9xAVEkJcaSBW,https://api.spotify.com/v1/audio-analysis/6luf0qKXhw9xAVEkJcaSBW,187000,4
Sleeping Beauty,0.494,0.755,3,-4.874,1,0.0324,0.0231,8.23e-05,0.0881,0.225,82.225,audio_features,0aBwRM3sW0Y08uRVBNPwBY,spotify:track:0aBwRM3sW0Y08uRVBNPwBY,https://api.spotify.com/v1/tracks/0aBwRM3sW0Y08uRVBNPwBY,https://api.spotify.com/v1/audio-analysis/0aBwRM3sW0Y08uRVBNPwBY,236683,3
Meimou Shounen To Shousekai,0.556,0.992,9,-4.046,1,0.128,0.00308,0,0.328,0.598,112.535,audio_features,1P4k0prYf6WrFUgjPpM4gM,spotify:track:1P4k0prYf6WrFUgjPpM4gM,https://api.spotify.com/v1/tracks/1P4k0prYf6WrFUgjPpM4gM,https://api.spotify.com/v1/audio-analysis/1P4k0prYf6WrFUgjPpM4gM,234864,4
Miraisen,0.519,0.898,11,-4.335,1,0.061,0.0767,3.49e-06,0.076,0.55,150.063,audio_features,0UbKgahbGQcYdxf6rxxAJ0,spotify:track:0UbKgahbGQcYdxf6rxxAJ0,https://api.spotify.com/v1/tracks/0UbKgahbGQcYdxf6rxxAJ0,https://api.spotify.com/v1/audio-analysis/0UbKgahbGQcYdxf6rxxAJ0,210639,4
Amanojaku,0.506,0.921,9,-5.072,1,0.0631,0.00113,2.16e-06,0.318,0.375,100.251,audio_features,5Gt9oxMtiSpv7MiSvQpLKO,spotify:track:5Gt9oxMtiSpv7MiSvQpLKO,https://api.spotify.com/v1/tracks/5Gt9oxMtiSpv7MiSvQpLKO,https://api.spotify.com/v1/audio-analysis/5Gt9oxMtiSpv7MiSvQpLKO,185847,4
FOXTROT,0.395,0.179,1,-17.741,1,0.0374,0.993,0.829,0.179,0.157,94.916,audio_features,6BYoT3uTOftpngog6hT5mW,spotify:track:6BYoT3uTOftpngog6hT5mW,https://api.spotify.com/v1/tracks/6BYoT3uTOftpngog6hT5mW,https://api.spotify.com/v1/audio-analysis/6BYoT3uTOftpngog6hT5mW,46260,3
HOTEL,0.643,0.279,1,-23.804,1,0.0284,0.876,0.903,0.179,0.757,94.955,audio_features,4aaFVMieot581Th3GmPaMS,spotify:track:4aaFVMieot581Th3GmPaMS,https://api.spotify.com/v1/tracks/4aaFVMieot581Th3GmPaMS,https://api.spotify.com/v1/audio-analysis/4aaFVMieot581Th3GmPaMS,50411,4
NOVEMBER,0.187,0.0673,1,-21.496,1,0.0496,0.752,0.882,0.117,0.215,179.348,audio_features,4b4mRdXUei3fTax6771gKW,spotify:track:4b4mRdXUei3fTax6771gKW,https://api.spotify.com/v1/tracks/4b4mRdXUei3fTax6771gKW,https://api.spotify.com/v1/audio-analysis/4b4mRdXUei3fTax6771gKW,47615,4
INDIA,0.494,0.432,4,-22.082,1,0.0346,0.923,0.648,0.0722,0.235,99.986,audio_features,7wq4ZsA0yUOxCil3SdOiF8,spotify:track:7wq4ZsA0yUOxCil3SdOiF8,https://api.spotify.com/v1/tracks/7wq4ZsA0yUOxCil3SdOiF8,https://api.spotify.com/v1/audio-analysis/7wq4ZsA0yUOxCil3SdOiF8,48538,4
Ao,0.371,0.723,9,-5.367,1,0.0464,0.139,0,0.227,0.161,180.147,audio_features,4HBCKM0ZHzfwZgK0SmN5M4,spotify:track:4HBCKM0ZHzfwZgK0SmN5M4,https://api.spotify.com/v1/tracks/4HBCKM0ZHzfwZgK0SmN5M4,https://api.spotify.com/v1/audio-analysis/4HBCKM0ZHzfwZgK0SmN5M4,251211,4
Reset,0.378,0.943,3,-4.644,0,0.214,0.0102,1.79e-06,0.213,0.472,122.04,audio_features,2YosAU85uSWnrsXW9Ewlhg,spotify:track:2YosAU85uSWnrsXW9Ewlhg,https://api.spotify.com/v1/tracks/2YosAU85uSWnrsXW9Ewlhg,https://api.spotify.com/v1/audio-analysis/2YosAU85uSWnrsXW9Ewlhg,184950,4
Amanojaku,0.518,0.916,2,-4.059,1,0.165,0.0663,0,0.33,0.725,100.59,audio_features,78uFcGJKWzlC6wdezXbpow,spotify:track:78uFcGJKWzlC6wdezXbpow,https://api.spotify.com/v1/tracks/78uFcGJKWzlC6wdezXbpow,https://api.spotify.com/v1/audio-analysis/78uFcGJKWzlC6wdezXbpow,187627,4
