name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The raingazer's song,0.392,0.63,8,-6.165,1,0.0338,0.00399,0.723,0.114,0.198,160.061,audio_features,16YDA0KB2UKACY6aXQPXfY,spotify:track:16YDA0KB2UKACY6aXQPXfY,https://api.spotify.com/v1/tracks/16YDA0KB2UKACY6aXQPXfY,https://api.spotify.com/v1/audio-analysis/16YDA0KB2UKACY6aXQPXfY,374584,4
シラミレミ,0.495,0.728,7,-3.724,0,0.0292,0.237,0.239,0.295,0.309,100.007,audio_features,1fMHOYDoGKjsLtARPcR7uk,spotify:track:1fMHOYDoGKjsLtARPcR7uk,https://api.spotify.com/v1/tracks/1fMHOYDoGKjsLtARPcR7uk,https://api.spotify.com/v1/audio-analysis/1fMHOYDoGKjsLtARPcR7uk,322309,4
雑念浮遊,0.506,0.264,6,-7.424,1,0.0376,0.182,0.896,0.213,0.143,119.933,audio_features,4dxKrnemB1sPKsrnzz3drp,spotify:track:4dxKrnemB1sPKsrnzz3drp,https://api.spotify.com/v1/tracks/4dxKrnemB1sPKsrnzz3drp,https://api.spotify.com/v1/audio-analysis/4dxKrnemB1sPKsrnzz3drp,404250,4
水彩ラフ,0.506,0.957,2,-3.696,1,0.0629,0.000252,5.11e-05,0.365,0.754,134.013,audio_features,5YCw8xFUiNw9K3J6aRhAMV,spotify:track:5YCw8xFUiNw9K3J6aRhAMV,https://api.spotify.com/v1/tracks/5YCw8xFUiNw9K3J6aRhAMV,https://api.spotify.com/v1/audio-analysis/5YCw8xFUiNw9K3J6aRhAMV,196846,4
ギプスとセカイ,0.785,0.537,7,-6.574,1,0.037,0.427,0.673,0.104,0.844,130.039,audio_features,6opKai2e72TCB3C4SKUY7U,spotify:track:6opKai2e72TCB3C4SKUY7U,https://api.spotify.com/v1/tracks/6opKai2e72TCB3C4SKUY7U,https://api.spotify.com/v1/audio-analysis/6opKai2e72TCB3C4SKUY7U,275711,4
F.M.S.,0.209,0.421,2,-7.295,1,0.0329,0.0217,0.000199,0.442,0.0924,87.948,audio_features,09JqY77Beck22VvvVEbaUM,spotify:track:09JqY77Beck22VvvVEbaUM,https://api.spotify.com/v1/tracks/09JqY77Beck22VvvVEbaUM,https://api.spotify.com/v1/audio-analysis/09JqY77Beck22VvvVEbaUM,351155,4
Re;lium,0.471,0.713,4,-6.319,1,0.034,0.000199,0.65,0.0794,0.383,130.059,audio_features,4tajCq2dN5Fia7nzEfKxxH,spotify:track:4tajCq2dN5Fia7nzEfKxxH,https://api.spotify.com/v1/tracks/4tajCq2dN5Fia7nzEfKxxH,https://api.spotify.com/v1/audio-analysis/4tajCq2dN5Fia7nzEfKxxH,219738,4
apricot sun,0.337,0.512,3,-5.21,1,0.0333,0.664,0.333,0.151,0.29,159.989,audio_features,0I3HmHZKgYk0tyAtBS7KXC,spotify:track:0I3HmHZKgYk0tyAtBS7KXC,https://api.spotify.com/v1/tracks/0I3HmHZKgYk0tyAtBS7KXC,https://api.spotify.com/v1/audio-analysis/0I3HmHZKgYk0tyAtBS7KXC,249065,4
AJISAISONG,0.584,0.484,7,-6.074,1,0.0282,0.854,0.0257,0.389,0.14,84.991,audio_features,3meZPGZebbM6wOAsGGNTCe,spotify:track:3meZPGZebbM6wOAsGGNTCe,https://api.spotify.com/v1/tracks/3meZPGZebbM6wOAsGGNTCe,https://api.spotify.com/v1/audio-analysis/3meZPGZebbM6wOAsGGNTCe,205100,4
ルームボックス,0.375,0.763,10,-4.816,0,0.0415,0.318,0.108,0.388,0.208,155.991,audio_features,4YiCoNH1I3tsKHd5dFSPe7,spotify:track:4YiCoNH1I3tsKHd5dFSPe7,https://api.spotify.com/v1/tracks/4YiCoNH1I3tsKHd5dFSPe7,https://api.spotify.com/v1/audio-analysis/4YiCoNH1I3tsKHd5dFSPe7,265769,3
MERRY-GO-LIFE!!,0.591,0.766,7,-3.941,0,0.0306,0.0879,0.00804,0.367,0.751,133.945,audio_features,1ER6WqmGKlhLJx3MwoC1gg,spotify:track:1ER6WqmGKlhLJx3MwoC1gg,https://api.spotify.com/v1/tracks/1ER6WqmGKlhLJx3MwoC1gg,https://api.spotify.com/v1/audio-analysis/1ER6WqmGKlhLJx3MwoC1gg,259254,4
