name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Invocanción 1,0.393,0.401,7,-15.418,1,0.0312,0.873,0.927,0.136,0.411,132.778,audio_features,576GFtBn6mV133HfsGx0iA,spotify:track:576GFtBn6mV133HfsGx0iA,https://api.spotify.com/v1/tracks/576GFtBn6mV133HfsGx0iA,https://api.spotify.com/v1/audio-analysis/576GFtBn6mV133HfsGx0iA,94938,4
Ludópata,0.745,0.554,0,-16.729,1,0.0747,0.134,0.233,0.12,0.595,130.12,audio_features,6iuZib38qo4CbRuVelqLyP,spotify:track:6iuZib38qo4CbRuVelqLyP,https://api.spotify.com/v1/tracks/6iuZib38qo4CbRuVelqLyP,https://api.spotify.com/v1/audio-analysis/6iuZib38qo4CbRuVelqLyP,151385,4
La perdida del primer dolor,0.49,0.15,7,-15.992,1,0.0288,0.847,0,0.222,0.721,80.321,audio_features,2K7bZUdP1RMDWC110O9soW,spotify:track:2K7bZUdP1RMDWC110O9soW,https://api.spotify.com/v1/tracks/2K7bZUdP1RMDWC110O9soW,https://api.spotify.com/v1/audio-analysis/2K7bZUdP1RMDWC110O9soW,58500,4
Cumple 12,0.624,0.228,9,-15.424,1,0.039,0.801,0,0.379,0.573,116.557,audio_features,4Vu55YpbxcLVGJezOzKns2,spotify:track:4Vu55YpbxcLVGJezOzKns2,https://api.spotify.com/v1/tracks/4Vu55YpbxcLVGJezOzKns2,https://api.spotify.com/v1/audio-analysis/4Vu55YpbxcLVGJezOzKns2,87065,4
Jackpot,0.801,0.89,9,-11.729,0,0.0896,0.0076,0.0962,0.612,0.507,139.914,audio_features,4maJcc0Mt6rnpi3IuuDSjm,spotify:track:4maJcc0Mt6rnpi3IuuDSjm,https://api.spotify.com/v1/tracks/4maJcc0Mt6rnpi3IuuDSjm,https://api.spotify.com/v1/audio-analysis/4maJcc0Mt6rnpi3IuuDSjm,108857,4
Sin tacones,0.458,0.245,9,-15.531,1,0.0424,0.725,0,0.48,0.777,84.705,audio_features,6PYYSeM898p3gAW3Yw77W9,spotify:track:6PYYSeM898p3gAW3Yw77W9,https://api.spotify.com/v1/tracks/6PYYSeM898p3gAW3Yw77W9,https://api.spotify.com/v1/audio-analysis/6PYYSeM898p3gAW3Yw77W9,88500,4
Hay que seguir,0.551,0.0374,0,-24.882,1,0.0396,0.89,0,0.427,0.395,118.538,audio_features,57OGSK3oqnMhxWAihhNeMx,spotify:track:57OGSK3oqnMhxWAihhNeMx,https://api.spotify.com/v1/tracks/57OGSK3oqnMhxWAihhNeMx,https://api.spotify.com/v1/audio-analysis/57OGSK3oqnMhxWAihhNeMx,75000,4
Rasta Alien,0.678,0.304,6,-14.131,0,0.0417,0.922,0.178,0.0986,0.836,106.648,audio_features,2BOnWD0YiN4osi9wZQ09Tu,spotify:track:2BOnWD0YiN4osi9wZQ09Tu,https://api.spotify.com/v1/tracks/2BOnWD0YiN4osi9wZQ09Tu,https://api.spotify.com/v1/audio-analysis/2BOnWD0YiN4osi9wZQ09Tu,199173,4
Casino,0.457,0.906,2,-13.141,0,0.0487,0.105,0.781,0.0919,0.511,119.696,audio_features,5AopMpkHCyoTAuqr4Ni9LX,spotify:track:5AopMpkHCyoTAuqr4Ni9LX,https://api.spotify.com/v1/tracks/5AopMpkHCyoTAuqr4Ni9LX,https://api.spotify.com/v1/audio-analysis/5AopMpkHCyoTAuqr4Ni9LX,105240,4
Nacer en latinoamérica,0.519,0.436,5,-9.672,1,0.0423,0.956,0.0477,0.206,0.764,66.907,audio_features,0lGfmkmNDBmFpYPYPhA2Rr,spotify:track:0lGfmkmNDBmFpYPYPhA2Rr,https://api.spotify.com/v1/tracks/0lGfmkmNDBmFpYPYPhA2Rr,https://api.spotify.com/v1/audio-analysis/0lGfmkmNDBmFpYPYPhA2Rr,90375,3
