name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
遥か彼方,0.308,0.955,4,-3.763,1,0.111,2.39e-05,0.113,0.166,0.237,174.991,audio_features,5ORPYXJKlpHWIdceavSGrL,spotify:track:5ORPYXJKlpHWIdceavSGrL,https://api.spotify.com/v1/tracks/5ORPYXJKlpHWIdceavSGrL,https://api.spotify.com/v1/audio-analysis/5ORPYXJKlpHWIdceavSGrL,243347,4
Re:Re:,0.537,0.864,4,-5.049,1,0.0369,0.000318,0.123,0.108,0.727,153.035,audio_features,0WaaPFt4Qy8sVfxKz43bCD,spotify:track:0WaaPFt4Qy8sVfxKz43bCD,https://api.spotify.com/v1/tracks/0WaaPFt4Qy8sVfxKz43bCD,https://api.spotify.com/v1/audio-analysis/0WaaPFt4Qy8sVfxKz43bCD,228760,4
アフターダーク,0.387,0.95,1,-3.747,1,0.0475,0.00193,0,0.0689,0.541,191.006,audio_features,6XsJTpZwPKMcG8QK8k14Z6,spotify:track:6XsJTpZwPKMcG8QK8k14Z6,https://api.spotify.com/v1/tracks/6XsJTpZwPKMcG8QK8k14Z6,https://api.spotify.com/v1/audio-analysis/6XsJTpZwPKMcG8QK8k14Z6,192027,4
Re:Re: (Single ver.),0.464,0.868,6,-5.051,0,0.0502,0.000249,0.00042,0.248,0.512,155.008,audio_features,3rxLb8cYhEnv3ZEoluDdpA,spotify:track:3rxLb8cYhEnv3ZEoluDdpA,https://api.spotify.com/v1/tracks/3rxLb8cYhEnv3ZEoluDdpA,https://api.spotify.com/v1/audio-analysis/3rxLb8cYhEnv3ZEoluDdpA,332240,4
リライト,0.496,0.934,4,-4.269,1,0.0432,0.000169,0.172,0.0391,0.556,89.487,audio_features,3txqYlzoDZGLoW8MGll9tQ,spotify:track:3txqYlzoDZGLoW8MGll9tQ,https://api.spotify.com/v1/tracks/3txqYlzoDZGLoW8MGll9tQ,https://api.spotify.com/v1/audio-analysis/3txqYlzoDZGLoW8MGll9tQ,225493,4
Dororo,0.583,0.747,11,-5.556,0,0.0337,0.00036,0.00101,0.0739,0.535,92.543,audio_features,57Wtf9KjFm6GKjJ9qZ2pI5,spotify:track:57Wtf9KjFm6GKjJ9qZ2pI5,https://api.spotify.com/v1/tracks/57Wtf9KjFm6GKjJ9qZ2pI5,https://api.spotify.com/v1/audio-analysis/57Wtf9KjFm6GKjJ9qZ2pI5,161453,4
ブラッドサーキュレーター,0.372,0.975,0,-2.856,1,0.126,0.0493,0,0.331,0.3,181.017,audio_features,2sFBiCSUNc3ptKrCR8JABx,spotify:track:2sFBiCSUNc3ptKrCR8JABx,https://api.spotify.com/v1/tracks/2sFBiCSUNc3ptKrCR8JABx,https://api.spotify.com/v1/audio-analysis/2sFBiCSUNc3ptKrCR8JABx,222827,4
振動覚,0.438,0.952,9,-4.269,1,0.0497,1.72e-05,0.309,0.0537,0.548,92.506,audio_features,3iUHFt2vXwOdF7Qm0I0XtH,spotify:track:3iUHFt2vXwOdF7Qm0I0XtH,https://api.spotify.com/v1/tracks/3iUHFt2vXwOdF7Qm0I0XtH,https://api.spotify.com/v1/audio-analysis/3iUHFt2vXwOdF7Qm0I0XtH,147200,4
荒野を歩け,0.288,0.823,7,-3.67,1,0.0493,0.0033,0.288,0.218,0.363,165.038,audio_features,52q1x282D5DvSVNxJZHQPB,spotify:track:52q1x282D5DvSVNxJZHQPB,https://api.spotify.com/v1/tracks/52q1x282D5DvSVNxJZHQPB,https://api.spotify.com/v1/audio-analysis/52q1x282D5DvSVNxJZHQPB,256427,4
Re:Re: (2016 Version),0.449,0.904,6,-5.264,0,0.0397,2.31e-05,0.213,0.14,0.745,155.048,audio_features,2gKKDFCyubF1TSiC31yIlG,spotify:track:2gKKDFCyubF1TSiC31yIlG,https://api.spotify.com/v1/tracks/2gKKDFCyubF1TSiC31yIlG,https://api.spotify.com/v1/audio-analysis/2gKKDFCyubF1TSiC31yIlG,326960,4
