name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
永遠,0.618,0.625,3,-3.704,1,0.0266,0.479,0,0.15,0.484,97.913,audio_features,6SpF0Y18hOozRGLOWUZt8t,spotify:track:6SpF0Y18hOozRGLOWUZt8t,https://api.spotify.com/v1/tracks/6SpF0Y18hOozRGLOWUZt8t,https://api.spotify.com/v1/audio-analysis/6SpF0Y18hOozRGLOWUZt8t,282507,4
君たちキウイ・パパイア・マンゴーだね。,0.726,0.766,8,-5.213,1,0.07,0.0556,0,0.211,0.799,120.056,audio_features,75kN1aCkVMQsBy2reywSdq,spotify:track:75kN1aCkVMQsBy2reywSdq,https://api.spotify.com/v1/tracks/75kN1aCkVMQsBy2reywSdq,https://api.spotify.com/v1/audio-analysis/75kN1aCkVMQsBy2reywSdq,190493,4
君たちキウイ・パパイア・マンゴーだね。 - English Version,0.659,0.822,8,-3.009,1,0.0797,0.044,0,0.302,0.663,119.909,audio_features,5ktSoGPaSYsCNhwrhCGSRO,spotify:track:5ktSoGPaSYsCNhwrhCGSRO,https://api.spotify.com/v1/tracks/5ktSoGPaSYsCNhwrhCGSRO,https://api.spotify.com/v1/audio-analysis/5ktSoGPaSYsCNhwrhCGSRO,192726,4
フライディ・チャイナタウン - English Version,0.697,0.871,1,-4.844,0,0.0335,0.613,0,0.0678,0.808,122.95,audio_features,72xlrzaRJzNqI8OBV7HkDe,spotify:track:72xlrzaRJzNqI8OBV7HkDe,https://api.spotify.com/v1/tracks/72xlrzaRJzNqI8OBV7HkDe,https://api.spotify.com/v1/audio-analysis/72xlrzaRJzNqI8OBV7HkDe,211202,4
フライディ・チャイナタウン,0.709,0.878,1,-5.13,0,0.0367,0.573,2.7e-06,0.0632,0.765,123.0,audio_features,2Kwa7RHFBbwR99Zk42KWN9,spotify:track:2Kwa7RHFBbwR99Zk42KWN9,https://api.spotify.com/v1/tracks/2Kwa7RHFBbwR99Zk42KWN9,https://api.spotify.com/v1/audio-analysis/2Kwa7RHFBbwR99Zk42KWN9,211481,4
瞳をとじて,0.439,0.475,9,-6.134,1,0.0339,0.854,0,0.101,0.124,142.289,audio_features,56GIlirAwVTXGBHYJMCpnL,spotify:track:56GIlirAwVTXGBHYJMCpnL,https://api.spotify.com/v1/tracks/56GIlirAwVTXGBHYJMCpnL,https://api.spotify.com/v1/audio-analysis/56GIlirAwVTXGBHYJMCpnL,340467,4
Kiss Kiss Kiss,0.736,0.661,5,-6.794,1,0.036,0.193,0,0.0622,0.89,145.957,audio_features,3923n5pOxBguFSj1UE3yjx,spotify:track:3923n5pOxBguFSj1UE3yjx,https://api.spotify.com/v1/tracks/3923n5pOxBguFSj1UE3yjx,https://api.spotify.com/v1/audio-analysis/3923n5pOxBguFSj1UE3yjx,258880,4
新宝島,0.569,0.814,9,-4.018,0,0.0353,0.0121,0.00133,0.368,0.553,157.989,audio_features,4SEgD8ompSsA7G8hOW15WC,spotify:track:4SEgD8ompSsA7G8hOW15WC,https://api.spotify.com/v1/tracks/4SEgD8ompSsA7G8hOW15WC,https://api.spotify.com/v1/audio-analysis/4SEgD8ompSsA7G8hOW15WC,298253,4
もう二度と・・・,0.564,0.7,6,-5.389,1,0.0356,0.429,0,0.141,0.624,82.226,audio_features,3APbO4lkXk4Bc7ZxPJWo6g,spotify:track:3APbO4lkXk4Bc7ZxPJWo6g,https://api.spotify.com/v1/tracks/3APbO4lkXk4Bc7ZxPJWo6g,https://api.spotify.com/v1/audio-analysis/3APbO4lkXk4Bc7ZxPJWo6g,346907,4
恋焦がれて,0.664,0.887,1,-5.049,1,0.0406,0.208,0,0.328,0.903,92.011,audio_features,4mmEeDmwOCn0WKL4TXeavE,spotify:track:4mmEeDmwOCn0WKL4TXeavE,https://api.spotify.com/v1/tracks/4mmEeDmwOCn0WKL4TXeavE,https://api.spotify.com/v1/audio-analysis/4mmEeDmwOCn0WKL4TXeavE,271893,4
