name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
SOUVENIR,0.622,0.94,2,-4.997,1,0.0413,0.0094,6.48e-06,0.0957,0.96,158.056,audio_features,7qOsSOpiL3R8RKyiBtIYNQ,spotify:track:7qOsSOpiL3R8RKyiBtIYNQ,https://api.spotify.com/v1/tracks/7qOsSOpiL3R8RKyiBtIYNQ,https://api.spotify.com/v1/audio-analysis/7qOsSOpiL3R8RKyiBtIYNQ,264127,4
"Hello,world!",0.597,0.913,8,-5.448,1,0.0321,0.00409,2.53e-05,0.405,0.713,105.541,audio_features,1YqVJ2YSgwxWpfuENocF2t,spotify:track:1YqVJ2YSgwxWpfuENocF2t,https://api.spotify.com/v1/tracks/1YqVJ2YSgwxWpfuENocF2t,https://api.spotify.com/v1/audio-analysis/1YqVJ2YSgwxWpfuENocF2t,248453,4
アカシア,0.469,0.929,7,-2.971,1,0.0339,0.0244,0,0.0574,0.578,139.99,audio_features,0tvPnYDLySJL9g7OHNJeyb,spotify:track:0tvPnYDLySJL9g7OHNJeyb,https://api.spotify.com/v1/tracks/0tvPnYDLySJL9g7OHNJeyb,https://api.spotify.com/v1/audio-analysis/0tvPnYDLySJL9g7OHNJeyb,262107,4
クロノスタシス,0.699,0.738,0,-7.487,1,0.0259,0.0963,5.42e-05,0.163,0.671,120.001,audio_features,6Pd73yNBtoVpTRM6xLwOGp,spotify:track:6Pd73yNBtoVpTRM6xLwOGp,https://api.spotify.com/v1/tracks/6Pd73yNBtoVpTRM6xLwOGp,https://api.spotify.com/v1/audio-analysis/6Pd73yNBtoVpTRM6xLwOGp,339870,4
天体観測,0.366,0.949,1,-3.552,1,0.11,0.381,0,0.0902,0.467,164.979,audio_features,3hRRYgBeunE3PTmnzATTS0,spotify:track:3hRRYgBeunE3PTmnzATTS0,https://api.spotify.com/v1/tracks/3hRRYgBeunE3PTmnzATTS0,https://api.spotify.com/v1/audio-analysis/3hRRYgBeunE3PTmnzATTS0,263600,4
新世界,0.56,0.961,5,-3.078,1,0.042,0.00503,0,0.094,0.77,162.912,audio_features,3HksEr55KOyDGjkWF8SFbh,spotify:track:3HksEr55KOyDGjkWF8SFbh,https://api.spotify.com/v1/tracks/3HksEr55KOyDGjkWF8SFbh,https://api.spotify.com/v1/audio-analysis/3HksEr55KOyDGjkWF8SFbh,225677,4
なないろ,0.593,0.862,9,-4.347,1,0.0299,0.0178,0,0.101,0.84,124.978,audio_features,1k1zTwX433BlwP6FLOPBpD,spotify:track:1k1zTwX433BlwP6FLOPBpD,https://api.spotify.com/v1/tracks/1k1zTwX433BlwP6FLOPBpD,https://api.spotify.com/v1/audio-analysis/1k1zTwX433BlwP6FLOPBpD,259878,4
記念撮影,0.615,0.738,9,-6.883,1,0.0291,0.115,0,0.0554,0.67,119.924,audio_features,1pfZ0POxTGl7JbQyCdst5Q,spotify:track:1pfZ0POxTGl7JbQyCdst5Q,https://api.spotify.com/v1/tracks/1pfZ0POxTGl7JbQyCdst5Q,https://api.spotify.com/v1/audio-analysis/1pfZ0POxTGl7JbQyCdst5Q,282563,4
アンサー,0.584,0.93,11,-3.567,1,0.0333,0.0156,0,0.368,0.801,132.947,audio_features,6laONlj9zCF3hPNsQUePM6,spotify:track:6laONlj9zCF3hPNsQUePM6,https://api.spotify.com/v1/tracks/6laONlj9zCF3hPNsQUePM6,https://api.spotify.com/v1/audio-analysis/6laONlj9zCF3hPNsQUePM6,320781,4
Gravity,0.577,0.61,1,-7.125,1,0.0371,0.0238,0,0.0773,0.762,79.996,audio_features,15WLZS3pvNj1grj8FsI1tv,spotify:track:15WLZS3pvNj1grj8FsI1tv,https://api.spotify.com/v1/tracks/15WLZS3pvNj1grj8FsI1tv,https://api.spotify.com/v1/audio-analysis/15WLZS3pvNj1grj8FsI1tv,308454,4
sailing day,0.422,0.953,3,-2.233,1,0.0391,0.00674,0,0.0999,0.744,94.826,audio_features,3cQWusqyt053W56L3XBiIs,spotify:track:3cQWusqyt053W56L3XBiIs,https://api.spotify.com/v1/tracks/3cQWusqyt053W56L3XBiIs,https://api.spotify.com/v1/audio-analysis/3cQWusqyt053W56L3XBiIs,244667,4
"Hello,world!",0.591,0.949,8,-2.263,1,0.0332,0.00642,5.16e-06,0.268,0.669,105.551,audio_features,5YMqDISVIQhgof4s0uYfGP,spotify:track:5YMqDISVIQhgof4s0uYfGP,https://api.spotify.com/v1/tracks/5YMqDISVIQhgof4s0uYfGP,https://api.spotify.com/v1/audio-analysis/5YMqDISVIQhgof4s0uYfGP,255160,4
ray,0.61,0.92,3,-3.704,1,0.0501,0.00664,0,0.33,0.352,132.234,audio_features,1QrR4mWXPY9bLsA4FKYtJF,spotify:track:1QrR4mWXPY9bLsA4FKYtJF,https://api.spotify.com/v1/tracks/1QrR4mWXPY9bLsA4FKYtJF,https://api.spotify.com/v1/audio-analysis/1QrR4mWXPY9bLsA4FKYtJF,300680,4
カルマ,0.422,0.885,6,-2.785,1,0.0429,0.00489,5.83e-05,0.29,0.578,97.411,audio_features,3Ht2iEekMrHRndj0sC5e2X,spotify:track:3Ht2iEekMrHRndj0sC5e2X,https://api.spotify.com/v1/tracks/3Ht2iEekMrHRndj0sC5e2X,https://api.spotify.com/v1/audio-analysis/3Ht2iEekMrHRndj0sC5e2X,209973,4
月虹,0.554,0.921,2,-3.699,0,0.0313,0.00654,0,0.235,0.755,99.963,audio_features,2uZO9HX0ShlPjTnn7LCCWd,spotify:track:2uZO9HX0ShlPjTnn7LCCWd,https://api.spotify.com/v1/tracks/2uZO9HX0ShlPjTnn7LCCWd,https://api.spotify.com/v1/audio-analysis/2uZO9HX0ShlPjTnn7LCCWd,287253,4
車輪の唄,0.583,0.818,6,-5.325,1,0.0285,0.00299,0,0.196,0.563,110.03,audio_features,1WMOI4CBM2R3LB9ZrGu4EX,spotify:track:1WMOI4CBM2R3LB9ZrGu4EX,https://api.spotify.com/v1/tracks/1WMOI4CBM2R3LB9ZrGu4EX,https://api.spotify.com/v1/audio-analysis/1WMOI4CBM2R3LB9ZrGu4EX,265720,4
カルマ,0.377,0.869,6,-4.52,1,0.0433,0.00482,0.000146,0.358,0.61,97.523,audio_features,1sbvIp94XFJcdndOqQgNh6,spotify:track:1sbvIp94XFJcdndOqQgNh6,https://api.spotify.com/v1/tracks/1sbvIp94XFJcdndOqQgNh6,https://api.spotify.com/v1/audio-analysis/1sbvIp94XFJcdndOqQgNh6,199773,4
Small world,0.448,0.719,4,-5.521,1,0.0262,0.0449,1.5e-06,0.202,0.399,175.991,audio_features,2E2Ax3uzsMRM1KbzSzHfB3,spotify:track:2E2Ax3uzsMRM1KbzSzHfB3,https://api.spotify.com/v1/tracks/2E2Ax3uzsMRM1KbzSzHfB3,https://api.spotify.com/v1/audio-analysis/2E2Ax3uzsMRM1KbzSzHfB3,322223,4
ray,0.62,0.897,3,-4.663,1,0.0411,0.00669,0,0.315,0.394,132.02,audio_features,67T4aWFCAbMNWKamvI3piH,spotify:track:67T4aWFCAbMNWKamvI3piH,https://api.spotify.com/v1/tracks/67T4aWFCAbMNWKamvI3piH,https://api.spotify.com/v1/audio-analysis/67T4aWFCAbMNWKamvI3piH,300234,4
