name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Seven,0.556,0.565,5,-10.701,0,0.0633,2.22e-05,0.828,0.126,0.322,179.943,audio_features,3Ie2OBEUYnrsIOtqvp0trk,spotify:track:3Ie2OBEUYnrsIOtqvp0trk,https://api.spotify.com/v1/tracks/3Ie2OBEUYnrsIOtqvp0trk,https://api.spotify.com/v1/audio-analysis/3Ie2OBEUYnrsIOtqvp0trk,352000,4
Situações Triangulares,0.454,0.189,9,-20.717,0,0.0328,0.601,0.691,0.338,0.36,153.138,audio_features,7IkF72LMWJJQ0u19izWLRb,spotify:track:7IkF72LMWJJQ0u19izWLRb,https://api.spotify.com/v1/tracks/7IkF72LMWJJQ0u19izWLRb,https://api.spotify.com/v1/audio-analysis/7IkF72LMWJJQ0u19izWLRb,226200,3
Raquel,0.549,0.444,5,-11.765,1,0.0346,0.781,0.968,0.0693,0.479,107.672,audio_features,4dNw91JgYjOY8rFvy4xBvb,spotify:track:4dNw91JgYjOY8rFvy4xBvb,https://api.spotify.com/v1/tracks/4dNw91JgYjOY8rFvy4xBvb,https://api.spotify.com/v1/audio-analysis/4dNw91JgYjOY8rFvy4xBvb,248000,3
SWAY,0.706,0.791,4,-6.206,0,0.117,4.71e-05,0.899,0.0869,0.386,174.011,audio_features,4o65LIxEAaBTGktxlQ8gKi,spotify:track:4o65LIxEAaBTGktxlQ8gKi,https://api.spotify.com/v1/tracks/4o65LIxEAaBTGktxlQ8gKi,https://api.spotify.com/v1/audio-analysis/4o65LIxEAaBTGktxlQ8gKi,353103,4
Luz dum Estrela,0.625,0.533,7,-5.949,0,0.0323,0.196,0.183,0.0995,0.534,132.189,audio_features,0sODVVB1BP7bTZSCvS7sDz,spotify:track:0sODVVB1BP7bTZSCvS7sDz,https://api.spotify.com/v1/tracks/0sODVVB1BP7bTZSCvS7sDz,https://api.spotify.com/v1/audio-analysis/0sODVVB1BP7bTZSCvS7sDz,207160,4
Bau,0.576,0.55,9,-7.384,0,0.0263,0.331,0.0515,0.103,0.725,140.166,audio_features,1xcOsv2qeu2YbcKEj8LrNP,spotify:track:1xcOsv2qeu2YbcKEj8LrNP,https://api.spotify.com/v1/tracks/1xcOsv2qeu2YbcKEj8LrNP,https://api.spotify.com/v1/audio-analysis/1xcOsv2qeu2YbcKEj8LrNP,233987,3
Bau,0.586,0.527,9,-7.816,0,0.0272,0.347,0.0254,0.126,0.666,140.132,audio_features,2vStpRcKTpZWWtmtpQuLCk,spotify:track:2vStpRcKTpZWWtmtpQuLCk,https://api.spotify.com/v1/tracks/2vStpRcKTpZWWtmtpQuLCk,https://api.spotify.com/v1/audio-analysis/2vStpRcKTpZWWtmtpQuLCk,233640,3
Delicado,0.625,0.568,9,-9.238,1,0.0299,0.622,0.879,0.0283,0.617,97.754,audio_features,7h83gmkiXqICajy0GHKBuj,spotify:track:7h83gmkiXqICajy0GHKBuj,https://api.spotify.com/v1/tracks/7h83gmkiXqICajy0GHKBuj,https://api.spotify.com/v1/audio-analysis/7h83gmkiXqICajy0GHKBuj,161333,4
Barbincor,0.557,0.683,0,-9.287,0,0.0332,0.489,0.767,0.0735,0.801,90.706,audio_features,0Xa8ONavMmmOoPHXHQCdmR,spotify:track:0Xa8ONavMmmOoPHXHQCdmR,https://api.spotify.com/v1/tracks/0Xa8ONavMmmOoPHXHQCdmR,https://api.spotify.com/v1/audio-analysis/0Xa8ONavMmmOoPHXHQCdmR,201093,4
Pescador,0.375,0.484,5,-10.473,1,0.033,0.707,0.662,0.0754,0.619,146.205,audio_features,2iUOLAG0TtyQnAOmh6CB6H,spotify:track:2iUOLAG0TtyQnAOmh6CB6H,https://api.spotify.com/v1/tracks/2iUOLAG0TtyQnAOmh6CB6H,https://api.spotify.com/v1/audio-analysis/2iUOLAG0TtyQnAOmh6CB6H,271040,4
Nova Aurora,0.634,0.563,7,-5.093,0,0.0318,0.233,0.222,0.318,0.66,133.221,audio_features,2MyHf4G69mkCBlFgqVKg4c,spotify:track:2MyHf4G69mkCBlFgqVKg4c,https://api.spotify.com/v1/tracks/2MyHf4G69mkCBlFgqVKg4c,https://api.spotify.com/v1/audio-analysis/2MyHf4G69mkCBlFgqVKg4c,291253,4
Cucli,0.614,0.459,7,-15.637,0,0.0369,0.615,0.0934,0.0882,0.937,149.095,audio_features,5EZJNp4b1bno1ex3mmUSQB,spotify:track:5EZJNp4b1bno1ex3mmUSQB,https://api.spotify.com/v1/tracks/5EZJNp4b1bno1ex3mmUSQB,https://api.spotify.com/v1/audio-analysis/5EZJNp4b1bno1ex3mmUSQB,191347,3
Sem Pretensões,0.606,0.64,7,-5.794,0,0.051,0.45,0.936,0.0944,0.907,91.09,audio_features,2xEpGgJoW1cX4kGtUIPUdC,spotify:track:2xEpGgJoW1cX4kGtUIPUdC,https://api.spotify.com/v1/tracks/2xEpGgJoW1cX4kGtUIPUdC,https://api.spotify.com/v1/audio-analysis/2xEpGgJoW1cX4kGtUIPUdC,171747,4
Jaílza,0.579,0.308,4,-17.377,0,0.0448,0.667,0.609,0.0844,0.527,80.041,audio_features,0uGkD7Yuq6N7UPs7xQym4C,spotify:track:0uGkD7Yuq6N7UPs7xQym4C,https://api.spotify.com/v1/tracks/0uGkD7Yuq6N7UPs7xQym4C,https://api.spotify.com/v1/audio-analysis/0uGkD7Yuq6N7UPs7xQym4C,272413,3
Queridame Bem,0.575,0.55,2,-15.581,1,0.037,0.248,0.869,0.136,0.744,100.615,audio_features,2QNLUFIL95SBWCgqQR5hK4,spotify:track:2QNLUFIL95SBWCgqQR5hK4,https://api.spotify.com/v1/tracks/2QNLUFIL95SBWCgqQR5hK4,https://api.spotify.com/v1/audio-analysis/2QNLUFIL95SBWCgqQR5hK4,165053,4
Battle,0.618,0.857,4,-10.278,0,0.0673,2.57e-05,0.857,0.07,0.416,174.011,audio_features,3cGq39FJqdbXZimjiec3e7,spotify:track:3cGq39FJqdbXZimjiec3e7,https://api.spotify.com/v1/tracks/3cGq39FJqdbXZimjiec3e7,https://api.spotify.com/v1/audio-analysis/3cGq39FJqdbXZimjiec3e7,310345,4
Filosofia,0.451,0.685,9,-12.464,0,0.0399,0.0219,0.905,0.146,0.532,97.947,audio_features,4otTnbBZjaAo41lLuJ4ITz,spotify:track:4otTnbBZjaAo41lLuJ4ITz,https://api.spotify.com/v1/tracks/4otTnbBZjaAo41lLuJ4ITz,https://api.spotify.com/v1/audio-analysis/4otTnbBZjaAo41lLuJ4ITz,340680,4
Som Di Nha Esperança,0.466,0.254,4,-15.157,0,0.0355,0.0227,0.00155,0.251,0.684,142.523,audio_features,5EeclT4CeqnjGDefnpVTyv,spotify:track:5EeclT4CeqnjGDefnpVTyv,https://api.spotify.com/v1/tracks/5EeclT4CeqnjGDefnpVTyv,https://api.spotify.com/v1/audio-analysis/5EeclT4CeqnjGDefnpVTyv,306560,4
