name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
in case...,0.497,0.904,0,-4.754,0,0.143,5.98e-05,0.00199,0.339,0.313,129.853,audio_features,0m6gd9kYPfF9hGlRQ1COeB,spotify:track:0m6gd9kYPfF9hGlRQ1COeB,https://api.spotify.com/v1/tracks/0m6gd9kYPfF9hGlRQ1COeB,https://api.spotify.com/v1/audio-analysis/0m6gd9kYPfF9hGlRQ1COeB,210919,4
PAiNT it BLACK,0.482,0.953,7,-1.444,1,0.0577,0.0198,0,0.105,0.453,105.025,audio_features,4S3aU06ISAWFb0hIdZ4WL8,spotify:track:4S3aU06ISAWFb0hIdZ4WL8,https://api.spotify.com/v1/tracks/4S3aU06ISAWFb0hIdZ4WL8,https://api.spotify.com/v1/audio-analysis/4S3aU06ISAWFb0hIdZ4WL8,230431,4
I,0.754,0.729,11,-4.142,0,0.0595,0.0505,0,0.31,0.855,94.999,audio_features,5cB1vsyZf4uWJhNYEkMkrR,spotify:track:5cB1vsyZf4uWJhNYEkMkrR,https://api.spotify.com/v1/tracks/5cB1vsyZf4uWJhNYEkMkrR,https://api.spotify.com/v1/audio-analysis/5cB1vsyZf4uWJhNYEkMkrR,221966,4
MORE THAN LiKE,0.449,0.981,7,-1.864,1,0.0755,0.00364,0.938,0.443,0.396,101.04,audio_features,1SlJLYLXORVbyccJlnoJRl,spotify:track:1SlJLYLXORVbyccJlnoJRl,https://api.spotify.com/v1/tracks/1SlJLYLXORVbyccJlnoJRl,https://api.spotify.com/v1/audio-analysis/1SlJLYLXORVbyccJlnoJRl,239131,4
飲ませろ,0.477,0.858,9,-5.466,0,0.0924,0.0046,0.0487,0.403,0.382,90.077,audio_features,1BEyjET39TjtFH901xYy5d,spotify:track:1BEyjET39TjtFH901xYy5d,https://api.spotify.com/v1/tracks/1BEyjET39TjtFH901xYy5d,https://api.spotify.com/v1/audio-analysis/1BEyjET39TjtFH901xYy5d,205036,4
DiSTANCE,0.541,0.967,7,-2.966,0,0.0584,0.0378,0,0.0974,0.128,132.01,audio_features,1tYBBOU6eqPXcKJ2gxIElV,spotify:track:1tYBBOU6eqPXcKJ2gxIElV,https://api.spotify.com/v1/tracks/1tYBBOU6eqPXcKJ2gxIElV,https://api.spotify.com/v1/audio-analysis/1tYBBOU6eqPXcKJ2gxIElV,235602,4
プロミスザスター,0.449,0.95,7,-0.726,0,0.0512,0.00547,0,0.164,0.352,170.067,audio_features,61Yl4bWKSUeNxe6jPgKq5c,spotify:track:61Yl4bWKSUeNxe6jPgKq5c,https://api.spotify.com/v1/tracks/61Yl4bWKSUeNxe6jPgKq5c,https://api.spotify.com/v1/audio-analysis/61Yl4bWKSUeNxe6jPgKq5c,269200,4
SHARR,0.473,0.987,5,-3.728,0,0.0745,2.6e-06,6.82e-05,0.0627,0.296,112.978,audio_features,48tg8gKaSh9Yc0XxMrYuJd,spotify:track:48tg8gKaSh9Yc0XxMrYuJd,https://api.spotify.com/v1/tracks/48tg8gKaSh9Yc0XxMrYuJd,https://api.spotify.com/v1/audio-analysis/48tg8gKaSh9Yc0XxMrYuJd,221240,4
本当本気,0.461,0.922,2,-3.876,1,0.0629,5.69e-05,0.0126,0.368,0.312,132.006,audio_features,5mVt55yfKXh5bWfm6teGEV,spotify:track:5mVt55yfKXh5bWfm6teGEV,https://api.spotify.com/v1/tracks/5mVt55yfKXh5bWfm6teGEV,https://api.spotify.com/v1/audio-analysis/5mVt55yfKXh5bWfm6teGEV,284667,4
TOMORROW,0.428,0.834,9,-4.013,0,0.0597,1.79e-05,0.0126,0.091,0.335,97.425,audio_features,6uQSx0wRF9vMTVTk2uabyZ,spotify:track:6uQSx0wRF9vMTVTk2uabyZ,https://api.spotify.com/v1/tracks/6uQSx0wRF9vMTVTk2uabyZ,https://api.spotify.com/v1/audio-analysis/6uQSx0wRF9vMTVTk2uabyZ,221550,4
Help!!,0.411,0.962,6,-2.491,0,0.171,7.47e-05,0.608,0.387,0.67,175.034,audio_features,4v7ZoEl9nQKnmKWgSeSrkL,spotify:track:4v7ZoEl9nQKnmKWgSeSrkL,https://api.spotify.com/v1/tracks/4v7ZoEl9nQKnmKWgSeSrkL,https://api.spotify.com/v1/audio-analysis/4v7ZoEl9nQKnmKWgSeSrkL,223333,4
stereo future,0.36,0.953,9,-3.728,0,0.0622,0.000137,0.603,0.126,0.494,174.063,audio_features,1V9fhEM1WBJuwdrmRFrxIo,spotify:track:1V9fhEM1WBJuwdrmRFrxIo,https://api.spotify.com/v1/tracks/1V9fhEM1WBJuwdrmRFrxIo,https://api.spotify.com/v1/audio-analysis/1V9fhEM1WBJuwdrmRFrxIo,272824,4
in case...,0.368,0.902,0,-4.512,0,0.16,8.81e-05,0.000133,0.181,0.311,129.531,audio_features,3Y65Y72bmOV6XAxqdTTguz,spotify:track:3Y65Y72bmOV6XAxqdTTguz,https://api.spotify.com/v1/tracks/3Y65Y72bmOV6XAxqdTTguz,https://api.spotify.com/v1/audio-analysis/3Y65Y72bmOV6XAxqdTTguz,210919,4
ぴょ,0.403,0.988,4,-2.911,1,0.122,0.000345,0.137,0.244,0.0824,149.897,audio_features,07n9Gl4XQ6OweHu0VCdwZL,spotify:track:07n9Gl4XQ6OweHu0VCdwZL,https://api.spotify.com/v1/tracks/07n9Gl4XQ6OweHu0VCdwZL,https://api.spotify.com/v1/audio-analysis/07n9Gl4XQ6OweHu0VCdwZL,215003,4
悲しみよとまれ,0.536,0.825,7,-5.128,1,0.0459,0.000565,0.0469,0.107,0.839,154.909,audio_features,7CXhuQKDeqeian2QPV4lgx,spotify:track:7CXhuQKDeqeian2QPV4lgx,https://api.spotify.com/v1/tracks/7CXhuQKDeqeian2QPV4lgx,https://api.spotify.com/v1/audio-analysis/7CXhuQKDeqeian2QPV4lgx,238205,4
TOMORROW,0.361,0.849,9,-3.584,0,0.0642,0.000413,0,0.462,0.348,97.376,audio_features,6AmDMNyz5x5OKky3aDAD6q,spotify:track:6AmDMNyz5x5OKky3aDAD6q,https://api.spotify.com/v1/tracks/6AmDMNyz5x5OKky3aDAD6q,https://api.spotify.com/v1/audio-analysis/6AmDMNyz5x5OKky3aDAD6q,216943,4
BODiES,0.541,0.937,10,-4.861,1,0.0416,9.81e-06,0.047,0.119,0.772,105.983,audio_features,6N30nyAywDKrSDS24gfKM2,spotify:track:6N30nyAywDKrSDS24gfKM2,https://api.spotify.com/v1/tracks/6N30nyAywDKrSDS24gfKM2,https://api.spotify.com/v1/audio-analysis/6N30nyAywDKrSDS24gfKM2,219987,4
YOUTH,0.31,0.954,4,-3.772,1,0.0872,0.000152,0.00365,0.255,0.218,179.856,audio_features,3Ug5wttXDzidKNOvss8VKj,spotify:track:3Ug5wttXDzidKNOvss8VKj,https://api.spotify.com/v1/tracks/3Ug5wttXDzidKNOvss8VKj,https://api.spotify.com/v1/audio-analysis/3Ug5wttXDzidKNOvss8VKj,215321,4
Marionette,0.352,0.994,11,-3.386,0,0.145,0.000132,0.0209,0.411,0.458,204.093,audio_features,675uGlwt4sMPaLPSTRm30d,spotify:track:675uGlwt4sMPaLPSTRm30d,https://api.spotify.com/v1/tracks/675uGlwt4sMPaLPSTRm30d,https://api.spotify.com/v1/audio-analysis/675uGlwt4sMPaLPSTRm30d,194311,4
サヨナラサラバ,0.511,0.978,7,-2.949,0,0.102,0.0239,0,0.374,0.424,139.987,audio_features,5iLQEPDtbp74HFz4y7FCuP,spotify:track:5iLQEPDtbp74HFz4y7FCuP,https://api.spotify.com/v1/tracks/5iLQEPDtbp74HFz4y7FCuP,https://api.spotify.com/v1/audio-analysis/5iLQEPDtbp74HFz4y7FCuP,205500,4
GiANT KiLLERS,0.454,0.975,1,-3.099,1,0.228,0.00101,0.0196,0.24,0.361,93.969,audio_features,0z6XUSiw6WTT8uZNWJwWcO,spotify:track:0z6XUSiw6WTT8uZNWJwWcO,https://api.spotify.com/v1/tracks/0z6XUSiw6WTT8uZNWJwWcO,https://api.spotify.com/v1/audio-analysis/0z6XUSiw6WTT8uZNWJwWcO,273667,4
S・H・i・T,0.474,0.96,6,-4.904,0,0.135,8.16e-05,0.00058,0.152,0.312,126.967,audio_features,4nYckschxFIoDjhhnC8Ajz,spotify:track:4nYckschxFIoDjhhnC8Ajz,https://api.spotify.com/v1/tracks/4nYckschxFIoDjhhnC8Ajz,https://api.spotify.com/v1/audio-analysis/4nYckschxFIoDjhhnC8Ajz,217549,4
STACKiNG,0.342,0.908,9,-4.335,0,0.0533,9.99e-05,0.000614,0.0783,0.396,177.971,audio_features,0B2ZtMEByFD3MNxgBbL81B,spotify:track:0B2ZtMEByFD3MNxgBbL81B,https://api.spotify.com/v1/tracks/0B2ZtMEByFD3MNxgBbL81B,https://api.spotify.com/v1/audio-analysis/0B2ZtMEByFD3MNxgBbL81B,250555,4
オーケストラ,0.363,0.856,4,-3.908,1,0.0451,4.57e-05,1.65e-05,0.263,0.41,180.03,audio_features,2YyI6tBurS8dCVhdPkpZp3,spotify:track:2YyI6tBurS8dCVhdPkpZp3,https://api.spotify.com/v1/tracks/2YyI6tBurS8dCVhdPkpZp3,https://api.spotify.com/v1/audio-analysis/2YyI6tBurS8dCVhdPkpZp3,342613,4
Primitive,0.545,0.96,9,-4.564,1,0.0545,0.000489,5.74e-05,0.14,0.54,102.534,audio_features,5BtCZAPpqRW74K9Fme7IE6,spotify:track:5BtCZAPpqRW74K9Fme7IE6,https://api.spotify.com/v1/tracks/5BtCZAPpqRW74K9Fme7IE6,https://api.spotify.com/v1/audio-analysis/5BtCZAPpqRW74K9Fme7IE6,284560,4
BiSH-星が瞬く夜に '16,0.499,0.986,1,-3.499,1,0.0571,0.000686,0.912,0.358,0.404,104.959,audio_features,3w3CpyOySqNPL0y3F3JoHJ,spotify:track:3w3CpyOySqNPL0y3F3JoHJ,https://api.spotify.com/v1/tracks/3w3CpyOySqNPL0y3F3JoHJ,https://api.spotify.com/v1/audio-analysis/3w3CpyOySqNPL0y3F3JoHJ,276907,4
ぶち抜け,0.327,0.739,0,-3.886,1,0.0347,0.000125,0,0.0565,0.573,175.002,audio_features,6PDY5xgHgjuYxvTdrXTVYO,spotify:track:6PDY5xgHgjuYxvTdrXTVYO,https://api.spotify.com/v1/tracks/6PDY5xgHgjuYxvTdrXTVYO,https://api.spotify.com/v1/audio-analysis/6PDY5xgHgjuYxvTdrXTVYO,204555,4
O・S,0.421,0.932,3,-3.44,1,0.17,0.00165,0.962,0.168,0.455,177.973,audio_features,0nEynCuxORCKB0hgfFtXLM,spotify:track:0nEynCuxORCKB0hgfFtXLM,https://api.spotify.com/v1/tracks/0nEynCuxORCKB0hgfFtXLM,https://api.spotify.com/v1/audio-analysis/0nEynCuxORCKB0hgfFtXLM,204108,4
ぴらぴろ,0.434,0.995,6,-2.049,1,0.141,0.00169,0.00218,0.335,0.317,166.986,audio_features,7ujDyYaL0nXphMkkgjCGcX,spotify:track:7ujDyYaL0nXphMkkgjCGcX,https://api.spotify.com/v1/tracks/7ujDyYaL0nXphMkkgjCGcX,https://api.spotify.com/v1/audio-analysis/7ujDyYaL0nXphMkkgjCGcX,237840,4
STAR,0.456,0.844,10,-4.253,1,0.0354,0.000774,0.00104,0.4,0.593,140.138,audio_features,0IgPX0v1CZgbOUKCAbICOV,spotify:track:0IgPX0v1CZgbOUKCAbICOV,https://api.spotify.com/v1/tracks/0IgPX0v1CZgbOUKCAbICOV,https://api.spotify.com/v1/audio-analysis/0IgPX0v1CZgbOUKCAbICOV,247194,4
スパーク,0.438,0.868,5,-2.768,1,0.0412,0.00135,0.000929,0.818,0.362,135.012,audio_features,6gjR2DHqtze0T8xNm1EOGD,spotify:track:6gjR2DHqtze0T8xNm1EOGD,https://api.spotify.com/v1/tracks/6gjR2DHqtze0T8xNm1EOGD,https://api.spotify.com/v1/audio-analysis/6gjR2DHqtze0T8xNm1EOGD,334653,4
MONSTERS,0.408,0.951,3,-2.636,0,0.0917,0.000416,0.0069,0.0895,0.398,149.987,audio_features,2nmsiRuex1h5uMoAI1s3uS,spotify:track:2nmsiRuex1h5uMoAI1s3uS,https://api.spotify.com/v1/tracks/2nmsiRuex1h5uMoAI1s3uS,https://api.spotify.com/v1/audio-analysis/2nmsiRuex1h5uMoAI1s3uS,209093,4
ごめんね,0.564,0.799,9,-5.186,1,0.0382,0.000551,7.26e-05,0.282,0.702,129.057,audio_features,3ujCFbWxwPlBC38wWs7RwG,spotify:track:3ujCFbWxwPlBC38wWs7RwG,https://api.spotify.com/v1/tracks/3ujCFbWxwPlBC38wWs7RwG,https://api.spotify.com/v1/audio-analysis/3ujCFbWxwPlBC38wWs7RwG,260715,4
FOR HiM,0.511,0.945,8,-5.076,0,0.0426,0.000128,0.00074,0.377,0.625,143.989,audio_features,6Tj2cs6rcN0e29uQ90iw79,spotify:track:6Tj2cs6rcN0e29uQ90iw79,https://api.spotify.com/v1/tracks/6Tj2cs6rcN0e29uQ90iw79,https://api.spotify.com/v1/audio-analysis/6Tj2cs6rcN0e29uQ90iw79,245613,4
spare of despair,0.402,0.958,7,-4.269,1,0.0948,0.000172,6.63e-05,0.319,0.488,200.028,audio_features,3VhzedQ6n016yWA702i1cF,spotify:track:3VhzedQ6n016yWA702i1cF,https://api.spotify.com/v1/tracks/3VhzedQ6n016yWA702i1cF,https://api.spotify.com/v1/audio-analysis/3VhzedQ6n016yWA702i1cF,236507,4
