name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ドラマ,0.695,0.826,8,-4.685,1,0.0949,0.00614,1.49e-05,0.155,0.814,154.87,audio_features,1Wrvk37yFyc31RUbzCmI3r,spotify:track:1Wrvk37yFyc31RUbzCmI3r,https://api.spotify.com/v1/tracks/1Wrvk37yFyc31RUbzCmI3r,https://api.spotify.com/v1/audio-analysis/1Wrvk37yFyc31RUbzCmI3r,275173,4
ワタタリカ,0.603,0.906,9,-5.206,1,0.0302,0.0456,0,0.271,0.621,130.029,audio_features,4VZgqKFFBdEgY5SXYGFY6E,spotify:track:4VZgqKFFBdEgY5SXYGFY6E,https://api.spotify.com/v1/tracks/4VZgqKFFBdEgY5SXYGFY6E,https://api.spotify.com/v1/audio-analysis/4VZgqKFFBdEgY5SXYGFY6E,273467,4
みかんハート,0.561,0.358,6,-6.39,1,0.028,0.589,0,0.117,0.204,129.029,audio_features,1H9jJvALjdKH3C3Ol0w765,spotify:track:1H9jJvALjdKH3C3Ol0w765,https://api.spotify.com/v1/tracks/1H9jJvALjdKH3C3Ol0w765,https://api.spotify.com/v1/audio-analysis/1H9jJvALjdKH3C3Ol0w765,336840,4
Y,0.553,0.358,2,-7.855,1,0.0415,0.737,3.33e-06,0.0957,0.169,135.478,audio_features,3FxYGxaY0t1hv7n9IHUL3N,spotify:track:3FxYGxaY0t1hv7n9IHUL3N,https://api.spotify.com/v1/tracks/3FxYGxaY0t1hv7n9IHUL3N,https://api.spotify.com/v1/audio-analysis/3FxYGxaY0t1hv7n9IHUL3N,306133,4
空気 - from「One_day」,0.44,0.545,7,-5.76,1,0.0441,0.182,0,0.0469,0.267,128.225,audio_features,03E1qEeqhZRFoM0DsIKVnp,spotify:track:03E1qEeqhZRFoM0DsIKVnp,https://api.spotify.com/v1/tracks/03E1qEeqhZRFoM0DsIKVnp,https://api.spotify.com/v1/audio-analysis/03E1qEeqhZRFoM0DsIKVnp,288533,4
ぼくのとなりにいてくれませんか?,0.689,0.601,11,-5.714,1,0.0283,0.53,0,0.136,0.388,114.97,audio_features,4Ft2qB9lOs0Ne4qVO9Hloi,spotify:track:4Ft2qB9lOs0Ne4qVO9Hloi,https://api.spotify.com/v1/tracks/4Ft2qB9lOs0Ne4qVO9Hloi,https://api.spotify.com/v1/audio-analysis/4Ft2qB9lOs0Ne4qVO9Hloi,300013,4
ぼくのとなりにいてくれませんか?,0.686,0.56,11,-7.199,1,0.0294,0.5,0,0.118,0.432,114.968,audio_features,2SIoVzBSqjdAyaz9k1rS8A,spotify:track:2SIoVzBSqjdAyaz9k1rS8A,https://api.spotify.com/v1/tracks/2SIoVzBSqjdAyaz9k1rS8A,https://api.spotify.com/v1/audio-analysis/2SIoVzBSqjdAyaz9k1rS8A,301240,4
HELLO SAY GOODBYE,0.665,0.679,7,-4.905,1,0.0553,0.0926,0,0.0363,0.554,141.838,audio_features,1m25Zfuw4i28xenI5jGhNV,spotify:track:1m25Zfuw4i28xenI5jGhNV,https://api.spotify.com/v1/tracks/1m25Zfuw4i28xenI5jGhNV,https://api.spotify.com/v1/audio-analysis/1m25Zfuw4i28xenI5jGhNV,227000,4
C&K V,0.513,0.83,9,-4.396,1,0.19,0.00199,3.7e-06,0.286,0.276,194.948,audio_features,5uYCv2OatdTYvTPkOcVJpW,spotify:track:5uYCv2OatdTYvTPkOcVJpW,https://api.spotify.com/v1/tracks/5uYCv2OatdTYvTPkOcVJpW,https://api.spotify.com/v1/audio-analysis/5uYCv2OatdTYvTPkOcVJpW,150213,4
空気,0.601,0.373,7,-8.563,1,0.223,0.567,0,0.121,0.256,73.978,audio_features,2riyeFyT85v91WDOQoO3c3,spotify:track:2riyeFyT85v91WDOQoO3c3,https://api.spotify.com/v1/tracks/2riyeFyT85v91WDOQoO3c3,https://api.spotify.com/v1/audio-analysis/2riyeFyT85v91WDOQoO3c3,228267,4
