name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
秘密,0.67,0.902,11,-5.406,0,0.0706,0.0863,0,0.3,0.92,116.973,audio_features,4krxXeyVrCztH4jvQpSn6I,spotify:track:4krxXeyVrCztH4jvQpSn6I,https://api.spotify.com/v1/tracks/4krxXeyVrCztH4jvQpSn6I,https://api.spotify.com/v1/audio-analysis/4krxXeyVrCztH4jvQpSn6I,230769,4
深淵,0.704,0.894,9,-5.674,0,0.0407,0.139,5.01e-06,0.117,0.945,92.977,audio_features,0kn27OT6b2DkcemV9UlMp1,spotify:track:0kn27OT6b2DkcemV9UlMp1,https://api.spotify.com/v1/tracks/0kn27OT6b2DkcemV9UlMp1,https://api.spotify.com/v1/audio-analysis/0kn27OT6b2DkcemV9UlMp1,279000,4
I Love Music - Reprise,0.527,0.26,3,-12.619,1,0.0445,0.989,0.154,0.285,0.888,177.796,audio_features,34Bg6vc0DgfnbQuRn20Oo4,spotify:track:34Bg6vc0DgfnbQuRn20Oo4,https://api.spotify.com/v1/tracks/34Bg6vc0DgfnbQuRn20Oo4,https://api.spotify.com/v1/audio-analysis/34Bg6vc0DgfnbQuRn20Oo4,78641,4
草原郷,0.645,0.729,2,-5.08,1,0.0278,0.0779,2.03e-06,0.204,0.729,114.957,audio_features,3T31RNAyhaO7s6NMU02AeU,spotify:track:3T31RNAyhaO7s6NMU02AeU,https://api.spotify.com/v1/tracks/3T31RNAyhaO7s6NMU02AeU,https://api.spotify.com/v1/audio-analysis/3T31RNAyhaO7s6NMU02AeU,255000,4
Bluebird,0.542,0.669,5,-5.789,1,0.0379,0.247,0,0.11,0.689,156.097,audio_features,6xlEvPKLj52AgpE5OzEUqK,spotify:track:6xlEvPKLj52AgpE5OzEUqK,https://api.spotify.com/v1/tracks/6xlEvPKLj52AgpE5OzEUqK,https://api.spotify.com/v1/audio-analysis/6xlEvPKLj52AgpE5OzEUqK,277000,4
Freedom! (feat. 巡音ルカV4X),0.711,0.843,5,-6.383,1,0.0351,0.00299,2.92e-05,0.0613,0.836,125.024,audio_features,1Ba8DPSZNeWPYWU6gbwqXo,spotify:track:1Ba8DPSZNeWPYWU6gbwqXo,https://api.spotify.com/v1/tracks/1Ba8DPSZNeWPYWU6gbwqXo,https://api.spotify.com/v1/audio-analysis/1Ba8DPSZNeWPYWU6gbwqXo,234480,4
陶酔,0.706,0.727,11,-7.489,0,0.0341,0.311,0.000612,0.107,0.916,114.016,audio_features,5r9EeQ0RtRXR3OtLl78GnE,spotify:track:5r9EeQ0RtRXR3OtLl78GnE,https://api.spotify.com/v1/tracks/5r9EeQ0RtRXR3OtLl78GnE,https://api.spotify.com/v1/audio-analysis/5r9EeQ0RtRXR3OtLl78GnE,302800,4
うまくいかない,0.419,0.54,9,-5.642,1,0.0277,0.392,0.0134,0.0881,0.689,103.034,audio_features,1kqc7sLQ6JAKxzMNJKt4VD,spotify:track:1kqc7sLQ6JAKxzMNJKt4VD,https://api.spotify.com/v1/tracks/1kqc7sLQ6JAKxzMNJKt4VD,https://api.spotify.com/v1/audio-analysis/1kqc7sLQ6JAKxzMNJKt4VD,273900,4
微熱,0.476,0.566,2,-5.197,0,0.0263,0.275,4.29e-06,0.123,0.247,135.921,audio_features,0SLXv4W2KTAUaHiYAjWB5A,spotify:track:0SLXv4W2KTAUaHiYAjWB5A,https://api.spotify.com/v1/tracks/0SLXv4W2KTAUaHiYAjWB5A,https://api.spotify.com/v1/audio-analysis/0SLXv4W2KTAUaHiYAjWB5A,294000,4
Can't Stop,0.505,0.668,6,-7.56,0,0.04,0.566,6.86e-05,0.107,0.607,80.807,audio_features,5ipiL9Pf5Qk0XJV4HGIVWk,spotify:track:5ipiL9Pf5Qk0XJV4HGIVWk,https://api.spotify.com/v1/tracks/5ipiL9Pf5Qk0XJV4HGIVWk,https://api.spotify.com/v1/audio-analysis/5ipiL9Pf5Qk0XJV4HGIVWk,266296,4
アイノコトバ,0.648,0.771,3,-5.131,1,0.0275,0.162,0,0.161,0.879,130.026,audio_features,2o4Ej67BozLVComqAGXc1W,spotify:track:2o4Ej67BozLVComqAGXc1W,https://api.spotify.com/v1/tracks/2o4Ej67BozLVComqAGXc1W,https://api.spotify.com/v1/audio-analysis/2o4Ej67BozLVComqAGXc1W,214000,4
秘密,0.67,0.902,11,-5.406,0,0.0706,0.0863,0,0.3,0.92,116.973,audio_features,0eyorxcKja0UiI69NPBqbC,spotify:track:0eyorxcKja0UiI69NPBqbC,https://api.spotify.com/v1/tracks/0eyorxcKja0UiI69NPBqbC,https://api.spotify.com/v1/audio-analysis/0eyorxcKja0UiI69NPBqbC,230769,4
笑いたかった,0.788,0.53,11,-6.883,0,0.0266,0.581,0.0269,0.106,0.566,107.04,audio_features,5kbeSwCyJr0eyQfby0xKcZ,spotify:track:5kbeSwCyJr0eyQfby0xKcZ,https://api.spotify.com/v1/tracks/5kbeSwCyJr0eyQfby0xKcZ,https://api.spotify.com/v1/audio-analysis/5kbeSwCyJr0eyQfby0xKcZ,219000,4
恋するモダンガール,0.621,0.504,7,-5.624,1,0.0271,0.179,0.000155,0.135,0.699,122.097,audio_features,1LljtGKV1abiC7wE4dGi0u,spotify:track:1LljtGKV1abiC7wE4dGi0u,https://api.spotify.com/v1/tracks/1LljtGKV1abiC7wE4dGi0u,https://api.spotify.com/v1/audio-analysis/1LljtGKV1abiC7wE4dGi0u,254631,4
デートしようよ,0.738,0.489,8,-8.569,1,0.0305,0.655,0,0.0869,0.852,123.055,audio_features,4NN1LYDbZQ9phVy3SjthRa,spotify:track:4NN1LYDbZQ9phVy3SjthRa,https://api.spotify.com/v1/tracks/4NN1LYDbZQ9phVy3SjthRa,https://api.spotify.com/v1/audio-analysis/4NN1LYDbZQ9phVy3SjthRa,246900,4
Anything For You,0.594,0.581,2,-8.665,1,0.0294,0.238,2.23e-05,0.133,0.554,139.999,audio_features,073F9baKJEV3FWkbAqCFWe,spotify:track:073F9baKJEV3FWkbAqCFWe,https://api.spotify.com/v1/tracks/073F9baKJEV3FWkbAqCFWe,https://api.spotify.com/v1/audio-analysis/073F9baKJEV3FWkbAqCFWe,303300,4
Catch me,0.625,0.573,3,-5.966,1,0.0361,0.381,0,0.0928,0.553,120.995,audio_features,5DQrNN6P9VAtVUz1KjfRHA,spotify:track:5DQrNN6P9VAtVUz1KjfRHA,https://api.spotify.com/v1/tracks/5DQrNN6P9VAtVUz1KjfRHA,https://api.spotify.com/v1/audio-analysis/5DQrNN6P9VAtVUz1KjfRHA,284380,4
