name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
At Pace,0.538,0.808,7,-7.782,1,0.029,0.093,0.762,0.373,0.713,148.72,audio_features,2luT9VwCN6ObrUDLba9Nbl,spotify:track:2luT9VwCN6ObrUDLba9Nbl,https://api.spotify.com/v1/tracks/2luT9VwCN6ObrUDLba9Nbl,https://api.spotify.com/v1/audio-analysis/2luT9VwCN6ObrUDLba9Nbl,187707,4
Water Table,0.771,0.579,1,-10.678,0,0.0889,0.144,0.779,0.105,0.561,156.973,audio_features,1zLR3LLB3YoB4kv4kMIIBO,spotify:track:1zLR3LLB3YoB4kv4kMIIBO,https://api.spotify.com/v1/tracks/1zLR3LLB3YoB4kv4kMIIBO,https://api.spotify.com/v1/audio-analysis/1zLR3LLB3YoB4kv4kMIIBO,243693,4
Blank Curtain,0.654,0.71,6,-9.035,0,0.0319,0.512,0.888,0.141,0.398,119.902,audio_features,5TY7d3yQmsIad8NlwmuFvN,spotify:track:5TY7d3yQmsIad8NlwmuFvN,https://api.spotify.com/v1/tracks/5TY7d3yQmsIad8NlwmuFvN,https://api.spotify.com/v1/audio-analysis/5TY7d3yQmsIad8NlwmuFvN,229009,4
So Excited,0.566,0.738,7,-6.874,0,0.0279,0.0191,0.785,0.108,0.826,138.256,audio_features,1KNBPn9ixx9SS7IkRsDqdq,spotify:track:1KNBPn9ixx9SS7IkRsDqdq,https://api.spotify.com/v1/tracks/1KNBPn9ixx9SS7IkRsDqdq,https://api.spotify.com/v1/audio-analysis/1KNBPn9ixx9SS7IkRsDqdq,180040,4
Gossamer,0.54,0.771,11,-7.033,1,0.0246,0.128,0.85,0.124,0.457,94.986,audio_features,6QHAK9xyNC3MzQMItI1hFV,spotify:track:6QHAK9xyNC3MzQMItI1hFV,https://api.spotify.com/v1/tracks/6QHAK9xyNC3MzQMItI1hFV,https://api.spotify.com/v1/audio-analysis/6QHAK9xyNC3MzQMItI1hFV,198947,4
Fulton Park,0.688,0.727,6,-8.133,0,0.0406,0.0632,0.766,0.12,0.772,94.921,audio_features,6vbBJu0Tsx3nqrgVGydxKB,spotify:track:6vbBJu0Tsx3nqrgVGydxKB,https://api.spotify.com/v1/tracks/6vbBJu0Tsx3nqrgVGydxKB,https://api.spotify.com/v1/audio-analysis/6vbBJu0Tsx3nqrgVGydxKB,161627,4
Degree,0.509,0.873,11,-7.596,1,0.0322,5.24e-05,0.769,0.114,0.762,150.165,audio_features,0Ge830PIFQeaVR3na2ILrV,spotify:track:0Ge830PIFQeaVR3na2ILrV,https://api.spotify.com/v1/tracks/0Ge830PIFQeaVR3na2ILrV,https://api.spotify.com/v1/audio-analysis/0Ge830PIFQeaVR3na2ILrV,171947,4
Blank Curtain,0.648,0.693,9,-9.402,1,0.033,0.578,0.917,0.189,0.334,120.014,audio_features,5xW88iM27CVoQ0xj6b1JkS,spotify:track:5xW88iM27CVoQ0xj6b1JkS,https://api.spotify.com/v1/tracks/5xW88iM27CVoQ0xj6b1JkS,https://api.spotify.com/v1/audio-analysis/5xW88iM27CVoQ0xj6b1JkS,271333,4
Met Resistance,0.639,0.772,9,-7.656,1,0.0521,0.00619,0.402,0.0874,0.611,127.067,audio_features,2ilul3JhiFNHYUYosdYBVH,spotify:track:2ilul3JhiFNHYUYosdYBVH,https://api.spotify.com/v1/tracks/2ilul3JhiFNHYUYosdYBVH,https://api.spotify.com/v1/audio-analysis/2ilul3JhiFNHYUYosdYBVH,192947,4
Mint,0.46,0.782,5,-7.52,1,0.0274,0.039,0.763,0.26,0.66,83.533,audio_features,6ckBLlMF9U6IF9WJOv934m,spotify:track:6ckBLlMF9U6IF9WJOv934m,https://api.spotify.com/v1/tracks/6ckBLlMF9U6IF9WJOv934m,https://api.spotify.com/v1/audio-analysis/6ckBLlMF9U6IF9WJOv934m,203547,4
So Excited,0.566,0.738,7,-6.874,0,0.0279,0.0191,0.785,0.108,0.826,138.256,audio_features,5hm4OC3PJs0tEd7PdvtUkm,spotify:track:5hm4OC3PJs0tEd7PdvtUkm,https://api.spotify.com/v1/tracks/5hm4OC3PJs0tEd7PdvtUkm,https://api.spotify.com/v1/audio-analysis/5hm4OC3PJs0tEd7PdvtUkm,180040,4
Degree,0.509,0.873,11,-7.596,1,0.0322,5.24e-05,0.769,0.114,0.762,150.165,audio_features,6BiQ7dTpyQETmN2P22aSr3,spotify:track:6BiQ7dTpyQETmN2P22aSr3,https://api.spotify.com/v1/tracks/6BiQ7dTpyQETmN2P22aSr3,https://api.spotify.com/v1/audio-analysis/6BiQ7dTpyQETmN2P22aSr3,171947,4
