name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Be Happy,0.722,0.658,0,-4.94,1,0.119,0.208,0,0.249,0.592,87.004,audio_features,0I1O6cr5HgAGhcibdXxfDa,spotify:track:0I1O6cr5HgAGhcibdXxfDa,https://api.spotify.com/v1/tracks/0I1O6cr5HgAGhcibdXxfDa,https://api.spotify.com/v1/audio-analysis/0I1O6cr5HgAGhcibdXxfDa,198966,4
Shoulda Known Better,0.605,0.569,1,-7.025,0,0.0676,0.101,0,0.376,0.678,155.083,audio_features,46Of4tjqS7fVYtg8I7Tusm,spotify:track:46Of4tjqS7fVYtg8I7Tusm,https://api.spotify.com/v1/tracks/46Of4tjqS7fVYtg8I7Tusm,https://api.spotify.com/v1/audio-analysis/46Of4tjqS7fVYtg8I7Tusm,187155,4
Be Happy,0.722,0.658,0,-4.94,1,0.119,0.208,0,0.249,0.592,87.004,audio_features,1KVQBPyORdhfITlixROtvC,spotify:track:1KVQBPyORdhfITlixROtvC,https://api.spotify.com/v1/tracks/1KVQBPyORdhfITlixROtvC,https://api.spotify.com/v1/audio-analysis/1KVQBPyORdhfITlixROtvC,198966,4
Fallout,0.656,0.773,0,-5.823,0,0.0389,0.436,0.000304,0.079,0.604,159.894,audio_features,0liKxHwu21DPmQZEpFdQWx,spotify:track:0liKxHwu21DPmQZEpFdQWx,https://api.spotify.com/v1/tracks/0liKxHwu21DPmQZEpFdQWx,https://api.spotify.com/v1/audio-analysis/0liKxHwu21DPmQZEpFdQWx,173364,4
One Whole Day (feat. Wiz Khalifa),0.64,0.863,5,-4.002,1,0.0322,0.038,0,0.294,0.725,81.003,audio_features,4eHceQL93Re1ZiaY7kRZ7F,spotify:track:4eHceQL93Re1ZiaY7kRZ7F,https://api.spotify.com/v1/tracks/4eHceQL93Re1ZiaY7kRZ7F,https://api.spotify.com/v1/audio-analysis/4eHceQL93Re1ZiaY7kRZ7F,176854,4
FUCKBOY,0.759,0.475,8,-7.226,1,0.0443,0.205,0,0.085,0.505,89.471,audio_features,1AXJqw8lCf3chqvgq4U8mA,spotify:track:1AXJqw8lCf3chqvgq4U8mA,https://api.spotify.com/v1/tracks/1AXJqw8lCf3chqvgq4U8mA,https://api.spotify.com/v1/audio-analysis/1AXJqw8lCf3chqvgq4U8mA,190347,4
Model,0.462,0.214,6,-10.358,0,0.0517,0.677,0,0.115,0.294,75.604,audio_features,6rYFtzhltf6IaEuO2JZv9C,spotify:track:6rYFtzhltf6IaEuO2JZv9C,https://api.spotify.com/v1/tracks/6rYFtzhltf6IaEuO2JZv9C,https://api.spotify.com/v1/audio-analysis/6rYFtzhltf6IaEuO2JZv9C,102430,1
Psycho (feat. Rubi Rose),0.874,0.563,11,-6.585,0,0.213,0.0427,0,0.196,0.781,101.918,audio_features,3Q872ol7VFg088SkbxSuqO,spotify:track:3Q872ol7VFg088SkbxSuqO,https://api.spotify.com/v1/tracks/3Q872ol7VFg088SkbxSuqO,https://api.spotify.com/v1/audio-analysis/3Q872ol7VFg088SkbxSuqO,150760,4
Girlfriend,0.533,0.602,11,-5.895,0,0.0839,0.168,0,0.34,0.742,203.831,audio_features,1urpO05rbKoCoRIvTsrPDe,spotify:track:1urpO05rbKoCoRIvTsrPDe,https://api.spotify.com/v1/tracks/1urpO05rbKoCoRIvTsrPDe,https://api.spotify.com/v1/audio-analysis/1urpO05rbKoCoRIvTsrPDe,184621,4
Be Happy,0.722,0.661,0,-4.912,1,0.113,0.241,0,0.204,0.555,86.989,audio_features,366aqANsFhDMkDDQpBVjnI,spotify:track:366aqANsFhDMkDDQpBVjnI,https://api.spotify.com/v1/tracks/366aqANsFhDMkDDQpBVjnI,https://api.spotify.com/v1/audio-analysis/366aqANsFhDMkDDQpBVjnI,198966,4
Stuck,0.608,0.635,7,-6.393,1,0.035,0.0995,0,0.0717,0.157,97.231,audio_features,3wvVklcU1dghofnavSdLiZ,spotify:track:3wvVklcU1dghofnavSdLiZ,https://api.spotify.com/v1/tracks/3wvVklcU1dghofnavSdLiZ,https://api.spotify.com/v1/audio-analysis/3wvVklcU1dghofnavSdLiZ,121590,3
Be Happy - Remix,0.576,0.749,9,-3.612,0,0.0522,0.0124,1.12e-06,0.12,0.343,173.969,audio_features,3JwghlOgXpcxFHDEbfvaYL,spotify:track:3JwghlOgXpcxFHDEbfvaYL,https://api.spotify.com/v1/tracks/3JwghlOgXpcxFHDEbfvaYL,https://api.spotify.com/v1/audio-analysis/3JwghlOgXpcxFHDEbfvaYL,191578,4
The Real Thing,0.644,0.623,7,-7.757,1,0.0615,0.211,0.00049,0.148,0.351,174.069,audio_features,6dQouK9atua68vEQrnIwf8,spotify:track:6dQouK9atua68vEQrnIwf8,https://api.spotify.com/v1/tracks/6dQouK9atua68vEQrnIwf8,https://api.spotify.com/v1/audio-analysis/6dQouK9atua68vEQrnIwf8,173920,4
Roommates,0.657,0.661,9,-4.86,1,0.137,0.328,0,0.354,0.342,87.985,audio_features,6Yqthq1zzVpynLPBb457I7,spotify:track:6Yqthq1zzVpynLPBb457I7,https://api.spotify.com/v1/tracks/6Yqthq1zzVpynLPBb457I7,https://api.spotify.com/v1/audio-analysis/6Yqthq1zzVpynLPBb457I7,203011,4
Be Happy (Dillon Francis Remix),0.699,0.893,9,-5.759,0,0.0349,0.0628,0.00698,0.0694,0.625,123.988,audio_features,2pu9gu7pj9mCotXyn4MBjf,spotify:track:2pu9gu7pj9mCotXyn4MBjf,https://api.spotify.com/v1/tracks/2pu9gu7pj9mCotXyn4MBjf,https://api.spotify.com/v1/audio-analysis/2pu9gu7pj9mCotXyn4MBjf,142588,4
Someone to Blame,0.643,0.62,11,-5.396,0,0.0311,0.0101,0,0.358,0.456,77.972,audio_features,7xCrXGPDHKYHIyPOaDAv8Q,spotify:track:7xCrXGPDHKYHIyPOaDAv8Q,https://api.spotify.com/v1/tracks/7xCrXGPDHKYHIyPOaDAv8Q,https://api.spotify.com/v1/audio-analysis/7xCrXGPDHKYHIyPOaDAv8Q,200031,4
a letter to me,0.596,0.33,6,-8.473,1,0.0346,0.666,4.6e-05,0.108,0.0482,130.096,audio_features,2QZYn3Tn0BUiLdqs5CtVL7,spotify:track:2QZYn3Tn0BUiLdqs5CtVL7,https://api.spotify.com/v1/tracks/2QZYn3Tn0BUiLdqs5CtVL7,https://api.spotify.com/v1/audio-analysis/2QZYn3Tn0BUiLdqs5CtVL7,210247,4
Wild,0.563,0.773,2,-5.27,1,0.0448,0.184,0,0.132,0.624,95.059,audio_features,6fdM92yssoC15BvbdWZ1RZ,spotify:track:6fdM92yssoC15BvbdWZ1RZ,https://api.spotify.com/v1/tracks/6fdM92yssoC15BvbdWZ1RZ,https://api.spotify.com/v1/audio-analysis/6fdM92yssoC15BvbdWZ1RZ,139181,4
Both Ways (feat. Stephen Kirk),0.803,0.505,11,-6.471,1,0.063,0.435,1e-05,0.106,0.514,131.981,audio_features,44VtzWV3PK4XecVyt4Ropv,spotify:track:44VtzWV3PK4XecVyt4Ropv,https://api.spotify.com/v1/tracks/44VtzWV3PK4XecVyt4Ropv,https://api.spotify.com/v1/audio-analysis/44VtzWV3PK4XecVyt4Ropv,136473,4
Bye2You,0.597,0.894,2,-5.59,1,0.265,0.0862,0,0.33,0.567,91.119,audio_features,4gHoZvxbtzzH5cg3B2L6lv,spotify:track:4gHoZvxbtzzH5cg3B2L6lv,https://api.spotify.com/v1/tracks/4gHoZvxbtzzH5cg3B2L6lv,https://api.spotify.com/v1/audio-analysis/4gHoZvxbtzzH5cg3B2L6lv,144815,4
On Your Toes,0.766,0.625,9,-5.465,0,0.0499,0.0844,0,0.114,0.717,135.039,audio_features,7rRUpkNAIZujjgWPua8XfG,spotify:track:7rRUpkNAIZujjgWPua8XfG,https://api.spotify.com/v1/tracks/7rRUpkNAIZujjgWPua8XfG,https://api.spotify.com/v1/audio-analysis/7rRUpkNAIZujjgWPua8XfG,142541,4
Last Words,0.619,0.671,9,-6.067,1,0.0478,0.0562,0,0.0674,0.199,157.915,audio_features,1D8ElCqJXKQjS5GSuJrSfX,spotify:track:1D8ElCqJXKQjS5GSuJrSfX,https://api.spotify.com/v1/tracks/1D8ElCqJXKQjS5GSuJrSfX,https://api.spotify.com/v1/audio-analysis/1D8ElCqJXKQjS5GSuJrSfX,162301,4
Wild,0.563,0.773,2,-5.27,1,0.0448,0.184,0,0.132,0.624,95.059,audio_features,0yBZ0uyGRXehekIIadZ3Cd,spotify:track:0yBZ0uyGRXehekIIadZ3Cd,https://api.spotify.com/v1/tracks/0yBZ0uyGRXehekIIadZ3Cd,https://api.spotify.com/v1/audio-analysis/0yBZ0uyGRXehekIIadZ3Cd,139181,4
Not Enough,0.785,0.893,2,-4.664,1,0.0771,0.248,1.74e-05,0.175,0.88,120.061,audio_features,6n0P9oWc4cArhlpLP27REs,spotify:track:6n0P9oWc4cArhlpLP27REs,https://api.spotify.com/v1/tracks/6n0P9oWc4cArhlpLP27REs,https://api.spotify.com/v1/audio-analysis/6n0P9oWc4cArhlpLP27REs,118340,4
Who I Am (Interlude),0.416,0.499,11,-12.523,1,0.329,0.901,0.00278,0.232,0.329,149.423,audio_features,2z53h7px7F5wgSd0Ib0I70,spotify:track:2z53h7px7F5wgSd0Ib0I70,https://api.spotify.com/v1/tracks/2z53h7px7F5wgSd0Ib0I70,https://api.spotify.com/v1/audio-analysis/2z53h7px7F5wgSd0Ib0I70,95943,4
