name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Untitled 2,0.803,0.516,11,-7.196,0,0.293,0.348,0.000152,0.363,0.491,81.505,audio_features,1karlg3DCNlV9RPecV1alw,spotify:track:1karlg3DCNlV9RPecV1alw,https://api.spotify.com/v1/tracks/1karlg3DCNlV9RPecV1alw,https://api.spotify.com/v1/audio-analysis/1karlg3DCNlV9RPecV1alw,204663,4
Dhoon,0.821,0.886,1,-5.825,1,0.111,0.521,0,0.137,0.768,95.494,audio_features,24U3M6HgTlpv79E2YQuB7W,spotify:track:24U3M6HgTlpv79E2YQuB7W,https://api.spotify.com/v1/tracks/24U3M6HgTlpv79E2YQuB7W,https://api.spotify.com/v1/audio-analysis/24U3M6HgTlpv79E2YQuB7W,188482,4
Killshot,0.74,0.785,7,-6.031,0,0.364,0.281,0,0.111,0.622,106.109,audio_features,2uhFAYc00Q0cUj07hLNrE6,spotify:track:2uhFAYc00Q0cUj07hLNrE6,https://api.spotify.com/v1/tracks/2uhFAYc00Q0cUj07hLNrE6,https://api.spotify.com/v1/audio-analysis/2uhFAYc00Q0cUj07hLNrE6,228620,4
Sakdina,0.56,0.421,9,-10.74,1,0.198,0.317,1.17e-06,0.0927,0.27,199.951,audio_features,4haeL2OJxi5g2gACRfU9UL,spotify:track:4haeL2OJxi5g2gACRfU9UL,https://api.spotify.com/v1/tracks/4haeL2OJxi5g2gACRfU9UL,https://api.spotify.com/v1/audio-analysis/4haeL2OJxi5g2gACRfU9UL,260963,5
Chalachitra,0.769,0.632,1,-5.838,1,0.0815,0.284,0,0.106,0.206,90.004,audio_features,2NdoYCAOIxg1gwQAe1DO4h,spotify:track:2NdoYCAOIxg1gwQAe1DO4h,https://api.spotify.com/v1/tracks/2NdoYCAOIxg1gwQAe1DO4h,https://api.spotify.com/v1/audio-analysis/2NdoYCAOIxg1gwQAe1DO4h,250667,4
Badi Rakh Agadi,0.872,0.855,0,-7.445,1,0.0977,0.407,0,0.117,0.699,93.016,audio_features,1Ny6U3bNlpENmdgmE06U4m,spotify:track:1Ny6U3bNlpENmdgmE06U4m,https://api.spotify.com/v1/tracks/1Ny6U3bNlpENmdgmE06U4m,https://api.spotify.com/v1/audio-analysis/1Ny6U3bNlpENmdgmE06U4m,144516,4
AMSBF,0.833,0.581,6,-7.72,0,0.337,0.192,0,0.137,0.454,145.044,audio_features,0zWCMfGdc9vmtldQWhACmQ,spotify:track:0zWCMfGdc9vmtldQWhACmQ,https://api.spotify.com/v1/tracks/0zWCMfGdc9vmtldQWhACmQ,https://api.spotify.com/v1/audio-analysis/0zWCMfGdc9vmtldQWhACmQ,221802,4
Chitra,0.808,0.797,5,-7.722,0,0.338,0.605,0,0.1,0.565,89.951,audio_features,5SBZ08KMsmdR8v55VsS3LP,spotify:track:5SBZ08KMsmdR8v55VsS3LP,https://api.spotify.com/v1/tracks/5SBZ08KMsmdR8v55VsS3LP,https://api.spotify.com/v1/audio-analysis/5SBZ08KMsmdR8v55VsS3LP,192007,4
Luki Rakh,0.762,0.822,1,-8.138,0,0.131,0.082,1.62e-05,0.105,0.323,135.021,audio_features,5RXm3ZRBc1pvyIeI9JDpFG,spotify:track:5RXm3ZRBc1pvyIeI9JDpFG,https://api.spotify.com/v1/tracks/5RXm3ZRBc1pvyIeI9JDpFG,https://api.spotify.com/v1/audio-analysis/5RXm3ZRBc1pvyIeI9JDpFG,170671,4
Sapana Pura,0.868,0.677,0,-5.473,0,0.177,0.362,4.73e-06,0.0742,0.68,130.102,audio_features,7538xU1ZZ2xOmSy3oMH9N6,spotify:track:7538xU1ZZ2xOmSy3oMH9N6,https://api.spotify.com/v1/tracks/7538xU1ZZ2xOmSy3oMH9N6,https://api.spotify.com/v1/audio-analysis/7538xU1ZZ2xOmSy3oMH9N6,254769,4
