name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Pray,0.673,0.435,8,-8.721,1,0.0349,0.155,0.000291,0.109,0.271,74.998,audio_features,7eT4J5VCBZFBR6vDnKlfn5,spotify:track:7eT4J5VCBZFBR6vDnKlfn5,https://api.spotify.com/v1/tracks/7eT4J5VCBZFBR6vDnKlfn5,https://api.spotify.com/v1/audio-analysis/7eT4J5VCBZFBR6vDnKlfn5,182400,4
Addictions,0.777,0.819,0,-7.358,1,0.102,0.0198,0.0123,0.0897,0.565,133.986,audio_features,68jmZfmVhudEYlVrTxCP8r,spotify:track:68jmZfmVhudEYlVrTxCP8r,https://api.spotify.com/v1/tracks/68jmZfmVhudEYlVrTxCP8r,https://api.spotify.com/v1/audio-analysis/68jmZfmVhudEYlVrTxCP8r,157612,4
Promises,0.6,0.535,1,-6.345,1,0.0361,0.0271,0.00158,0.0904,0.349,160.013,audio_features,6ZE4pRtvE2MwAJAE7006EA,spotify:track:6ZE4pRtvE2MwAJAE7006EA,https://api.spotify.com/v1/tracks/6ZE4pRtvE2MwAJAE7006EA,https://api.spotify.com/v1/audio-analysis/6ZE4pRtvE2MwAJAE7006EA,182250,3
Don't Mess With My Mind,0.662,0.375,11,-9.85,0,0.0411,0.16,0.192,0.105,0.0957,139.987,audio_features,3F2NWpd6VmdHWWL6RhXlHs,spotify:track:3F2NWpd6VmdHWWL6RhXlHs,https://api.spotify.com/v1/tracks/3F2NWpd6VmdHWWL6RhXlHs,https://api.spotify.com/v1/audio-analysis/3F2NWpd6VmdHWWL6RhXlHs,197143,4
365 Days,0.441,0.231,9,-11.601,0,0.0288,0.691,3.11e-06,0.108,0.209,165.892,audio_features,6YITon2rsFDlRrZilwMsRN,spotify:track:6YITon2rsFDlRrZilwMsRN,https://api.spotify.com/v1/tracks/6YITon2rsFDlRrZilwMsRN,https://api.spotify.com/v1/audio-analysis/6YITon2rsFDlRrZilwMsRN,160482,3
Dancing With The Devil,0.582,0.725,8,-6.138,0,0.0628,0.0137,0.0038,0.0727,0.388,152.117,audio_features,2otD1RYW4Qh0NLxYn3wGUS,spotify:track:2otD1RYW4Qh0NLxYn3wGUS,https://api.spotify.com/v1/tracks/2otD1RYW4Qh0NLxYn3wGUS,https://api.spotify.com/v1/audio-analysis/2otD1RYW4Qh0NLxYn3wGUS,118421,3
Someday,0.475,0.303,1,-11.093,0,0.0367,0.679,0.00269,0.121,0.0681,144.975,audio_features,3nG81eSVXbRwxTp1UFLCqW,spotify:track:3nG81eSVXbRwxTp1UFLCqW,https://api.spotify.com/v1/tracks/3nG81eSVXbRwxTp1UFLCqW,https://api.spotify.com/v1/audio-analysis/3nG81eSVXbRwxTp1UFLCqW,225103,4
On It,0.496,0.247,4,-13.65,0,0.0401,0.829,0.0812,0.108,0.0997,139.216,audio_features,5asNFwe1ZwlW3jTjPk7k6j,spotify:track:5asNFwe1ZwlW3jTjPk7k6j,https://api.spotify.com/v1/tracks/5asNFwe1ZwlW3jTjPk7k6j,https://api.spotify.com/v1/audio-analysis/5asNFwe1ZwlW3jTjPk7k6j,174857,4
"Forgive Me - from the movie ""Heaven In Hell""",0.419,0.167,7,-15.22,1,0.0361,0.952,0.00043,0.098,0.145,166.163,audio_features,0gc9nY2Ljox59wFvT5iPu4,spotify:track:0gc9nY2Ljox59wFvT5iPu4,https://api.spotify.com/v1/tracks/0gc9nY2Ljox59wFvT5iPu4,https://api.spotify.com/v1/audio-analysis/0gc9nY2Ljox59wFvT5iPu4,134458,3
Call My Name,0.606,0.376,8,-12.299,1,0.0391,0.25,0,0.0789,0.134,120.078,audio_features,663RZWzNflSuQb2K1BO3Rp,spotify:track:663RZWzNflSuQb2K1BO3Rp,https://api.spotify.com/v1/tracks/663RZWzNflSuQb2K1BO3Rp,https://api.spotify.com/v1/audio-analysis/663RZWzNflSuQb2K1BO3Rp,256000,4
Champions League,0.836,0.608,6,-9.613,0,0.26,0.268,0.000967,0.106,0.722,141.985,audio_features,7opi20rHG8UCNLGp2rcNOw,spotify:track:7opi20rHG8UCNLGp2rcNOw,https://api.spotify.com/v1/tracks/7opi20rHG8UCNLGp2rcNOw,https://api.spotify.com/v1/audio-analysis/7opi20rHG8UCNLGp2rcNOw,138434,4
All Alone,0.605,0.451,2,-9.275,0,0.0611,0.361,0.0456,0.105,0.322,159.788,audio_features,0KkZc840i3ZwDw1RvabPKr,spotify:track:0KkZc840i3ZwDw1RvabPKr,https://api.spotify.com/v1/tracks/0KkZc840i3ZwDw1RvabPKr,https://api.spotify.com/v1/audio-analysis/0KkZc840i3ZwDw1RvabPKr,156000,4
Call My Name,0.606,0.376,8,-12.299,1,0.0391,0.25,0,0.0789,0.134,120.078,audio_features,0l7j33y9qlaVlQW66H5ZW9,spotify:track:0l7j33y9qlaVlQW66H5ZW9,https://api.spotify.com/v1/tracks/0l7j33y9qlaVlQW66H5ZW9,https://api.spotify.com/v1/audio-analysis/0l7j33y9qlaVlQW66H5ZW9,256000,4
On Me,0.802,0.686,1,-5.912,1,0.135,0.0606,0.0117,0.095,0.205,92.01,audio_features,66FLxBtY6ZJK6v0mQDrhK5,spotify:track:66FLxBtY6ZJK6v0mQDrhK5,https://api.spotify.com/v1/tracks/66FLxBtY6ZJK6v0mQDrhK5,https://api.spotify.com/v1/audio-analysis/66FLxBtY6ZJK6v0mQDrhK5,130435,4
Keine Panik,0.881,0.549,9,-9.951,0,0.187,0.578,4.81e-06,0.109,0.406,99.813,audio_features,0jhFWUu6Qz8FjLnPLLmE9O,spotify:track:0jhFWUu6Qz8FjLnPLLmE9O,https://api.spotify.com/v1/tracks/0jhFWUu6Qz8FjLnPLLmE9O,https://api.spotify.com/v1/audio-analysis/0jhFWUu6Qz8FjLnPLLmE9O,153600,4
