name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
糸,0.445,0.426,7,-8.227,1,0.0293,0.474,4.63e-05,0.0879,0.387,70.001,audio_features,1aFORO3mXH1BqPjE4OMwuS,spotify:track:1aFORO3mXH1BqPjE4OMwuS,https://api.spotify.com/v1/tracks/1aFORO3mXH1BqPjE4OMwuS,https://api.spotify.com/v1/audio-analysis/1aFORO3mXH1BqPjE4OMwuS,253840,4
いつかきっと・・・,0.61,0.338,9,-6.375,1,0.0329,0.858,0,0.102,0.286,127.872,audio_features,4J5oj5WxDe7y2ZP6BYOqPi,spotify:track:4J5oj5WxDe7y2ZP6BYOqPi,https://api.spotify.com/v1/tracks/4J5oj5WxDe7y2ZP6BYOqPi,https://api.spotify.com/v1/audio-analysis/4J5oj5WxDe7y2ZP6BYOqPi,249680,4
糸 - TRADITIONAL BEST ver.,0.419,0.369,7,-10.009,1,0.0285,0.516,2.5e-05,0.0869,0.406,69.976,audio_features,6uEgX5AIUszfSSIeeVtVBX,spotify:track:6uEgX5AIUszfSSIeeVtVBX,https://api.spotify.com/v1/tracks/6uEgX5AIUszfSSIeeVtVBX,https://api.spotify.com/v1/audio-analysis/6uEgX5AIUszfSSIeeVtVBX,253787,4
Precious Love,0.493,0.531,1,-6.413,1,0.0283,0.0278,0,0.123,0.186,115.929,audio_features,6JGRorM8ltDHGAoj6hruak,spotify:track:6JGRorM8ltDHGAoj6hruak,https://api.spotify.com/v1/tracks/6JGRorM8ltDHGAoj6hruak,https://api.spotify.com/v1/audio-analysis/6JGRorM8ltDHGAoj6hruak,358227,3
言葉にできない,0.334,0.254,3,-8.616,1,0.0316,0.935,0,0.0851,0.257,141.454,audio_features,4T8OMNH9d1U2Ui7vMuN65G,spotify:track:4T8OMNH9d1U2Ui7vMuN65G,https://api.spotify.com/v1/tracks/4T8OMNH9d1U2Ui7vMuN65G,https://api.spotify.com/v1/audio-analysis/4T8OMNH9d1U2Ui7vMuN65G,255053,4
青い龍,0.464,0.819,5,-4.759,0,0.0451,0.00712,0,0.378,0.231,88.101,audio_features,2nugwVzNHiL3yzrq6WeH4Y,spotify:track:2nugwVzNHiL3yzrq6WeH4Y,https://api.spotify.com/v1/tracks/2nugwVzNHiL3yzrq6WeH4Y,https://api.spotify.com/v1/audio-analysis/2nugwVzNHiL3yzrq6WeH4Y,312573,4
Eternal...,0.324,0.433,9,-7.093,1,0.0277,0.44,2.95e-06,0.127,0.35,179.892,audio_features,1doI2h0oz6ipKHJHwdjTTG,spotify:track:1doI2h0oz6ipKHJHwdjTTG,https://api.spotify.com/v1/tracks/1doI2h0oz6ipKHJHwdjTTG,https://api.spotify.com/v1/audio-analysis/1doI2h0oz6ipKHJHwdjTTG,360933,4
Interlude,0.198,0.872,8,-30.752,1,0.185,0.497,0.897,0.204,0.0263,60.045,audio_features,3gcfdXP6wf4mKRNGBUfc7J,spotify:track:3gcfdXP6wf4mKRNGBUfc7J,https://api.spotify.com/v1/tracks/3gcfdXP6wf4mKRNGBUfc7J,https://api.spotify.com/v1/audio-analysis/3gcfdXP6wf4mKRNGBUfc7J,30973,3
雪化粧,0.279,0.377,2,-7.481,1,0.0284,0.705,0,0.133,0.261,149.912,audio_features,56S4hKEMcEzYg1pNIwUFlr,spotify:track:56S4hKEMcEzYg1pNIwUFlr,https://api.spotify.com/v1/tracks/56S4hKEMcEzYg1pNIwUFlr,https://api.spotify.com/v1/audio-analysis/56S4hKEMcEzYg1pNIwUFlr,356777,4
いつかきっと・・・,0.603,0.337,9,-6.631,1,0.0326,0.862,0,0.102,0.271,127.86,audio_features,0Pdty3Eavkv2JEmQVSUjB0,spotify:track:0Pdty3Eavkv2JEmQVSUjB0,https://api.spotify.com/v1/tracks/0Pdty3Eavkv2JEmQVSUjB0,https://api.spotify.com/v1/audio-analysis/0Pdty3Eavkv2JEmQVSUjB0,250293,4
