name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Paradise (Stay Forever),0.428,0.668,0,-8.702,1,0.0461,0.00573,6.81e-06,0.163,0.294,199.845,audio_features,3Ler45VVrDEs6fdnssOzEz,spotify:track:3Ler45VVrDEs6fdnssOzEz,https://api.spotify.com/v1/tracks/3Ler45VVrDEs6fdnssOzEz,https://api.spotify.com/v1/audio-analysis/3Ler45VVrDEs6fdnssOzEz,270000,4
Full Burn,0.578,0.96,10,-7.786,0,0.0718,1.82e-05,0.395,0.25,0.62,126.004,audio_features,76A3nlJLv5Sj85nHBHR5FX,spotify:track:76A3nlJLv5Sj85nHBHR5FX,https://api.spotify.com/v1/tracks/76A3nlJLv5Sj85nHBHR5FX,https://api.spotify.com/v1/audio-analysis/76A3nlJLv5Sj85nHBHR5FX,218625,4
Misunderstand,0.602,0.621,6,-10.084,0,0.0308,0.163,0.932,0.137,0.41,108.014,audio_features,3qc1cpY8fF6yiPxmUnkDfG,spotify:track:3qc1cpY8fF6yiPxmUnkDfG,https://api.spotify.com/v1/tracks/3qc1cpY8fF6yiPxmUnkDfG,https://api.spotify.com/v1/audio-analysis/3qc1cpY8fF6yiPxmUnkDfG,225150,4
Lady Blue,0.549,0.826,8,-8.468,0,0.0445,0.00203,0.822,0.326,0.524,89.953,audio_features,2MkYkyPeU5qTpPIDjX1EEd,spotify:track:2MkYkyPeU5qTpPIDjX1EEd,https://api.spotify.com/v1/tracks/2MkYkyPeU5qTpPIDjX1EEd,https://api.spotify.com/v1/audio-analysis/2MkYkyPeU5qTpPIDjX1EEd,241200,4
Go! Go! Style,0.579,0.787,8,-8.249,1,0.0304,2.1e-05,0.82,0.0656,0.826,111.992,audio_features,3ic1oUvwxeJYnmh3kD2JxZ,spotify:track:3ic1oUvwxeJYnmh3kD2JxZ,https://api.spotify.com/v1/tracks/3ic1oUvwxeJYnmh3kD2JxZ,https://api.spotify.com/v1/audio-analysis/3ic1oUvwxeJYnmh3kD2JxZ,198600,4
Vanguard - X2,0.447,0.988,2,-7.156,1,0.181,8.3e-06,0.757,0.293,0.039,163.046,audio_features,0RrEFNdiAiXo72ejqSplNq,spotify:track:0RrEFNdiAiXo72ejqSplNq,https://api.spotify.com/v1/tracks/0RrEFNdiAiXo72ejqSplNq,https://api.spotify.com/v1/audio-analysis/0RrEFNdiAiXo72ejqSplNq,103344,4
Adria,0.765,0.783,1,-8.408,1,0.0545,0.0749,0.952,0.389,0.554,119.991,audio_features,7w6sXhWhqCekZplE5XhX6K,spotify:track:7w6sXhWhqCekZplE5XhX6K,https://api.spotify.com/v1/tracks/7w6sXhWhqCekZplE5XhX6K,https://api.spotify.com/v1/audio-analysis/7w6sXhWhqCekZplE5XhX6K,251000,4
Vanguard - X1,0.496,0.92,5,-7.369,0,0.0937,4.94e-05,0.6,0.251,0.407,163.034,audio_features,3qYEMBo7btyxLQQnWYeDBV,spotify:track:3qYEMBo7btyxLQQnWYeDBV,https://api.spotify.com/v1/tracks/3qYEMBo7btyxLQQnWYeDBV,https://api.spotify.com/v1/audio-analysis/3qYEMBo7btyxLQQnWYeDBV,237438,4
ZZ,0.53,0.939,11,-7.359,1,0.0549,3.29e-05,0.873,0.182,0.711,119.995,audio_features,2NIfE8Ol7lvbmGMsF524Ng,spotify:track:2NIfE8Ol7lvbmGMsF524Ng,https://api.spotify.com/v1/tracks/2NIfE8Ol7lvbmGMsF524Ng,https://api.spotify.com/v1/audio-analysis/2NIfE8Ol7lvbmGMsF524Ng,244625,4
Zeta (RE),0.539,0.927,10,-7.936,0,0.0492,4.24e-05,0.222,0.0828,0.599,130.004,audio_features,65M5FTQZWPfvsH3shR8KQF,spotify:track:65M5FTQZWPfvsH3shR8KQF,https://api.spotify.com/v1/tracks/65M5FTQZWPfvsH3shR8KQF,https://api.spotify.com/v1/audio-analysis/65M5FTQZWPfvsH3shR8KQF,179000,4
Formula,0.565,0.918,5,-8.032,0,0.0366,0.000291,0.922,0.141,0.47,103.002,audio_features,7AorkXbycJdTp83W9P4D4u,spotify:track:7AorkXbycJdTp83W9P4D4u,https://api.spotify.com/v1/tracks/7AorkXbycJdTp83W9P4D4u,https://api.spotify.com/v1/audio-analysis/7AorkXbycJdTp83W9P4D4u,254875,4
Unlimited∞Luv,0.68,0.832,1,-7.903,1,0.0332,0.00256,0.867,0.112,0.839,120.012,audio_features,2MQFV46Tx9kKbJPy8LeEfp,spotify:track:2MQFV46Tx9kKbJPy8LeEfp,https://api.spotify.com/v1/tracks/2MQFV46Tx9kKbJPy8LeEfp,https://api.spotify.com/v1/audio-analysis/2MQFV46Tx9kKbJPy8LeEfp,266700,4
Beastmode,0.708,0.825,1,-6.771,1,0.0482,0.000926,0.653,0.102,0.309,145.077,audio_features,5vYQpxkQkWhOj7tx44byhk,spotify:track:5vYQpxkQkWhOj7tx44byhk,https://api.spotify.com/v1/tracks/5vYQpxkQkWhOj7tx44byhk,https://api.spotify.com/v1/audio-analysis/5vYQpxkQkWhOj7tx44byhk,279786,4
To The Heart [Vocal Version],0.643,0.708,10,-7.869,0,0.0274,0.00085,8.23e-05,0.122,0.716,114.008,audio_features,46LJhhGhkCrWQ4ftmbFkNO,spotify:track:46LJhhGhkCrWQ4ftmbFkNO,https://api.spotify.com/v1/tracks/46LJhhGhkCrWQ4ftmbFkNO,https://api.spotify.com/v1/audio-analysis/46LJhhGhkCrWQ4ftmbFkNO,246750,4
Breeze With U,0.673,0.444,4,-10.791,0,0.0285,0.201,0.646,0.0827,0.415,96.989,audio_features,1KAPcGUr0frKjvFO39cAoj,spotify:track:1KAPcGUr0frKjvFO39cAoj,https://api.spotify.com/v1/tracks/1KAPcGUr0frKjvFO39cAoj,https://api.spotify.com/v1/audio-analysis/1KAPcGUr0frKjvFO39cAoj,243300,4
Roacher,0.81,0.832,1,-10.891,1,0.0819,0.0112,0.83,0.136,0.417,142.0,audio_features,60Lt5nS9YZ4lWVGnoouGMZ,spotify:track:60Lt5nS9YZ4lWVGnoouGMZ,https://api.spotify.com/v1/tracks/60Lt5nS9YZ4lWVGnoouGMZ,https://api.spotify.com/v1/audio-analysis/60Lt5nS9YZ4lWVGnoouGMZ,311564,4
The Lemegeton Bop,0.713,0.792,10,-8.299,0,0.0409,0.00688,0.926,0.0539,0.966,107.986,audio_features,3gvkwvKEe5YPNOMOUjpDJ4,spotify:track:3gvkwvKEe5YPNOMOUjpDJ4,https://api.spotify.com/v1/tracks/3gvkwvKEe5YPNOMOUjpDJ4,https://api.spotify.com/v1/audio-analysis/3gvkwvKEe5YPNOMOUjpDJ4,149250,4
Knife & Crystal,0.734,0.714,3,-10.43,1,0.034,0.147,0.883,0.286,0.503,120.016,audio_features,0BDzaL1232HEArcmcYrK1h,spotify:track:0BDzaL1232HEArcmcYrK1h,https://api.spotify.com/v1/tracks/0BDzaL1232HEArcmcYrK1h,https://api.spotify.com/v1/audio-analysis/0BDzaL1232HEArcmcYrK1h,163800,4
Moonrise Rapture,0.39,0.51,8,-13.599,0,0.0318,0.00393,0.959,0.279,0.213,120.023,audio_features,5cp9gocOCpE4RaKaYlDPes,spotify:track:5cp9gocOCpE4RaKaYlDPes,https://api.spotify.com/v1/tracks/5cp9gocOCpE4RaKaYlDPes,https://api.spotify.com/v1/audio-analysis/5cp9gocOCpE4RaKaYlDPes,43125,4
Midori Eyes,0.611,0.661,8,-7.051,1,0.0274,0.0202,0.866,0.0939,0.739,99.015,audio_features,70iQM9npKMbIvdLLcIAG88,spotify:track:70iQM9npKMbIvdLLcIAG88,https://api.spotify.com/v1/tracks/70iQM9npKMbIvdLLcIAG88,https://api.spotify.com/v1/audio-analysis/70iQM9npKMbIvdLLcIAG88,222600,4
Christmas With U,0.64,0.44,4,-10.519,0,0.0257,0.105,0.332,0.156,0.485,96.994,audio_features,5Vek3cIVGtHpB4CWFo3SIn,spotify:track:5Vek3cIVGtHpB4CWFo3SIn,https://api.spotify.com/v1/tracks/5Vek3cIVGtHpB4CWFo3SIn,https://api.spotify.com/v1/audio-analysis/5Vek3cIVGtHpB4CWFo3SIn,242250,4
Ego 24-7,0.689,0.687,1,-7.244,1,0.0274,0.0074,0.794,0.11,0.59,107.993,audio_features,45MLNqVy9fRPsAtpbwPRSR,spotify:track:45MLNqVy9fRPsAtpbwPRSR,https://api.spotify.com/v1/tracks/45MLNqVy9fRPsAtpbwPRSR,https://api.spotify.com/v1/audio-analysis/45MLNqVy9fRPsAtpbwPRSR,254400,4
Idle Lands,0.536,0.371,7,-22.665,1,0.0345,0.892,0.879,0.11,0.533,99.952,audio_features,1f05UBpB8eoowbYTCgAwqw,spotify:track:1f05UBpB8eoowbYTCgAwqw,https://api.spotify.com/v1/tracks/1f05UBpB8eoowbYTCgAwqw,https://api.spotify.com/v1/audio-analysis/1f05UBpB8eoowbYTCgAwqw,159600,4
Transit (Empyrean),0.132,0.371,0,-12.919,1,0.0374,0.732,0.251,0.0986,0.0341,178.634,audio_features,4wigMJAOBrAlqE7awGuJGc,spotify:track:4wigMJAOBrAlqE7awGuJGc,https://api.spotify.com/v1/tracks/4wigMJAOBrAlqE7awGuJGc,https://api.spotify.com/v1/audio-analysis/4wigMJAOBrAlqE7awGuJGc,165000,4
Welcome,0.134,0.2,5,-14.379,0,0.0504,0.05,0.894,0.371,0.0362,61.465,audio_features,2cR7ZdcvDRy8EXuTwTGhKn,spotify:track:2cR7ZdcvDRy8EXuTwTGhKn,https://api.spotify.com/v1/tracks/2cR7ZdcvDRy8EXuTwTGhKn,https://api.spotify.com/v1/audio-analysis/2cR7ZdcvDRy8EXuTwTGhKn,133200,3
"Rib Cage, Pt. II",0.797,0.443,1,-11.209,1,0.0561,0.23,0.815,0.292,0.346,139.995,audio_features,1oyB58xZ0q6DMkfnAuXHhs,spotify:track:1oyB58xZ0q6DMkfnAuXHhs,https://api.spotify.com/v1/tracks/1oyB58xZ0q6DMkfnAuXHhs,https://api.spotify.com/v1/audio-analysis/1oyB58xZ0q6DMkfnAuXHhs,301728,4
Vanguard - 0133,0.301,0.71,1,-9.153,0,0.0493,2.84e-05,0.863,0.146,0.0342,194.94,audio_features,7LoZlDMUJ7n3GOowLf0KQc,spotify:track:7LoZlDMUJ7n3GOowLf0KQc,https://api.spotify.com/v1/tracks/7LoZlDMUJ7n3GOowLf0KQc,https://api.spotify.com/v1/audio-analysis/7LoZlDMUJ7n3GOowLf0KQc,91500,3
