name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
好きだなんて言えない,0.325,0.745,7,-5.406,1,0.0654,0.483,0,0.177,0.224,154.818,audio_features,6Z9PNQhA35dwWXXjP5FZ40,spotify:track:6Z9PNQhA35dwWXXjP5FZ40,https://api.spotify.com/v1/tracks/6Z9PNQhA35dwWXXjP5FZ40,https://api.spotify.com/v1/audio-analysis/6Z9PNQhA35dwWXXjP5FZ40,279800,4
"touch me,kiss me",0.483,0.628,9,-6.064,1,0.0556,0.295,0,0.123,0.221,153.925,audio_features,7Mr4Toca5WtRgFTJ5RN9K2,spotify:track:7Mr4Toca5WtRgFTJ5RN9K2,https://api.spotify.com/v1/tracks/7Mr4Toca5WtRgFTJ5RN9K2,https://api.spotify.com/v1/audio-analysis/7Mr4Toca5WtRgFTJ5RN9K2,248867,4
Over,0.422,0.895,0,-5.194,0,0.0509,0.00119,0.118,0.129,0.745,156.15,audio_features,2anRuMNIzUy8ZfgatQvZmG,spotify:track:2anRuMNIzUy8ZfgatQvZmG,https://api.spotify.com/v1/tracks/2anRuMNIzUy8ZfgatQvZmG,https://api.spotify.com/v1/audio-analysis/2anRuMNIzUy8ZfgatQvZmG,236233,4
Daydream Cafe,0.55,0.95,1,-4.339,1,0.0392,0.0788,0.0134,0.229,0.955,81.997,audio_features,39xZiBNZMV4ssfqt315MoP,spotify:track:39xZiBNZMV4ssfqt315MoP,https://api.spotify.com/v1/tracks/39xZiBNZMV4ssfqt315MoP,https://api.spotify.com/v1/audio-analysis/39xZiBNZMV4ssfqt315MoP,246773,4
stay,0.59,0.906,0,-5.77,1,0.0314,0.178,0.0073,0.185,0.228,93.95,audio_features,7E7YEM6I88VfFCYVfqMBe9,spotify:track:7E7YEM6I88VfFCYVfqMBe9,https://api.spotify.com/v1/tracks/7E7YEM6I88VfFCYVfqMBe9,https://api.spotify.com/v1/audio-analysis/7E7YEM6I88VfFCYVfqMBe9,274567,4
即興曲Op.1〜しろいはな〜,0.36,0.172,0,-15.575,1,0.0421,0.949,0.879,0.125,0.1,109.518,audio_features,186lktKyCmtRBe3gnUhsRu,spotify:track:186lktKyCmtRBe3gnUhsRu,https://api.spotify.com/v1/tracks/186lktKyCmtRBe3gnUhsRu,https://api.spotify.com/v1/audio-analysis/186lktKyCmtRBe3gnUhsRu,117333,3
好きだなんて言えない,0.329,0.754,7,-5.128,1,0.0619,0.498,0,0.203,0.235,153.726,audio_features,6wPoszSUSwxSMySpxRz88X,spotify:track:6wPoszSUSwxSMySpxRz88X,https://api.spotify.com/v1/tracks/6wPoszSUSwxSMySpxRz88X,https://api.spotify.com/v1/audio-analysis/6wPoszSUSwxSMySpxRz88X,279633,4
太陽のグラヴィティー,0.622,0.972,6,-1.83,0,0.0336,0.0416,0.00113,0.325,0.775,128.047,audio_features,0xleIJQXefQ6e8b84XfZgi,spotify:track:0xleIJQXefQ6e8b84XfZgi,https://api.spotify.com/v1/tracks/0xleIJQXefQ6e8b84XfZgi,https://api.spotify.com/v1/audio-analysis/0xleIJQXefQ6e8b84XfZgi,245120,4
YURA・YURA 〜Vibration,0.361,0.943,10,-3.257,0,0.0704,0.0209,0.000358,0.0626,0.707,149.893,audio_features,0aX5ELmRBvxpr2NNCd5FEx,spotify:track:0aX5ELmRBvxpr2NNCd5FEx,https://api.spotify.com/v1/tracks/0aX5ELmRBvxpr2NNCd5FEx,https://api.spotify.com/v1/audio-analysis/0aX5ELmRBvxpr2NNCd5FEx,195507,4
so far away,0.57,0.255,0,-7.044,1,0.0278,0.884,0,0.124,0.476,131.97,audio_features,4H6QPysK4mS1HOL8OVpoqT,spotify:track:4H6QPysK4mS1HOL8OVpoqT,https://api.spotify.com/v1/tracks/4H6QPysK4mS1HOL8OVpoqT,https://api.spotify.com/v1/audio-analysis/4H6QPysK4mS1HOL8OVpoqT,248967,4
