name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Echoes,0.64,0.508,1,-9.275,1,0.0346,0.474,0.000111,0.118,0.436,126.981,audio_features,3cszPdFbxIq3HxCmSljtJs,spotify:track:3cszPdFbxIq3HxCmSljtJs,https://api.spotify.com/v1/tracks/3cszPdFbxIq3HxCmSljtJs,https://api.spotify.com/v1/audio-analysis/3cszPdFbxIq3HxCmSljtJs,238110,4
Hollow,0.604,0.488,5,-9.913,1,0.0415,0.716,1.1e-05,0.109,0.349,127.901,audio_features,0fboWXuOTAnoua9hgW97lT,spotify:track:0fboWXuOTAnoua9hgW97lT,https://api.spotify.com/v1/tracks/0fboWXuOTAnoua9hgW97lT,https://api.spotify.com/v1/audio-analysis/0fboWXuOTAnoua9hgW97lT,233195,4
Valhall,0.58,0.276,0,-12.876,0,0.0281,0.712,0.0227,0.111,0.0529,77.007,audio_features,49HlDHnnXUUEJFHPPUHsge,spotify:track:49HlDHnnXUUEJFHPPUHsge,https://api.spotify.com/v1/tracks/49HlDHnnXUUEJFHPPUHsge,https://api.spotify.com/v1/audio-analysis/49HlDHnnXUUEJFHPPUHsge,161460,4
Drums n Blood,0.68,0.469,7,-11.012,1,0.0408,0.817,0.000516,0.082,0.307,94.996,audio_features,2483zkNReUQwsiNP5MuLXq,spotify:track:2483zkNReUQwsiNP5MuLXq,https://api.spotify.com/v1/tracks/2483zkNReUQwsiNP5MuLXq,https://api.spotify.com/v1/audio-analysis/2483zkNReUQwsiNP5MuLXq,174869,4
Heathen Row,0.606,0.392,5,-11.345,1,0.0506,0.361,0.00593,0.19,0.0857,93.016,audio_features,3gCPVl9SHTQmDpIda7y7Cp,spotify:track:3gCPVl9SHTQmDpIda7y7Cp,https://api.spotify.com/v1/tracks/3gCPVl9SHTQmDpIda7y7Cp,https://api.spotify.com/v1/audio-analysis/3gCPVl9SHTQmDpIda7y7Cp,174516,4
Shore,0.771,0.71,6,-3.196,1,0.0343,0.312,5.08e-06,0.048,0.399,127.994,audio_features,09D8BeAoFY4qjInOV46f8h,spotify:track:09D8BeAoFY4qjInOV46f8h,https://api.spotify.com/v1/tracks/09D8BeAoFY4qjInOV46f8h,https://api.spotify.com/v1/audio-analysis/09D8BeAoFY4qjInOV46f8h,173963,4
East,0.442,0.606,9,-12.426,1,0.0983,0.554,3.01e-06,0.109,0.333,112.092,audio_features,1xED6CvKc14W65LfJrmjCi,spotify:track:1xED6CvKc14W65LfJrmjCi,https://api.spotify.com/v1/tracks/1xED6CvKc14W65LfJrmjCi,https://api.spotify.com/v1/audio-analysis/1xED6CvKc14W65LfJrmjCi,162033,4
Valhall,0.58,0.276,0,-12.876,0,0.0281,0.712,0.0227,0.111,0.0529,77.007,audio_features,5lzPyZD4On0MAGmUtr7MNU,spotify:track:5lzPyZD4On0MAGmUtr7MNU,https://api.spotify.com/v1/tracks/5lzPyZD4On0MAGmUtr7MNU,https://api.spotify.com/v1/audio-analysis/5lzPyZD4On0MAGmUtr7MNU,161460,4
Fenris,0.205,0.959,9,-6.622,1,0.125,3.31e-05,0.00848,0.175,0.0643,89.329,audio_features,4NOIkAMzT6OCW5GDeHH75q,spotify:track:4NOIkAMzT6OCW5GDeHH75q,https://api.spotify.com/v1/tracks/4NOIkAMzT6OCW5GDeHH75q,https://api.spotify.com/v1/audio-analysis/4NOIkAMzT6OCW5GDeHH75q,370507,4
Stuck in the Mud,0.646,0.518,8,-7.906,1,0.0309,0.255,0,0.146,0.393,74.002,audio_features,63sCQnjVxp4nrUMYr20ziM,spotify:track:63sCQnjVxp4nrUMYr20ziM,https://api.spotify.com/v1/tracks/63sCQnjVxp4nrUMYr20ziM,https://api.spotify.com/v1/audio-analysis/63sCQnjVxp4nrUMYr20ziM,135507,4
