name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
アイロニカルユートピア,0.649,0.864,9,-8.307,1,0.0571,0.00996,0.000206,0.448,0.797,135.045,audio_features,29eaUvZCYXN9WWyurvR58U,spotify:track:29eaUvZCYXN9WWyurvR58U,https://api.spotify.com/v1/tracks/29eaUvZCYXN9WWyurvR58U,https://api.spotify.com/v1/audio-analysis/29eaUvZCYXN9WWyurvR58U,184889,4
シニカルディストピア,0.628,0.83,11,-8.589,0,0.0746,0.0988,6.79e-06,0.295,0.753,138.001,audio_features,23wqWxi7wfnHx0RF3mzLoA,spotify:track:23wqWxi7wfnHx0RF3mzLoA,https://api.spotify.com/v1/tracks/23wqWxi7wfnHx0RF3mzLoA,https://api.spotify.com/v1/audio-analysis/23wqWxi7wfnHx0RF3mzLoA,189348,4
眠れぬ森のマーメイド,0.581,0.853,1,-7.946,0,0.0435,0.141,0.00348,0.609,0.856,163.061,audio_features,4sOan4Q1Xz6PpqcBIOBIIo,spotify:track:4sOan4Q1Xz6PpqcBIOBIIo,https://api.spotify.com/v1/tracks/4sOan4Q1Xz6PpqcBIOBIIo,https://api.spotify.com/v1/audio-analysis/4sOan4Q1Xz6PpqcBIOBIIo,181344,4
Philosophia,0.593,0.662,6,-7.742,0,0.0421,0.364,0,0.237,0.699,177.973,audio_features,2YNNwEliMwd8LeCyFTCo2S,spotify:track:2YNNwEliMwd8LeCyFTCo2S,https://api.spotify.com/v1/tracks/2YNNwEliMwd8LeCyFTCo2S,https://api.spotify.com/v1/audio-analysis/2YNNwEliMwd8LeCyFTCo2S,181966,4
Lon'so,0.679,0.488,9,-11.645,0,0.2,0.204,0.0421,0.0867,0.954,76.839,audio_features,2BcTet0ORJtZt0s0xFcz51,spotify:track:2BcTet0ORJtZt0s0xFcz51,https://api.spotify.com/v1/tracks/2BcTet0ORJtZt0s0xFcz51,https://api.spotify.com/v1/audio-analysis/2BcTet0ORJtZt0s0xFcz51,186818,5
魔女と旋律の街,0.661,0.829,9,-8.845,0,0.0344,0.0108,0.00979,0.348,0.55,111.024,audio_features,5iLi5ZYWHzGGTTfVhAnjc3,spotify:track:5iLi5ZYWHzGGTTfVhAnjc3,https://api.spotify.com/v1/tracks/5iLi5ZYWHzGGTTfVhAnjc3,https://api.spotify.com/v1/audio-analysis/5iLi5ZYWHzGGTTfVhAnjc3,183108,3
Love Anybody,0.765,0.519,6,-7.771,1,0.0333,0.405,0.000367,0.097,0.728,97.009,audio_features,0MWpUCHsTMhFKzRn9fbKeN,spotify:track:0MWpUCHsTMhFKzRn9fbKeN,https://api.spotify.com/v1/tracks/0MWpUCHsTMhFKzRn9fbKeN,https://api.spotify.com/v1/audio-analysis/0MWpUCHsTMhFKzRn9fbKeN,199079,4
ダンシング・シーフ,0.622,0.714,8,-5.945,1,0.0588,0.0175,2.69e-05,0.401,0.879,130.076,audio_features,6JyziIE5g9Rm7HIjWXEf7P,spotify:track:6JyziIE5g9Rm7HIjWXEf7P,https://api.spotify.com/v1/tracks/6JyziIE5g9Rm7HIjWXEf7P,https://api.spotify.com/v1/audio-analysis/6JyziIE5g9Rm7HIjWXEf7P,166000,4
バッド・デッド・エンド,0.729,0.624,8,-7.584,0,0.0487,0.0179,0.0232,0.217,0.793,142.015,audio_features,0UHvZHDAoKUgkXjCjsMQYv,spotify:track:0UHvZHDAoKUgkXjCjsMQYv,https://api.spotify.com/v1/tracks/0UHvZHDAoKUgkXjCjsMQYv,https://api.spotify.com/v1/audio-analysis/0UHvZHDAoKUgkXjCjsMQYv,181375,4
魔女と精霊の詩,0.567,0.881,10,-7.628,0,0.0493,0.00686,0.000615,0.468,0.634,113.995,audio_features,1rBcyWxrYBj1oAcXAiPUtF,spotify:track:1rBcyWxrYBj1oAcXAiPUtF,https://api.spotify.com/v1/tracks/1rBcyWxrYBj1oAcXAiPUtF,https://api.spotify.com/v1/audio-analysis/1rBcyWxrYBj1oAcXAiPUtF,190789,3
道化師のメタファー,0.673,0.837,4,-5.317,0,0.0344,0.0555,1.1e-05,0.259,0.908,134.031,audio_features,68n0n25Gh2WzyhoWUppg0T,spotify:track:68n0n25Gh2WzyhoWUppg0T,https://api.spotify.com/v1/tracks/68n0n25Gh2WzyhoWUppg0T,https://api.spotify.com/v1/audio-analysis/68n0n25Gh2WzyhoWUppg0T,180203,4
