name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Free Energy Creation,0.806,0.635,1,-10.723,1,0.0491,0.000157,0.892,0.357,0.605,123.996,audio_features,2NlQwFFNKmFdEUKkJFjzhy,spotify:track:2NlQwFFNKmFdEUKkJFjzhy,https://api.spotify.com/v1/tracks/2NlQwFFNKmFdEUKkJFjzhy,https://api.spotify.com/v1/audio-analysis/2NlQwFFNKmFdEUKkJFjzhy,424355,4
Neutral,0.773,0.457,10,-16.7,0,0.0719,0.000794,0.925,0.091,0.182,99.002,audio_features,1ReN00YqKbA2X8AFHLZQjt,spotify:track:1ReN00YqKbA2X8AFHLZQjt,https://api.spotify.com/v1/tracks/1ReN00YqKbA2X8AFHLZQjt,https://api.spotify.com/v1/audio-analysis/1ReN00YqKbA2X8AFHLZQjt,162424,4
SILVER CATS ORCHESTRA,0.833,0.543,0,-13.876,1,0.0529,0.0292,0.857,0.0971,0.491,123.997,audio_features,7yvbJMiuUiREMAnK3lpqQG,spotify:track:7yvbJMiuUiREMAnK3lpqQG,https://api.spotify.com/v1/tracks/7yvbJMiuUiREMAnK3lpqQG,https://api.spotify.com/v1/audio-analysis/7yvbJMiuUiREMAnK3lpqQG,541936,4
Fantasy,0.801,0.606,5,-11.48,0,0.0635,0.707,0.922,0.101,0.611,113.014,audio_features,0vprzWlbGjS193uOG9CLiT,spotify:track:0vprzWlbGjS193uOG9CLiT,https://api.spotify.com/v1/tracks/0vprzWlbGjS193uOG9CLiT,https://api.spotify.com/v1/audio-analysis/0vprzWlbGjS193uOG9CLiT,323363,4
FLAT,0.66,0.448,8,-13.803,1,0.0818,0.122,0.918,0.085,0.35,194.013,audio_features,23q5EuPdcySm5rJZTpaE8Q,spotify:track:23q5EuPdcySm5rJZTpaE8Q,https://api.spotify.com/v1/tracks/23q5EuPdcySm5rJZTpaE8Q,https://api.spotify.com/v1/audio-analysis/23q5EuPdcySm5rJZTpaE8Q,320412,4
Yatagarasu,0.814,0.638,1,-9.977,0,0.0497,1.38e-05,0.939,0.0726,0.892,126.005,audio_features,7wATZIQIieMAoiYqNFe0jB,spotify:track:7wATZIQIieMAoiYqNFe0jB,https://api.spotify.com/v1/tracks/7wATZIQIieMAoiYqNFe0jB,https://api.spotify.com/v1/audio-analysis/7wATZIQIieMAoiYqNFe0jB,402500,4
Vintage Fashion,0.807,0.574,1,-12.118,1,0.0564,0.00369,0.826,0.209,0.432,128.002,audio_features,5DxpS9bAnLSpCwGVPiQGCt,spotify:track:5DxpS9bAnLSpCwGVPiQGCt,https://api.spotify.com/v1/tracks/5DxpS9bAnLSpCwGVPiQGCt,https://api.spotify.com/v1/audio-analysis/5DxpS9bAnLSpCwGVPiQGCt,471094,4
Earth on Art,0.795,0.651,11,-10.486,0,0.0438,0.0672,0.875,0.383,0.565,128.003,audio_features,2tiVmQrqlX7JgY72bzJMI3,spotify:track:2tiVmQrqlX7JgY72bzJMI3,https://api.spotify.com/v1/tracks/2tiVmQrqlX7JgY72bzJMI3,https://api.spotify.com/v1/audio-analysis/2tiVmQrqlX7JgY72bzJMI3,543750,4
Nouvelle Dance,0.807,0.296,11,-19.642,1,0.058,0.259,0.923,0.122,0.532,125.011,audio_features,3Oqy1y91OG0sbPheoHj58q,spotify:track:3Oqy1y91OG0sbPheoHj58q,https://api.spotify.com/v1/tracks/3Oqy1y91OG0sbPheoHj58q,https://api.spotify.com/v1/audio-analysis/3Oqy1y91OG0sbPheoHj58q,509280,4
Epoxy Pigment,0.812,0.217,2,-18.073,1,0.0559,0.0984,0.909,0.0962,0.626,121.003,audio_features,7DzTMqLORdoOJT2rc7JfO9,spotify:track:7DzTMqLORdoOJT2rc7JfO9,https://api.spotify.com/v1/tracks/7DzTMqLORdoOJT2rc7JfO9,https://api.spotify.com/v1/audio-analysis/7DzTMqLORdoOJT2rc7JfO9,387598,5
