name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
空が青空であるために,0.293,0.921,2,-3.308,1,0.0658,0.0189,0,0.365,0.411,200.067,audio_features,6wfYng9wQprhKrpSJlvkqL,spotify:track:6wfYng9wQprhKrpSJlvkqL,https://api.spotify.com/v1/tracks/6wfYng9wQprhKrpSJlvkqL,https://api.spotify.com/v1/audio-analysis/6wfYng9wQprhKrpSJlvkqL,245973,4
誘惑,0.355,0.962,2,-4.143,1,0.0532,0.00836,0,0.0891,0.755,179.798,audio_features,2GlOmBRGlF9B2ylosoYRim,spotify:track:2GlOmBRGlF9B2ylosoYRim,https://api.spotify.com/v1/tracks/2GlOmBRGlF9B2ylosoYRim,https://api.spotify.com/v1/audio-analysis/2GlOmBRGlF9B2ylosoYRim,261080,4
グロリアス,0.412,0.917,5,-6.54,1,0.0737,0.0367,9.03e-06,0.152,0.465,146.995,audio_features,222hBYlzBQshcDAmzI2Vsi,spotify:track:222hBYlzBQshcDAmzI2Vsi,https://api.spotify.com/v1/tracks/222hBYlzBQshcDAmzI2Vsi,https://api.spotify.com/v1/audio-analysis/222hBYlzBQshcDAmzI2Vsi,293093,4
グロリアス,0.445,0.955,5,-3.083,1,0.0651,0.033,6.73e-06,0.14,0.505,146.79,audio_features,5EATRvFKKtd7DjEL0UmAlV,spotify:track:5EATRvFKKtd7DjEL0UmAlV,https://api.spotify.com/v1/tracks/5EATRvFKKtd7DjEL0UmAlV,https://api.spotify.com/v1/audio-analysis/5EATRvFKKtd7DjEL0UmAlV,295893,4
はじまりのうた,0.479,0.873,4,-3.313,1,0.0679,0.0285,0,0.0963,0.453,156.045,audio_features,72yxV8CCmBUFHGzvCDaLKg,spotify:track:72yxV8CCmBUFHGzvCDaLKg,https://api.spotify.com/v1/tracks/72yxV8CCmBUFHGzvCDaLKg,https://api.spotify.com/v1/audio-analysis/72yxV8CCmBUFHGzvCDaLKg,246307,4
HOWEVER,0.333,0.74,0,-6.646,1,0.038,0.0803,0,0.0898,0.394,172.022,audio_features,019oDnXj3TCond0iuRa5QR,spotify:track:019oDnXj3TCond0iuRa5QR,https://api.spotify.com/v1/tracks/019oDnXj3TCond0iuRa5QR,https://api.spotify.com/v1/audio-analysis/019oDnXj3TCond0iuRa5QR,335400,4
空が青空であるために,0.291,0.919,2,-3.038,1,0.0657,0.0175,0,0.367,0.398,200.032,audio_features,2gsKR1fg1bk5Aant1Uhn2j,spotify:track:2gsKR1fg1bk5Aant1Uhn2j,https://api.spotify.com/v1/tracks/2gsKR1fg1bk5Aant1Uhn2j,https://api.spotify.com/v1/audio-analysis/2gsKR1fg1bk5Aant1Uhn2j,246599,4
HEROES,0.516,0.946,5,-3.319,1,0.042,0.0305,0,0.12,0.647,107.039,audio_features,1unOFM2AvR2SWp9lwVeznF,spotify:track:1unOFM2AvR2SWp9lwVeznF,https://api.spotify.com/v1/tracks/1unOFM2AvR2SWp9lwVeznF,https://api.spotify.com/v1/audio-analysis/1unOFM2AvR2SWp9lwVeznF,256213,4
流星のHowl,0.42,0.929,7,-3.309,1,0.0669,0.000398,0,0.304,0.572,82.995,audio_features,43hEfWPDGwDS4YRy2lSLte,spotify:track:43hEfWPDGwDS4YRy2lSLte,https://api.spotify.com/v1/tracks/43hEfWPDGwDS4YRy2lSLte,https://api.spotify.com/v1/audio-analysis/43hEfWPDGwDS4YRy2lSLte,301880,4
デストピア,0.266,0.951,9,-2.603,1,0.0767,0.0052,0,0.224,0.453,193.289,audio_features,5AaYReNHHWyEQKpJqxMEZM,spotify:track:5AaYReNHHWyEQKpJqxMEZM,https://api.spotify.com/v1/tracks/5AaYReNHHWyEQKpJqxMEZM,https://api.spotify.com/v1/audio-analysis/5AaYReNHHWyEQKpJqxMEZM,240683,4
道産子シーサー (GALAY a.k.a.GLAY+ガレッジセール),0.427,0.94,10,-2.71,1,0.0636,4.62e-05,0.00479,0.344,0.551,135.969,audio_features,7f2zFco8xUkkgc5MGGKn6L,spotify:track:7f2zFco8xUkkgc5MGGKn6L,https://api.spotify.com/v1/tracks/7f2zFco8xUkkgc5MGGKn6L,https://api.spotify.com/v1/audio-analysis/7f2zFco8xUkkgc5MGGKn6L,226667,4
超音速デスティニー,0.456,0.953,0,-4.026,1,0.0638,0.000256,0,0.0823,0.437,94.929,audio_features,54JVtDltT38oY0B7QxhbAv,spotify:track:54JVtDltT38oY0B7QxhbAv,https://api.spotify.com/v1/tracks/54JVtDltT38oY0B7QxhbAv,https://api.spotify.com/v1/audio-analysis/54JVtDltT38oY0B7QxhbAv,273054,4
HOWEVER,0.338,0.834,0,-4.447,1,0.0477,0.116,0,0.0859,0.412,172.023,audio_features,0ISs7mttdHCOnC4VMm24rN,spotify:track:0ISs7mttdHCOnC4VMm24rN,https://api.spotify.com/v1/tracks/0ISs7mttdHCOnC4VMm24rN,https://api.spotify.com/v1/audio-analysis/0ISs7mttdHCOnC4VMm24rN,334640,4
"Winter,again",0.518,0.807,9,-4.995,1,0.0371,0.00619,0,0.0916,0.497,113.798,audio_features,4tCtZzE58XDHUAZjoCZiPg,spotify:track:4tCtZzE58XDHUAZjoCZiPg,https://api.spotify.com/v1/tracks/4tCtZzE58XDHUAZjoCZiPg,https://api.spotify.com/v1/audio-analysis/4tCtZzE58XDHUAZjoCZiPg,314933,4
