name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
White Letter,0.812,0.859,0,-3.247,1,0.0843,0.224,0.00203,0.0731,0.938,128.007,audio_features,5WmC1kOnBxZO4z28pzEBK7,spotify:track:5WmC1kOnBxZO4z28pzEBK7,https://api.spotify.com/v1/tracks/5WmC1kOnBxZO4z28pzEBK7,https://api.spotify.com/v1/audio-analysis/5WmC1kOnBxZO4z28pzEBK7,165203,4
バーボンハウスへようこそ,0.739,0.596,0,-4.814,1,0.0372,0.616,0,0.324,0.517,143.966,audio_features,0OGnIDgnj4sp96wUlTlj31,spotify:track:0OGnIDgnj4sp96wUlTlj31,https://api.spotify.com/v1/tracks/0OGnIDgnj4sp96wUlTlj31,https://api.spotify.com/v1/audio-analysis/0OGnIDgnj4sp96wUlTlj31,176920,3
コタツと木枯らし,0.895,0.32,0,-6.759,1,0.0559,0.84,9.21e-05,0.19,0.41,117.999,audio_features,3cWeAVxP77UqHDyqnLCTWU,spotify:track:3cWeAVxP77UqHDyqnLCTWU,https://api.spotify.com/v1/tracks/3cWeAVxP77UqHDyqnLCTWU,https://api.spotify.com/v1/audio-analysis/3cWeAVxP77UqHDyqnLCTWU,161107,4
夢のかけら,0.685,0.682,7,-4.538,1,0.0343,0.318,4.12e-05,0.375,0.572,130.022,audio_features,677o1LNZtc0rblW4c9t0Ut,spotify:track:677o1LNZtc0rblW4c9t0Ut,https://api.spotify.com/v1/tracks/677o1LNZtc0rblW4c9t0Ut,https://api.spotify.com/v1/audio-analysis/677o1LNZtc0rblW4c9t0Ut,228998,4
そよ風のリズム,0.669,0.846,7,-3.95,0,0.0286,0.415,1.17e-05,0.291,0.564,100.008,audio_features,0SSUTayQkr86MDeC1XxGw7,spotify:track:0SSUTayQkr86MDeC1XxGw7,https://api.spotify.com/v1/tracks/0SSUTayQkr86MDeC1XxGw7,https://api.spotify.com/v1/audio-analysis/0SSUTayQkr86MDeC1XxGw7,236306,4
スマイリーxスマイリー,0.63,0.715,3,-3.141,0,0.0322,0.0283,4.83e-05,0.186,0.648,148.039,audio_features,0l4NB7QIn92GomWwbgAfFV,spotify:track:0l4NB7QIn92GomWwbgAfFV,https://api.spotify.com/v1/tracks/0l4NB7QIn92GomWwbgAfFV,https://api.spotify.com/v1/audio-analysis/0l4NB7QIn92GomWwbgAfFV,165954,4
初音ミクさんの心境,0.699,0.835,0,-4.47,0,0.0535,0.0921,0.000256,0.116,0.551,128.002,audio_features,2RdBlfb1JXJjzbcaliGCM0,spotify:track:2RdBlfb1JXJjzbcaliGCM0,https://api.spotify.com/v1/tracks/2RdBlfb1JXJjzbcaliGCM0,https://api.spotify.com/v1/audio-analysis/2RdBlfb1JXJjzbcaliGCM0,198408,4
大丈夫,0.374,0.266,5,-9.646,1,0.0388,0.923,1.37e-05,0.0987,0.124,124.364,audio_features,22vIW7lcvmVkwywfbzGWLs,spotify:track:22vIW7lcvmVkwywfbzGWLs,https://api.spotify.com/v1/tracks/22vIW7lcvmVkwywfbzGWLs,https://api.spotify.com/v1/audio-analysis/22vIW7lcvmVkwywfbzGWLs,223723,5
夕闇の狭間,0.611,0.466,6,-4.764,1,0.0298,0.389,0,0.183,0.387,111.905,audio_features,0kIuQIAX6nFYfLoeC7fSzd,spotify:track:0kIuQIAX6nFYfLoeC7fSzd,https://api.spotify.com/v1/tracks/0kIuQIAX6nFYfLoeC7fSzd,https://api.spotify.com/v1/audio-analysis/0kIuQIAX6nFYfLoeC7fSzd,115911,4
糸電話,0.649,0.412,0,-6.245,1,0.0335,0.867,0,0.193,0.476,94.98,audio_features,34MR1ubZzekcXBdgt2KZ8e,spotify:track:34MR1ubZzekcXBdgt2KZ8e,https://api.spotify.com/v1/tracks/34MR1ubZzekcXBdgt2KZ8e,https://api.spotify.com/v1/audio-analysis/34MR1ubZzekcXBdgt2KZ8e,100787,4
フレンチプレスでコーヒータイム,0.715,0.572,0,-5.003,1,0.0287,0.454,0,0.241,0.666,133.961,audio_features,0Gmfss90qD2dRHP95Pg8Or,spotify:track:0Gmfss90qD2dRHP95Pg8Or,https://api.spotify.com/v1/tracks/0Gmfss90qD2dRHP95Pg8Or,https://api.spotify.com/v1/audio-analysis/0Gmfss90qD2dRHP95Pg8Or,210541,4
青空を見つけた日,0.442,0.809,0,-3.844,1,0.0372,0.381,2.67e-05,0.181,0.553,112.133,audio_features,2vtbpffWxqN40eZPg93dpr,spotify:track:2vtbpffWxqN40eZPg93dpr,https://api.spotify.com/v1/tracks/2vtbpffWxqN40eZPg93dpr,https://api.spotify.com/v1/audio-analysis/2vtbpffWxqN40eZPg93dpr,271525,4
苛イラDayS,0.689,0.875,2,-3.978,1,0.0303,0.206,0.000352,0.222,0.754,127.985,audio_features,7dLMEoYWW8xIscATLL042j,spotify:track:7dLMEoYWW8xIscATLL042j,https://api.spotify.com/v1/tracks/7dLMEoYWW8xIscATLL042j,https://api.spotify.com/v1/audio-analysis/7dLMEoYWW8xIscATLL042j,219478,4
