name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
SNEAKERS,0.935,0.849,7,-3.047,1,0.0779,0.0192,0,0.0223,0.551,119.986,audio_features,2WoluqyWzsgRmFCeHeGlnm,spotify:track:2WoluqyWzsgRmFCeHeGlnm,https://api.spotify.com/v1/tracks/2WoluqyWzsgRmFCeHeGlnm,https://api.spotify.com/v1/audio-analysis/2WoluqyWzsgRmFCeHeGlnm,179453,4
Boys Like You,0.836,0.903,2,-4.249,1,0.105,0.0318,0,0.0688,0.882,128.009,audio_features,34y2pV3RGFiCHSP12bNHVk,spotify:track:34y2pV3RGFiCHSP12bNHVk,https://api.spotify.com/v1/tracks/34y2pV3RGFiCHSP12bNHVk,https://api.spotify.com/v1/audio-analysis/34y2pV3RGFiCHSP12bNHVk,223373,4
ICY,0.8,0.904,2,-2.821,1,0.0845,0.0328,3.17e-05,0.182,0.806,124.979,audio_features,2vdkN2NSQ5mxqNGg7sJUxs,spotify:track:2vdkN2NSQ5mxqNGg7sJUxs,https://api.spotify.com/v1/tracks/2vdkN2NSQ5mxqNGg7sJUxs,https://api.spotify.com/v1/audio-analysis/2vdkN2NSQ5mxqNGg7sJUxs,191142,4
LOCO,0.759,0.886,1,-3.067,1,0.187,0.0103,2.04e-05,0.342,0.489,102.065,audio_features,56Yxkm62GtEpnPyG7TvwLY,spotify:track:56Yxkm62GtEpnPyG7TvwLY,https://api.spotify.com/v1/tracks/56Yxkm62GtEpnPyG7TvwLY,https://api.spotify.com/v1/audio-analysis/56Yxkm62GtEpnPyG7TvwLY,191462,4
WANNABE,0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,audio_features,4pspYVQGFHLPEFgQPD1J7e,spotify:track:4pspYVQGFHLPEFgQPD1J7e,https://api.spotify.com/v1/tracks/4pspYVQGFHLPEFgQPD1J7e,https://api.spotify.com/v1/audio-analysis/4pspYVQGFHLPEFgQPD1J7e,191242,4
Not Shy,0.776,0.911,2,-3.08,0,0.131,0.155,2.59e-06,0.268,0.56,101.027,audio_features,1ehags7lQMM1qX94VJkoaf,spotify:track:1ehags7lQMM1qX94VJkoaf,https://api.spotify.com/v1/tracks/1ehags7lQMM1qX94VJkoaf,https://api.spotify.com/v1/audio-analysis/1ehags7lQMM1qX94VJkoaf,177728,4
SHOOT!,0.852,0.762,6,-4.448,0,0.0487,0.333,1.66e-06,0.159,0.907,131.958,audio_features,2xeaHUnzzT5Kc974OQt1kA,spotify:track:2xeaHUnzzT5Kc974OQt1kA,https://api.spotify.com/v1/tracks/2xeaHUnzzT5Kc974OQt1kA,https://api.spotify.com/v1/audio-analysis/2xeaHUnzzT5Kc974OQt1kA,139213,4
In the morning,0.846,0.814,6,-4.685,0,0.149,0.0823,0.00094,0.13,0.722,140.055,audio_features,1Wcr8zrKqbUX0zwN8Dbr16,spotify:track:1Wcr8zrKqbUX0zwN8Dbr16,https://api.spotify.com/v1/tracks/1Wcr8zrKqbUX0zwN8Dbr16,https://api.spotify.com/v1/audio-analysis/1Wcr8zrKqbUX0zwN8Dbr16,172373,4
Blah Blah Blah,0.842,0.899,3,-4.169,0,0.192,0.0238,0,0.345,0.881,115.961,audio_features,5wOWpaKW92jhcm8pBOlrdR,spotify:track:5wOWpaKW92jhcm8pBOlrdR,https://api.spotify.com/v1/tracks/5wOWpaKW92jhcm8pBOlrdR,https://api.spotify.com/v1/audio-analysis/5wOWpaKW92jhcm8pBOlrdR,186573,4
DALLA DALLA,0.79,0.853,11,-4.564,0,0.0666,0.00116,4.23e-05,0.329,0.713,125.0,audio_features,38rUIlTX93Aoif3WcY1wv6,spotify:track:38rUIlTX93Aoif3WcY1wv6,https://api.spotify.com/v1/tracks/38rUIlTX93Aoif3WcY1wv6,https://api.spotify.com/v1/audio-analysis/38rUIlTX93Aoif3WcY1wv6,199874,4
