name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Roar,0.63,0.835,5,-4.018,0,0.046,0.0891,0,0.486,0.813,124.054,audio_features,0Qfp61Ixz6Keppfaki9IeV,spotify:track:0Qfp61Ixz6Keppfaki9IeV,https://api.spotify.com/v1/tracks/0Qfp61Ixz6Keppfaki9IeV,https://api.spotify.com/v1/audio-analysis/0Qfp61Ixz6Keppfaki9IeV,235619,4
ゼロからイチへ,0.605,0.936,9,-4.173,0,0.0952,0.104,0,0.262,0.699,128.073,audio_features,0AFVnceIzI9QDngrAO6yRs,spotify:track:0AFVnceIzI9QDngrAO6yRs,https://api.spotify.com/v1/tracks/0AFVnceIzI9QDngrAO6yRs,https://api.spotify.com/v1/audio-analysis/0AFVnceIzI9QDngrAO6yRs,219176,4
EUPHORIA,0.599,0.759,9,-4.205,0,0.0371,0.0528,0,0.278,0.282,130.94,audio_features,2rKfasPa1JvjHf4ZbdWQ98,spotify:track:2rKfasPa1JvjHf4ZbdWQ98,https://api.spotify.com/v1/tracks/2rKfasPa1JvjHf4ZbdWQ98,https://api.spotify.com/v1/audio-analysis/2rKfasPa1JvjHf4ZbdWQ98,197507,4
Roar,0.629,0.832,5,-4.015,0,0.0477,0.0837,0,0.476,0.815,124.068,audio_features,7AaR3KHGWP4JKe5EgOyPkk,spotify:track:7AaR3KHGWP4JKe5EgOyPkk,https://api.spotify.com/v1/tracks/7AaR3KHGWP4JKe5EgOyPkk,https://api.spotify.com/v1/audio-analysis/7AaR3KHGWP4JKe5EgOyPkk,235621,4
STING,0.739,0.789,1,-6.138,0,0.0465,0.0561,0,0.0488,0.344,100.003,audio_features,1sKVZK6KmHX4bvoMVcbhuQ,spotify:track:1sKVZK6KmHX4bvoMVcbhuQ,https://api.spotify.com/v1/tracks/1sKVZK6KmHX4bvoMVcbhuQ,https://api.spotify.com/v1/audio-analysis/1sKVZK6KmHX4bvoMVcbhuQ,210174,4
Ain't Seen Nothing Yet,0.694,0.815,9,-6.265,1,0.041,0.26,0,0.0973,0.442,114.99,audio_features,6OVjkF3TowxhTMwKYkuGnD,spotify:track:6OVjkF3TowxhTMwKYkuGnD,https://api.spotify.com/v1/tracks/6OVjkF3TowxhTMwKYkuGnD,https://api.spotify.com/v1/audio-analysis/6OVjkF3TowxhTMwKYkuGnD,232213,4
Winter Brightness,0.671,0.84,5,-4.586,0,0.0609,0.134,0,0.323,0.765,104.064,audio_features,58gkcJTXyZxA6FhPYulVzO,spotify:track:58gkcJTXyZxA6FhPYulVzO,https://api.spotify.com/v1/tracks/58gkcJTXyZxA6FhPYulVzO,https://api.spotify.com/v1/audio-analysis/58gkcJTXyZxA6FhPYulVzO,215901,4
CRYSTAL MOMENT,0.589,0.941,0,-5.66,1,0.205,0.157,0,0.345,0.332,131.996,audio_features,0N9sAwStn1CCE8MTrRoQO0,spotify:track:0N9sAwStn1CCE8MTrRoQO0,https://api.spotify.com/v1/tracks/0N9sAwStn1CCE8MTrRoQO0,https://api.spotify.com/v1/audio-analysis/0N9sAwStn1CCE8MTrRoQO0,257583,4
Womanizer,0.705,0.892,10,-5.199,0,0.0609,0.00252,0,0.0957,0.755,116.989,audio_features,1K2bPk4hdo5z3qOX2AgJMU,spotify:track:1K2bPk4hdo5z3qOX2AgJMU,https://api.spotify.com/v1/tracks/1K2bPk4hdo5z3qOX2AgJMU,https://api.spotify.com/v1/audio-analysis/1K2bPk4hdo5z3qOX2AgJMU,237680,4
Honey on me,0.726,0.783,11,-5.105,0,0.0314,0.309,0,0.351,0.818,120.001,audio_features,5ymD23pBslCJCKULXD9FoV,spotify:track:5ymD23pBslCJCKULXD9FoV,https://api.spotify.com/v1/tracks/5ymD23pBslCJCKULXD9FoV,https://api.spotify.com/v1/audio-analysis/5ymD23pBslCJCKULXD9FoV,249219,4
EUPHORIA,0.596,0.763,9,-4.214,0,0.037,0.0527,0,0.286,0.293,130.937,audio_features,2WTZcZnFOs0bOXN9YghxsO,spotify:track:2WTZcZnFOs0bOXN9YghxsO,https://api.spotify.com/v1/tracks/2WTZcZnFOs0bOXN9YghxsO,https://api.spotify.com/v1/audio-analysis/2WTZcZnFOs0bOXN9YghxsO,197500,4
Into The Light,0.589,0.89,3,-4.423,1,0.0554,0.129,0,0.42,0.472,124.003,audio_features,3eyaCWIqQzB638DartLinE,spotify:track:3eyaCWIqQzB638DartLinE,https://api.spotify.com/v1/tracks/3eyaCWIqQzB638DartLinE,https://api.spotify.com/v1/audio-analysis/3eyaCWIqQzB638DartLinE,247890,4
Prisoner,0.71,0.708,8,-5.786,0,0.058,0.388,0,0.0896,0.768,122.012,audio_features,7w2SmzCDwUHvUcWZhVjhAm,spotify:track:7w2SmzCDwUHvUcWZhVjhAm,https://api.spotify.com/v1/tracks/7w2SmzCDwUHvUcWZhVjhAm,https://api.spotify.com/v1/audio-analysis/7w2SmzCDwUHvUcWZhVjhAm,213286,4
Flashback,0.426,0.825,8,-4.718,1,0.0525,0.341,0,0.339,0.318,90.012,audio_features,5SeweJr8Md2eKLCS6PMxGM,spotify:track:5SeweJr8Md2eKLCS6PMxGM,https://api.spotify.com/v1/tracks/5SeweJr8Md2eKLCS6PMxGM,https://api.spotify.com/v1/audio-analysis/5SeweJr8Md2eKLCS6PMxGM,274183,4
We Just Go Hard feat. AK-69,0.644,0.838,11,-6.771,0,0.144,0.0362,3.58e-05,0.0984,0.438,184.053,audio_features,7MWkAbnjeQLvPFgGGH0jfK,spotify:track:7MWkAbnjeQLvPFgGGH0jfK,https://api.spotify.com/v1/tracks/7MWkAbnjeQLvPFgGGH0jfK,https://api.spotify.com/v1/audio-analysis/7MWkAbnjeQLvPFgGGH0jfK,197397,4
Ain't Seen Nothing Yet,0.694,0.815,9,-6.265,1,0.041,0.26,0,0.0973,0.442,114.99,audio_features,29BB0nxCCEzXFd1xcbwrT0,spotify:track:29BB0nxCCEzXFd1xcbwrT0,https://api.spotify.com/v1/tracks/29BB0nxCCEzXFd1xcbwrT0,https://api.spotify.com/v1/audio-analysis/29BB0nxCCEzXFd1xcbwrT0,232213,4
CRYSTAL MOMENT,0.594,0.907,9,-7.594,0,0.2,0.179,0,0.342,0.373,131.992,audio_features,2GeV4ScaiWM3VVc3VGpdf8,spotify:track:2GeV4ScaiWM3VVc3VGpdf8,https://api.spotify.com/v1/tracks/2GeV4ScaiWM3VVc3VGpdf8,https://api.spotify.com/v1/audio-analysis/2GeV4ScaiWM3VVc3VGpdf8,257570,4
Love Supply,0.681,0.667,0,-6.743,1,0.0346,0.116,0,0.33,0.227,94.953,audio_features,7uvlrNjC7VFAV6mMFjJzsJ,spotify:track:7uvlrNjC7VFAV6mMFjJzsJ,https://api.spotify.com/v1/tracks/7uvlrNjC7VFAV6mMFjJzsJ,https://api.spotify.com/v1/audio-analysis/7uvlrNjC7VFAV6mMFjJzsJ,190417,4
Born Free,0.691,0.531,11,-4.84,0,0.0299,0.283,0,0.184,0.45,94.991,audio_features,2vfir8BnZ6KoPRGxIwoprF,spotify:track:2vfir8BnZ6KoPRGxIwoprF,https://api.spotify.com/v1/tracks/2vfir8BnZ6KoPRGxIwoprF,https://api.spotify.com/v1/audio-analysis/2vfir8BnZ6KoPRGxIwoprF,212129,4
We Just Go Hard feat. AK-69,0.647,0.833,11,-6.763,0,0.128,0.0394,3.74e-05,0.058,0.424,184.038,audio_features,1aiayn7b6DaoV3uGtovdMY,spotify:track:1aiayn7b6DaoV3uGtovdMY,https://api.spotify.com/v1/tracks/1aiayn7b6DaoV3uGtovdMY,https://api.spotify.com/v1/audio-analysis/1aiayn7b6DaoV3uGtovdMY,197500,4
