name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
逆光,0.604,0.645,7,-5.809,1,0.0275,0.0167,0.000281,0.119,0.327,117.991,audio_features,6ao722N4mj1jGC6HOobFly,spotify:track:6ao722N4mj1jGC6HOobFly,https://api.spotify.com/v1/tracks/6ao722N4mj1jGC6HOobFly,https://api.spotify.com/v1/audio-analysis/6ao722N4mj1jGC6HOobFly,158707,4
DECIDE,0.572,0.934,11,-3.875,0,0.0468,0.000313,0.0303,0.139,0.641,117.998,audio_features,1Q9s3sUQy8ijuBK8lDLq8a,spotify:track:1Q9s3sUQy8ijuBK8lDLq8a,https://api.spotify.com/v1/tracks/1Q9s3sUQy8ijuBK8lDLq8a,https://api.spotify.com/v1/audio-analysis/1Q9s3sUQy8ijuBK8lDLq8a,291840,4
PERIOD,0.531,0.753,5,-4.897,1,0.0334,0.00681,0.00071,0.0929,0.222,119.979,audio_features,5l258iLLudFxqCutDxOTGm,spotify:track:5l258iLLudFxqCutDxOTGm,https://api.spotify.com/v1/tracks/5l258iLLudFxqCutDxOTGm,https://api.spotify.com/v1/audio-analysis/5l258iLLudFxqCutDxOTGm,410640,4
TEAR,0.329,0.923,9,-4.124,1,0.0605,9.79e-05,0.00754,0.372,0.359,149.516,audio_features,46bXrxxHiS7BPv2OAlOD7x,spotify:track:46bXrxxHiS7BPv2OAlOD7x,https://api.spotify.com/v1/tracks/46bXrxxHiS7BPv2OAlOD7x,https://api.spotify.com/v1/audio-analysis/46bXrxxHiS7BPv2OAlOD7x,193667,4
PAST,0.489,0.972,9,-3.801,0,0.041,0.00175,0.54,0.375,0.606,93.03,audio_features,0WIurpxvceHnQC4uzgDq56,spotify:track:0WIurpxvceHnQC4uzgDq56,https://api.spotify.com/v1/tracks/0WIurpxvceHnQC4uzgDq56,https://api.spotify.com/v1/audio-analysis/0WIurpxvceHnQC4uzgDq56,260187,4
WINDING DREAM,0.535,0.816,11,-4.297,1,0.0376,3.92e-05,0.0118,0.154,0.171,122.031,audio_features,6I6hDPpio1XMtcadoF0avJ,spotify:track:6I6hDPpio1XMtcadoF0avJ,https://api.spotify.com/v1/tracks/6I6hDPpio1XMtcadoF0avJ,https://api.spotify.com/v1/audio-analysis/6I6hDPpio1XMtcadoF0avJ,260133,4
THE SUN,0.529,0.932,0,-4.925,1,0.055,0.000324,0.00156,0.347,0.577,132.06,audio_features,2SHHapvPV1gofVfDCItvXg,spotify:track:2SHHapvPV1gofVfDCItvXg,https://api.spotify.com/v1/tracks/2SHHapvPV1gofVfDCItvXg,https://api.spotify.com/v1/audio-analysis/2SHHapvPV1gofVfDCItvXg,248587,4
Sea,0.478,0.878,0,-3.394,1,0.0412,0.000794,0.577,0.104,0.495,138.886,audio_features,1vK43ceg6lQqOCXnLukMUa,spotify:track:1vK43ceg6lQqOCXnLukMUa,https://api.spotify.com/v1/tracks/1vK43ceg6lQqOCXnLukMUa,https://api.spotify.com/v1/audio-analysis/1vK43ceg6lQqOCXnLukMUa,269840,4
PLOT,0.569,0.865,2,-4.941,1,0.0318,8.79e-06,0.204,0.0285,0.717,132.056,audio_features,5595rl7JnQwpYzY05PzfW2,spotify:track:5595rl7JnQwpYzY05PzfW2,https://api.spotify.com/v1/tracks/5595rl7JnQwpYzY05PzfW2,https://api.spotify.com/v1/audio-analysis/5595rl7JnQwpYzY05PzfW2,209520,4
Ray,0.395,0.954,7,-4.355,1,0.0836,9.89e-05,0.0138,0.374,0.427,155.984,audio_features,3r5FQJJ2Vi3kXO8elPdQPV,spotify:track:3r5FQJJ2Vi3kXO8elPdQPV,https://api.spotify.com/v1/tracks/3r5FQJJ2Vi3kXO8elPdQPV,https://api.spotify.com/v1/audio-analysis/3r5FQJJ2Vi3kXO8elPdQPV,194307,4
