name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
LastTour,0.354,0.841,10,-3.208,0,0.0548,4.75e-06,0.827,0.0748,0.365,110.335,audio_features,0mgECLvEjnyjDwsJczyuR2,spotify:track:0mgECLvEjnyjDwsJczyuR2,https://api.spotify.com/v1/tracks/0mgECLvEjnyjDwsJczyuR2,https://api.spotify.com/v1/audio-analysis/0mgECLvEjnyjDwsJczyuR2,230500,4
Sophie,0.464,0.811,6,-3.477,0,0.0371,2.89e-06,0.299,0.528,0.377,110.01,audio_features,3FZSu3JR4IJh8H2QAda8kv,spotify:track:3FZSu3JR4IJh8H2QAda8kv,https://api.spotify.com/v1/tracks/3FZSu3JR4IJh8H2QAda8kv,https://api.spotify.com/v1/audio-analysis/3FZSu3JR4IJh8H2QAda8kv,197500,4
Thanatos,0.517,0.939,11,-3.878,0,0.0818,6.41e-06,0.334,0.323,0.54,112.534,audio_features,7ajvk2SNtAP3CNo64LHTah,spotify:track:7ajvk2SNtAP3CNo64LHTah,https://api.spotify.com/v1/tracks/7ajvk2SNtAP3CNo64LHTah,https://api.spotify.com/v1/audio-analysis/7ajvk2SNtAP3CNo64LHTah,198532,4
RiddleEnd,0.545,0.904,10,-4.167,0,0.0545,1.4e-05,0.913,0.135,0.554,110.048,audio_features,7kVwxBof56hTuPDpw1d03p,spotify:track:7kVwxBof56hTuPDpw1d03p,https://api.spotify.com/v1/tracks/7kVwxBof56hTuPDpw1d03p,https://api.spotify.com/v1/audio-analysis/7kVwxBof56hTuPDpw1d03p,188250,4
Bloom Into You,0.313,0.373,11,-17.263,0,0.039,0.735,0.92,0.165,0.113,67.208,audio_features,4X5yjpE3yeIj8V9R6YqboH,spotify:track:4X5yjpE3yeIj8V9R6YqboH,https://api.spotify.com/v1/tracks/4X5yjpE3yeIj8V9R6YqboH,https://api.spotify.com/v1/audio-analysis/4X5yjpE3yeIj8V9R6YqboH,63600,5
Asteroid Lily (Instrumental),0.381,0.922,1,-13.234,1,0.0453,3.71e-05,0.733,0.283,0.502,105.008,audio_features,30QLRgYw8BQh7D23ICFXvt,spotify:track:30QLRgYw8BQh7D23ICFXvt,https://api.spotify.com/v1/tracks/30QLRgYw8BQh7D23ICFXvt,https://api.spotify.com/v1/audio-analysis/30QLRgYw8BQh7D23ICFXvt,220000,4
Nina,0.437,0.847,11,-3.415,0,0.0417,3.09e-06,0.884,0.38,0.234,104.837,audio_features,7GTU0xPxyzgpcS3HuXdS42,spotify:track:7GTU0xPxyzgpcS3HuXdS42,https://api.spotify.com/v1/tracks/7GTU0xPxyzgpcS3HuXdS42,https://api.spotify.com/v1/audio-analysis/7GTU0xPxyzgpcS3HuXdS42,209208,4
HINOKAMI,0.161,0.365,10,-10.296,1,0.0288,0.00184,0.885,0.136,0.0849,100.55,audio_features,5TXMh3IOUuvj74ez9RHbiT,spotify:track:5TXMh3IOUuvj74ez9RHbiT,https://api.spotify.com/v1/tracks/5TXMh3IOUuvj74ez9RHbiT,https://api.spotify.com/v1/audio-analysis/5TXMh3IOUuvj74ez9RHbiT,57677,3
SnowWhite,0.48,0.911,9,-4.696,1,0.0828,3.52e-05,0.421,0.0908,0.348,95.003,audio_features,5yFnvel1Gde2AaeeVZKNIa,spotify:track:5yFnvel1Gde2AaeeVZKNIa,https://api.spotify.com/v1/tracks/5yFnvel1Gde2AaeeVZKNIa,https://api.spotify.com/v1/audio-analysis/5yFnvel1Gde2AaeeVZKNIa,210000,4
Asteroid Lily (feat. 初音ミク),0.494,0.986,1,-3.395,1,0.159,0.000274,0.687,0.302,0.427,104.964,audio_features,398glDbVeEIyFpuKgYTIMB,spotify:track:398glDbVeEIyFpuKgYTIMB,https://api.spotify.com/v1/tracks/398glDbVeEIyFpuKgYTIMB,https://api.spotify.com/v1/audio-analysis/398glDbVeEIyFpuKgYTIMB,220000,4
