name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Prologue,0.173,0.376,9,-14.568,0,0.0412,0.07,0.964,0.109,0.0359,90.981,audio_features,5a49tgjVXCgBn07dQnPNYT,spotify:track:5a49tgjVXCgBn07dQnPNYT,https://api.spotify.com/v1/tracks/5a49tgjVXCgBn07dQnPNYT,https://api.spotify.com/v1/audio-analysis/5a49tgjVXCgBn07dQnPNYT,82291,3
Icarus,0.491,0.924,2,-2.7,0,0.15,0.175,0.000633,0.32,0.424,144.948,audio_features,1zryDkMVXdtD73T9RQ6AeM,spotify:track:1zryDkMVXdtD73T9RQ6AeM,https://api.spotify.com/v1/tracks/1zryDkMVXdtD73T9RQ6AeM,https://api.spotify.com/v1/audio-analysis/1zryDkMVXdtD73T9RQ6AeM,254733,4
月架,0.429,0.857,2,-4.658,1,0.0563,4.05e-05,0.134,0.308,0.256,143.88,audio_features,6prADacZtldHhPgh08mnou,spotify:track:6prADacZtldHhPgh08mnou,https://api.spotify.com/v1/tracks/6prADacZtldHhPgh08mnou,https://api.spotify.com/v1/audio-analysis/6prADacZtldHhPgh08mnou,284366,4
El Dorado,0.436,0.936,4,-1.74,1,0.0775,0.011,0.101,0.11,0.371,94.918,audio_features,05eG5cG86Lvq5IjPKSsppH,spotify:track:05eG5cG86Lvq5IjPKSsppH,https://api.spotify.com/v1/tracks/05eG5cG86Lvq5IjPKSsppH,https://api.spotify.com/v1/audio-analysis/05eG5cG86Lvq5IjPKSsppH,341320,4
Valhalla,0.308,0.807,2,-5.434,1,0.0575,0.000171,0.846,0.0799,0.249,74.916,audio_features,7fHhbL1cn4K1wiZGkSLHba,spotify:track:7fHhbL1cn4K1wiZGkSLHba,https://api.spotify.com/v1/tracks/7fHhbL1cn4K1wiZGkSLHba,https://api.spotify.com/v1/audio-analysis/7fHhbL1cn4K1wiZGkSLHba,188800,4
黄金の涙,0.429,0.781,5,-4.313,0,0.0739,0.0947,0.000741,0.258,0.139,111.98,audio_features,2jFgFOP9tLi53bpDlvT4I2,spotify:track:2jFgFOP9tLi53bpDlvT4I2,https://api.spotify.com/v1/tracks/2jFgFOP9tLi53bpDlvT4I2,https://api.spotify.com/v1/audio-analysis/2jFgFOP9tLi53bpDlvT4I2,264440,4
オトナキサケビ,0.22,0.441,7,-5.856,1,0.0337,0.0403,0.00015,0.113,0.0875,126.634,audio_features,1Wl9wir13LTTe9btFqLWhm,spotify:track:1Wl9wir13LTTe9btFqLWhm,https://api.spotify.com/v1/tracks/1Wl9wir13LTTe9btFqLWhm,https://api.spotify.com/v1/audio-analysis/1Wl9wir13LTTe9btFqLWhm,241222,4
溺れる人魚,0.318,0.583,1,-3.571,1,0.0334,0.522,4.13e-05,0.125,0.223,155.681,audio_features,33H7OJzLSvJH1COoBZ8x2i,spotify:track:33H7OJzLSvJH1COoBZ8x2i,https://api.spotify.com/v1/tracks/33H7OJzLSvJH1COoBZ8x2i,https://api.spotify.com/v1/audio-analysis/33H7OJzLSvJH1COoBZ8x2i,270400,4
Interlude~Privileged~,0.284,0.412,7,-15.458,0,0.0395,0.447,0,0.27,0.18,172.006,audio_features,25YYQW0mkXuvowVwsETksm,spotify:track:25YYQW0mkXuvowVwsETksm,https://api.spotify.com/v1/tracks/25YYQW0mkXuvowVwsETksm,https://api.spotify.com/v1/audio-analysis/25YYQW0mkXuvowVwsETksm,60266,4
溺れる人魚,0.315,0.58,1,-3.567,1,0.0333,0.538,4.88e-05,0.135,0.23,155.552,audio_features,0zQL1dij5BmIUyuvnXxmRf,spotify:track:0zQL1dij5BmIUyuvnXxmRf,https://api.spotify.com/v1/tracks/0zQL1dij5BmIUyuvnXxmRf,https://api.spotify.com/v1/audio-analysis/0zQL1dij5BmIUyuvnXxmRf,268310,4
黄金の涙,0.421,0.768,5,-4.384,0,0.0702,0.117,0.00115,0.282,0.168,111.965,audio_features,25KCDVUjOC7FF403BMbG3F,spotify:track:25KCDVUjOC7FF403BMbG3F,https://api.spotify.com/v1/tracks/25KCDVUjOC7FF403BMbG3F,https://api.spotify.com/v1/audio-analysis/25KCDVUjOC7FF403BMbG3F,264267,4
Voyage,0.274,0.821,10,-5.578,0,0.0777,0.00247,0.000114,0.111,0.306,101.882,audio_features,1UE4xbya47kvRPgUoVUwN3,spotify:track:1UE4xbya47kvRPgUoVUwN3,https://api.spotify.com/v1/tracks/1UE4xbya47kvRPgUoVUwN3,https://api.spotify.com/v1/audio-analysis/1UE4xbya47kvRPgUoVUwN3,311200,3
Eyes Of Marionette,0.512,0.192,5,-7.046,1,0.0284,0.175,4.3e-06,0.0692,0.146,81.094,audio_features,5aVnd7NinPz1OGCVbIiZt9,spotify:track:5aVnd7NinPz1OGCVbIiZt9,https://api.spotify.com/v1/tracks/5aVnd7NinPz1OGCVbIiZt9,https://api.spotify.com/v1/audio-analysis/5aVnd7NinPz1OGCVbIiZt9,289227,4
Crimson Rose,0.344,0.818,10,-3.445,1,0.0515,0.0196,0.0104,0.368,0.335,105.274,audio_features,2IW8mslFoIuk8r4DXutAl1,spotify:track:2IW8mslFoIuk8r4DXutAl1,https://api.spotify.com/v1/tracks/2IW8mslFoIuk8r4DXutAl1,https://api.spotify.com/v1/audio-analysis/2IW8mslFoIuk8r4DXutAl1,270187,3
Free your Soul Reprise,0.175,0.508,2,-21.017,0,0.29,0.322,0.969,0.364,0.282,90.765,audio_features,11eLRo85D4cotISguw5Yr7,spotify:track:11eLRo85D4cotISguw5Yr7,https://api.spotify.com/v1/tracks/11eLRo85D4cotISguw5Yr7,https://api.spotify.com/v1/audio-analysis/11eLRo85D4cotISguw5Yr7,82760,4
Fountain of my Pleasure,0.373,0.925,8,-4.865,0,0.127,0.00384,6.99e-05,0.0897,0.264,154.865,audio_features,11w6RDZuxWGX20HOT1AaqQ,spotify:track:11w6RDZuxWGX20HOT1AaqQ,https://api.spotify.com/v1/tracks/11w6RDZuxWGX20HOT1AaqQ,https://api.spotify.com/v1/audio-analysis/11w6RDZuxWGX20HOT1AaqQ,268907,4
Pandora,0.334,0.671,1,-3.791,1,0.0384,0.0274,6.31e-05,0.325,0.247,82.456,audio_features,3bWIdeKndumpNO95HqjcnK,spotify:track:3bWIdeKndumpNO95HqjcnK,https://api.spotify.com/v1/tracks/3bWIdeKndumpNO95HqjcnK,https://api.spotify.com/v1/audio-analysis/3bWIdeKndumpNO95HqjcnK,262760,3
LA LUNA(Bonus Track),0.248,0.298,3,-9.799,1,0.0331,0.973,0.524,0.128,0.0718,68.129,audio_features,4fS0fyERC9qlvNxvYd38vv,spotify:track:4fS0fyERC9qlvNxvYd38vv,https://api.spotify.com/v1/tracks/4fS0fyERC9qlvNxvYd38vv,https://api.spotify.com/v1/audio-analysis/4fS0fyERC9qlvNxvYd38vv,71294,3
鮮やかに・・・,0.481,0.599,7,-6.115,1,0.036,0.00295,0.00117,0.207,0.137,99.948,audio_features,5vnWZEzFVdZrTjluzbt3Vr,spotify:track:5vnWZEzFVdZrTjluzbt3Vr,https://api.spotify.com/v1/tracks/5vnWZEzFVdZrTjluzbt3Vr,https://api.spotify.com/v1/audio-analysis/5vnWZEzFVdZrTjluzbt3Vr,289589,4
DOUBLE MOON,0.567,0.675,1,-5.379,1,0.033,0.000426,0.875,0.103,0.187,128.026,audio_features,2BrUVW6ab4Kk8UnKIPLjrU,spotify:track:2BrUVW6ab4Kk8UnKIPLjrU,https://api.spotify.com/v1/tracks/2BrUVW6ab4Kk8UnKIPLjrU,https://api.spotify.com/v1/audio-analysis/2BrUVW6ab4Kk8UnKIPLjrU,262834,4
Gloria Glory,0.266,0.843,7,-3.558,0,0.0852,0.000531,0.000107,0.145,0.209,168.196,audio_features,1ik94a925ZEcK0xXLE13fX,spotify:track:1ik94a925ZEcK0xXLE13fX,https://api.spotify.com/v1/tracks/1ik94a925ZEcK0xXLE13fX,https://api.spotify.com/v1/audio-analysis/1ik94a925ZEcK0xXLE13fX,313787,4
命の森,0.252,0.782,5,-3.455,0,0.094,0.23,4.56e-05,0.31,0.198,180.9,audio_features,4PtJ8XIb1PVtg4arWUptq0,spotify:track:4PtJ8XIb1PVtg4arWUptq0,https://api.spotify.com/v1/tracks/4PtJ8XIb1PVtg4arWUptq0,https://api.spotify.com/v1/audio-analysis/4PtJ8XIb1PVtg4arWUptq0,248400,3
