name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Look for the black owl,0.706,0.977,3,-3.557,0,0.0516,0.00157,4.35e-05,0.137,0.889,111.99,audio_features,2TEaOJrk99rEqDJEHUMqT4,spotify:track:2TEaOJrk99rEqDJEHUMqT4,https://api.spotify.com/v1/tracks/2TEaOJrk99rEqDJEHUMqT4,https://api.spotify.com/v1/audio-analysis/2TEaOJrk99rEqDJEHUMqT4,216573,4
Monster's Party,0.632,0.886,11,-2.926,0,0.0509,0.000418,1.24e-05,0.232,0.815,136.997,audio_features,59M1Oqxp5LWexvrac35vn6,spotify:track:59M1Oqxp5LWexvrac35vn6,https://api.spotify.com/v1/tracks/59M1Oqxp5LWexvrac35vn6,https://api.spotify.com/v1/audio-analysis/59M1Oqxp5LWexvrac35vn6,224600,4
Cheeky Devil,0.492,0.96,2,-3.959,1,0.0651,2.85e-05,0.000213,0.108,0.542,92.432,audio_features,41TEdAaL3NT6C6VsBGAIcL,spotify:track:41TEdAaL3NT6C6VsBGAIcL,https://api.spotify.com/v1/tracks/41TEdAaL3NT6C6VsBGAIcL,https://api.spotify.com/v1/audio-analysis/41TEdAaL3NT6C6VsBGAIcL,225347,4
Phantom troops,0.456,0.925,3,-5.813,0,0.156,0.000108,1.15e-06,0.104,0.706,192.025,audio_features,7soe83QLcYmrgSxuU2Jq3N,spotify:track:7soe83QLcYmrgSxuU2Jq3N,https://api.spotify.com/v1/tracks/7soe83QLcYmrgSxuU2Jq3N,https://api.spotify.com/v1/audio-analysis/7soe83QLcYmrgSxuU2Jq3N,214687,4
Black Cat,0.554,0.94,2,-3.445,0,0.0595,0.000808,0,0.333,0.688,128.02,audio_features,0n3knByxPwnMDHBDcHpom5,spotify:track:0n3knByxPwnMDHBDcHpom5,https://api.spotify.com/v1/tracks/0n3knByxPwnMDHBDcHpom5,https://api.spotify.com/v1/audio-analysis/0n3knByxPwnMDHBDcHpom5,213400,4
Monster's Party,0.575,0.85,11,-3.493,0,0.0781,0.000583,7.6e-05,0.268,0.538,137.003,audio_features,352kWZYHHtAiKTYzCwe2HT,spotify:track:352kWZYHHtAiKTYzCwe2HT,https://api.spotify.com/v1/tracks/352kWZYHHtAiKTYzCwe2HT,https://api.spotify.com/v1/audio-analysis/352kWZYHHtAiKTYzCwe2HT,244000,4
13th Friday night,0.63,0.902,2,-3.965,0,0.0361,0.000466,5.56e-06,0.182,0.78,141.014,audio_features,1r8AsfM9NONFpPYH1d24Ul,spotify:track:1r8AsfM9NONFpPYH1d24Ul,https://api.spotify.com/v1/tracks/1r8AsfM9NONFpPYH1d24Ul,https://api.spotify.com/v1/audio-analysis/1r8AsfM9NONFpPYH1d24Ul,221000,4
Invitation from Grave Town,0.283,0.249,8,-12.675,0,0.0336,0.948,0.877,0.373,0.0487,154.033,audio_features,7BpEEPMYKswedrl2Kr2zVT,spotify:track:7BpEEPMYKswedrl2Kr2zVT,https://api.spotify.com/v1/tracks/7BpEEPMYKswedrl2Kr2zVT,https://api.spotify.com/v1/audio-analysis/7BpEEPMYKswedrl2Kr2zVT,64333,3
Monster's Party,0.575,0.85,11,-3.493,0,0.0781,0.000583,7.6e-05,0.268,0.538,137.003,audio_features,2wBViK73LZ8oYG5AAmeOpU,spotify:track:2wBViK73LZ8oYG5AAmeOpU,https://api.spotify.com/v1/tracks/2wBViK73LZ8oYG5AAmeOpU,https://api.spotify.com/v1/audio-analysis/2wBViK73LZ8oYG5AAmeOpU,244000,4
Graveyard,0.408,0.981,2,-3.075,1,0.19,0.000184,7.1e-05,0.276,0.238,169.962,audio_features,1R1wCawq10q7nWNwhjs3F5,spotify:track:1R1wCawq10q7nWNwhjs3F5,https://api.spotify.com/v1/tracks/1R1wCawq10q7nWNwhjs3F5,https://api.spotify.com/v1/audio-analysis/1R1wCawq10q7nWNwhjs3F5,219500,4
Samhain,0.343,0.944,2,-2.229,0,0.0446,0.00294,0,0.111,0.324,109.506,audio_features,0kppbcLA3KAW4mBtdfGnaS,spotify:track:0kppbcLA3KAW4mBtdfGnaS,https://api.spotify.com/v1/tracks/0kppbcLA3KAW4mBtdfGnaS,https://api.spotify.com/v1/audio-analysis/0kppbcLA3KAW4mBtdfGnaS,241000,3
Dance Dance,0.277,0.99,6,-2.016,1,0.116,0.00284,7.54e-06,0.289,0.354,198.754,audio_features,23QMQbZPjml4r8FL2tLtQz,spotify:track:23QMQbZPjml4r8FL2tLtQz,https://api.spotify.com/v1/tracks/23QMQbZPjml4r8FL2tLtQz,https://api.spotify.com/v1/audio-analysis/23QMQbZPjml4r8FL2tLtQz,179000,4
Dead man's Love,0.631,0.856,5,-5.449,1,0.0405,0.00249,0.000716,0.0996,0.596,123.987,audio_features,5VeFahsILCan27Asr41nMT,spotify:track:5VeFahsILCan27Asr41nMT,https://api.spotify.com/v1/tracks/5VeFahsILCan27Asr41nMT,https://api.spotify.com/v1/audio-analysis/5VeFahsILCan27Asr41nMT,207267,4
Gothic,0.433,0.977,2,-3.22,0,0.228,0.000753,4.08e-05,0.158,0.498,197.996,audio_features,7BsDeg6Fq8GmMlDnpc6FaQ,spotify:track:7BsDeg6Fq8GmMlDnpc6FaQ,https://api.spotify.com/v1/tracks/7BsDeg6Fq8GmMlDnpc6FaQ,https://api.spotify.com/v1/audio-analysis/7BsDeg6Fq8GmMlDnpc6FaQ,241000,4
"Oh,Eliza",0.543,0.865,11,-5.446,0,0.0469,0.000596,0,0.177,0.538,152.033,audio_features,6s1HqHyNNUUBWzqAtFRjGi,spotify:track:6s1HqHyNNUUBWzqAtFRjGi,https://api.spotify.com/v1/tracks/6s1HqHyNNUUBWzqAtFRjGi,https://api.spotify.com/v1/audio-analysis/6s1HqHyNNUUBWzqAtFRjGi,222373,4
13th Friday night,0.63,0.902,2,-3.965,0,0.0361,0.000466,5.56e-06,0.182,0.78,141.014,audio_features,0fxmYkzHKAPZRAH9Ff7sbO,spotify:track:0fxmYkzHKAPZRAH9Ff7sbO,https://api.spotify.com/v1/tracks/0fxmYkzHKAPZRAH9Ff7sbO,https://api.spotify.com/v1/audio-analysis/0fxmYkzHKAPZRAH9Ff7sbO,221000,4
Ghost behind you,0.623,0.819,0,-4.958,0,0.0358,0.000804,1.27e-06,0.128,0.559,113.031,audio_features,4iidSwrGVlaWo19ECywPDi,spotify:track:4iidSwrGVlaWo19ECywPDi,https://api.spotify.com/v1/tracks/4iidSwrGVlaWo19ECywPDi,https://api.spotify.com/v1/audio-analysis/4iidSwrGVlaWo19ECywPDi,213213,4
Gothic,0.433,0.977,2,-3.22,0,0.228,0.000753,4.08e-05,0.158,0.498,197.996,audio_features,0ibquYteB7aFORGcMmYSUz,spotify:track:0ibquYteB7aFORGcMmYSUz,https://api.spotify.com/v1/tracks/0ibquYteB7aFORGcMmYSUz,https://api.spotify.com/v1/audio-analysis/0ibquYteB7aFORGcMmYSUz,241000,4
Jack,0.494,0.981,4,-4.067,0,0.153,0.00186,0,0.114,0.682,163.994,audio_features,5wrw5aUmvYFQyvbV7DuVxL,spotify:track:5wrw5aUmvYFQyvbV7DuVxL,https://api.spotify.com/v1/tracks/5wrw5aUmvYFQyvbV7DuVxL,https://api.spotify.com/v1/audio-analysis/5wrw5aUmvYFQyvbV7DuVxL,199013,4
