name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Darkness sympathizer,0.535,0.972,2,-3.357,1,0.0503,0.000423,0.00016,0.452,0.672,136.03,audio_features,6a1x8fumW6gqGoFoRWBAlF,spotify:track:6a1x8fumW6gqGoFoRWBAlF,https://api.spotify.com/v1/tracks/6a1x8fumW6gqGoFoRWBAlF,https://api.spotify.com/v1/audio-analysis/6a1x8fumW6gqGoFoRWBAlF,215386,4
The Last Chance,0.468,0.854,6,-3.342,0,0.0502,0.000608,0.000128,0.0728,0.664,154.054,audio_features,0fX5rfXL3MyxHyx1HDyltB,spotify:track:0fX5rfXL3MyxHyx1HDyltB,https://api.spotify.com/v1/tracks/0fX5rfXL3MyxHyx1HDyltB,https://api.spotify.com/v1/audio-analysis/0fX5rfXL3MyxHyx1HDyltB,234685,4
GIRI-GIRI borderless world,0.53,0.941,4,-3.6,0,0.0695,0.0029,0,0.159,0.661,95.006,audio_features,3WpGtfLL6Tl10WShVb7XJh,spotify:track:3WpGtfLL6Tl10WShVb7XJh,https://api.spotify.com/v1/tracks/3WpGtfLL6Tl10WShVb7XJh,https://api.spotify.com/v1/audio-analysis/3WpGtfLL6Tl10WShVb7XJh,226164,4
"Shock out, Dance!!",0.516,0.911,4,-3.786,0,0.0765,0.000181,0.073,0.31,0.713,149.961,audio_features,57NABDMWcxMjnbiVsGf9sn,spotify:track:57NABDMWcxMjnbiVsGf9sn,https://api.spotify.com/v1/tracks/57NABDMWcxMjnbiVsGf9sn,https://api.spotify.com/v1/audio-analysis/57NABDMWcxMjnbiVsGf9sn,237850,4
セカイは夢を燃やしたがる,0.538,0.956,7,-3.597,0,0.0617,0.00119,0.00217,0.471,0.377,102.007,audio_features,7EB6OXtr3bZdnA5bApT34W,spotify:track:7EB6OXtr3bZdnA5bApT34W,https://api.spotify.com/v1/tracks/7EB6OXtr3bZdnA5bApT34W,https://api.spotify.com/v1/audio-analysis/7EB6OXtr3bZdnA5bApT34W,273893,4
The Last Chance,0.468,0.854,6,-3.342,0,0.0502,0.000608,0.000128,0.0598,0.664,154.054,audio_features,4J2r6Egoh0ejZCFPGIg8HP,spotify:track:4J2r6Egoh0ejZCFPGIg8HP,https://api.spotify.com/v1/tracks/4J2r6Egoh0ejZCFPGIg8HP,https://api.spotify.com/v1/audio-analysis/4J2r6Egoh0ejZCFPGIg8HP,236013,4
"Shock out, Dance!!",0.513,0.916,4,-3.776,0,0.0755,0.000187,0.0619,0.294,0.695,149.937,audio_features,22tl6jOFU2YjHkFyMnVRLO,spotify:track:22tl6jOFU2YjHkFyMnVRLO,https://api.spotify.com/v1/tracks/22tl6jOFU2YjHkFyMnVRLO,https://api.spotify.com/v1/audio-analysis/22tl6jOFU2YjHkFyMnVRLO,239187,4
The Last Chance(莉央&葵ver.),0.454,0.863,6,-3.437,0,0.0504,0.000583,5.95e-06,0.0748,0.617,153.99,audio_features,5biyU0N6WDG7e60GIoCyNQ,spotify:track:5biyU0N6WDG7e60GIoCyNQ,https://api.spotify.com/v1/tracks/5biyU0N6WDG7e60GIoCyNQ,https://api.spotify.com/v1/audio-analysis/5biyU0N6WDG7e60GIoCyNQ,234685,4
GIRI-GIRI borderless world(莉央&葵ver.),0.526,0.929,4,-3.935,0,0.0691,0.0017,0,0.158,0.647,94.983,audio_features,1ywNrVA0TFmVEUgCqEjosf,spotify:track:1ywNrVA0TFmVEUgCqEjosf,https://api.spotify.com/v1/tracks/1ywNrVA0TFmVEUgCqEjosf,https://api.spotify.com/v1/audio-analysis/1ywNrVA0TFmVEUgCqEjosf,226164,4
Darkness sympathizer,0.535,0.97,2,-3.373,1,0.0509,0.000374,0.000229,0.42,0.649,136.031,audio_features,31yGjw8MFldT8sWDp81qYS,spotify:track:31yGjw8MFldT8sWDp81qYS,https://api.spotify.com/v1/tracks/31yGjw8MFldT8sWDp81qYS,https://api.spotify.com/v1/audio-analysis/31yGjw8MFldT8sWDp81qYS,216720,4
