name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
オルフェンズの涙,0.551,0.54,1,-6.707,1,0.0302,0.276,0,0.0746,0.337,114.622,audio_features,3vvdRYBwFbDjsb8IaK0Pgs,spotify:track:3vvdRYBwFbDjsb8IaK0Pgs,https://api.spotify.com/v1/tracks/3vvdRYBwFbDjsb8IaK0Pgs,https://api.spotify.com/v1/audio-analysis/3vvdRYBwFbDjsb8IaK0Pgs,306213,3
Everything,0.515,0.579,1,-5.321,1,0.0334,0.507,0,0.11,0.23,131.934,audio_features,6bkJ4p6uSKmSnKxYpmB4aG,spotify:track:6bkJ4p6uSKmSnKxYpmB4aG,https://api.spotify.com/v1/tracks/6bkJ4p6uSKmSnKxYpmB4aG,https://api.spotify.com/v1/audio-analysis/6bkJ4p6uSKmSnKxYpmB4aG,420920,4
アイノカタチ,0.39,0.654,6,-6.247,1,0.0335,0.0241,0,0.196,0.304,180.043,audio_features,7mSVOYRseiZi20xtBKhHnF,spotify:track:7mSVOYRseiZi20xtBKhHnF,https://api.spotify.com/v1/tracks/7mSVOYRseiZi20xtBKhHnF,https://api.spotify.com/v1/audio-analysis/7mSVOYRseiZi20xtBKhHnF,262693,4
"One day, One life",0.462,0.436,9,-7.664,1,0.0281,0.228,1.08e-05,0.175,0.173,171.794,audio_features,1vTZgvpMvS036OPhBXJjet,spotify:track:1vTZgvpMvS036OPhBXJjet,https://api.spotify.com/v1/tracks/1vTZgvpMvS036OPhBXJjet,https://api.spotify.com/v1/audio-analysis/1vTZgvpMvS036OPhBXJjet,205600,4
逢いたくていま,0.337,0.532,6,-6.296,1,0.0345,0.359,0,0.0827,0.336,140.257,audio_features,7FJC2pF6zMliU7Lvk0GBDV,spotify:track:7FJC2pF6zMliU7Lvk0GBDV,https://api.spotify.com/v1/tracks/7FJC2pF6zMliU7Lvk0GBDV,https://api.spotify.com/v1/audio-analysis/7FJC2pF6zMliU7Lvk0GBDV,358587,4
時をとめて,0.718,0.324,0,-10.569,1,0.0282,0.113,2.29e-05,0.0656,0.162,125.991,audio_features,4lwn6TiHI7FC5FwOmTsaKg,spotify:track:4lwn6TiHI7FC5FwOmTsaKg,https://api.spotify.com/v1/tracks/4lwn6TiHI7FC5FwOmTsaKg,https://api.spotify.com/v1/audio-analysis/4lwn6TiHI7FC5FwOmTsaKg,286400,4
骑在银龙的背上/最初的梦想 - Live,0.252,0.341,7,-7.826,1,0.0323,0.729,0,0.108,0.216,82.135,audio_features,7imBPs7r2GeTKXeZpv6DOO,spotify:track:7imBPs7r2GeTKXeZpv6DOO,https://api.spotify.com/v1/tracks/7imBPs7r2GeTKXeZpv6DOO,https://api.spotify.com/v1/audio-analysis/7imBPs7r2GeTKXeZpv6DOO,313405,4
"つつみ込むように・・・(DAVE ""EQ3"" DUB MIX)",0.638,0.766,7,-6.208,1,0.0359,0.112,0.0017,0.0698,0.48,79.879,audio_features,6AUHW4DJrZ07pgvfDVKsZo,spotify:track:6AUHW4DJrZ07pgvfDVKsZo,https://api.spotify.com/v1/tracks/6AUHW4DJrZ07pgvfDVKsZo,https://api.spotify.com/v1/audio-analysis/6AUHW4DJrZ07pgvfDVKsZo,347733,4
明日へ,0.504,0.217,0,-8.944,1,0.0333,0.899,0,0.105,0.304,131.645,audio_features,4fNrop0xGV6bEUl96yibpE,spotify:track:4fNrop0xGV6bEUl96yibpE,https://api.spotify.com/v1/tracks/4fNrop0xGV6bEUl96yibpE,https://api.spotify.com/v1/audio-analysis/4fNrop0xGV6bEUl96yibpE,283920,4
眠れぬ夜は君のせい,0.624,0.501,4,-4.931,1,0.0369,0.205,0,0.297,0.185,70.968,audio_features,3pIbaGD2BPo1DTUj8Ujlct,spotify:track:3pIbaGD2BPo1DTUj8Ujlct,https://api.spotify.com/v1/tracks/3pIbaGD2BPo1DTUj8Ujlct,https://api.spotify.com/v1/audio-analysis/3pIbaGD2BPo1DTUj8Ujlct,322667,4
アイノカタチ,0.408,0.388,6,-7.05,1,0.0362,0.596,0,0.171,0.35,171.023,audio_features,5gVYWnovOcEuIyNxkj2czF,spotify:track:5gVYWnovOcEuIyNxkj2czF,https://api.spotify.com/v1/tracks/5gVYWnovOcEuIyNxkj2czF,https://api.spotify.com/v1/audio-analysis/5gVYWnovOcEuIyNxkj2czF,286080,4
明日へ(15th ver.),0.357,0.293,0,-7.842,1,0.0337,0.738,0,0.118,0.265,133.757,audio_features,4i2MawkPqobqr8SRwZKJSX,spotify:track:4i2MawkPqobqr8SRwZKJSX,https://api.spotify.com/v1/tracks/4i2MawkPqobqr8SRwZKJSX,https://api.spotify.com/v1/audio-analysis/4i2MawkPqobqr8SRwZKJSX,291307,4
オルフェンズの涙(Long Ver.),0.523,0.558,1,-6.63,1,0.0327,0.14,0,0.0893,0.345,114.752,audio_features,3jv2VlgQOVEcaBs54574Y3,spotify:track:3jv2VlgQOVEcaBs54574Y3,https://api.spotify.com/v1/tracks/3jv2VlgQOVEcaBs54574Y3,https://api.spotify.com/v1/audio-analysis/3jv2VlgQOVEcaBs54574Y3,342893,3
Every Wish Deserves a Dream,0.42,0.491,0,-8.686,1,0.0375,0.652,0,0.144,0.264,126.398,audio_features,0WRO7r36uDVlW6DDPF1Cxs,spotify:track:0WRO7r36uDVlW6DDPF1Cxs,https://api.spotify.com/v1/tracks/0WRO7r36uDVlW6DDPF1Cxs,https://api.spotify.com/v1/audio-analysis/0WRO7r36uDVlW6DDPF1Cxs,231232,4
記憶,0.306,0.395,10,-7.001,1,0.0348,0.688,4.04e-06,0.324,0.0675,130.265,audio_features,6hBtFmvJLYRKz0nKHJcJuJ,spotify:track:6hBtFmvJLYRKz0nKHJcJuJ,https://api.spotify.com/v1/tracks/6hBtFmvJLYRKz0nKHJcJuJ,https://api.spotify.com/v1/audio-analysis/6hBtFmvJLYRKz0nKHJcJuJ,312667,4
果てなく続くストーリー,0.483,0.413,11,-3.939,1,0.0256,0.637,9.12e-06,0.111,0.0806,79.033,audio_features,3OtCe3K1nu7MIoLkqjyafj,spotify:track:3OtCe3K1nu7MIoLkqjyafj,https://api.spotify.com/v1/tracks/3OtCe3K1nu7MIoLkqjyafj,https://api.spotify.com/v1/audio-analysis/3OtCe3K1nu7MIoLkqjyafj,385533,4
アイノカタチ -Tv size-,0.526,0.701,6,-5.953,1,0.0317,0.072,0,0.15,0.336,89.262,audio_features,0BlbLxGwrtwTdUYPPkj9RE,spotify:track:0BlbLxGwrtwTdUYPPkj9RE,https://api.spotify.com/v1/tracks/0BlbLxGwrtwTdUYPPkj9RE,https://api.spotify.com/v1/audio-analysis/0BlbLxGwrtwTdUYPPkj9RE,143520,4
