name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ら・ら・ら (2019 Remastered),0.578,0.907,5,-2.357,1,0.0292,0.00623,0,0.316,0.832,121.229,audio_features,08WMcRBYuUEzTnbQ5v9wuq,spotify:track:08WMcRBYuUEzTnbQ5v9wuq,https://api.spotify.com/v1/tracks/08WMcRBYuUEzTnbQ5v9wuq,https://api.spotify.com/v1/audio-analysis/08WMcRBYuUEzTnbQ5v9wuq,264711,4
あなただけ見つめてる,0.752,0.888,1,-4.669,0,0.0735,0.276,0,0.101,0.624,120.125,audio_features,0e4jGLY8dwOnhniy2Hdtzc,spotify:track:0e4jGLY8dwOnhniy2Hdtzc,https://api.spotify.com/v1/tracks/0e4jGLY8dwOnhniy2Hdtzc,https://api.spotify.com/v1/audio-analysis/0e4jGLY8dwOnhniy2Hdtzc,282378,4
東京 Only Peace Voice Of Japan “Kids” with 大黒摩季,0.64,0.882,7,-5.873,1,0.0567,0.0964,1.03e-06,0.39,0.671,111.035,audio_features,6Ec7oVlUWYke8oWIlgrQwP,spotify:track:6Ec7oVlUWYke8oWIlgrQwP,https://api.spotify.com/v1/tracks/6Ec7oVlUWYke8oWIlgrQwP,https://api.spotify.com/v1/audio-analysis/6Ec7oVlUWYke8oWIlgrQwP,443467,4
あなただけ見つめてる (2019 Remastered),0.751,0.89,1,-4.217,0,0.0737,0.264,0,0.0957,0.62,120.137,audio_features,1I6dkQgP31XzdcHFnBgPt7,spotify:track:1I6dkQgP31XzdcHFnBgPt7,https://api.spotify.com/v1/tracks/1I6dkQgP31XzdcHFnBgPt7,https://api.spotify.com/v1/audio-analysis/1I6dkQgP31XzdcHFnBgPt7,283233,4
ら・ら・ら,0.579,0.903,5,-2.327,1,0.0293,0.00664,0,0.284,0.831,121.228,audio_features,1SE71BfSiTa8vv5c8LKIYH,spotify:track:1SE71BfSiTa8vv5c8LKIYH,https://api.spotify.com/v1/tracks/1SE71BfSiTa8vv5c8LKIYH,https://api.spotify.com/v1/audio-analysis/1SE71BfSiTa8vv5c8LKIYH,264177,4
熱くなれ,0.596,0.905,11,-3.255,1,0.0419,0.00062,2.66e-05,0.343,0.29,140.032,audio_features,4I5Fu2jmSWXVR4Z08AqsME,spotify:track:4I5Fu2jmSWXVR4Z08AqsME,https://api.spotify.com/v1/tracks/4I5Fu2jmSWXVR4Z08AqsME,https://api.spotify.com/v1/audio-analysis/4I5Fu2jmSWXVR4Z08AqsME,219846,4
夏が来る、そして...,0.667,0.963,4,-4.234,0,0.182,0.11,5.33e-06,0.142,0.708,124.769,audio_features,1B8z8OOeABas5Xc2L0Ohyb,spotify:track:1B8z8OOeABas5Xc2L0Ohyb,https://api.spotify.com/v1/tracks/1B8z8OOeABas5Xc2L0Ohyb,https://api.spotify.com/v1/audio-analysis/1B8z8OOeABas5Xc2L0Ohyb,340000,4
Anything Goes!,0.468,0.979,2,-2.079,1,0.134,0.0131,0,0.176,0.35,95.002,audio_features,15UZuYtErZ2bkbdDqkIKf7,spotify:track:15UZuYtErZ2bkbdDqkIKf7,https://api.spotify.com/v1/tracks/15UZuYtErZ2bkbdDqkIKf7,https://api.spotify.com/v1/audio-analysis/15UZuYtErZ2bkbdDqkIKf7,211120,4
夏が来る,0.641,0.93,2,-3.802,1,0.0886,0.357,1.44e-05,0.218,0.431,101.014,audio_features,32MwyrgupLo6dWgCWbqrb8,spotify:track:32MwyrgupLo6dWgCWbqrb8,https://api.spotify.com/v1/tracks/32MwyrgupLo6dWgCWbqrb8,https://api.spotify.com/v1/audio-analysis/32MwyrgupLo6dWgCWbqrb8,284102,4
SPARKLE,0.353,0.973,0,-3.666,1,0.0847,0.00064,0,0.331,0.221,91.07,audio_features,3unrxlACiwOQvmIIZKdHhw,spotify:track:3unrxlACiwOQvmIIZKdHhw,https://api.spotify.com/v1/tracks/3unrxlACiwOQvmIIZKdHhw,https://api.spotify.com/v1/audio-analysis/3unrxlACiwOQvmIIZKdHhw,314133,4
