name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
オルターエゴ,0.482,0.889,0,-5.325,1,0.0392,0.0782,0.000965,0.392,0.55,175.997,audio_features,7kR5u7rrajGzBuCiJjdOyU,spotify:track:7kR5u7rrajGzBuCiJjdOyU,https://api.spotify.com/v1/tracks/7kR5u7rrajGzBuCiJjdOyU,https://api.spotify.com/v1/audio-analysis/7kR5u7rrajGzBuCiJjdOyU,222955,4
共犯者,0.57,0.879,1,-6.634,0,0.0329,0.00582,0,0.13,0.808,153.89,audio_features,6Oerspm9lnyfc6bIRY64UN,spotify:track:6Oerspm9lnyfc6bIRY64UN,https://api.spotify.com/v1/tracks/6Oerspm9lnyfc6bIRY64UN,https://api.spotify.com/v1/audio-analysis/6Oerspm9lnyfc6bIRY64UN,146104,4
最後の晩餐,0.728,0.831,9,-3.921,1,0.0286,0.0381,0,0.324,0.864,131.971,audio_features,2BlUCFhleLjay9fFyvxPG3,spotify:track:2BlUCFhleLjay9fFyvxPG3,https://api.spotify.com/v1/tracks/2BlUCFhleLjay9fFyvxPG3,https://api.spotify.com/v1/audio-analysis/2BlUCFhleLjay9fFyvxPG3,219000,4
ドロシー,0.529,0.923,1,-4.142,1,0.0445,0.006,0,0.373,0.526,167.958,audio_features,6fcmTEEJm8OChJF1C9G9st,spotify:track:6fcmTEEJm8OChJF1C9G9st,https://api.spotify.com/v1/tracks/6fcmTEEJm8OChJF1C9G9st,https://api.spotify.com/v1/audio-analysis/6fcmTEEJm8OChJF1C9G9st,226314,4
オッドアイ,0.514,0.887,0,-5.371,1,0.0548,0.00492,0.000163,0.335,0.413,180.06,audio_features,0rp6Opdc9fAt3JjBikOTnh,spotify:track:0rp6Opdc9fAt3JjBikOTnh,https://api.spotify.com/v1/tracks/0rp6Opdc9fAt3JjBikOTnh,https://api.spotify.com/v1/audio-analysis/0rp6Opdc9fAt3JjBikOTnh,156640,4
不完全愛情進行中,0.798,0.619,7,-8.139,1,0.0332,0.034,0,0.289,0.957,129.998,audio_features,1kccUSvGvxEt7tccnrfV4y,spotify:track:1kccUSvGvxEt7tccnrfV4y,https://api.spotify.com/v1/tracks/1kccUSvGvxEt7tccnrfV4y,https://api.spotify.com/v1/audio-analysis/1kccUSvGvxEt7tccnrfV4y,161538,4
FAKE,0.72,0.848,11,-4.437,0,0.105,0.0801,0,0.102,0.86,149.9,audio_features,6B8kzDpTcgrm8Vc5rgcANl,spotify:track:6B8kzDpTcgrm8Vc5rgcANl,https://api.spotify.com/v1/tracks/6B8kzDpTcgrm8Vc5rgcANl,https://api.spotify.com/v1/audio-analysis/6B8kzDpTcgrm8Vc5rgcANl,175200,4
アンダードッグ,0.571,0.874,8,-5.826,0,0.0362,0.000228,0,0.308,0.899,138.006,audio_features,2rFFivb1jtX1Nyu3r4Xxst,spotify:track:2rFFivb1jtX1Nyu3r4Xxst,https://api.spotify.com/v1/tracks/2rFFivb1jtX1Nyu3r4Xxst,https://api.spotify.com/v1/audio-analysis/2rFFivb1jtX1Nyu3r4Xxst,174783,4
Rose,0.683,0.685,0,-6.331,1,0.0252,0.282,0.149,0.115,0.297,99.974,audio_features,4O7s9Aw5pebJL0pbiUoTM4,spotify:track:4O7s9Aw5pebJL0pbiUoTM4,https://api.spotify.com/v1/tracks/4O7s9Aw5pebJL0pbiUoTM4,https://api.spotify.com/v1/audio-analysis/4O7s9Aw5pebJL0pbiUoTM4,235200,4
祈りの海,0.621,0.853,9,-4.026,1,0.0558,0.0754,1.81e-05,0.112,0.254,169.956,audio_features,0bXMSLQ2MKlJu3oz2M6oyy,spotify:track:0bXMSLQ2MKlJu3oz2M6oyy,https://api.spotify.com/v1/tracks/0bXMSLQ2MKlJu3oz2M6oyy,https://api.spotify.com/v1/audio-analysis/0bXMSLQ2MKlJu3oz2M6oyy,150706,4
