name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Love You From Far Away,0.683,0.162,11,-12.258,1,0.0449,0.811,0,0.11,0.484,119.699,audio_features,0Cbme7ge1K5JSgOZGlzlKz,spotify:track:0Cbme7ge1K5JSgOZGlzlKz,https://api.spotify.com/v1/tracks/0Cbme7ge1K5JSgOZGlzlKz,https://api.spotify.com/v1/audio-analysis/0Cbme7ge1K5JSgOZGlzlKz,184935,4
Thank You,0.643,0.304,7,-11.36,1,0.0327,0.653,0,0.139,0.377,102.853,audio_features,6QmnG94UJI6NyfUIGvTqtK,spotify:track:6QmnG94UJI6NyfUIGvTqtK,https://api.spotify.com/v1/tracks/6QmnG94UJI6NyfUIGvTqtK,https://api.spotify.com/v1/audio-analysis/6QmnG94UJI6NyfUIGvTqtK,164037,4
ily,0.65,0.406,5,-11.678,1,0.0466,0.779,0,0.162,0.593,130.021,audio_features,02KpmI776DX37H0Brl5MfV,spotify:track:02KpmI776DX37H0Brl5MfV,https://api.spotify.com/v1/tracks/02KpmI776DX37H0Brl5MfV,https://api.spotify.com/v1/audio-analysis/02KpmI776DX37H0Brl5MfV,217954,4
True Colors,0.685,0.521,0,-6.592,1,0.0633,0.0678,5.59e-05,0.34,0.382,117.995,audio_features,7I0zXm17yd621FCWsQKQYp,spotify:track:7I0zXm17yd621FCWsQKQYp,https://api.spotify.com/v1/tracks/7I0zXm17yd621FCWsQKQYp,https://api.spotify.com/v1/audio-analysis/7I0zXm17yd621FCWsQKQYp,165254,4
Golden Drop,0.731,0.453,5,-13.493,1,0.0376,0.69,0.226,0.115,0.774,109.986,audio_features,662Jgq9gsJOAz61an7pbrH,spotify:track:662Jgq9gsJOAz61an7pbrH,https://api.spotify.com/v1/tracks/662Jgq9gsJOAz61an7pbrH,https://api.spotify.com/v1/audio-analysis/662Jgq9gsJOAz61an7pbrH,222960,4
Ituwa,0.873,0.694,10,-8.883,0,0.0574,0.0724,0.000562,0.328,0.889,108.022,audio_features,6tc9PUEtR7qXLVZGM2uMc9,spotify:track:6tc9PUEtR7qXLVZGM2uMc9,https://api.spotify.com/v1/tracks/6tc9PUEtR7qXLVZGM2uMc9,https://api.spotify.com/v1/audio-analysis/6tc9PUEtR7qXLVZGM2uMc9,158000,4
Yomai Girl,0.615,0.779,4,-9.798,0,0.0351,0.0194,0.00243,0.322,0.863,159.988,audio_features,0UqeBeqBUP9Fdzl0hMHfUl,spotify:track:0UqeBeqBUP9Fdzl0hMHfUl,https://api.spotify.com/v1/tracks/0UqeBeqBUP9Fdzl0hMHfUl,https://api.spotify.com/v1/audio-analysis/0UqeBeqBUP9Fdzl0hMHfUl,161320,4
Supercooling,0.628,0.721,11,-10.24,1,0.0394,0.0824,0.00113,0.366,0.745,120.034,audio_features,1QA7pnBBCNasOAf52kPkTP,spotify:track:1QA7pnBBCNasOAf52kPkTP,https://api.spotify.com/v1/tracks/1QA7pnBBCNasOAf52kPkTP,https://api.spotify.com/v1/audio-analysis/1QA7pnBBCNasOAf52kPkTP,206130,4
walker,0.533,0.671,3,-7.677,0,0.0404,0.00373,9.76e-06,0.128,0.742,200.072,audio_features,32n76d8bcycr7BnFsVMS3S,spotify:track:32n76d8bcycr7BnFsVMS3S,https://api.spotify.com/v1/tracks/32n76d8bcycr7BnFsVMS3S,https://api.spotify.com/v1/audio-analysis/32n76d8bcycr7BnFsVMS3S,215380,4
Hollow Heart,0.714,0.628,8,-10.106,0,0.0447,0.0846,0.0903,0.326,0.953,123.999,audio_features,2BnOoN1GPgvXQWXu8SXn0T,spotify:track:2BnOoN1GPgvXQWXu8SXn0T,https://api.spotify.com/v1/tracks/2BnOoN1GPgvXQWXu8SXn0T,https://api.spotify.com/v1/audio-analysis/2BnOoN1GPgvXQWXu8SXn0T,183720,4
Log,0.677,0.648,5,-11.156,0,0.0318,0.0475,0.00949,0.323,0.748,132.028,audio_features,6o0r6PRozUQLSLFioiw2Zs,spotify:track:6o0r6PRozUQLSLFioiw2Zs,https://api.spotify.com/v1/tracks/6o0r6PRozUQLSLFioiw2Zs,https://api.spotify.com/v1/audio-analysis/6o0r6PRozUQLSLFioiw2Zs,152500,4
アルス・ノーバ,0.777,0.833,4,-7.253,0,0.0573,0.0288,0,0.36,0.863,108.001,audio_features,4kB4y5Sw9lx7OseLOpV4N5,spotify:track:4kB4y5Sw9lx7OseLOpV4N5,https://api.spotify.com/v1/tracks/4kB4y5Sw9lx7OseLOpV4N5,https://api.spotify.com/v1/audio-analysis/4kB4y5Sw9lx7OseLOpV4N5,186389,4
sai-sai,0.742,0.612,0,-8.994,1,0.114,0.514,0.00517,0.127,0.198,155.965,audio_features,7rttlXvSjA3YxeBcqO8rM0,spotify:track:7rttlXvSjA3YxeBcqO8rM0,https://api.spotify.com/v1/tracks/7rttlXvSjA3YxeBcqO8rM0,https://api.spotify.com/v1/audio-analysis/7rttlXvSjA3YxeBcqO8rM0,116154,4
Supercooling,0.633,0.825,11,-4.863,1,0.0327,0.0817,5.78e-05,0.339,0.711,120.093,audio_features,6J398yqfwoaN2CWOsql8uJ,spotify:track:6J398yqfwoaN2CWOsql8uJ,https://api.spotify.com/v1/tracks/6J398yqfwoaN2CWOsql8uJ,https://api.spotify.com/v1/audio-analysis/6J398yqfwoaN2CWOsql8uJ,206000,4
Pierce End Card,0.676,0.736,0,-9.091,0,0.06,0.0486,0,0.127,0.936,80.987,audio_features,08zzBNf2nYSJNNJ4iZmyvn,spotify:track:08zzBNf2nYSJNNJ4iZmyvn,https://api.spotify.com/v1/tracks/08zzBNf2nYSJNNJ4iZmyvn,https://api.spotify.com/v1/audio-analysis/08zzBNf2nYSJNNJ4iZmyvn,197550,4
Logicwine,0.784,0.619,1,-8.097,1,0.0545,0.159,2.61e-06,0.367,0.817,110.014,audio_features,4TBMbGIjlFjueDgmYqBnlT,spotify:track:4TBMbGIjlFjueDgmYqBnlT,https://api.spotify.com/v1/tracks/4TBMbGIjlFjueDgmYqBnlT,https://api.spotify.com/v1/audio-analysis/4TBMbGIjlFjueDgmYqBnlT,168500,4
Proof,0.633,0.776,1,-9.547,0,0.0517,0.0449,0,0.34,0.724,112.071,audio_features,0fTDnI9LrMxnKaiP2fux2i,spotify:track:0fTDnI9LrMxnKaiP2fux2i,https://api.spotify.com/v1/tracks/0fTDnI9LrMxnKaiP2fux2i,https://api.spotify.com/v1/audio-analysis/0fTDnI9LrMxnKaiP2fux2i,189000,4
Likea,0.635,0.837,1,-7.272,1,0.0465,0.0371,0.000795,0.156,0.885,121.066,audio_features,40hxleAbV3MTKRkE2CK8lN,spotify:track:40hxleAbV3MTKRkE2CK8lN,https://api.spotify.com/v1/tracks/40hxleAbV3MTKRkE2CK8lN,https://api.spotify.com/v1/audio-analysis/40hxleAbV3MTKRkE2CK8lN,200540,4
Breathe,0.766,0.685,6,-8.362,0,0.0309,0.0396,6.49e-05,0.193,0.637,125.983,audio_features,3tPHVhnyWbt29PUwXmDynr,spotify:track:3tPHVhnyWbt29PUwXmDynr,https://api.spotify.com/v1/tracks/3tPHVhnyWbt29PUwXmDynr,https://api.spotify.com/v1/audio-analysis/3tPHVhnyWbt29PUwXmDynr,203590,4
Hydra,0.719,0.949,7,-4.217,0,0.0852,0.0741,2.28e-06,0.327,0.852,135.993,audio_features,6RUqEt7rVQGNkUKsp6aDyJ,spotify:track:6RUqEt7rVQGNkUKsp6aDyJ,https://api.spotify.com/v1/tracks/6RUqEt7rVQGNkUKsp6aDyJ,https://api.spotify.com/v1/audio-analysis/6RUqEt7rVQGNkUKsp6aDyJ,215294,4
Itsuwa,0.844,0.691,0,-9.476,0,0.0663,0.0949,0.017,0.298,0.918,108.005,audio_features,4rSlSvXMmgwdam88egfGqF,spotify:track:4rSlSvXMmgwdam88egfGqF,https://api.spotify.com/v1/tracks/4rSlSvXMmgwdam88egfGqF,https://api.spotify.com/v1/audio-analysis/4rSlSvXMmgwdam88egfGqF,158000,4
Hydra,0.733,0.824,5,-10.472,0,0.048,0.0519,0.000218,0.276,0.878,135.992,audio_features,6JfSSWrbA01XUpooJAWaYd,spotify:track:6JfSSWrbA01XUpooJAWaYd,https://api.spotify.com/v1/tracks/6JfSSWrbA01XUpooJAWaYd,https://api.spotify.com/v1/audio-analysis/6JfSSWrbA01XUpooJAWaYd,213660,4
Prey,0.769,0.665,1,-9.396,1,0.0485,0.0639,5.21e-06,0.0691,0.651,116.039,audio_features,0Dv9FqeIMKVPXY7RAiuhN5,spotify:track:0Dv9FqeIMKVPXY7RAiuhN5,https://api.spotify.com/v1/tracks/0Dv9FqeIMKVPXY7RAiuhN5,https://api.spotify.com/v1/audio-analysis/0Dv9FqeIMKVPXY7RAiuhN5,159760,4
BLUE BEE,0.701,0.733,3,-7.363,1,0.0376,0.177,5.56e-05,0.0601,0.957,134.959,audio_features,7LWpmNP7atx1XEJQxZmzOc,spotify:track:7LWpmNP7atx1XEJQxZmzOc,https://api.spotify.com/v1/tracks/7LWpmNP7atx1XEJQxZmzOc,https://api.spotify.com/v1/audio-analysis/7LWpmNP7atx1XEJQxZmzOc,161333,4
Norma's Soliloquy,0.862,0.585,2,-6.94,1,0.0358,0.00945,1.66e-05,0.349,0.192,122.02,audio_features,5gE2dBVz2rp2TgIpLZweoR,spotify:track:5gE2dBVz2rp2TgIpLZweoR,https://api.spotify.com/v1/tracks/5gE2dBVz2rp2TgIpLZweoR,https://api.spotify.com/v1/audio-analysis/5gE2dBVz2rp2TgIpLZweoR,183934,4
