name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
掌ダンス,0.467,0.946,1,-2.761,1,0.16,0.000932,0,0.101,0.582,159.853,audio_features,4tofitqXNkQuFxQkdKSHbq,spotify:track:4tofitqXNkQuFxQkdKSHbq,https://api.spotify.com/v1/tracks/4tofitqXNkQuFxQkdKSHbq,https://api.spotify.com/v1/audio-analysis/4tofitqXNkQuFxQkdKSHbq,219053,4
千年愛,0.68,0.796,9,-3.551,0,0.05,0.0268,0,0.229,0.668,130.013,audio_features,0E2yXD1ITwgq3T1gANDVTV,spotify:track:0E2yXD1ITwgq3T1gANDVTV,https://api.spotify.com/v1/tracks/0E2yXD1ITwgq3T1gANDVTV,https://api.spotify.com/v1/audio-analysis/0E2yXD1ITwgq3T1gANDVTV,285827,4
StarZ,0.381,0.838,0,-3.705,1,0.0613,0.000554,0,0.0943,0.3,179.948,audio_features,1ThGXo1oiF6g9V9yDOaUmd,spotify:track:1ThGXo1oiF6g9V9yDOaUmd,https://api.spotify.com/v1/tracks/1ThGXo1oiF6g9V9yDOaUmd,https://api.spotify.com/v1/audio-analysis/1ThGXo1oiF6g9V9yDOaUmd,245333,4
Diver×Diver,0.552,0.965,2,-2.24,1,0.114,0.065,0,0.121,0.72,165.009,audio_features,6ObVFMDWGRu0rz4fkidohJ,spotify:track:6ObVFMDWGRu0rz4fkidohJ,https://api.spotify.com/v1/tracks/6ObVFMDWGRu0rz4fkidohJ,https://api.spotify.com/v1/audio-analysis/6ObVFMDWGRu0rz4fkidohJ,187013,4
hero_,0.526,0.913,11,-3.192,0,0.141,0.129,0,0.333,0.316,134.942,audio_features,5ZxNkUt0oGclxCIkLtfNou,spotify:track:5ZxNkUt0oGclxCIkLtfNou,https://api.spotify.com/v1/tracks/5ZxNkUt0oGclxCIkLtfNou,https://api.spotify.com/v1/audio-analysis/5ZxNkUt0oGclxCIkLtfNou,223867,4
TOKYO MONSTERZ,0.566,0.975,11,-1.451,1,0.202,0.103,0,0.365,0.647,156.01,audio_features,389QkCrYQX56N9OGdOTMVx,spotify:track:389QkCrYQX56N9OGdOTMVx,https://api.spotify.com/v1/tracks/389QkCrYQX56N9OGdOTMVx,https://api.spotify.com/v1/audio-analysis/389QkCrYQX56N9OGdOTMVx,221040,4
Roulette!,0.629,0.986,7,-1.83,1,0.119,0.0178,0,0.312,0.549,128.051,audio_features,6OzvanwaKrc3Her5tMIa04,spotify:track:6OzvanwaKrc3Her5tMIa04,https://api.spotify.com/v1/tracks/6OzvanwaKrc3Her5tMIa04,https://api.spotify.com/v1/audio-analysis/6OzvanwaKrc3Her5tMIa04,228480,4
僕色君色ドリーム,0.415,0.944,11,-3.006,0,0.117,0.0142,0,0.488,0.441,165.989,audio_features,3QYzL3jfA7Q299ZrdiR7pm,spotify:track:3QYzL3jfA7Q299ZrdiR7pm,https://api.spotify.com/v1/tracks/3QYzL3jfA7Q299ZrdiR7pm,https://api.spotify.com/v1/audio-analysis/3QYzL3jfA7Q299ZrdiR7pm,223640,4
Beep☆CARAMEL,0.753,0.939,0,-2.513,1,0.0785,0.123,0,0.0804,0.607,126.047,audio_features,5cGAJbhlfzat31ywQMHfhf,spotify:track:5cGAJbhlfzat31ywQMHfhf,https://api.spotify.com/v1/tracks/5cGAJbhlfzat31ywQMHfhf,https://api.spotify.com/v1/audio-analysis/5cGAJbhlfzat31ywQMHfhf,292867,4
ペトリコール,0.879,0.749,5,-6.343,0,0.122,0.403,0,0.0817,0.894,98.974,audio_features,1qEYvIjdF1EbzatyjCBCnm,spotify:track:1qEYvIjdF1EbzatyjCBCnm,https://api.spotify.com/v1/tracks/1qEYvIjdF1EbzatyjCBCnm,https://api.spotify.com/v1/audio-analysis/1qEYvIjdF1EbzatyjCBCnm,217080,4
Unison,0.673,0.918,3,-2.996,1,0.063,0.0134,0,0.27,0.849,129.937,audio_features,6tX1Oi9qPj1EdtTlsokxHW,spotify:track:6tX1Oi9qPj1EdtTlsokxHW,https://api.spotify.com/v1/tracks/6tX1Oi9qPj1EdtTlsokxHW,https://api.spotify.com/v1/audio-analysis/6tX1Oi9qPj1EdtTlsokxHW,205200,4
-Hanakin-,0.835,0.724,1,-3.988,1,0.153,0.0264,0,0.0567,0.609,130.001,audio_features,2SefuU6y2Pow5CRRGly39e,spotify:track:2SefuU6y2Pow5CRRGly39e,https://api.spotify.com/v1/tracks/2SefuU6y2Pow5CRRGly39e,https://api.spotify.com/v1/audio-analysis/2SefuU6y2Pow5CRRGly39e,210200,4
MonsterZ PARADE,0.615,0.947,6,-2.919,0,0.0992,0.334,0,0.215,0.554,135.971,audio_features,2qetRkG4ufgKBSgkOGOI5A,spotify:track:2qetRkG4ufgKBSgkOGOI5A,https://api.spotify.com/v1/tracks/2qetRkG4ufgKBSgkOGOI5A,https://api.spotify.com/v1/audio-analysis/2qetRkG4ufgKBSgkOGOI5A,296240,4
フロムアイム,0.539,0.848,1,-3.541,0,0.109,0.0173,0,0.25,0.55,137.055,audio_features,1si1YUCqeR0JVQhZ9ScEMr,spotify:track:1si1YUCqeR0JVQhZ9ScEMr,https://api.spotify.com/v1/tracks/1si1YUCqeR0JVQhZ9ScEMr,https://api.spotify.com/v1/audio-analysis/1si1YUCqeR0JVQhZ9ScEMr,241133,4
花咲ク未来ニ,0.6,0.824,11,-4.299,1,0.0437,0.0436,0,0.29,0.393,127.955,audio_features,11cbHKcPxnuzzYUNAYRAgk,spotify:track:11cbHKcPxnuzzYUNAYRAgk,https://api.spotify.com/v1/tracks/11cbHKcPxnuzzYUNAYRAgk,https://api.spotify.com/v1/audio-analysis/11cbHKcPxnuzzYUNAYRAgk,295147,4
狼狽,0.513,0.865,11,-3.424,0,0.061,0.0185,0,0.099,0.538,100.046,audio_features,3is3g2oHpDdv1qAkEEnOi1,spotify:track:3is3g2oHpDdv1qAkEEnOi1,https://api.spotify.com/v1/tracks/3is3g2oHpDdv1qAkEEnOi1,https://api.spotify.com/v1/audio-analysis/3is3g2oHpDdv1qAkEEnOi1,231627,4
また明日,0.856,0.831,5,-7.038,1,0.105,0.587,4.43e-05,0.267,0.477,98.01,audio_features,0p5iVDvCDdWkfCMzkBismg,spotify:track:0p5iVDvCDdWkfCMzkBismg,https://api.spotify.com/v1/tracks/0p5iVDvCDdWkfCMzkBismg,https://api.spotify.com/v1/audio-analysis/0p5iVDvCDdWkfCMzkBismg,194853,4
Live your life!!,0.527,0.907,7,-3.413,1,0.0768,0.0154,0,0.126,0.367,91.074,audio_features,0KvKPauy0Ud3pLddi3X3NI,spotify:track:0KvKPauy0Ud3pLddi3X3NI,https://api.spotify.com/v1/tracks/0KvKPauy0Ud3pLddi3X3NI,https://api.spotify.com/v1/audio-analysis/0KvKPauy0Ud3pLddi3X3NI,237240,4
トロピカ☆ナツオーレ~俺らの恋した真夏のVenus~,0.544,0.953,8,-3.028,1,0.101,0.0426,3.55e-06,0.343,0.789,77.481,audio_features,0rc81QTruV8s5d3vvU6rQo,spotify:track:0rc81QTruV8s5d3vvU6rQo,https://api.spotify.com/v1/tracks/0rc81QTruV8s5d3vvU6rQo,https://api.spotify.com/v1/audio-analysis/0rc81QTruV8s5d3vvU6rQo,247507,4
One Da Land,0.791,0.867,0,-4.518,1,0.0724,0.12,0,0.0655,0.789,126.989,audio_features,5cRuezho7qZe4BYeHzCuRU,spotify:track:5cRuezho7qZe4BYeHzCuRU,https://api.spotify.com/v1/tracks/5cRuezho7qZe4BYeHzCuRU,https://api.spotify.com/v1/audio-analysis/5cRuezho7qZe4BYeHzCuRU,202840,4
ラジー,0.461,0.977,1,-2.035,1,0.188,0.00057,0,0.131,0.485,89.822,audio_features,7y0oSDwAX9tUHBhtggR3tZ,spotify:track:7y0oSDwAX9tUHBhtggR3tZ,https://api.spotify.com/v1/tracks/7y0oSDwAX9tUHBhtggR3tZ,https://api.spotify.com/v1/audio-analysis/7y0oSDwAX9tUHBhtggR3tZ,209840,4
Bite me.,0.631,0.74,9,-6.828,0,0.036,0.0703,0,0.0739,0.506,97.035,audio_features,6DQFhaLEFBHxxpWeILsWhZ,spotify:track:6DQFhaLEFBHxxpWeILsWhZ,https://api.spotify.com/v1/tracks/6DQFhaLEFBHxxpWeILsWhZ,https://api.spotify.com/v1/audio-analysis/6DQFhaLEFBHxxpWeILsWhZ,223373,4
Last Judgement,0.601,0.933,7,-3.415,0,0.134,0.0576,0,0.431,0.736,127.946,audio_features,68jizhUNM9poW03lZKQbtf,spotify:track:68jizhUNM9poW03lZKQbtf,https://api.spotify.com/v1/tracks/68jizhUNM9poW03lZKQbtf,https://api.spotify.com/v1/audio-analysis/68jizhUNM9poW03lZKQbtf,235187,4
daydream,0.614,0.873,6,-6.244,1,0.221,0.572,0,0.0959,0.633,88.087,audio_features,7rknFPru6XBq8MDSRRr0Qv,spotify:track:7rknFPru6XBq8MDSRRr0Qv,https://api.spotify.com/v1/tracks/7rknFPru6XBq8MDSRRr0Qv,https://api.spotify.com/v1/audio-analysis/7rknFPru6XBq8MDSRRr0Qv,251853,4
255,0.398,0.95,8,-3.12,1,0.38,0.000681,1.44e-06,0.125,0.554,181.066,audio_features,4UUKXYyAwUqd6eP5tG61rN,spotify:track:4UUKXYyAwUqd6eP5tG61rN,https://api.spotify.com/v1/tracks/4UUKXYyAwUqd6eP5tG61rN,https://api.spotify.com/v1/audio-analysis/4UUKXYyAwUqd6eP5tG61rN,200280,4
MUNO,0.847,0.843,7,-5.058,1,0.263,0.044,0,0.0786,0.44,89.991,audio_features,1beP5Bj7Bca56IkOb0ogSC,spotify:track:1beP5Bj7Bca56IkOb0ogSC,https://api.spotify.com/v1/tracks/1beP5Bj7Bca56IkOb0ogSC,https://api.spotify.com/v1/audio-analysis/1beP5Bj7Bca56IkOb0ogSC,231507,4
ミスターエンド,0.815,0.651,1,-5.403,1,0.0467,0.107,0,0.167,0.603,115.995,audio_features,5lBO6NL8dA9nTw4KnPryST,spotify:track:5lBO6NL8dA9nTw4KnPryST,https://api.spotify.com/v1/tracks/5lBO6NL8dA9nTw4KnPryST,https://api.spotify.com/v1/audio-analysis/5lBO6NL8dA9nTw4KnPryST,212933,4
ランウェイで歌えば,0.589,0.877,0,-2.667,1,0.0526,0.00371,0,0.0805,0.745,97.972,audio_features,6sbI0Wv2KrFFf2L4soTAeW,spotify:track:6sbI0Wv2KrFFf2L4soTAeW,https://api.spotify.com/v1/tracks/6sbI0Wv2KrFFf2L4soTAeW,https://api.spotify.com/v1/audio-analysis/6sbI0Wv2KrFFf2L4soTAeW,214040,4
