name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
フライディ・チャイナタウン,0.668,0.806,6,-4.831,0,0.0382,0.176,0,0.36,0.555,123.025,audio_features,5CpS5wnbMqubch7uatRS6f,spotify:track:5CpS5wnbMqubch7uatRS6f,https://api.spotify.com/v1/tracks/5CpS5wnbMqubch7uatRS6f,https://api.spotify.com/v1/audio-analysis/5CpS5wnbMqubch7uatRS6f,180840,4
真夜中のドア~Stay With Me~,0.658,0.818,5,-4.279,1,0.0716,0.234,0,0.0828,0.438,108.013,audio_features,6fTchuFwzQvuQzoKKWNBCr,spotify:track:6fTchuFwzQvuQzoKKWNBCr,https://api.spotify.com/v1/tracks/6fTchuFwzQvuQzoKKWNBCr,https://api.spotify.com/v1/audio-analysis/6fTchuFwzQvuQzoKKWNBCr,311880,4
フライディ・チャイナタウン,0.676,0.808,6,-4.983,0,0.0372,0.389,0,0.308,0.493,122.995,audio_features,5yN5FCgZjfCrGrRCfA0YqS,spotify:track:5yN5FCgZjfCrGrRCfA0YqS,https://api.spotify.com/v1/tracks/5yN5FCgZjfCrGrRCfA0YqS,https://api.spotify.com/v1/audio-analysis/5yN5FCgZjfCrGrRCfA0YqS,179120,4
baby don't know why,0.817,0.818,3,-5.676,1,0.0412,0.0384,0,0.0857,0.752,114.962,audio_features,6WBeIyeKOj7uRTuDFnom9D,spotify:track:6WBeIyeKOj7uRTuDFnom9D,https://api.spotify.com/v1/tracks/6WBeIyeKOj7uRTuDFnom9D,https://api.spotify.com/v1/audio-analysis/6WBeIyeKOj7uRTuDFnom9D,271720,4
空と君のあいだに,0.592,0.821,9,-3.27,0,0.0252,0.0659,0,0.433,0.53,107.019,audio_features,4CT8o30NJqMSAuShbnKy0X,spotify:track:4CT8o30NJqMSAuShbnKy0X,https://api.spotify.com/v1/tracks/4CT8o30NJqMSAuShbnKy0X,https://api.spotify.com/v1/audio-analysis/4CT8o30NJqMSAuShbnKy0X,259440,4
Be...,0.577,0.547,8,-6.498,1,0.0306,0.341,0,0.0968,0.239,148.061,audio_features,72q69UsCWj8gbDM2MOV6wS,spotify:track:72q69UsCWj8gbDM2MOV6wS,https://api.spotify.com/v1/tracks/72q69UsCWj8gbDM2MOV6wS,https://api.spotify.com/v1/audio-analysis/72q69UsCWj8gbDM2MOV6wS,290640,4
最後の雨,0.396,0.593,9,-6.15,1,0.0389,0.298,0,0.369,0.297,142.942,audio_features,10wGhEP8xOWhch7RD97hne,spotify:track:10wGhEP8xOWhch7RD97hne,https://api.spotify.com/v1/tracks/10wGhEP8xOWhch7RD97hne,https://api.spotify.com/v1/audio-analysis/10wGhEP8xOWhch7RD97hne,305787,4
初恋,0.621,0.795,5,-3.91,1,0.0351,0.0835,0,0.357,0.66,125.026,audio_features,0h1oG4DuFr5dB7SRvdu2zy,spotify:track:0h1oG4DuFr5dB7SRvdu2zy,https://api.spotify.com/v1/tracks/0h1oG4DuFr5dB7SRvdu2zy,https://api.spotify.com/v1/audio-analysis/0h1oG4DuFr5dB7SRvdu2zy,231413,4
First Love,0.342,0.464,7,-6.635,1,0.0298,0.526,0,0.0733,0.0962,179.85,audio_features,56dH62MXRulp87OrCPhAv9,spotify:track:56dH62MXRulp87OrCPhAv9,https://api.spotify.com/v1/tracks/56dH62MXRulp87OrCPhAv9,https://api.spotify.com/v1/audio-analysis/56dH62MXRulp87OrCPhAv9,266640,4
Intro,0.512,0.304,5,-21.77,1,0.05,0.926,0.721,0.333,0.366,97.577,audio_features,6rqYRrPIh6SNsyHgOukjEI,spotify:track:6rqYRrPIh6SNsyHgOukjEI,https://api.spotify.com/v1/tracks/6rqYRrPIh6SNsyHgOukjEI,https://api.spotify.com/v1/audio-analysis/6rqYRrPIh6SNsyHgOukjEI,50493,3
