name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
瞳にめざめて,0.528,0.937,8,-3.854,1,0.0497,0.00177,0,0.115,0.564,95.021,audio_features,2Mf4WM0Ek5JjbolrOtjLgi,spotify:track:2Mf4WM0Ek5JjbolrOtjLgi,https://api.spotify.com/v1/tracks/2Mf4WM0Ek5JjbolrOtjLgi,https://api.spotify.com/v1/audio-analysis/2Mf4WM0Ek5JjbolrOtjLgi,207520,4
ホームタウン,0.641,0.42,8,-13.634,1,0.0675,0.476,0.000476,0.13,0.411,169.967,audio_features,6ocYdFNcNTRJkEA1OB94EE,spotify:track:6ocYdFNcNTRJkEA1OB94EE,https://api.spotify.com/v1/tracks/6ocYdFNcNTRJkEA1OB94EE,https://api.spotify.com/v1/audio-analysis/6ocYdFNcNTRJkEA1OB94EE,427400,4
真赤,0.496,0.972,3,-3.249,1,0.123,0.00744,0,0.0895,0.35,97.547,audio_features,0ncUjMgT4Wl05I9va9Obc5,spotify:track:0ncUjMgT4Wl05I9va9Obc5,https://api.spotify.com/v1/tracks/0ncUjMgT4Wl05I9va9Obc5,https://api.spotify.com/v1/audio-analysis/0ncUjMgT4Wl05I9va9Obc5,204867,4
虜,0.456,0.798,1,-3.527,1,0.0397,0.00122,0,0.137,0.636,169.064,audio_features,5KihK93JmGLvHN4Ryv7VgU,spotify:track:5KihK93JmGLvHN4Ryv7VgU,https://api.spotify.com/v1/tracks/5KihK93JmGLvHN4Ryv7VgU,https://api.spotify.com/v1/audio-analysis/5KihK93JmGLvHN4Ryv7VgU,165573,4
恋人ができたんだ,0.367,0.602,11,-3.715,1,0.0488,0.00617,0,0.137,0.546,167.223,audio_features,0xFj47kde9HCKdivI4qIh7,spotify:track:0xFj47kde9HCKdivI4qIh7,https://api.spotify.com/v1/tracks/0xFj47kde9HCKdivI4qIh7,https://api.spotify.com/v1/audio-analysis/0xFj47kde9HCKdivI4qIh7,303187,4
最愛の果て,0.503,0.856,10,-4.084,1,0.032,0.000826,0,0.365,0.72,98.037,audio_features,08gHWqjHvB86q4cjhNdMhJ,spotify:track:08gHWqjHvB86q4cjhNdMhJ,https://api.spotify.com/v1/tracks/08gHWqjHvB86q4cjhNdMhJ,https://api.spotify.com/v1/audio-analysis/08gHWqjHvB86q4cjhNdMhJ,201653,4
元彼女として,0.573,0.952,8,-3.144,1,0.126,0.0449,0,0.17,0.732,146.836,audio_features,61ljG8KY152M7NbRcXXAes,spotify:track:61ljG8KY152M7NbRcXXAes,https://api.spotify.com/v1/tracks/61ljG8KY152M7NbRcXXAes,https://api.spotify.com/v1/audio-analysis/61ljG8KY152M7NbRcXXAes,122947,4
告白,0.561,0.906,1,-5.155,1,0.0551,0.000443,0,0.0767,0.679,104.122,audio_features,2m8OAPaEZOcHtgmdn1uyyv,spotify:track:2m8OAPaEZOcHtgmdn1uyyv,https://api.spotify.com/v1/tracks/2m8OAPaEZOcHtgmdn1uyyv,https://api.spotify.com/v1/audio-analysis/2m8OAPaEZOcHtgmdn1uyyv,137293,4
いつか結婚しても,0.505,0.789,6,-4.163,1,0.0307,0.00644,0,0.0902,0.591,79.988,audio_features,6rZTjkoaONQbdOGCXs9UZO,spotify:track:6rZTjkoaONQbdOGCXs9UZO,https://api.spotify.com/v1/tracks/6rZTjkoaONQbdOGCXs9UZO,https://api.spotify.com/v1/audio-analysis/6rZTjkoaONQbdOGCXs9UZO,246733,4
関白宣言,0.53,0.952,3,-3.881,1,0.0843,0.00714,0,0.283,0.773,142.073,audio_features,2KSlWmvOhZzAz0ByZWeo6C,spotify:track:2KSlWmvOhZzAz0ByZWeo6C,https://api.spotify.com/v1/tracks/2KSlWmvOhZzAz0ByZWeo6C,https://api.spotify.com/v1/audio-analysis/2KSlWmvOhZzAz0ByZWeo6C,186640,4
幻,0.342,0.73,1,-3.709,1,0.0369,0.00407,0,0.187,0.61,173.762,audio_features,4b6txnDj8rrMgw3gXlFP6x,spotify:track:4b6txnDj8rrMgw3gXlFP6x,https://api.spotify.com/v1/tracks/4b6txnDj8rrMgw3gXlFP6x,https://api.spotify.com/v1/audio-analysis/4b6txnDj8rrMgw3gXlFP6x,265200,4
音楽家になりたくて,0.528,0.902,11,-4.521,1,0.0806,0.000377,0,0.523,0.459,97.597,audio_features,2aExokQmcaQtxzoLSrHudO,spotify:track:2aExokQmcaQtxzoLSrHudO,https://api.spotify.com/v1/tracks/2aExokQmcaQtxzoLSrHudO,https://api.spotify.com/v1/audio-analysis/2aExokQmcaQtxzoLSrHudO,215867,4
