name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Feels So Right,0.567,0.964,8,-2.62,1,0.221,0.00549,0.279,0.311,0.478,179.98,audio_features,46Ddk4gmjEn29CYNNR4MLn,spotify:track:46Ddk4gmjEn29CYNNR4MLn,https://api.spotify.com/v1/tracks/46Ddk4gmjEn29CYNNR4MLn,https://api.spotify.com/v1/audio-analysis/46Ddk4gmjEn29CYNNR4MLn,221009,4
Moment,0.606,0.947,6,-3.407,0,0.346,0.0562,1.79e-05,0.0846,0.673,152.988,audio_features,2kN3WE8xKOKzCi2qJbpxBI,spotify:track:2kN3WE8xKOKzCi2qJbpxBI,https://api.spotify.com/v1/tracks/2kN3WE8xKOKzCi2qJbpxBI,https://api.spotify.com/v1/audio-analysis/2kN3WE8xKOKzCi2qJbpxBI,231090,4
Lost Child,0.669,0.832,11,-4.395,0,0.044,0.0234,0.464,0.101,0.791,125.993,audio_features,5pZS9dHAikSi0imfZRsbYx,spotify:track:5pZS9dHAikSi0imfZRsbYx,https://api.spotify.com/v1/tracks/5pZS9dHAikSi0imfZRsbYx,https://api.spotify.com/v1/audio-analysis/5pZS9dHAikSi0imfZRsbYx,206453,4
conversion,0.697,0.96,1,-2.868,1,0.0821,0.00294,0.738,0.319,0.591,160.811,audio_features,6uP2c5LqdaNKQpQAXS4l62,spotify:track:6uP2c5LqdaNKQpQAXS4l62,https://api.spotify.com/v1/tracks/6uP2c5LqdaNKQpQAXS4l62,https://api.spotify.com/v1/audio-analysis/6uP2c5LqdaNKQpQAXS4l62,283563,4
Caramel Planet,0.458,0.989,11,-2.29,1,0.0572,0.00913,0.504,0.102,0.535,170.065,audio_features,7fftzpOjPYWlCpHdZkEX8a,spotify:track:7fftzpOjPYWlCpHdZkEX8a,https://api.spotify.com/v1/tracks/7fftzpOjPYWlCpHdZkEX8a,https://api.spotify.com/v1/audio-analysis/7fftzpOjPYWlCpHdZkEX8a,208617,4
Jerrybeans,0.404,0.88,9,-6.067,1,0.0993,0.0298,0.0157,0.327,0.397,180.064,audio_features,0WZOLhD9LtzmR9RtGRviZi,spotify:track:0WZOLhD9LtzmR9RtGRviZi,https://api.spotify.com/v1/tracks/0WZOLhD9LtzmR9RtGRviZi,https://api.spotify.com/v1/audio-analysis/0WZOLhD9LtzmR9RtGRviZi,199807,4
Overstep,0.527,0.884,0,-5.505,1,0.0974,0.0526,7.13e-05,0.376,0.281,180.02,audio_features,1xnCXwcrW97JUwV4892VQm,spotify:track:1xnCXwcrW97JUwV4892VQm,https://api.spotify.com/v1/tracks/1xnCXwcrW97JUwV4892VQm,https://api.spotify.com/v1/audio-analysis/1xnCXwcrW97JUwV4892VQm,199813,4
Distance,0.594,0.97,6,-3.908,0,0.23,0.00472,0.0488,0.355,0.555,180.05,audio_features,6zyX9wSep8Cvu8OGzWhPI5,spotify:track:6zyX9wSep8Cvu8OGzWhPI5,https://api.spotify.com/v1/tracks/6zyX9wSep8Cvu8OGzWhPI5,https://api.spotify.com/v1/audio-analysis/6zyX9wSep8Cvu8OGzWhPI5,219131,4
Feverous,0.495,0.93,11,-3.375,0,0.0922,0.0938,0.00608,0.13,0.311,150.075,audio_features,0uiFa5YjzgJO2M19ryhQmG,spotify:track:0uiFa5YjzgJO2M19ryhQmG,https://api.spotify.com/v1/tracks/0uiFa5YjzgJO2M19ryhQmG,https://api.spotify.com/v1/audio-analysis/0uiFa5YjzgJO2M19ryhQmG,232500,4
Pastel Travel,0.675,0.893,4,-4.077,1,0.312,0.0865,0.00692,0.0944,0.863,173.782,audio_features,4u0x0dGqL5axLD6Csn4EeI,spotify:track:4u0x0dGqL5axLD6Csn4EeI,https://api.spotify.com/v1/tracks/4u0x0dGqL5axLD6Csn4EeI,https://api.spotify.com/v1/audio-analysis/4u0x0dGqL5axLD6Csn4EeI,188000,4
inner (feat. 初音ミク),0.514,0.858,10,-3.5,1,0.0933,0.0202,0,0.119,0.517,170.043,audio_features,7HdbV6iKPNHWsbFrafik4i,spotify:track:7HdbV6iKPNHWsbFrafik4i,https://api.spotify.com/v1/tracks/7HdbV6iKPNHWsbFrafik4i,https://api.spotify.com/v1/audio-analysis/7HdbV6iKPNHWsbFrafik4i,231529,4
Downertrip,0.734,0.902,6,-3.474,0,0.0718,0.00275,0.35,0.0623,0.672,140.0,audio_features,0ExznsnLPnfcWr2W5kHyx0,spotify:track:0ExznsnLPnfcWr2W5kHyx0,https://api.spotify.com/v1/tracks/0ExznsnLPnfcWr2W5kHyx0,https://api.spotify.com/v1/audio-analysis/0ExznsnLPnfcWr2W5kHyx0,267108,4
Access,0.697,0.966,7,-2.713,1,0.153,0.169,5.47e-05,0.353,0.629,140.016,audio_features,47e3j90ad8jRc8aReXUkSe,spotify:track:47e3j90ad8jRc8aReXUkSe,https://api.spotify.com/v1/tracks/47e3j90ad8jRc8aReXUkSe,https://api.spotify.com/v1/audio-analysis/47e3j90ad8jRc8aReXUkSe,254000,4
Snowdrop,0.501,0.654,5,-6.711,1,0.0447,0.0254,0.575,0.0826,0.0373,179.952,audio_features,6E7oCXmAckUNnq0XVWpwhl,spotify:track:6E7oCXmAckUNnq0XVWpwhl,https://api.spotify.com/v1/tracks/6E7oCXmAckUNnq0XVWpwhl,https://api.spotify.com/v1/audio-analysis/6E7oCXmAckUNnq0XVWpwhl,270453,4
Overstep - Instrumental,0.574,0.906,5,-6.577,1,0.0973,0.0152,0.0867,0.38,0.141,180.015,audio_features,43a84Ng0ex0zw1WTL24UaR,spotify:track:43a84Ng0ex0zw1WTL24UaR,https://api.spotify.com/v1/tracks/43a84Ng0ex0zw1WTL24UaR,https://api.spotify.com/v1/audio-analysis/43a84Ng0ex0zw1WTL24UaR,199987,4
Dreamship,0.386,0.789,4,-3.874,1,0.13,0.272,0.000443,0.201,0.401,134.953,audio_features,1UC3k5bKVF5ZlmIDP2LPAk,spotify:track:1UC3k5bKVF5ZlmIDP2LPAk,https://api.spotify.com/v1/tracks/1UC3k5bKVF5ZlmIDP2LPAk,https://api.spotify.com/v1/audio-analysis/1UC3k5bKVF5ZlmIDP2LPAk,279653,3
Sumthin',0.734,0.96,1,-4.876,1,0.345,0.00556,0.000579,0.0976,0.418,132.046,audio_features,1gkpJRF9urTcutJ7CmnN4b,spotify:track:1gkpJRF9urTcutJ7CmnN4b,https://api.spotify.com/v1/tracks/1gkpJRF9urTcutJ7CmnN4b,https://api.spotify.com/v1/audio-analysis/1gkpJRF9urTcutJ7CmnN4b,200251,4
Dye your mind,0.601,0.99,11,-4.043,0,0.122,0.00224,0.833,0.363,0.464,147.024,audio_features,4feQBGzAZPvYlXZXR05PTZ,spotify:track:4feQBGzAZPvYlXZXR05PTZ,https://api.spotify.com/v1/tracks/4feQBGzAZPvYlXZXR05PTZ,https://api.spotify.com/v1/audio-analysis/4feQBGzAZPvYlXZXR05PTZ,290200,4
夏の残像,0.697,0.894,0,-3.815,1,0.0399,0.00136,0.475,0.41,0.293,127.996,audio_features,6BYFE2B5BZAIxW4bqkFzv9,spotify:track:6BYFE2B5BZAIxW4bqkFzv9,https://api.spotify.com/v1/tracks/6BYFE2B5BZAIxW4bqkFzv9,https://api.spotify.com/v1/audio-analysis/6BYFE2B5BZAIxW4bqkFzv9,269898,4
