name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
365日の紙飛行機/山本彩,0.436,0.416,7,-5.1,1,0.03,0.735,0,0.177,0.393,203.801,audio_features,5xmeakDUCBhBboSnoOc9J4,spotify:track:5xmeakDUCBhBboSnoOc9J4,https://api.spotify.com/v1/tracks/5xmeakDUCBhBboSnoOc9J4,https://api.spotify.com/v1/audio-analysis/5xmeakDUCBhBboSnoOc9J4,277063,4
NMB48,0.22,0.934,3,-1.388,0,0.0837,0.296,3.67e-06,0.146,0.762,184.045,audio_features,5oCvaNCpnua7DScK9KOgOp,spotify:track:5oCvaNCpnua7DScK9KOgOp,https://api.spotify.com/v1/tracks/5oCvaNCpnua7DScK9KOgOp,https://api.spotify.com/v1/audio-analysis/5oCvaNCpnua7DScK9KOgOp,238747,4
NMB48,0.523,0.928,3,-3.091,0,0.0502,0.097,0,0.127,0.854,92.051,audio_features,54gLlkJWw3CaW878YYTaJL,spotify:track:54gLlkJWw3CaW878YYTaJL,https://api.spotify.com/v1/tracks/54gLlkJWw3CaW878YYTaJL,https://api.spotify.com/v1/audio-analysis/54gLlkJWw3CaW878YYTaJL,240326,4
北川謙二,0.412,0.993,8,-2.175,1,0.108,0.353,8.24e-05,0.143,0.123,146.973,audio_features,5gvt35nWHZCAujcRN3ViLj,spotify:track:5gvt35nWHZCAujcRN3ViLj,https://api.spotify.com/v1/tracks/5gvt35nWHZCAujcRN3ViLj,https://api.spotify.com/v1/audio-analysis/5gvt35nWHZCAujcRN3ViLj,230213,4
僕らのユリイカ,0.408,0.945,5,-3.326,1,0.0604,0.0902,0,0.185,0.709,163.955,audio_features,2sSFXTCVtjXtGdzWx1pXyH,spotify:track:2sSFXTCVtjXtGdzWx1pXyH,https://api.spotify.com/v1/tracks/2sSFXTCVtjXtGdzWx1pXyH,https://api.spotify.com/v1/audio-analysis/2sSFXTCVtjXtGdzWx1pXyH,250533,4
ワロタピーポー,0.498,0.949,5,-2.81,1,0.069,0.0744,0,0.0819,0.803,148.047,audio_features,7mpQaSm4TVKG8uxTHroC6g,spotify:track:7mpQaSm4TVKG8uxTHroC6g,https://api.spotify.com/v1/tracks/7mpQaSm4TVKG8uxTHroC6g,https://api.spotify.com/v1/audio-analysis/7mpQaSm4TVKG8uxTHroC6g,231773,4
NMB48,0.22,0.934,3,-1.388,0,0.0837,0.296,3.67e-06,0.146,0.762,184.045,audio_features,7kqlCjCBCqiB8Ru3wPCYg5,spotify:track:7kqlCjCBCqiB8Ru3wPCYg5,https://api.spotify.com/v1/tracks/7kqlCjCBCqiB8Ru3wPCYg5,https://api.spotify.com/v1/audio-analysis/7kqlCjCBCqiB8Ru3wPCYg5,238747,4
僕はいない,0.398,0.903,4,-1.465,0,0.056,0.731,1.14e-05,0.252,0.479,76.483,audio_features,14aFLv3GmiRQhd2UyNQ6fh,spotify:track:14aFLv3GmiRQhd2UyNQ6fh,https://api.spotify.com/v1/tracks/14aFLv3GmiRQhd2UyNQ6fh,https://api.spotify.com/v1/audio-analysis/14aFLv3GmiRQhd2UyNQ6fh,214867,4
NMB48,0.22,0.934,3,-1.388,0,0.0837,0.296,3.67e-06,0.146,0.762,184.045,audio_features,7E1ETq8m0jGgjPAOwqctmk,spotify:track:7E1ETq8m0jGgjPAOwqctmk,https://api.spotify.com/v1/tracks/7E1ETq8m0jGgjPAOwqctmk,https://api.spotify.com/v1/audio-analysis/7E1ETq8m0jGgjPAOwqctmk,238747,4
らしくない,0.468,0.946,1,-2.457,1,0.057,0.551,0,0.323,0.596,152.04,audio_features,1553zCVtft5wo7J5dXMeMi,spotify:track:1553zCVtft5wo7J5dXMeMi,https://api.spotify.com/v1/tracks/1553zCVtft5wo7J5dXMeMi,https://api.spotify.com/v1/audio-analysis/1553zCVtft5wo7J5dXMeMi,247507,4
わるきー/渡辺美優紀,0.473,0.969,3,-1.987,1,0.0635,0.129,0.000275,0.342,0.794,170.03,audio_features,4gEypPm6WaXvq2nRwpglOc,spotify:track:4gEypPm6WaXvq2nRwpglOc,https://api.spotify.com/v1/tracks/4gEypPm6WaXvq2nRwpglOc,https://api.spotify.com/v1/audio-analysis/4gEypPm6WaXvq2nRwpglOc,243853,4
ナギイチ,0.361,0.982,7,-1.795,1,0.0996,0.0582,0.00604,0.378,0.339,167.953,audio_features,4ZponlPKm6hfzFJYh6QnvV,spotify:track:4ZponlPKm6hfzFJYh6QnvV,https://api.spotify.com/v1/tracks/4ZponlPKm6hfzFJYh6QnvV,https://api.spotify.com/v1/audio-analysis/4ZponlPKm6hfzFJYh6QnvV,247987,4
絶滅黒髪少女,0.588,0.992,9,-1.878,0,0.103,0.0393,0.00149,0.388,0.706,137.973,audio_features,3tkKXnroNdnKViHo0WM0ZW,spotify:track:3tkKXnroNdnKViHo0WM0ZW,https://api.spotify.com/v1/tracks/3tkKXnroNdnKViHo0WM0ZW,https://api.spotify.com/v1/audio-analysis/3tkKXnroNdnKViHo0WM0ZW,229667,4
オーマイガー!,0.392,0.946,0,-3.069,1,0.102,0.0895,3.09e-06,0.211,0.43,160.039,audio_features,0BuWGVtlp8R58VWmHDtb81,spotify:track:0BuWGVtlp8R58VWmHDtb81,https://api.spotify.com/v1/tracks/0BuWGVtlp8R58VWmHDtb81,https://api.spotify.com/v1/audio-analysis/0BuWGVtlp8R58VWmHDtb81,257853,4
