name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
prejebany track,0.77,0.59,9,-6.947,1,0.0878,0.344,0,0.215,0.214,139.809,audio_features,2X4uVzunVlKDqBiaB1HKOR,spotify:track:2X4uVzunVlKDqBiaB1HKOR,https://api.spotify.com/v1/tracks/2X4uVzunVlKDqBiaB1HKOR,https://api.spotify.com/v1/audio-analysis/2X4uVzunVlKDqBiaB1HKOR,137562,4
K L K,0.75,0.485,5,-8.348,0,0.0791,0.439,0,0.0889,0.768,180.053,audio_features,2SOyiKY6oaYQLrzNvKiBUO,spotify:track:2SOyiKY6oaYQLrzNvKiBUO,https://api.spotify.com/v1/tracks/2SOyiKY6oaYQLrzNvKiBUO,https://api.spotify.com/v1/audio-analysis/2SOyiKY6oaYQLrzNvKiBUO,142733,4
Lies,0.573,0.398,10,-8.063,0,0.0448,0.0643,0,0.0954,0.109,139.997,audio_features,4jhkyvtb0dtvArPYzEbne6,spotify:track:4jhkyvtb0dtvArPYzEbne6,https://api.spotify.com/v1/tracks/4jhkyvtb0dtvArPYzEbne6,https://api.spotify.com/v1/audio-analysis/4jhkyvtb0dtvArPYzEbne6,180000,4
MISTAKES,0.731,0.398,9,-7.782,1,0.0692,0.473,0,0.74,0.303,96.989,audio_features,2zcgZZJ30y6IcCvyGKDsJP,spotify:track:2zcgZZJ30y6IcCvyGKDsJP,https://api.spotify.com/v1/tracks/2zcgZZJ30y6IcCvyGKDsJP,https://api.spotify.com/v1/audio-analysis/2zcgZZJ30y6IcCvyGKDsJP,171118,4
loop,0.65,0.721,6,-5.77,0,0.134,0.642,0.000374,0.152,0.612,87.895,audio_features,6BavboM7qgBQtXLySX6M1m,spotify:track:6BavboM7qgBQtXLySX6M1m,https://api.spotify.com/v1/tracks/6BavboM7qgBQtXLySX6M1m,https://api.spotify.com/v1/audio-analysis/6BavboM7qgBQtXLySX6M1m,146279,4
bus,0.752,0.716,1,-8.806,1,0.0486,0.116,0,0.139,0.443,142.947,audio_features,1yNQ6tzLnFa1EpP2VoG4yw,spotify:track:1yNQ6tzLnFa1EpP2VoG4yw,https://api.spotify.com/v1/tracks/1yNQ6tzLnFa1EpP2VoG4yw,https://api.spotify.com/v1/audio-analysis/1yNQ6tzLnFa1EpP2VoG4yw,107413,4
VDL,0.684,0.875,0,-3.862,0,0.0349,0.364,0,0.138,0.827,142.061,audio_features,2jiN7lwmeKr46XIi6DVQ8S,spotify:track:2jiN7lwmeKr46XIi6DVQ8S,https://api.spotify.com/v1/tracks/2jiN7lwmeKr46XIi6DVQ8S,https://api.spotify.com/v1/audio-analysis/2jiN7lwmeKr46XIi6DVQ8S,193129,4
gorgeous duet,0.802,0.66,6,-7.847,1,0.176,0.457,0,0.0775,0.616,103.135,audio_features,3PtDjrvUwPXXtHEshuaOId,spotify:track:3PtDjrvUwPXXtHEshuaOId,https://api.spotify.com/v1/tracks/3PtDjrvUwPXXtHEshuaOId,https://api.spotify.com/v1/audio-analysis/3PtDjrvUwPXXtHEshuaOId,305248,4
Bother You,0.546,0.51,0,-8.26,1,0.102,0.537,0,0.107,0.587,83.989,audio_features,1v0mav5hqRVJD4A1ECEATU,spotify:track:1v0mav5hqRVJD4A1ECEATU,https://api.spotify.com/v1/tracks/1v0mav5hqRVJD4A1ECEATU,https://api.spotify.com/v1/audio-analysis/1v0mav5hqRVJD4A1ECEATU,170727,4
EVOLVING,0.739,0.413,10,-7.425,1,0.0415,0.84,3.88e-06,0.12,0.67,95.995,audio_features,70FkBY49CYT9vU18ipt3PG,spotify:track:70FkBY49CYT9vU18ipt3PG,https://api.spotify.com/v1/tracks/70FkBY49CYT9vU18ipt3PG,https://api.spotify.com/v1/audio-analysis/70FkBY49CYT9vU18ipt3PG,199500,4
4REAL</3,0.54,0.182,0,-13.78,1,0.349,0.821,0,0.111,0.724,73.627,audio_features,4QrePxuyzPs3TskWOonzi6,spotify:track:4QrePxuyzPs3TskWOonzi6,https://api.spotify.com/v1/tracks/4QrePxuyzPs3TskWOonzi6,https://api.spotify.com/v1/audio-analysis/4QrePxuyzPs3TskWOonzi6,195769,4
I Love You,0.314,0.741,2,-6.872,1,0.496,0.161,0,0.182,0.307,80.807,audio_features,2pA29v6wcArR6Fkopnuu1z,spotify:track:2pA29v6wcArR6Fkopnuu1z,https://api.spotify.com/v1/tracks/2pA29v6wcArR6Fkopnuu1z,https://api.spotify.com/v1/audio-analysis/2pA29v6wcArR6Fkopnuu1z,237115,1
H2o,0.829,0.287,6,-10.461,0,0.0682,0.106,0.033,0.11,0.339,144.029,audio_features,0l5QsFvLSjgWflGqsd3WCx,spotify:track:0l5QsFvLSjgWflGqsd3WCx,https://api.spotify.com/v1/tracks/0l5QsFvLSjgWflGqsd3WCx,https://api.spotify.com/v1/audio-analysis/0l5QsFvLSjgWflGqsd3WCx,148402,4
Papier,0.648,0.543,2,-7.262,1,0.03,0.358,2.61e-05,0.0786,0.528,155.108,audio_features,3hKicB0Jfgey6eKtSi1uVI,spotify:track:3hKicB0Jfgey6eKtSi1uVI,https://api.spotify.com/v1/tracks/3hKicB0Jfgey6eKtSi1uVI,https://api.spotify.com/v1/audio-analysis/3hKicB0Jfgey6eKtSi1uVI,170323,4
Drive,0.328,0.383,7,-12.383,0,0.0757,0.233,0,0.142,0.243,79.405,audio_features,4uodjoJhp4xyNDrwgzwnLW,spotify:track:4uodjoJhp4xyNDrwgzwnLW,https://api.spotify.com/v1/tracks/4uodjoJhp4xyNDrwgzwnLW,https://api.spotify.com/v1/audio-analysis/4uodjoJhp4xyNDrwgzwnLW,144187,4
