name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Chopstick,0.817,0.82,0,-2.954,1,0.0601,0.143,0,0.35,0.733,141.002,audio_features,0X40DgD7jJr5DeiGXFAfcl,spotify:track:0X40DgD7jJr5DeiGXFAfcl,https://api.spotify.com/v1/tracks/0X40DgD7jJr5DeiGXFAfcl,https://api.spotify.com/v1/audio-analysis/0X40DgD7jJr5DeiGXFAfcl,177973,4
Take a picture,0.736,0.871,1,-4.139,1,0.0577,0.0504,0.000831,0.313,0.739,127.945,audio_features,0iEzzJ3zmNQqATy2MilumS,spotify:track:0iEzzJ3zmNQqATy2MilumS,https://api.spotify.com/v1/tracks/0iEzzJ3zmNQqATy2MilumS,https://api.spotify.com/v1/audio-analysis/0iEzzJ3zmNQqATy2MilumS,181347,4
Poppin' Shakin',0.781,0.865,4,-5.218,1,0.0798,0.0921,0.0169,0.0879,0.746,123.986,audio_features,0jfFu1W96AlrsMqXSZZlSt,spotify:track:0jfFu1W96AlrsMqXSZZlSt,https://api.spotify.com/v1/tracks/0jfFu1W96AlrsMqXSZZlSt,https://api.spotify.com/v1/audio-analysis/0jfFu1W96AlrsMqXSZZlSt,192754,4
Make you happy,0.776,0.887,7,-3.749,1,0.121,0.0411,3.7e-05,0.106,0.824,160.092,audio_features,3sFJmcdXoJ1G2rRW1Hc2x1,spotify:track:3sFJmcdXoJ1G2rRW1Hc2x1,https://api.spotify.com/v1/tracks/3sFJmcdXoJ1G2rRW1Hc2x1,https://api.spotify.com/v1/audio-analysis/3sFJmcdXoJ1G2rRW1Hc2x1,186227,4
CLAP CLAP,0.749,0.894,9,-3.103,1,0.0744,0.0403,0.000519,0.271,0.509,175.993,audio_features,2b9qZ9JVxMD8DJJeSa35Gm,spotify:track:2b9qZ9JVxMD8DJJeSa35Gm,https://api.spotify.com/v1/tracks/2b9qZ9JVxMD8DJJeSa35Gm,https://api.spotify.com/v1/audio-analysis/2b9qZ9JVxMD8DJJeSa35Gm,165720,4
Poppin' Shakin',0.778,0.862,4,-5.197,1,0.0911,0.0922,0.012,0.0958,0.706,124.038,audio_features,2D29K9591It6xIMPx2b2eN,spotify:track:2D29K9591It6xIMPx2b2eN,https://api.spotify.com/v1/tracks/2D29K9591It6xIMPx2b2eN,https://api.spotify.com/v1/audio-analysis/2D29K9591It6xIMPx2b2eN,195200,4
ASOBO,0.853,0.719,10,-4.714,1,0.0676,0.0812,0.00151,0.241,0.79,118.007,audio_features,4rdmyc70mJQEfhKeiFDLFZ,spotify:track:4rdmyc70mJQEfhKeiFDLFZ,https://api.spotify.com/v1/tracks/4rdmyc70mJQEfhKeiFDLFZ,https://api.spotify.com/v1/audio-analysis/4rdmyc70mJQEfhKeiFDLFZ,181078,4
Chopstick,0.817,0.82,0,-2.954,1,0.0601,0.143,0,0.35,0.733,141.002,audio_features,6Yv0xoR37tcxzvey8ybW5l,spotify:track:6Yv0xoR37tcxzvey8ybW5l,https://api.spotify.com/v1/tracks/6Yv0xoR37tcxzvey8ybW5l,https://api.spotify.com/v1/audio-analysis/6Yv0xoR37tcxzvey8ybW5l,177973,4
Poppin' Shakin' -English ver.-,0.793,0.87,4,-4.831,1,0.086,0.0617,0.000127,0.0923,0.623,123.982,audio_features,0WTWpxqXP78KgfuJBS1I2v,spotify:track:0WTWpxqXP78KgfuJBS1I2v,https://api.spotify.com/v1/tracks/0WTWpxqXP78KgfuJBS1I2v,https://api.spotify.com/v1/audio-analysis/0WTWpxqXP78KgfuJBS1I2v,193080,4
Make you happy,0.78,0.885,7,-3.745,1,0.122,0.0436,2.8e-05,0.105,0.808,160.087,audio_features,1LnJVIG1BaHTRznuOgR0yc,spotify:track:1LnJVIG1BaHTRznuOgR0yc,https://api.spotify.com/v1/tracks/1LnJVIG1BaHTRznuOgR0yc,https://api.spotify.com/v1/audio-analysis/1LnJVIG1BaHTRznuOgR0yc,184521,4
Poppin' Shakin',0.783,0.857,4,-5.2,1,0.0856,0.0924,0.0148,0.122,0.674,123.97,audio_features,1x5zhknwoVz913WiKAtJ1z,spotify:track:1x5zhknwoVz913WiKAtJ1z,https://api.spotify.com/v1/tracks/1x5zhknwoVz913WiKAtJ1z,https://api.spotify.com/v1/audio-analysis/1x5zhknwoVz913WiKAtJ1z,193973,4
Step and a step,0.844,0.851,0,-3.762,1,0.0494,0.184,8.53e-05,0.0754,0.541,116.038,audio_features,5DgAgJbHcm74RyA9YKj6k1,spotify:track:5DgAgJbHcm74RyA9YKj6k1,https://api.spotify.com/v1/tracks/5DgAgJbHcm74RyA9YKj6k1,https://api.spotify.com/v1/audio-analysis/5DgAgJbHcm74RyA9YKj6k1,201720,4
Take a picture,0.733,0.887,1,-4.09,1,0.0586,0.0435,0.000689,0.501,0.774,127.921,audio_features,2KdNA5tgoeRWv7d4Z66GaS,spotify:track:2KdNA5tgoeRWv7d4Z66GaS,https://api.spotify.com/v1/tracks/2KdNA5tgoeRWv7d4Z66GaS,https://api.spotify.com/v1/audio-analysis/2KdNA5tgoeRWv7d4Z66GaS,181373,4
Blue Moon,0.645,0.76,9,-3.378,1,0.0368,0.596,0,0.166,0.434,90.0,audio_features,6VfMXMW0vm2vKMKzZJXEmN,spotify:track:6VfMXMW0vm2vKMKzZJXEmN,https://api.spotify.com/v1/tracks/6VfMXMW0vm2vKMKzZJXEmN,https://api.spotify.com/v1/audio-analysis/6VfMXMW0vm2vKMKzZJXEmN,244110,4
Baby I'm a star,0.73,0.985,7,-1.394,1,0.0443,0.0567,0.0151,0.199,0.96,153.921,audio_features,4R94oyl8tvZJxFiq9XGRln,spotify:track:4R94oyl8tvZJxFiq9XGRln,https://api.spotify.com/v1/tracks/4R94oyl8tvZJxFiq9XGRln,https://api.spotify.com/v1/audio-analysis/4R94oyl8tvZJxFiq9XGRln,159493,4
虹の向こうへ,0.786,0.892,6,-2.505,1,0.0944,0.0331,8.95e-06,0.09,0.647,127.995,audio_features,7GuQ29uGMvh4VbAKh2P66n,spotify:track:7GuQ29uGMvh4VbAKh2P66n,https://api.spotify.com/v1/tracks/7GuQ29uGMvh4VbAKh2P66n,https://api.spotify.com/v1/audio-analysis/7GuQ29uGMvh4VbAKh2P66n,196555,4
Step and a step,0.843,0.852,0,-3.76,1,0.0499,0.186,0.000115,0.0747,0.566,116.03,audio_features,6KrhZ59ZNMScfjNoSIvrnu,spotify:track:6KrhZ59ZNMScfjNoSIvrnu,https://api.spotify.com/v1/tracks/6KrhZ59ZNMScfjNoSIvrnu,https://api.spotify.com/v1/audio-analysis/6KrhZ59ZNMScfjNoSIvrnu,201587,4
Need U,0.761,0.839,2,-5.059,1,0.0485,0.00952,0,0.318,0.693,108.993,audio_features,2RTbvKUrA75E6BzHE2lspN,spotify:track:2RTbvKUrA75E6BzHE2lspN,https://api.spotify.com/v1/tracks/2RTbvKUrA75E6BzHE2lspN,https://api.spotify.com/v1/audio-analysis/2RTbvKUrA75E6BzHE2lspN,253867,4
Boom Boom Boom,0.758,0.969,6,-1.84,0,0.0465,0.0197,0.144,0.0358,0.748,120.999,audio_features,0BhiyPgBY5Bbjsth8IxCHO,spotify:track:0BhiyPgBY5Bbjsth8IxCHO,https://api.spotify.com/v1/tracks/0BhiyPgBY5Bbjsth8IxCHO,https://api.spotify.com/v1/audio-analysis/0BhiyPgBY5Bbjsth8IxCHO,201439,4
