name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"THANKS, ALL MY TEARS",0.777,0.635,1,-5.775,0,0.0809,0.165,0,0.09,0.518,147.993,audio_features,3zQllh6BxwlaQZnOyb6FJN,spotify:track:3zQllh6BxwlaQZnOyb6FJN,https://api.spotify.com/v1/tracks/3zQllh6BxwlaQZnOyb6FJN,https://api.spotify.com/v1/audio-analysis/3zQllh6BxwlaQZnOyb6FJN,206907,4
天気雨 - feat. Hina (from FAKY),0.702,0.505,2,-7.031,1,0.0331,0.365,0,0.15,0.781,98.0,audio_features,4AKpmcamaCKneLwm9uEdBK,spotify:track:4AKpmcamaCKneLwm9uEdBK,https://api.spotify.com/v1/tracks/4AKpmcamaCKneLwm9uEdBK,https://api.spotify.com/v1/audio-analysis/4AKpmcamaCKneLwm9uEdBK,220434,4
HAPPY TEARS - feat. Aile The Shota,0.81,0.764,6,-5.554,1,0.0337,0.657,0.00026,0.091,0.703,104.959,audio_features,3G0WDxM6djc6wSGDGokSxr,spotify:track:3G0WDxM6djc6wSGDGokSxr,https://api.spotify.com/v1/tracks/3G0WDxM6djc6wSGDGokSxr,https://api.spotify.com/v1/audio-analysis/3G0WDxM6djc6wSGDGokSxr,200640,4
Be You,0.726,0.517,11,-5.845,1,0.0386,0.407,0.000117,0.0678,0.602,159.951,audio_features,71nU5UmnJcbM7VHP9n0ran,spotify:track:71nU5UmnJcbM7VHP9n0ran,https://api.spotify.com/v1/tracks/71nU5UmnJcbM7VHP9n0ran,https://api.spotify.com/v1/audio-analysis/71nU5UmnJcbM7VHP9n0ran,233893,4
HAPPY TEARS - feat. Aile The Shota,0.808,0.765,6,-5.539,1,0.0335,0.653,9.38e-05,0.0959,0.69,104.964,audio_features,5Lxqrzs6OZ0E02pv1XTlLJ,spotify:track:5Lxqrzs6OZ0E02pv1XTlLJ,https://api.spotify.com/v1/tracks/5Lxqrzs6OZ0E02pv1XTlLJ,https://api.spotify.com/v1/audio-analysis/5Lxqrzs6OZ0E02pv1XTlLJ,202400,4
LOVE SONG - SG,0.622,0.7,6,-5.014,1,0.0552,0.1,0,0.108,0.442,170.041,audio_features,34k9MFCJQFBk0yrYMVBJ99,spotify:track:34k9MFCJQFBk0yrYMVBJ99,https://api.spotify.com/v1/tracks/34k9MFCJQFBk0yrYMVBJ99,https://api.spotify.com/v1/audio-analysis/34k9MFCJQFBk0yrYMVBJ99,166453,4
TROUBLE,0.897,0.693,2,-4.526,1,0.0583,0.00632,0.00015,0.0783,0.405,124.994,audio_features,5dlUFWnnvsXVyRuHOv6xnE,spotify:track:5dlUFWnnvsXVyRuHOv6xnE,https://api.spotify.com/v1/tracks/5dlUFWnnvsXVyRuHOv6xnE,https://api.spotify.com/v1/audio-analysis/5dlUFWnnvsXVyRuHOv6xnE,158693,4
SOBER ROCK - Remix feat. SKY-HI,0.651,0.814,7,-4.543,1,0.0398,0.00199,0,0.411,0.387,116.026,audio_features,3LCMis6kxv8dmftYOzWTt6,spotify:track:3LCMis6kxv8dmftYOzWTt6,https://api.spotify.com/v1/tracks/3LCMis6kxv8dmftYOzWTt6,https://api.spotify.com/v1/audio-analysis/3LCMis6kxv8dmftYOzWTt6,204845,4
Untitled,0.57,0.402,7,-8.969,1,0.0393,0.872,0.00331,0.0743,0.821,85.867,audio_features,0hSeO8OgkJuiqh1NcHUQkB,spotify:track:0hSeO8OgkJuiqh1NcHUQkB,https://api.spotify.com/v1/tracks/0hSeO8OgkJuiqh1NcHUQkB,https://api.spotify.com/v1/audio-analysis/0hSeO8OgkJuiqh1NcHUQkB,180987,4
SOBER ROCK,0.62,0.796,0,-4.645,1,0.0335,0.000615,8.51e-06,0.125,0.477,116.037,audio_features,2C0lc3q7p6ZyGzr3S1gkzy,spotify:track:2C0lc3q7p6ZyGzr3S1gkzy,https://api.spotify.com/v1/tracks/2C0lc3q7p6ZyGzr3S1gkzy,https://api.spotify.com/v1/audio-analysis/2C0lc3q7p6ZyGzr3S1gkzy,187328,4
