name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mienai yoruni,0.536,0.788,1,-5.497,0,0.0331,0.371,0.0475,0.355,0.328,163.965,audio_features,2QbsIWT0WBTb6YHuKt44ev,spotify:track:2QbsIWT0WBTb6YHuKt44ev,https://api.spotify.com/v1/tracks/2QbsIWT0WBTb6YHuKt44ev,https://api.spotify.com/v1/audio-analysis/2QbsIWT0WBTb6YHuKt44ev,323960,4
Shiawasenano,0.574,0.924,0,-4.331,1,0.0484,0.703,0.000378,0.696,0.59,169.933,audio_features,5Zs4W3MdXULwxnMp0dJ3gv,spotify:track:5Zs4W3MdXULwxnMp0dJ3gv,https://api.spotify.com/v1/tracks/5Zs4W3MdXULwxnMp0dJ3gv,https://api.spotify.com/v1/audio-analysis/5Zs4W3MdXULwxnMp0dJ3gv,217133,4
Kimi no hitomini,0.525,0.839,2,-4.525,1,0.0339,0.0062,2.85e-05,0.562,0.196,94.244,audio_features,7LorEhsUjiq5J8bzTU2HqM,spotify:track:7LorEhsUjiq5J8bzTU2HqM,https://api.spotify.com/v1/tracks/7LorEhsUjiq5J8bzTU2HqM,https://api.spotify.com/v1/audio-analysis/7LorEhsUjiq5J8bzTU2HqM,328488,4
Oshimaidaze,0.428,0.933,6,-2.102,1,0.0876,0.0535,0.00516,0.347,0.525,170.062,audio_features,7uUfPvz4LzBtrKJlqIXKfA,spotify:track:7uUfPvz4LzBtrKJlqIXKfA,https://api.spotify.com/v1/tracks/7uUfPvz4LzBtrKJlqIXKfA,https://api.spotify.com/v1/audio-analysis/7uUfPvz4LzBtrKJlqIXKfA,184693,4
Kienai hitomi,0.648,0.862,0,-4.859,1,0.027,0.246,0.229,0.0771,0.536,120.0,audio_features,3IAvmT0Hek2w7GfMjxlxu0,spotify:track:3IAvmT0Hek2w7GfMjxlxu0,https://api.spotify.com/v1/tracks/3IAvmT0Hek2w7GfMjxlxu0,https://api.spotify.com/v1/audio-analysis/3IAvmT0Hek2w7GfMjxlxu0,420000,4
Nusumi ha gedou,0.639,0.83,7,-4.396,1,0.0342,0.343,5.85e-06,0.0978,0.449,119.9,audio_features,4zFKDOv7shuhjshuf40H1Z,spotify:track:4zFKDOv7shuhjshuf40H1Z,https://api.spotify.com/v1/tracks/4zFKDOv7shuhjshuf40H1Z,https://api.spotify.com/v1/audio-analysis/4zFKDOv7shuhjshuf40H1Z,202000,3
Mata aetara,0.574,0.934,0,-3.796,1,0.0595,0.529,9.89e-06,0.362,0.486,156.059,audio_features,1AQ3cYtNoHsSJoSLrLb8km,spotify:track:1AQ3cYtNoHsSJoSLrLb8km,https://api.spotify.com/v1/tracks/1AQ3cYtNoHsSJoSLrLb8km,https://api.spotify.com/v1/audio-analysis/1AQ3cYtNoHsSJoSLrLb8km,257373,4
Okinahanede,0.64,0.835,7,-6.12,1,0.0343,0.255,0.322,0.132,0.293,136.501,audio_features,0LTYyxbruNsWknJNMlbViH,spotify:track:0LTYyxbruNsWknJNMlbViH,https://api.spotify.com/v1/tracks/0LTYyxbruNsWknJNMlbViH,https://api.spotify.com/v1/audio-analysis/0LTYyxbruNsWknJNMlbViH,267240,4
Kowareta kagami,0.557,0.628,7,-7.278,1,0.051,0.225,0.000623,0.165,0.21,164.421,audio_features,3XlBfA9kIzEMGE6IT01WB9,spotify:track:3XlBfA9kIzEMGE6IT01WB9,https://api.spotify.com/v1/tracks/3XlBfA9kIzEMGE6IT01WB9,https://api.spotify.com/v1/audio-analysis/3XlBfA9kIzEMGE6IT01WB9,354529,4
Hidamari,0.761,0.613,1,-7.184,1,0.043,0.0368,6.1e-05,0.0325,0.937,135.003,audio_features,27w5KD3d4MwaDpkybXvdtL,spotify:track:27w5KD3d4MwaDpkybXvdtL,https://api.spotify.com/v1/tracks/27w5KD3d4MwaDpkybXvdtL,https://api.spotify.com/v1/audio-analysis/27w5KD3d4MwaDpkybXvdtL,185107,4
Hjimaridane,0.672,0.554,2,-7.421,1,0.0274,0.208,0.00221,0.0703,0.4,119.971,audio_features,5yhaoc9M19AMsBNRa8LNZ8,spotify:track:5yhaoc9M19AMsBNRa8LNZ8,https://api.spotify.com/v1/tracks/5yhaoc9M19AMsBNRa8LNZ8,https://api.spotify.com/v1/audio-analysis/5yhaoc9M19AMsBNRa8LNZ8,178280,4
Jama shinaidene,0.532,0.892,0,-4.74,1,0.0316,0.233,0.001,0.16,0.568,176.01,audio_features,5qvRHMpoWoFjKxNiSuwK64,spotify:track:5qvRHMpoWoFjKxNiSuwK64,https://api.spotify.com/v1/tracks/5qvRHMpoWoFjKxNiSuwK64,https://api.spotify.com/v1/audio-analysis/5qvRHMpoWoFjKxNiSuwK64,330000,4
Sakura no shitade,0.693,0.918,5,-5.118,1,0.0469,0.229,3.23e-05,0.236,0.376,124.998,audio_features,6e11cOJ1Ym9VEuKjygjDbZ,spotify:track:6e11cOJ1Ym9VEuKjygjDbZ,https://api.spotify.com/v1/tracks/6e11cOJ1Ym9VEuKjygjDbZ,https://api.spotify.com/v1/audio-analysis/6e11cOJ1Ym9VEuKjygjDbZ,261747,4
Ishojanai,0.693,0.74,7,-5.977,1,0.043,0.557,0,0.198,0.364,129.992,audio_features,5qGVdyMyP0q9rjDDe9xxaZ,spotify:track:5qGVdyMyP0q9rjDDe9xxaZ,https://api.spotify.com/v1/tracks/5qGVdyMyP0q9rjDDe9xxaZ,https://api.spotify.com/v1/audio-analysis/5qGVdyMyP0q9rjDDe9xxaZ,332467,4
Kessentoujitsu,0.708,0.916,5,-3.49,1,0.041,0.116,0.00012,0.0857,0.691,126.019,audio_features,5UYOQ9MMmD6BxDN6thTBOj,spotify:track:5UYOQ9MMmD6BxDN6thTBOj,https://api.spotify.com/v1/tracks/5UYOQ9MMmD6BxDN6thTBOj,https://api.spotify.com/v1/audio-analysis/5UYOQ9MMmD6BxDN6thTBOj,354387,4
Onawa wo choudai,0.428,0.863,7,-4.131,1,0.0481,0.0502,0,0.922,0.491,187.928,audio_features,0TnworuienD4s04ui0M6p2,spotify:track:0TnworuienD4s04ui0M6p2,https://api.spotify.com/v1/tracks/0TnworuienD4s04ui0M6p2,https://api.spotify.com/v1/audio-analysis/0TnworuienD4s04ui0M6p2,154640,4
Maho wa jado,0.575,0.794,7,-3.829,1,0.0343,0.165,0,0.0886,0.86,91.519,audio_features,3ig1pSvAwlF2hX1rj2wYCx,spotify:track:3ig1pSvAwlF2hX1rj2wYCx,https://api.spotify.com/v1/tracks/3ig1pSvAwlF2hX1rj2wYCx,https://api.spotify.com/v1/audio-analysis/3ig1pSvAwlF2hX1rj2wYCx,201333,4
Nayami muyou,0.705,0.722,2,-7.205,1,0.0567,0.46,0.00138,0.0487,0.877,163.461,audio_features,2aPYIhys8siBbQNXhYQIxw,spotify:track:2aPYIhys8siBbQNXhYQIxw,https://api.spotify.com/v1/tracks/2aPYIhys8siBbQNXhYQIxw,https://api.spotify.com/v1/audio-analysis/2aPYIhys8siBbQNXhYQIxw,225120,4
Kimi no tonaride,0.666,0.144,4,-8.453,1,0.0389,0.805,0.000201,0.182,0.404,70.518,audio_features,6PwfGs82dMuqfQEhlFqA2S,spotify:track:6PwfGs82dMuqfQEhlFqA2S,https://api.spotify.com/v1/tracks/6PwfGs82dMuqfQEhlFqA2S,https://api.spotify.com/v1/audio-analysis/6PwfGs82dMuqfQEhlFqA2S,149787,4
Sayonara,0.666,0.719,9,-6.679,0,0.0297,0.157,0.000812,0.13,0.558,141.059,audio_features,3XO3JTnPzZVs08QZUJg5IV,spotify:track:3XO3JTnPzZVs08QZUJg5IV,https://api.spotify.com/v1/tracks/3XO3JTnPzZVs08QZUJg5IV,https://api.spotify.com/v1/audio-analysis/3XO3JTnPzZVs08QZUJg5IV,232340,3
Yume o miyouyo,0.624,0.687,9,-6.633,1,0.0341,0.393,0.167,0.0798,0.682,181.037,audio_features,5aVg8qlCTBHOQvTcgDZf4h,spotify:track:5aVg8qlCTBHOQvTcgDZf4h,https://api.spotify.com/v1/tracks/5aVg8qlCTBHOQvTcgDZf4h,https://api.spotify.com/v1/audio-analysis/5aVg8qlCTBHOQvTcgDZf4h,206547,4
Kimi ni watashini,0.65,0.59,9,-6.091,1,0.0311,0.593,9.24e-06,0.164,0.521,145.006,audio_features,02oJVj9kDlhw7YZkDAbAem,spotify:track:02oJVj9kDlhw7YZkDAbAem,https://api.spotify.com/v1/tracks/02oJVj9kDlhw7YZkDAbAem,https://api.spotify.com/v1/audio-analysis/02oJVj9kDlhw7YZkDAbAem,314000,4
