name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Flash,0.656,0.776,5,-13.823,1,0.0384,0.0271,0.0209,0.231,0.558,109.99,audio_features,39vGioOmRlcbnuyAeGkLiQ,spotify:track:39vGioOmRlcbnuyAeGkLiQ,https://api.spotify.com/v1/tracks/39vGioOmRlcbnuyAeGkLiQ,https://api.spotify.com/v1/audio-analysis/39vGioOmRlcbnuyAeGkLiQ,305460,4
Infinity,0.791,0.806,1,-12.909,0,0.0785,0.237,0.00183,0.0432,0.545,131.987,audio_features,6stwM5dGIOcDLuQvKEHhN5,spotify:track:6stwM5dGIOcDLuQvKEHhN5,https://api.spotify.com/v1/tracks/6stwM5dGIOcDLuQvKEHhN5,https://api.spotify.com/v1/audio-analysis/6stwM5dGIOcDLuQvKEHhN5,341429,4
EGOIST,0.59,0.725,8,-12.503,1,0.0373,0.342,0.00548,0.073,0.624,132.03,audio_features,1AfTxev6kKy5qTa0uHB146,spotify:track:1AfTxev6kKy5qTa0uHB146,https://api.spotify.com/v1/tracks/1AfTxev6kKy5qTa0uHB146,https://api.spotify.com/v1/audio-analysis/1AfTxev6kKy5qTa0uHB146,214656,4
Paranormal,0.668,0.524,2,-15.163,0,0.0485,0.00846,0.126,0.054,0.224,150.056,audio_features,3vOUJq5Uz3thFbvgUOlt1R,spotify:track:3vOUJq5Uz3thFbvgUOlt1R,https://api.spotify.com/v1/tracks/3vOUJq5Uz3thFbvgUOlt1R,https://api.spotify.com/v1/audio-analysis/3vOUJq5Uz3thFbvgUOlt1R,249607,4
Badass,0.574,0.608,1,-15.393,1,0.0499,0.00194,0.279,0.27,0.312,174.021,audio_features,5TlfgCmrqSNa5vjeSeJo0O,spotify:track:5TlfgCmrqSNa5vjeSeJo0O,https://api.spotify.com/v1/tracks/5TlfgCmrqSNa5vjeSeJo0O,https://api.spotify.com/v1/audio-analysis/5TlfgCmrqSNa5vjeSeJo0O,285107,4
Innocent,0.447,0.916,7,-12.535,0,0.0899,0.116,0.287,0.284,0.217,128.038,audio_features,3IP1ZCoUrBFaI8rrmdlgFZ,spotify:track:3IP1ZCoUrBFaI8rrmdlgFZ,https://api.spotify.com/v1/tracks/3IP1ZCoUrBFaI8rrmdlgFZ,https://api.spotify.com/v1/audio-analysis/3IP1ZCoUrBFaI8rrmdlgFZ,211884,4
Escape,0.668,0.641,6,-14.455,0,0.077,0.00488,0.0691,0.177,0.312,75.001,audio_features,5WtwcWIBuoc469VTd5eX8X,spotify:track:5WtwcWIBuoc469VTd5eX8X,https://api.spotify.com/v1/tracks/5WtwcWIBuoc469VTd5eX8X,https://api.spotify.com/v1/audio-analysis/5WtwcWIBuoc469VTd5eX8X,285750,4
This Sound,0.647,0.491,1,-14.925,0,0.0501,0.00565,0.000175,0.0922,0.544,149.996,audio_features,4WVyOMq7dLuXwXEuguoxk2,spotify:track:4WVyOMq7dLuXwXEuguoxk2,https://api.spotify.com/v1/tracks/4WVyOMq7dLuXwXEuguoxk2,https://api.spotify.com/v1/audio-analysis/4WVyOMq7dLuXwXEuguoxk2,300848,4
Do You Love It,0.76,0.518,0,-13.674,1,0.0708,0.0462,0.00032,0.0483,0.723,127.979,audio_features,3hta6uAPyN0WYiaSznqrIA,spotify:track:3hta6uAPyN0WYiaSznqrIA,https://api.spotify.com/v1/tracks/3hta6uAPyN0WYiaSznqrIA,https://api.spotify.com/v1/audio-analysis/3hta6uAPyN0WYiaSznqrIA,292509,4
Party Lovers And Mad Audiences,0.674,0.73,8,-12.582,1,0.04,0.044,4.93e-05,0.0779,0.737,103.993,audio_features,3GNsfMO7kwk51y4RIMh5eU,spotify:track:3GNsfMO7kwk51y4RIMh5eU,https://api.spotify.com/v1/tracks/3GNsfMO7kwk51y4RIMh5eU,https://api.spotify.com/v1/audio-analysis/3GNsfMO7kwk51y4RIMh5eU,246879,4
Dance To The Riddim,0.694,0.366,6,-16.456,0,0.128,0.0265,0.0164,0.214,0.239,75.045,audio_features,47Hum41WKXPQrS5oFADbd5,spotify:track:47Hum41WKXPQrS5oFADbd5,https://api.spotify.com/v1/tracks/47Hum41WKXPQrS5oFADbd5,https://api.spotify.com/v1/audio-analysis/47Hum41WKXPQrS5oFADbd5,298045,4
Tokyo Midnight,0.781,0.617,1,-14.758,0,0.0678,0.0787,0.013,0.0361,0.603,128.005,audio_features,7toSmOcap5Tk69Ima9Stjf,spotify:track:7toSmOcap5Tk69Ima9Stjf,https://api.spotify.com/v1/tracks/7toSmOcap5Tk69Ima9Stjf,https://api.spotify.com/v1/audio-analysis/7toSmOcap5Tk69Ima9Stjf,272237,4
Shall We Dance,0.831,0.868,11,-14.439,0,0.0643,0.000224,0.0862,0.0411,0.513,128.001,audio_features,6KOJPdNmqIODbtTfSjU9vB,spotify:track:6KOJPdNmqIODbtTfSjU9vB,https://api.spotify.com/v1/tracks/6KOJPdNmqIODbtTfSjU9vB,https://api.spotify.com/v1/audio-analysis/6KOJPdNmqIODbtTfSjU9vB,255862,4
Alone In The Dark,0.521,0.514,8,-14.717,1,0.0409,0.0156,0.736,0.0892,0.251,174.953,audio_features,0QOmnhGicgd52BUPNGqsp3,spotify:track:0QOmnhGicgd52BUPNGqsp3,https://api.spotify.com/v1/tracks/0QOmnhGicgd52BUPNGqsp3,https://api.spotify.com/v1/audio-analysis/0QOmnhGicgd52BUPNGqsp3,283728,4
Story of My Life,0.532,0.655,5,-15.25,0,0.183,0.0404,0.07,0.126,0.111,149.972,audio_features,0bDsszMsbVrovqcCjZSOxz,spotify:track:0bDsszMsbVrovqcCjZSOxz,https://api.spotify.com/v1/tracks/0bDsszMsbVrovqcCjZSOxz,https://api.spotify.com/v1/audio-analysis/0bDsszMsbVrovqcCjZSOxz,294839,4
