name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
PROJECTION,0.231,0.971,8,-3.008,1,0.234,0.000103,0.13,0.078,0.347,139.905,audio_features,2p5YDGZegSA90zYPiwU4v3,spotify:track:2p5YDGZegSA90zYPiwU4v3,https://api.spotify.com/v1/tracks/2p5YDGZegSA90zYPiwU4v3,https://api.spotify.com/v1/audio-analysis/2p5YDGZegSA90zYPiwU4v3,206733,4
Taking you out,0.429,0.988,10,-2.181,0,0.185,6.89e-05,0.00585,0.344,0.182,110.062,audio_features,0szB9K2XrGTprouR51fuzK,spotify:track:0szB9K2XrGTprouR51fuzK,https://api.spotify.com/v1/tracks/0szB9K2XrGTprouR51fuzK,https://api.spotify.com/v1/audio-analysis/0szB9K2XrGTprouR51fuzK,223347,4
Ray,0.451,0.981,8,-1.659,1,0.111,0.000545,0.0045,0.318,0.329,97.98,audio_features,4cj43JzCAg1cHFvHy5TJuW,spotify:track:4cj43JzCAg1cHFvHy5TJuW,https://api.spotify.com/v1/tracks/4cj43JzCAg1cHFvHy5TJuW,https://api.spotify.com/v1/audio-analysis/4cj43JzCAg1cHFvHy5TJuW,226507,4
一か八か,0.325,0.973,0,-3.306,1,0.131,0.000118,0.0401,0.189,0.313,91.782,audio_features,6OdAEyt2Hu1HAqyYZ8ZdgP,spotify:track:6OdAEyt2Hu1HAqyYZ8ZdgP,https://api.spotify.com/v1/tracks/6OdAEyt2Hu1HAqyYZ8ZdgP,https://api.spotify.com/v1/audio-analysis/6OdAEyt2Hu1HAqyYZ8ZdgP,151907,4
NINJA BOMBER,0.42,0.959,1,-2.805,1,0.212,0.000722,0.0599,0.477,0.539,194.784,audio_features,0JhA712nD4eWMIWpYyd2Mx,spotify:track:0JhA712nD4eWMIWpYyd2Mx,https://api.spotify.com/v1/tracks/0JhA712nD4eWMIWpYyd2Mx,https://api.spotify.com/v1/audio-analysis/0JhA712nD4eWMIWpYyd2Mx,199373,4
TRACE,0.331,0.883,1,-3.853,1,0.177,2.71e-05,0.0363,0.268,0.388,105.006,audio_features,6r3dgMO2vuxRIVZepJkuKp,spotify:track:6r3dgMO2vuxRIVZepJkuKp,https://api.spotify.com/v1/tracks/6r3dgMO2vuxRIVZepJkuKp,https://api.spotify.com/v1/audio-analysis/6r3dgMO2vuxRIVZepJkuKp,193667,4
Ray,0.454,0.981,8,-1.796,1,0.0976,0.000573,0.00857,0.308,0.327,98.03,audio_features,4U26q0oBh53yYTDfiY9GXu,spotify:track:4U26q0oBh53yYTDfiY9GXu,https://api.spotify.com/v1/tracks/4U26q0oBh53yYTDfiY9GXu,https://api.spotify.com/v1/audio-analysis/4U26q0oBh53yYTDfiY9GXu,229013,4
Future's near by,0.51,0.967,5,-2.789,0,0.108,4.3e-05,0.000927,0.164,0.372,104.96,audio_features,4gtDDwlpSL4jq6RlR4z4aa,spotify:track:4gtDDwlpSL4jq6RlR4z4aa,https://api.spotify.com/v1/tracks/4gtDDwlpSL4jq6RlR4z4aa,https://api.spotify.com/v1/audio-analysis/4gtDDwlpSL4jq6RlR4z4aa,260693,4
FLAVOR OF BLUE,0.17,0.981,10,-2.211,0,0.33,0.00014,0.000138,0.459,0.401,200.08,audio_features,4QMlVfR8BsVu1B06N8xt9b,spotify:track:4QMlVfR8BsVu1B06N8xt9b,https://api.spotify.com/v1/tracks/4QMlVfR8BsVu1B06N8xt9b,https://api.spotify.com/v1/audio-analysis/4QMlVfR8BsVu1B06N8xt9b,223000,4
Tonight,0.199,0.975,1,-1.94,1,0.214,0.000449,0.00318,0.119,0.257,198.15,audio_features,45206EN1CWbuL4HT675MOm,spotify:track:45206EN1CWbuL4HT675MOm,https://api.spotify.com/v1/tracks/45206EN1CWbuL4HT675MOm,https://api.spotify.com/v1/audio-analysis/45206EN1CWbuL4HT675MOm,229160,4
Maze of mind,0.545,0.989,8,-2.021,1,0.101,0.000111,0.129,0.276,0.295,105.06,audio_features,5hPv9y2BjoF3ObxJGCot6h,spotify:track:5hPv9y2BjoF3ObxJGCot6h,https://api.spotify.com/v1/tracks/5hPv9y2BjoF3ObxJGCot6h,https://api.spotify.com/v1/audio-analysis/5hPv9y2BjoF3ObxJGCot6h,188600,4
Stealth Haze,0.196,0.981,1,-2.515,1,0.298,0.000834,0.00873,0.312,0.204,155.814,audio_features,1SkUgxM80pK9exC6jK2g6x,spotify:track:1SkUgxM80pK9exC6jK2g6x,https://api.spotify.com/v1/tracks/1SkUgxM80pK9exC6jK2g6x,https://api.spotify.com/v1/audio-analysis/1SkUgxM80pK9exC6jK2g6x,210413,4
MISS UNLIMITED,0.332,0.956,11,-2.595,0,0.246,0.00023,0.198,0.0328,0.465,200.147,audio_features,0hehjf8MZvYjFBR0BZlhbm,spotify:track:0hehjf8MZvYjFBR0BZlhbm,https://api.spotify.com/v1/tracks/0hehjf8MZvYjFBR0BZlhbm,https://api.spotify.com/v1/audio-analysis/0hehjf8MZvYjFBR0BZlhbm,228267,4
TRICKSTER,0.445,0.973,0,-2.308,0,0.216,0.00593,0.00604,0.0611,0.273,169.961,audio_features,6W3erBH9Q5sZ9llbZU3pLx,spotify:track:6W3erBH9Q5sZ9llbZU3pLx,https://api.spotify.com/v1/tracks/6W3erBH9Q5sZ9llbZU3pLx,https://api.spotify.com/v1/audio-analysis/6W3erBH9Q5sZ9llbZU3pLx,247733,4
STARRY SKY,0.288,0.968,6,-2.951,1,0.241,0.000308,0.136,0.0813,0.584,92.524,audio_features,4N8KKyQZWjIgtGWf2ny4Rg,spotify:track:4N8KKyQZWjIgtGWf2ny4Rg,https://api.spotify.com/v1/tracks/4N8KKyQZWjIgtGWf2ny4Rg,https://api.spotify.com/v1/audio-analysis/4N8KKyQZWjIgtGWf2ny4Rg,242613,4
Freely,0.163,0.985,0,-2.61,1,0.456,0.0021,1.38e-05,0.135,0.541,200.099,audio_features,3eelpLQrGHhiGycLeKzBg2,spotify:track:3eelpLQrGHhiGycLeKzBg2,https://api.spotify.com/v1/tracks/3eelpLQrGHhiGycLeKzBg2,https://api.spotify.com/v1/audio-analysis/3eelpLQrGHhiGycLeKzBg2,236000,4
Anything New,0.541,0.946,3,-3.602,1,0.127,0.00652,0.0122,0.0676,0.551,149.987,audio_features,0Ae2qeqBZ8rtUUHvaAfeF5,spotify:track:0Ae2qeqBZ8rtUUHvaAfeF5,https://api.spotify.com/v1/tracks/0Ae2qeqBZ8rtUUHvaAfeF5,https://api.spotify.com/v1/audio-analysis/0Ae2qeqBZ8rtUUHvaAfeF5,274000,4
It's you,0.496,0.988,11,-3.151,1,0.0986,0.000494,0.144,0.356,0.359,105.025,audio_features,2ZQIyi8trYDzngljWptCaj,spotify:track:2ZQIyi8trYDzngljWptCaj,https://api.spotify.com/v1/tracks/2ZQIyi8trYDzngljWptCaj,https://api.spotify.com/v1/audio-analysis/2ZQIyi8trYDzngljWptCaj,278093,4
Nextage,0.337,0.987,1,-1.145,1,0.125,0.000779,0.0158,0.352,0.391,102.175,audio_features,1IaiOGIXw4b1Zp3tHlbCFN,spotify:track:1IaiOGIXw4b1Zp3tHlbCFN,https://api.spotify.com/v1/tracks/1IaiOGIXw4b1Zp3tHlbCFN,https://api.spotify.com/v1/audio-analysis/1IaiOGIXw4b1Zp3tHlbCFN,219307,4
TRACE,0.332,0.879,1,-3.725,1,0.188,3.1e-05,0.0334,0.259,0.408,105.011,audio_features,7GICl7mNQ6shJeGvf8ZlUB,spotify:track:7GICl7mNQ6shJeGvf8ZlUB,https://api.spotify.com/v1/tracks/7GICl7mNQ6shJeGvf8ZlUB,https://api.spotify.com/v1/audio-analysis/7GICl7mNQ6shJeGvf8ZlUB,192920,4
