name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Please Seishun,0.665,0.966,9,-4.268,1,0.053,0.0159,0.796,0.135,0.838,150.012,audio_features,3aYdkt1vA0GFKXbeFWtlCC,spotify:track:3aYdkt1vA0GFKXbeFWtlCC,https://api.spotify.com/v1/tracks/3aYdkt1vA0GFKXbeFWtlCC,https://api.spotify.com/v1/audio-analysis/3aYdkt1vA0GFKXbeFWtlCC,206406,4
Versus,0.452,0.978,0,-3.417,0,0.261,0.00189,0,0.275,0.282,159.924,audio_features,2Kx645LNj0diQaLi2ifZn9,spotify:track:2Kx645LNj0diQaLi2ifZn9,https://api.spotify.com/v1/tracks/2Kx645LNj0diQaLi2ifZn9,https://api.spotify.com/v1/audio-analysis/2Kx645LNj0diQaLi2ifZn9,221992,4
オタクにありがっち,0.891,0.744,11,-2.071,1,0.254,0.119,0,0.195,0.693,108.058,audio_features,4tMm5ks9bL9RYWN1U8inlr,spotify:track:4tMm5ks9bL9RYWN1U8inlr,https://api.spotify.com/v1/tracks/4tMm5ks9bL9RYWN1U8inlr,https://api.spotify.com/v1/audio-analysis/4tMm5ks9bL9RYWN1U8inlr,191676,4
RAB no RAP,0.719,0.872,7,-3.215,1,0.123,0.0935,0,0.308,0.964,120.043,audio_features,2YGJLvwQj6DbS60wGk30C2,spotify:track:2YGJLvwQj6DbS60wGk30C2,https://api.spotify.com/v1/tracks/2YGJLvwQj6DbS60wGk30C2,https://api.spotify.com/v1/audio-analysis/2YGJLvwQj6DbS60wGk30C2,35499,5
DeAd or Alive,0.649,0.9,2,-3.595,1,0.136,0.0448,0,0.0581,0.801,133.143,audio_features,46TmZYU3lUTWHujNqen7gI,spotify:track:46TmZYU3lUTWHujNqen7gI,https://api.spotify.com/v1/tracks/46TmZYU3lUTWHujNqen7gI,https://api.spotify.com/v1/audio-analysis/46TmZYU3lUTWHujNqen7gI,237851,4
Otaku datte Koi wo Sitai,0.554,0.743,9,-4.262,0,0.0334,0.526,0,0.407,0.529,159.872,audio_features,0lEasW4PYIlXsOLbQ2H5il,spotify:track:0lEasW4PYIlXsOLbQ2H5il,https://api.spotify.com/v1/tracks/0lEasW4PYIlXsOLbQ2H5il,https://api.spotify.com/v1/audio-analysis/0lEasW4PYIlXsOLbQ2H5il,278981,4
Otaku ni Arigatti,0.88,0.701,11,-3.961,1,0.233,0.113,0,0.29,0.756,108.075,audio_features,0HkxZ2r0JDtzEt5QKm1Llt,spotify:track:0HkxZ2r0JDtzEt5QKm1Llt,https://api.spotify.com/v1/tracks/0HkxZ2r0JDtzEt5QKm1Llt,https://api.spotify.com/v1/audio-analysis/0HkxZ2r0JDtzEt5QKm1Llt,190197,4
Otaku no Pien,0.611,0.811,0,-5.511,1,0.313,0.0166,0,0.151,0.508,127.237,audio_features,5Q4zhHc0sXbtghxE37EV4B,spotify:track:5Q4zhHc0sXbtghxE37EV4B,https://api.spotify.com/v1/tracks/5Q4zhHc0sXbtghxE37EV4B,https://api.spotify.com/v1/audio-analysis/5Q4zhHc0sXbtghxE37EV4B,196791,4
otaku no pien,0.67,0.862,0,-4.818,1,0.323,0.0492,0,0.322,0.573,126.983,audio_features,7zmhbSl075oIrHd33yfDTc,spotify:track:7zmhbSl075oIrHd33yfDTc,https://api.spotify.com/v1/tracks/7zmhbSl075oIrHd33yfDTc,https://api.spotify.com/v1/audio-analysis/7zmhbSl075oIrHd33yfDTc,199343,4
AB-boy no Uta,0.504,0.944,6,-4.026,1,0.251,0.00333,0,0.135,0.751,141.85,audio_features,5bIHhbJWviMu79tkh24yRG,spotify:track:5bIHhbJWviMu79tkh24yRG,https://api.spotify.com/v1/tracks/5bIHhbJWviMu79tkh24yRG,https://api.spotify.com/v1/audio-analysis/5bIHhbJWviMu79tkh24yRG,264393,4
Wagana ha ATM,0.631,0.976,9,-3.858,1,0.131,0.129,0,0.308,0.712,159.963,audio_features,6Og951gH85bLogWUZY8Oft,spotify:track:6Og951gH85bLogWUZY8Oft,https://api.spotify.com/v1/tracks/6Og951gH85bLogWUZY8Oft,https://api.spotify.com/v1/audio-analysis/6Og951gH85bLogWUZY8Oft,262182,4
OTA SAMURAI,0.582,0.904,8,-3.332,0,0.053,0.0205,0,0.259,0.914,163.977,audio_features,3icJxK6l1dOqaEekJpbAN2,spotify:track:3icJxK6l1dOqaEekJpbAN2,https://api.spotify.com/v1/tracks/3icJxK6l1dOqaEekJpbAN2,https://api.spotify.com/v1/audio-analysis/3icJxK6l1dOqaEekJpbAN2,200000,4
Heiwa no Kane,0.376,0.954,2,-3.794,1,0.144,0.00137,2.4e-06,0.385,0.401,81.491,audio_features,63fPbbUnxdl4t8JmgnEuTT,spotify:track:63fPbbUnxdl4t8JmgnEuTT,https://api.spotify.com/v1/tracks/63fPbbUnxdl4t8JmgnEuTT,https://api.spotify.com/v1/audio-analysis/63fPbbUnxdl4t8JmgnEuTT,239968,4
RAB no Uta,0.502,0.948,9,-2.389,1,0.0787,0.0926,0,0.309,0.82,92.102,audio_features,5xrUnRD9oM3r8JqftHQll6,spotify:track:5xrUnRD9oM3r8JqftHQll6,https://api.spotify.com/v1/tracks/5xrUnRD9oM3r8JqftHQll6,https://api.spotify.com/v1/audio-analysis/5xrUnRD9oM3r8JqftHQll6,25250,3
