name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Skiffle Song,0.479,0.477,10,-7.326,1,0.0334,0.266,8.43e-06,0.114,0.299,113.655,audio_features,5NyhaNUwfFWrfu5TRGlgi1,spotify:track:5NyhaNUwfFWrfu5TRGlgi1,https://api.spotify.com/v1/tracks/5NyhaNUwfFWrfu5TRGlgi1,https://api.spotify.com/v1/audio-analysis/5NyhaNUwfFWrfu5TRGlgi1,316211,4
赤と青,0.694,0.502,7,-7.374,0,0.0337,0.406,0.0045,0.196,0.704,95.976,audio_features,6AsQ1wqbmYSRmc3S9mxbaj,spotify:track:6AsQ1wqbmYSRmc3S9mxbaj,https://api.spotify.com/v1/tracks/6AsQ1wqbmYSRmc3S9mxbaj,https://api.spotify.com/v1/audio-analysis/6AsQ1wqbmYSRmc3S9mxbaj,193455,4
けもののなまえ (feat.HANA),0.708,0.458,2,-8.114,1,0.0284,0.479,0.00172,0.104,0.251,115.986,audio_features,6ikAxPIqfwM8k1ZSz5mpwN,spotify:track:6ikAxPIqfwM8k1ZSz5mpwN,https://api.spotify.com/v1/tracks/6ikAxPIqfwM8k1ZSz5mpwN,https://api.spotify.com/v1/audio-analysis/6ikAxPIqfwM8k1ZSz5mpwN,242086,4
赤と青,0.694,0.501,7,-7.375,0,0.0338,0.415,0.0055,0.194,0.707,95.977,audio_features,2udGq9U6BVzKk2UqTpji45,spotify:track:2udGq9U6BVzKk2UqTpji45,https://api.spotify.com/v1/tracks/2udGq9U6BVzKk2UqTpji45,https://api.spotify.com/v1/audio-analysis/2udGq9U6BVzKk2UqTpji45,193455,4
ALUMINIUM,0.373,0.212,0,-9.764,1,0.0304,0.947,9.69e-06,0.355,0.32,89.228,audio_features,2lppcb1rLcv3pdXO9EEB2S,spotify:track:2lppcb1rLcv3pdXO9EEB2S,https://api.spotify.com/v1/tracks/2lppcb1rLcv3pdXO9EEB2S,https://api.spotify.com/v1/audio-analysis/2lppcb1rLcv3pdXO9EEB2S,273067,5
HOWL,0.33,0.538,9,-9.348,1,0.0556,0.0057,0.0207,0.0673,0.367,135.939,audio_features,2eallREIVzmmZHdHhoRWGb,spotify:track:2eallREIVzmmZHdHhoRWGb,https://api.spotify.com/v1/tracks/2eallREIVzmmZHdHhoRWGb,https://api.spotify.com/v1/audio-analysis/2eallREIVzmmZHdHhoRWGb,243532,4
月に吠える,0.637,0.489,2,-6.404,1,0.0371,0.638,1.28e-05,0.188,0.181,122.871,audio_features,38ei5SpiWb0EU4hOVkMyCJ,spotify:track:38ei5SpiWb0EU4hOVkMyCJ,https://api.spotify.com/v1/tracks/38ei5SpiWb0EU4hOVkMyCJ,https://api.spotify.com/v1/audio-analysis/38ei5SpiWb0EU4hOVkMyCJ,205921,4
Aluminium (UK mix),0.418,0.214,0,-12.332,1,0.0305,0.979,0.000645,0.337,0.481,102.774,audio_features,3UHuV7W4ZZwthCJOXc7cVy,spotify:track:3UHuV7W4ZZwthCJOXc7cVy,https://api.spotify.com/v1/tracks/3UHuV7W4ZZwthCJOXc7cVy,https://api.spotify.com/v1/audio-analysis/3UHuV7W4ZZwthCJOXc7cVy,287374,3
極彩 | I G L (S),0.555,0.777,7,-6.054,1,0.0415,0.0403,0.1,0.601,0.414,108.981,audio_features,24mXRdqHSJf5C7tkln3My3,spotify:track:24mXRdqHSJf5C7tkln3My3,https://api.spotify.com/v1/tracks/24mXRdqHSJf5C7tkln3My3,https://api.spotify.com/v1/audio-analysis/24mXRdqHSJf5C7tkln3My3,257000,4
月に吠える,0.637,0.489,2,-6.404,1,0.0371,0.638,1.28e-05,0.188,0.181,122.871,audio_features,5Ms5sTRrTI0M463wKJmgp3,spotify:track:5Ms5sTRrTI0M463wKJmgp3,https://api.spotify.com/v1/tracks/5Ms5sTRrTI0M463wKJmgp3,https://api.spotify.com/v1/audio-analysis/5Ms5sTRrTI0M463wKJmgp3,205921,4
