name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Gone Gone,0.657,0.248,11,-16.076,0,0.0371,0.819,0.889,0.112,0.541,109.017,audio_features,7r5LPOSD61hU7cxmtQCQaN,spotify:track:7r5LPOSD61hU7cxmtQCQaN,https://api.spotify.com/v1/tracks/7r5LPOSD61hU7cxmtQCQaN,https://api.spotify.com/v1/audio-analysis/7r5LPOSD61hU7cxmtQCQaN,114881,4
Back by Popular Demand 1 1,0.564,0.491,6,-15.433,1,0.284,0.54,0,0.528,0.492,147.044,audio_features,1mkBeCkn7jb8ax2n3HylU7,spotify:track:1mkBeCkn7jb8ax2n3HylU7,https://api.spotify.com/v1/tracks/1mkBeCkn7jb8ax2n3HylU7,https://api.spotify.com/v1/audio-analysis/1mkBeCkn7jb8ax2n3HylU7,108217,4
Problemas,0.532,0.984,7,-2.571,1,0.192,0.41,0.00352,0.301,0.891,172.341,audio_features,2lDnzRq5jj2lIXuSYR2xXu,spotify:track:2lDnzRq5jj2lIXuSYR2xXu,https://api.spotify.com/v1/tracks/2lDnzRq5jj2lIXuSYR2xXu,https://api.spotify.com/v1/audio-analysis/2lDnzRq5jj2lIXuSYR2xXu,304321,4
Linda Mamá,0.618,0.941,7,-3.355,1,0.225,0.213,1.51e-06,0.107,0.731,78.251,audio_features,0L8tnbrDrgHOOGgW4TERzC,spotify:track:0L8tnbrDrgHOOGgW4TERzC,https://api.spotify.com/v1/tracks/0L8tnbrDrgHOOGgW4TERzC,https://api.spotify.com/v1/audio-analysis/0L8tnbrDrgHOOGgW4TERzC,412342,4
Remington Ride,0.419,0.614,7,-10.797,1,0.0338,0.314,0.982,0.105,0.972,152.261,audio_features,6AvYSrNcqLeHmd5k9fQmwI,spotify:track:6AvYSrNcqLeHmd5k9fQmwI,https://api.spotify.com/v1/tracks/6AvYSrNcqLeHmd5k9fQmwI,https://api.spotify.com/v1/audio-analysis/6AvYSrNcqLeHmd5k9fQmwI,145893,4
Talk To Em,0.848,0.44,1,-8.018,1,0.158,0.165,0,0.109,0.216,75.992,audio_features,3hWJn0B2jiEXRnZ9gfXTdg,spotify:track:3hWJn0B2jiEXRnZ9gfXTdg,https://api.spotify.com/v1/tracks/3hWJn0B2jiEXRnZ9gfXTdg,https://api.spotify.com/v1/audio-analysis/3hWJn0B2jiEXRnZ9gfXTdg,133200,4
Prhythmatic,0.534,0.993,9,-1.173,1,0.119,0.199,0,0.0958,0.58,158.081,audio_features,7Hrio6rVKJJK4Td8pkNLqy,spotify:track:7Hrio6rVKJJK4Td8pkNLqy,https://api.spotify.com/v1/tracks/7Hrio6rVKJJK4Td8pkNLqy,https://api.spotify.com/v1/audio-analysis/7Hrio6rVKJJK4Td8pkNLqy,225544,4
Eduardo Dalton,0.254,0.00809,1,-26.308,1,0.0315,0.955,0.428,0.108,0.0669,146.804,audio_features,4H7MFnWVyRvjbe3MsteIVN,spotify:track:4H7MFnWVyRvjbe3MsteIVN,https://api.spotify.com/v1/tracks/4H7MFnWVyRvjbe3MsteIVN,https://api.spotify.com/v1/audio-analysis/4H7MFnWVyRvjbe3MsteIVN,78367,3
Delfonics,0.482,0.568,6,-8.702,1,0.177,0.246,2.97e-06,0.105,0.322,129.539,audio_features,20coknF8snnVeALlHEg6CX,spotify:track:20coknF8snnVeALlHEg6CX,https://api.spotify.com/v1/tracks/20coknF8snnVeALlHEg6CX,https://api.spotify.com/v1/audio-analysis/20coknF8snnVeALlHEg6CX,180805,4
Soul Train - Quad Cover,0.346,0.293,5,-15.386,1,0.0423,0.693,0.381,0.158,0.0742,131.668,audio_features,2K71aXhpUFcIla3c9siyBk,spotify:track:2K71aXhpUFcIla3c9siyBk,https://api.spotify.com/v1/tracks/2K71aXhpUFcIla3c9siyBk,https://api.spotify.com/v1/audio-analysis/2K71aXhpUFcIla3c9siyBk,186340,4
