name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
drop pop candy (feat. ギガ),0.698,0.942,6,-1.936,0,0.0537,0.0194,0.000181,0.0114,0.967,129.962,audio_features,3fao1RoZVQPtkHY8upjezr,spotify:track:3fao1RoZVQPtkHY8upjezr,https://api.spotify.com/v1/tracks/3fao1RoZVQPtkHY8upjezr,https://api.spotify.com/v1/audio-analysis/3fao1RoZVQPtkHY8upjezr,224963,4
宵々古今,0.46,0.977,1,-2.184,1,0.293,0.000423,0,0.358,0.547,150.06,audio_features,3KLHSYHSmny4sJo2finqy9,spotify:track:3KLHSYHSmny4sJo2finqy9,https://api.spotify.com/v1/tracks/3KLHSYHSmny4sJo2finqy9,https://api.spotify.com/v1/audio-analysis/3KLHSYHSmny4sJo2finqy9,257733,4
SCORPION,0.699,0.897,11,-2.291,0,0.161,0.0167,0,0.289,0.427,126.089,audio_features,1pZmdVqhzMuEV0quFA0q01,spotify:track:1pZmdVqhzMuEV0quFA0q01,https://api.spotify.com/v1/tracks/1pZmdVqhzMuEV0quFA0q01,https://api.spotify.com/v1/audio-analysis/1pZmdVqhzMuEV0quFA0q01,176058,4
No title,0.502,0.874,1,-5.981,0,0.0677,0.0933,0.000173,0.0638,0.884,199.751,audio_features,5pZVsZ8TOGly1KnYFmZ61B,spotify:track:5pZVsZ8TOGly1KnYFmZ61B,https://api.spotify.com/v1/tracks/5pZVsZ8TOGly1KnYFmZ61B,https://api.spotify.com/v1/audio-analysis/5pZVsZ8TOGly1KnYFmZ61B,243903,4
SCORPION,0.698,0.895,11,-2.291,0,0.167,0.0174,0,0.293,0.435,126.089,audio_features,21ZCi6ILq2Yj4vJPm7m6xN,spotify:track:21ZCi6ILq2Yj4vJPm7m6xN,https://api.spotify.com/v1/tracks/21ZCi6ILq2Yj4vJPm7m6xN,https://api.spotify.com/v1/audio-analysis/21ZCi6ILq2Yj4vJPm7m6xN,178507,4
コノヨLoading...,0.754,0.988,11,-2.678,0,0.176,0.179,0,0.282,0.906,128.021,audio_features,5ZBs9dRavxKAS23WT1MwkQ,spotify:track:5ZBs9dRavxKAS23WT1MwkQ,https://api.spotify.com/v1/tracks/5ZBs9dRavxKAS23WT1MwkQ,https://api.spotify.com/v1/audio-analysis/5ZBs9dRavxKAS23WT1MwkQ,205787,4
LUVORATORRRRRY!,0.679,0.951,6,-3.066,0,0.147,0.0169,0.0882,0.0176,0.945,128.008,audio_features,1AMzUKhF0vCFHZTx8H7OS4,spotify:track:1AMzUKhF0vCFHZTx8H7OS4,https://api.spotify.com/v1/tracks/1AMzUKhF0vCFHZTx8H7OS4,https://api.spotify.com/v1/audio-analysis/1AMzUKhF0vCFHZTx8H7OS4,204187,4
たい,0.721,0.965,11,-2.2,1,0.0849,0.0192,0.0156,0.316,0.683,128.016,audio_features,4gtvQM3JWzRNYwGF1iYkmb,spotify:track:4gtvQM3JWzRNYwGF1iYkmb,https://api.spotify.com/v1/tracks/4gtvQM3JWzRNYwGF1iYkmb,https://api.spotify.com/v1/audio-analysis/4gtvQM3JWzRNYwGF1iYkmb,224667,4
MONSTER,0.488,0.968,6,-1.55,0,0.25,0.0295,0,0.215,0.359,163.988,audio_features,6zoNHckACUOGj2bERXgmnw,spotify:track:6zoNHckACUOGj2bERXgmnw,https://api.spotify.com/v1/tracks/6zoNHckACUOGj2bERXgmnw,https://api.spotify.com/v1/audio-analysis/6zoNHckACUOGj2bERXgmnw,201933,4
染,0.491,0.713,11,-4.325,0,0.044,0.253,0,0.18,0.404,159.938,audio_features,4YEP26yNgvVHVT44QmttLL,spotify:track:4YEP26yNgvVHVT44QmttLL,https://api.spotify.com/v1/tracks/4YEP26yNgvVHVT44QmttLL,https://api.spotify.com/v1/audio-analysis/4YEP26yNgvVHVT44QmttLL,284000,4
第六感,0.675,0.959,7,-1.754,1,0.0835,0.00893,8.48e-05,0.325,0.835,134.017,audio_features,22sQUmLhT8umlEhQzDrzfJ,spotify:track:22sQUmLhT8umlEhQzDrzfJ,https://api.spotify.com/v1/tracks/22sQUmLhT8umlEhQzDrzfJ,https://api.spotify.com/v1/audio-analysis/22sQUmLhT8umlEhQzDrzfJ,191625,4
アシンメトリー,0.511,0.906,6,-2.009,0,0.0883,0.00168,0.0035,0.0891,0.469,184.012,audio_features,56QwV4Er5l1qKQXnhnyTaA,spotify:track:56QwV4Er5l1qKQXnhnyTaA,https://api.spotify.com/v1/tracks/56QwV4Er5l1qKQXnhnyTaA,https://api.spotify.com/v1/audio-analysis/56QwV4Er5l1qKQXnhnyTaA,255814,4
ヒビカセ,0.711,0.764,6,-2.308,0,0.203,0.00206,0.000667,0.0538,0.835,139.988,audio_features,0H1iMm1pO61srixV0rGYRe,spotify:track:0H1iMm1pO61srixV0rGYRe,https://api.spotify.com/v1/tracks/0H1iMm1pO61srixV0rGYRe,https://api.spotify.com/v1/audio-analysis/0H1iMm1pO61srixV0rGYRe,250552,4
シンカロン,0.546,0.943,5,-1.855,0,0.144,0.0144,1.03e-05,0.153,0.614,179.981,audio_features,15eeDH2c5RDLvSKY9qjldS,spotify:track:15eeDH2c5RDLvSKY9qjldS,https://api.spotify.com/v1/tracks/15eeDH2c5RDLvSKY9qjldS,https://api.spotify.com/v1/audio-analysis/15eeDH2c5RDLvSKY9qjldS,222267,4
