name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Life is Like a Boat,0.666,0.371,11,-8.471,1,0.0274,0.502,4.55e-05,0.211,0.468,100.258,audio_features,02cIqYTYys4M1RBFiBKIEt,spotify:track:02cIqYTYys4M1RBFiBKIEt,https://api.spotify.com/v1/tracks/02cIqYTYys4M1RBFiBKIEt,https://api.spotify.com/v1/audio-analysis/02cIqYTYys4M1RBFiBKIEt,300307,4
Ripples,0.481,0.545,2,-8.071,0,0.032,0.521,0.1,0.108,0.377,136.951,audio_features,6956P25CJKhe6LBQYrSp2p,spotify:track:6956P25CJKhe6LBQYrSp2p,https://api.spotify.com/v1/tracks/6956P25CJKhe6LBQYrSp2p,https://api.spotify.com/v1/audio-analysis/6956P25CJKhe6LBQYrSp2p,225741,3
ツキアカリ,0.417,0.435,5,-6.352,1,0.0266,0.65,8.58e-05,0.0965,0.365,176.099,audio_features,06PeinAja9yRQGxO2L549Z,spotify:track:06PeinAja9yRQGxO2L549Z,https://api.spotify.com/v1/tracks/06PeinAja9yRQGxO2L549Z,https://api.spotify.com/v1/audio-analysis/06PeinAja9yRQGxO2L549Z,268307,4
Fourier,0.682,0.454,11,-8.916,1,0.0295,0.376,6.75e-05,0.114,0.319,124.058,audio_features,2TiMJjxfGhlA02vZw8y2D2,spotify:track:2TiMJjxfGhlA02vZw8y2D2,https://api.spotify.com/v1/tracks/2TiMJjxfGhlA02vZw8y2D2,https://api.spotify.com/v1/audio-analysis/2TiMJjxfGhlA02vZw8y2D2,245955,4
Life is Like a Boat (Classics Tokyo Sessions),0.332,0.316,11,-10.392,1,0.0326,0.334,0,0.109,0.317,188.138,audio_features,4umVzIjufBLEUy73D7khhq,spotify:track:4umVzIjufBLEUy73D7khhq,https://api.spotify.com/v1/tracks/4umVzIjufBLEUy73D7khhq,https://api.spotify.com/v1/audio-analysis/4umVzIjufBLEUy73D7khhq,357923,4
あなたがここにいる理由,0.454,0.6,4,-5.509,1,0.0311,0.476,9.38e-06,0.12,0.365,171.961,audio_features,0FS8A3j8QR9TqoptIqBX4p,spotify:track:0FS8A3j8QR9TqoptIqBX4p,https://api.spotify.com/v1/tracks/0FS8A3j8QR9TqoptIqBX4p,https://api.spotify.com/v1/audio-analysis/0FS8A3j8QR9TqoptIqBX4p,217920,4
For You,0.698,0.651,4,-4.407,1,0.0261,0.172,1.31e-06,0.12,0.389,99.957,audio_features,1sg2Jym1rH9FEI6PBQMT5C,spotify:track:1sg2Jym1rH9FEI6PBQMT5C,https://api.spotify.com/v1/tracks/1sg2Jym1rH9FEI6PBQMT5C,https://api.spotify.com/v1/audio-analysis/1sg2Jym1rH9FEI6PBQMT5C,245813,4
I Wanna Go To A Place...,0.607,0.457,7,-6.866,1,0.023,0.531,4.47e-05,0.201,0.349,95.004,audio_features,7EFJ1ugMxOC2UzIXH9G7XU,spotify:track:7EFJ1ugMxOC2UzIXH9G7XU,https://api.spotify.com/v1/tracks/7EFJ1ugMxOC2UzIXH9G7XU,https://api.spotify.com/v1/audio-analysis/7EFJ1ugMxOC2UzIXH9G7XU,308093,4
Scale,0.626,0.489,9,-10.456,1,0.032,0.515,0.00231,0.143,0.457,89.985,audio_features,1lEiXdQcknsMwMd7yEbLuY,spotify:track:1lEiXdQcknsMwMd7yEbLuY,https://api.spotify.com/v1/tracks/1lEiXdQcknsMwMd7yEbLuY,https://api.spotify.com/v1/audio-analysis/1lEiXdQcknsMwMd7yEbLuY,263690,4
TSUKIAKARI -MOONSHINE- - Classics Tokyo Sessions,0.363,0.271,5,-10.842,1,0.0269,0.0334,0,0.212,0.227,150.06,audio_features,0jhOmjAfPqq3ZwGlSK2SYo,spotify:track:0jhOmjAfPqq3ZwGlSK2SYo,https://api.spotify.com/v1/tracks/0jhOmjAfPqq3ZwGlSK2SYo,https://api.spotify.com/v1/audio-analysis/0jhOmjAfPqq3ZwGlSK2SYo,251441,4
