name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Glock,0.788,0.397,5,-16.692,1,0.221,0.21,0.0115,0.0876,0.714,80.008,audio_features,6RxIbdq4AQCojXPL4Px0dc,spotify:track:6RxIbdq4AQCojXPL4Px0dc,https://api.spotify.com/v1/tracks/6RxIbdq4AQCojXPL4Px0dc,https://api.spotify.com/v1/audio-analysis/6RxIbdq4AQCojXPL4Px0dc,161055,1
East side,0.585,0.799,11,-4.262,0,0.0696,0.15,0.000543,0.35,0.475,177.988,audio_features,6L4qYOWLgpcmcwpHBlJcf1,spotify:track:6L4qYOWLgpcmcwpHBlJcf1,https://api.spotify.com/v1/tracks/6L4qYOWLgpcmcwpHBlJcf1,https://api.spotify.com/v1/audio-analysis/6L4qYOWLgpcmcwpHBlJcf1,206629,4
Tune,0.57,0.92,0,-4.357,0,0.0314,0.0139,0.801,0.196,0.242,139.964,audio_features,4lppHZ501an4AgLtttWoK1,spotify:track:4lppHZ501an4AgLtttWoK1,https://api.spotify.com/v1/tracks/4lppHZ501an4AgLtttWoK1,https://api.spotify.com/v1/audio-analysis/4lppHZ501an4AgLtttWoK1,245571,4
Diamante,0.888,0.554,2,-6.808,1,0.0837,0.128,0,0.25,0.315,124.947,audio_features,0uH4DzU2IG0TqjLpuk61vW,spotify:track:0uH4DzU2IG0TqjLpuk61vW,https://api.spotify.com/v1/tracks/0uH4DzU2IG0TqjLpuk61vW,https://api.spotify.com/v1/audio-analysis/0uH4DzU2IG0TqjLpuk61vW,195290,4
Ecstasy,0.506,0.888,0,-6.427,1,0.0439,0.00039,0.83,0.107,0.535,170.002,audio_features,02kEyUyAlYX6YpY6azAOL5,spotify:track:02kEyUyAlYX6YpY6azAOL5,https://api.spotify.com/v1/tracks/02kEyUyAlYX6YpY6azAOL5,https://api.spotify.com/v1/audio-analysis/02kEyUyAlYX6YpY6azAOL5,164588,4
Shiryu de Dragão,0.594,0.418,9,-13.112,0,0.498,0.251,0,0.302,0.638,85.829,audio_features,06F4ikuSdlzs5SMkNWgLKz,spotify:track:06F4ikuSdlzs5SMkNWgLKz,https://api.spotify.com/v1/tracks/06F4ikuSdlzs5SMkNWgLKz,https://api.spotify.com/v1/audio-analysis/06F4ikuSdlzs5SMkNWgLKz,196292,4
who i hate,0.685,0.727,0,-6.453,0,0.0349,0.0193,0,0.298,0.884,128.013,audio_features,11gqkDtkelzCXdJBFBOo0E,spotify:track:11gqkDtkelzCXdJBFBOo0E,https://api.spotify.com/v1/tracks/11gqkDtkelzCXdJBFBOo0E,https://api.spotify.com/v1/audio-analysis/11gqkDtkelzCXdJBFBOo0E,217431,4
Ikki de Fênix,0.692,0.492,3,-13.412,0,0.323,0.0671,0,0.0839,0.689,84.861,audio_features,0V08TYO9i7x3SIpovUFIjZ,spotify:track:0V08TYO9i7x3SIpovUFIjZ,https://api.spotify.com/v1/tracks/0V08TYO9i7x3SIpovUFIjZ,https://api.spotify.com/v1/audio-analysis/0V08TYO9i7x3SIpovUFIjZ,89368,4
Restart,0.456,0.927,0,-4.768,1,0.0494,2.42e-05,0.863,0.109,0.584,170.984,audio_features,327MtIuo0BKKK32UWNwIxK,spotify:track:327MtIuo0BKKK32UWNwIxK,https://api.spotify.com/v1/tracks/327MtIuo0BKKK32UWNwIxK,https://api.spotify.com/v1/audio-analysis/327MtIuo0BKKK32UWNwIxK,236000,4
Seiya de Pégasus,0.808,0.414,6,-14.627,0,0.114,0.253,9.61e-06,0.0948,0.358,155.02,audio_features,0u3Aeo6czmBq7JYSGNL0HD,spotify:track:0u3Aeo6czmBq7JYSGNL0HD,https://api.spotify.com/v1/tracks/0u3Aeo6czmBq7JYSGNL0HD,https://api.spotify.com/v1/audio-analysis/0u3Aeo6czmBq7JYSGNL0HD,133185,4
Shun de Andrômeda,0.506,0.386,3,-16.023,0,0.0492,0.185,0.0635,0.192,0.147,79.962,audio_features,59hVIg6jX1bIytl8uC0Ufy,spotify:track:59hVIg6jX1bIytl8uC0Ufy,https://api.spotify.com/v1/tracks/59hVIg6jX1bIytl8uC0Ufy,https://api.spotify.com/v1/audio-analysis/59hVIg6jX1bIytl8uC0Ufy,135141,4
