name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Soon... - Acoustic ver.,0.636,0.228,5,-8.374,0,0.0278,0.859,0,0.116,0.326,90.13,audio_features,6zidP9JF3w8jn1Yt8cthPB,spotify:track:6zidP9JF3w8jn1Yt8cthPB,https://api.spotify.com/v1/tracks/6zidP9JF3w8jn1Yt8cthPB,https://api.spotify.com/v1/audio-analysis/6zidP9JF3w8jn1Yt8cthPB,240472,4
つよがり,0.645,0.271,6,-5.434,0,0.0275,0.798,0,0.119,0.424,90.081,audio_features,677exqXcmfHPOI4mjysyNQ,spotify:track:677exqXcmfHPOI4mjysyNQ,https://api.spotify.com/v1/tracks/677exqXcmfHPOI4mjysyNQ,https://api.spotify.com/v1/audio-analysis/677exqXcmfHPOI4mjysyNQ,346156,4
いつか大人になったら - Acoustic ver.,0.598,0.376,8,-6.481,1,0.0286,0.841,0,0.091,0.563,103.686,audio_features,6EFxVX3joduTd5D1jsOHTR,spotify:track:6EFxVX3joduTd5D1jsOHTR,https://api.spotify.com/v1/tracks/6EFxVX3joduTd5D1jsOHTR,https://api.spotify.com/v1/audio-analysis/6EFxVX3joduTd5D1jsOHTR,233399,4
I'll be with you - Acoustic ver.,0.581,0.433,5,-5.792,1,0.0279,0.805,0,0.123,0.15,144.067,audio_features,1KFEz721h9ds8tDLm44Crg,spotify:track:1KFEz721h9ds8tDLm44Crg,https://api.spotify.com/v1/tracks/1KFEz721h9ds8tDLm44Crg,https://api.spotify.com/v1/audio-analysis/1KFEz721h9ds8tDLm44Crg,266907,4
大切な君へ -Happy Wedding- - Acoustic ver.,0.665,0.335,7,-6.604,0,0.027,0.883,0,0.0839,0.287,92.058,audio_features,72Zgz0HfLzOsCEDaKD6uha,spotify:track:72Zgz0HfLzOsCEDaKD6uha,https://api.spotify.com/v1/tracks/72Zgz0HfLzOsCEDaKD6uha,https://api.spotify.com/v1/audio-analysis/72Zgz0HfLzOsCEDaKD6uha,234304,4
I'll be with you,0.577,0.433,5,-5.79,1,0.028,0.805,0,0.13,0.14,144.214,audio_features,20lB4fEYVJ6l88XpwPaz7S,spotify:track:20lB4fEYVJ6l88XpwPaz7S,https://api.spotify.com/v1/tracks/20lB4fEYVJ6l88XpwPaz7S,https://api.spotify.com/v1/audio-analysis/20lB4fEYVJ6l88XpwPaz7S,266907,4
Soon...,0.645,0.232,5,-8.373,0,0.0279,0.865,0,0.117,0.323,89.994,audio_features,2xQVLhe6JgB4LImVq5OBXX,spotify:track:2xQVLhe6JgB4LImVq5OBXX,https://api.spotify.com/v1/tracks/2xQVLhe6JgB4LImVq5OBXX,https://api.spotify.com/v1/audio-analysis/2xQVLhe6JgB4LImVq5OBXX,240472,4
大切な君へ〜happy wedding〜,0.666,0.335,7,-6.605,0,0.0266,0.884,0,0.0835,0.287,92.035,audio_features,5J6spljaEy2K0Gri6UzBff,spotify:track:5J6spljaEy2K0Gri6UzBff,https://api.spotify.com/v1/tracks/5J6spljaEy2K0Gri6UzBff,https://api.spotify.com/v1/audio-analysis/5J6spljaEy2K0Gri6UzBff,234304,4
いつか大人になったら,0.619,0.375,8,-6.48,1,0.0286,0.842,0,0.091,0.564,104.02,audio_features,3vMm4sz0vEVqwct3wKhMwK,spotify:track:3vMm4sz0vEVqwct3wKhMwK,https://api.spotify.com/v1/tracks/3vMm4sz0vEVqwct3wKhMwK,https://api.spotify.com/v1/audio-analysis/3vMm4sz0vEVqwct3wKhMwK,233399,4
つよがり - Acoustic ver.,0.647,0.27,6,-5.434,0,0.0276,0.797,0,0.12,0.426,90.109,audio_features,6OsKS4AtC7RdHkUjDVVckp,spotify:track:6OsKS4AtC7RdHkUjDVVckp,https://api.spotify.com/v1/tracks/6OsKS4AtC7RdHkUjDVVckp,https://api.spotify.com/v1/audio-analysis/6OsKS4AtC7RdHkUjDVVckp,346156,4
