name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
if,0.634,0.965,7,-3.714,1,0.033,1.54e-05,0.556,0.162,0.127,130.001,audio_features,5D8nxxFm85F4kzYp7EyXmB,spotify:track:5D8nxxFm85F4kzYp7EyXmB,https://api.spotify.com/v1/tracks/5D8nxxFm85F4kzYp7EyXmB,https://api.spotify.com/v1/audio-analysis/5D8nxxFm85F4kzYp7EyXmB,306165,4
Setsuna,0.6,0.991,11,-3.865,0,0.0761,5.62e-05,0.0131,0.666,0.191,137.999,audio_features,6ATdgdgSqBtPdcV5vL6iD4,spotify:track:6ATdgdgSqBtPdcV5vL6iD4,https://api.spotify.com/v1/tracks/6ATdgdgSqBtPdcV5vL6iD4,https://api.spotify.com/v1/audio-analysis/6ATdgdgSqBtPdcV5vL6iD4,425806,4
Drop That,0.777,0.85,11,-6.07,0,0.0861,0.0122,0.586,0.183,0.455,124.009,audio_features,1wwfp1VRfpCNdKLZcbl1t7,spotify:track:1wwfp1VRfpCNdKLZcbl1t7,https://api.spotify.com/v1/tracks/1wwfp1VRfpCNdKLZcbl1t7,https://api.spotify.com/v1/audio-analysis/1wwfp1VRfpCNdKLZcbl1t7,197370,4
Foolism,0.752,0.305,10,-10.409,0,0.0378,0.781,0.93,0.112,0.349,140.028,audio_features,0EnDBuRF3FJTMF9gp1s1v3,spotify:track:0EnDBuRF3FJTMF9gp1s1v3,https://api.spotify.com/v1/tracks/0EnDBuRF3FJTMF9gp1s1v3,https://api.spotify.com/v1/audio-analysis/0EnDBuRF3FJTMF9gp1s1v3,216774,4
Shinonome - Original Mix,0.833,0.608,8,-7.332,0,0.279,0.00922,0.461,0.0766,0.59,129.992,audio_features,0P5cQzViIbdobJy4A0ZS4X,spotify:track:0P5cQzViIbdobJy4A0ZS4X,https://api.spotify.com/v1/tracks/0P5cQzViIbdobJy4A0ZS4X,https://api.spotify.com/v1/audio-analysis/0P5cQzViIbdobJy4A0ZS4X,529769,4
Need U,0.705,0.908,7,-2.452,0,0.0411,0.00166,0.0165,0.0397,0.178,127.997,audio_features,0z4EgEHI0FJHg9GgAlQ86M,spotify:track:0z4EgEHI0FJHg9GgAlQ86M,https://api.spotify.com/v1/tracks/0z4EgEHI0FJHg9GgAlQ86M,https://api.spotify.com/v1/audio-analysis/0z4EgEHI0FJHg9GgAlQ86M,241975,4
Little Life (Intro),0.758,0.894,4,-3.68,1,0.0818,0.00313,0.784,0.188,0.371,128.006,audio_features,7HdtmNt6iK5rq3J3hqdESp,spotify:track:7HdtmNt6iK5rq3J3hqdESp,https://api.spotify.com/v1/tracks/7HdtmNt6iK5rq3J3hqdESp,https://api.spotify.com/v1/audio-analysis/7HdtmNt6iK5rq3J3hqdESp,169000,4
Million Faces,0.693,0.892,5,-5.946,1,0.0322,0.00791,0.671,0.149,0.324,114.001,audio_features,2ayoa2eeMnfj1c7YpmDtGM,spotify:track:2ayoa2eeMnfj1c7YpmDtGM,https://api.spotify.com/v1/tracks/2ayoa2eeMnfj1c7YpmDtGM,https://api.spotify.com/v1/audio-analysis/2ayoa2eeMnfj1c7YpmDtGM,261290,4
Iroha,0.722,0.86,11,-4.402,0,0.049,1.56e-05,0.203,0.237,0.0496,135.989,audio_features,2r9TbnzFeYfyKKACtTi1eh,spotify:track:2r9TbnzFeYfyKKACtTi1eh,https://api.spotify.com/v1/tracks/2r9TbnzFeYfyKKACtTi1eh,https://api.spotify.com/v1/audio-analysis/2r9TbnzFeYfyKKACtTi1eh,377419,4
Phantasmagoria,0.612,0.975,0,-2.605,1,0.0715,1.97e-05,0.651,0.367,0.317,138.002,audio_features,7wMeK4zvVdPLta5Cm9pBcX,spotify:track:7wMeK4zvVdPLta5Cm9pBcX,https://api.spotify.com/v1/tracks/7wMeK4zvVdPLta5Cm9pBcX,https://api.spotify.com/v1/audio-analysis/7wMeK4zvVdPLta5Cm9pBcX,440996,4
