name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sakura Mirage,0.375,1.0,5,-0.482,0,0.0896,0.0142,0.899,0.162,0.559,186.946,audio_features,0ImxR5mbd5EE3eguGEBSbm,spotify:track:0ImxR5mbd5EE3eguGEBSbm,https://api.spotify.com/v1/tracks/0ImxR5mbd5EE3eguGEBSbm,https://api.spotify.com/v1/audio-analysis/0ImxR5mbd5EE3eguGEBSbm,199900,4
Second Heaven 2K15,0.434,0.999,8,-2.82,1,0.0844,0.00519,0.802,0.0724,0.553,150.951,audio_features,0xe4qOIK7gZlfzirazAYfc,spotify:track:0xe4qOIK7gZlfzirazAYfc,https://api.spotify.com/v1/tracks/0xe4qOIK7gZlfzirazAYfc,https://api.spotify.com/v1/audio-analysis/0xe4qOIK7gZlfzirazAYfc,246268,4
BREEZE,0.397,0.991,0,-2.406,1,0.0669,4.04e-05,0.852,0.268,0.0811,171.003,audio_features,2DIdWJzKQWYPjchkXpkawJ,spotify:track:2DIdWJzKQWYPjchkXpkawJ,https://api.spotify.com/v1/tracks/2DIdWJzKQWYPjchkXpkawJ,https://api.spotify.com/v1/audio-analysis/2DIdWJzKQWYPjchkXpkawJ,261053,4
Rainbow Rainbow - Extended Rrver.,0.432,0.988,0,-3.679,1,0.0875,0.00362,0.826,0.285,0.34,176.972,audio_features,3kO6DWdhBZMRWVekRdqDDq,spotify:track:3kO6DWdhBZMRWVekRdqDDq,https://api.spotify.com/v1/tracks/3kO6DWdhBZMRWVekRdqDDq,https://api.spotify.com/v1/audio-analysis/3kO6DWdhBZMRWVekRdqDDq,263400,4
BREEZE,0.241,0.989,10,-3.138,0,0.0771,1.22e-05,0.817,0.374,0.165,179.911,audio_features,70YcWAShF2NHSQoK2I1L1a,spotify:track:70YcWAShF2NHSQoK2I1L1a,https://api.spotify.com/v1/tracks/70YcWAShF2NHSQoK2I1L1a,https://api.spotify.com/v1/audio-analysis/70YcWAShF2NHSQoK2I1L1a,92000,4
Trench,0.488,0.997,11,-3.976,0,0.361,0.00764,0.547,0.0677,0.038,175.039,audio_features,1pvELHfeT3nbRxVjq8BQhT,spotify:track:1pvELHfeT3nbRxVjq8BQhT,https://api.spotify.com/v1/tracks/1pvELHfeT3nbRxVjq8BQhT,https://api.spotify.com/v1/audio-analysis/1pvELHfeT3nbRxVjq8BQhT,246040,4
neniam,0.452,0.996,6,-2.925,0,0.284,0.00327,0.903,0.0568,0.0595,174.96,audio_features,6ml2rqjxEXVvpHLTFDFgsf,spotify:track:6ml2rqjxEXVvpHLTFDFgsf,https://api.spotify.com/v1/tracks/6ml2rqjxEXVvpHLTFDFgsf,https://api.spotify.com/v1/audio-analysis/6ml2rqjxEXVvpHLTFDFgsf,253707,4
Sakura Reflection - Extended Rrver.,0.383,0.994,7,-2.951,0,0.0625,0.00588,0.385,0.325,0.551,180.967,audio_features,6EsHcWpvO6h7HQS9d3SMcW,spotify:track:6EsHcWpvO6h7HQS9d3SMcW,https://api.spotify.com/v1/tracks/6EsHcWpvO6h7HQS9d3SMcW,https://api.spotify.com/v1/audio-analysis/6EsHcWpvO6h7HQS9d3SMcW,212300,4
Improve,0.582,0.966,10,-4.806,0,0.346,0.000441,0.883,0.366,0.176,174.984,audio_features,3z86YLFQBxBf5aOxyt3gbz,spotify:track:3z86YLFQBxBf5aOxyt3gbz,https://api.spotify.com/v1/tracks/3z86YLFQBxBf5aOxyt3gbz,https://api.spotify.com/v1/audio-analysis/3z86YLFQBxBf5aOxyt3gbz,246899,4
Go Beyond!! - Extended Rrver.,0.34,0.99,7,-4.276,1,0.159,0.000478,0.732,0.409,0.135,99.955,audio_features,6i4uzy1akvGa1EWF5InVSA,spotify:track:6i4uzy1akvGa1EWF5InVSA,https://api.spotify.com/v1/tracks/6i4uzy1akvGa1EWF5InVSA,https://api.spotify.com/v1/audio-analysis/6i4uzy1akvGa1EWF5InVSA,273200,4
Plan 8 - Extended Mix,0.436,0.997,10,-2.856,0,0.0586,0.000303,0.972,0.307,0.354,105.989,audio_features,5xGJpO9FEIvy4H3GYep9qz,spotify:track:5xGJpO9FEIvy4H3GYep9qz,https://api.spotify.com/v1/tracks/5xGJpO9FEIvy4H3GYep9qz,https://api.spotify.com/v1/audio-analysis/5xGJpO9FEIvy4H3GYep9qz,294000,4
