name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Passion,0.743,0.747,5,-5.64,1,0.0374,0.031,0,0.2,0.691,101.01,audio_features,1r3RzA093pxz24XEtlvY9D,spotify:track:1r3RzA093pxz24XEtlvY9D,https://api.spotify.com/v1/tracks/1r3RzA093pxz24XEtlvY9D,https://api.spotify.com/v1/audio-analysis/1r3RzA093pxz24XEtlvY9D,201067,4
Come Back To Me,0.768,0.565,10,-6.668,1,0.0273,0.309,0,0.107,0.796,131.987,audio_features,4ezlt6ciGxes2ctqphnKVU,spotify:track:4ezlt6ciGxes2ctqphnKVU,https://api.spotify.com/v1/tracks/4ezlt6ciGxes2ctqphnKVU,https://api.spotify.com/v1/audio-analysis/4ezlt6ciGxes2ctqphnKVU,246333,4
Better Together,0.782,0.813,8,-3.788,1,0.0384,0.00971,0,0.344,0.789,119.999,audio_features,07BrAHEuDfgZ3mtHZyCa6u,spotify:track:07BrAHEuDfgZ3mtHZyCa6u,https://api.spotify.com/v1/tracks/07BrAHEuDfgZ3mtHZyCa6u,https://api.spotify.com/v1/audio-analysis/07BrAHEuDfgZ3mtHZyCa6u,218120,4
I'm Going Crazy,0.609,0.828,2,-4.668,1,0.0621,0.211,0,0.315,0.732,160.001,audio_features,7yAL7lr8pL9vCNn8QL3HG1,spotify:track:7yAL7lr8pL9vCNn8QL3HG1,https://api.spotify.com/v1/tracks/7yAL7lr8pL9vCNn8QL3HG1,https://api.spotify.com/v1/audio-analysis/7yAL7lr8pL9vCNn8QL3HG1,223480,4
When I Can't Sing (내가 노래를 못해도),0.664,0.599,0,-6.238,1,0.0282,0.486,0,0.087,0.704,143.924,audio_features,04DzNacNQnSlCqs9bJX4Eg,spotify:track:04DzNacNQnSlCqs9bJX4Eg,https://api.spotify.com/v1/tracks/04DzNacNQnSlCqs9bJX4Eg,https://api.spotify.com/v1/audio-analysis/04DzNacNQnSlCqs9bJX4Eg,235427,4
Desire,0.692,0.526,7,-7.667,0,0.0341,0.262,0,0.12,0.354,122.007,audio_features,0Fs3uB8X33Zu3YMT7mdOdT,spotify:track:0Fs3uB8X33Zu3YMT7mdOdT,https://api.spotify.com/v1/tracks/0Fs3uB8X33Zu3YMT7mdOdT,https://api.spotify.com/v1/audio-analysis/0Fs3uB8X33Zu3YMT7mdOdT,229067,4
Somebody Else,0.616,0.855,1,-4.734,1,0.0411,0.00107,0,0.301,0.374,125.047,audio_features,3bZCpnBZjoz78HuFfCDuVg,spotify:track:3bZCpnBZjoz78HuFfCDuVg,https://api.spotify.com/v1/tracks/3bZCpnBZjoz78HuFfCDuVg,https://api.spotify.com/v1/audio-analysis/3bZCpnBZjoz78HuFfCDuVg,215560,4
La La La,0.793,0.478,8,-5.956,1,0.0386,0.0327,0,0.0735,0.82,129.983,audio_features,5sIplgOpB1QuNLMhwmW71d,spotify:track:5sIplgOpB1QuNLMhwmW71d,https://api.spotify.com/v1/tracks/5sIplgOpB1QuNLMhwmW71d,https://api.spotify.com/v1/audio-analysis/5sIplgOpB1QuNLMhwmW71d,271867,4
Girls - Feat. Lil Kim,0.679,0.564,1,-7.499,1,0.157,0.0156,0,0.209,0.462,170.179,audio_features,0JURkyRmqvTlSST86vREPn,spotify:track:0JURkyRmqvTlSST86vREPn,https://api.spotify.com/v1/tracks/0JURkyRmqvTlSST86vREPn,https://api.spotify.com/v1/audio-analysis/0JURkyRmqvTlSST86vREPn,216854,4
Come Back to Me Part 2,0.706,0.504,11,-7.324,1,0.0351,0.571,0,0.225,0.523,125.961,audio_features,0mS4ZDJH4FStRxsRHpPyck,spotify:track:0mS4ZDJH4FStRxsRHpPyck,https://api.spotify.com/v1/tracks/0mS4ZDJH4FStRxsRHpPyck,https://api.spotify.com/v1/audio-analysis/0mS4ZDJH4FStRxsRHpPyck,223107,4
와줘,0.593,0.62,10,-8.472,1,0.041,0.576,0,0.411,0.339,131.146,audio_features,1D7jeouzmIaZPFhS3AM5bp,spotify:track:1D7jeouzmIaZPFhS3AM5bp,https://api.spotify.com/v1/tracks/1D7jeouzmIaZPFhS3AM5bp,https://api.spotify.com/v1/audio-analysis/1D7jeouzmIaZPFhS3AM5bp,268800,4
Promise,0.795,0.462,11,-6.861,1,0.0309,0.131,0,0.0573,0.795,99.966,audio_features,2v3qAiVdVeJm5Tms1zAIA8,spotify:track:2v3qAiVdVeJm5Tms1zAIA8,https://api.spotify.com/v1/tracks/2v3qAiVdVeJm5Tms1zAIA8,https://api.spotify.com/v1/audio-analysis/2v3qAiVdVeJm5Tms1zAIA8,199147,4
Monologue,0.708,0.6,9,-7.415,1,0.0356,0.0587,0,0.0897,0.417,136.071,audio_features,2HNM25UNLXkGSM5gh17BUH,spotify:track:2HNM25UNLXkGSM5gh17BUH,https://api.spotify.com/v1/tracks/2HNM25UNLXkGSM5gh17BUH,https://api.spotify.com/v1/audio-analysis/2HNM25UNLXkGSM5gh17BUH,219720,4
Tattoo,0.648,0.517,9,-8.318,1,0.0326,0.342,0,0.082,0.55,132.012,audio_features,0gnLzHTTlAz88DtJBOxRPD,spotify:track:0gnLzHTTlAz88DtJBOxRPD,https://api.spotify.com/v1/tracks/0gnLzHTTlAz88DtJBOxRPD,https://api.spotify.com/v1/audio-analysis/0gnLzHTTlAz88DtJBOxRPD,253640,4
Understand (이해해),0.511,0.525,5,-7.588,0,0.0283,0.017,0,0.0792,0.395,137.94,audio_features,1vKICsRvg02Hvtz2FmIfVx,spotify:track:1vKICsRvg02Hvtz2FmIfVx,https://api.spotify.com/v1/tracks/1vKICsRvg02Hvtz2FmIfVx,https://api.spotify.com/v1/audio-analysis/1vKICsRvg02Hvtz2FmIfVx,237560,4
Digital Bounce,0.729,0.904,9,-3.461,1,0.0775,0.00778,0,0.295,0.737,126.067,audio_features,5ARgnfrLwITHFFKkLYisdc,spotify:track:5ARgnfrLwITHFFKkLYisdc,https://api.spotify.com/v1/tracks/5ARgnfrLwITHFFKkLYisdc,https://api.spotify.com/v1/audio-analysis/5ARgnfrLwITHFFKkLYisdc,209867,4
모나리자,0.758,0.758,9,-3.898,0,0.0453,0.0217,0,0.0495,0.659,117.015,audio_features,5HZNMdNZilj7CuE3X1llOg,spotify:track:5HZNMdNZilj7CuE3X1llOg,https://api.spotify.com/v1/tracks/5HZNMdNZilj7CuE3X1llOg,https://api.spotify.com/v1/audio-analysis/5HZNMdNZilj7CuE3X1llOg,198573,4
Crazy,0.83,0.707,0,-5.818,1,0.181,0.0489,0,0.0793,0.748,109.995,audio_features,2Wd4VnNC62955dgtpRQ1Da,spotify:track:2Wd4VnNC62955dgtpRQ1Da,https://api.spotify.com/v1/tracks/2Wd4VnNC62955dgtpRQ1Da,https://api.spotify.com/v1/audio-analysis/2Wd4VnNC62955dgtpRQ1Da,221560,4
ELEVEN9 (INTRO),0.532,0.635,0,-8.691,0,0.194,0.287,0.628,0.151,0.498,149.673,audio_features,4KC2uAYhMvBnTDkRqzJjpE,spotify:track:4KC2uAYhMvBnTDkRqzJjpE,https://api.spotify.com/v1/tracks/4KC2uAYhMvBnTDkRqzJjpE,https://api.spotify.com/v1/audio-analysis/4KC2uAYhMvBnTDkRqzJjpE,68862,4
Se7olution (Intro),0.753,0.915,11,-6.391,0,0.0452,0.000486,0,0.0925,0.714,107.014,audio_features,0EaeTUVd1NHGpWkvBUZVLq,spotify:track:0EaeTUVd1NHGpWkvBUZVLq,https://api.spotify.com/v1/tracks/0EaeTUVd1NHGpWkvBUZVLq,https://api.spotify.com/v1/audio-analysis/0EaeTUVd1NHGpWkvBUZVLq,68453,4
Again,0.7,0.709,7,-4.136,1,0.0631,0.00232,0,0.133,0.444,98.979,audio_features,06bH77HAfaukaAAZGJKM48,spotify:track:06bH77HAfaukaAAZGJKM48,https://api.spotify.com/v1/tracks/06bH77HAfaukaAAZGJKM48,https://api.spotify.com/v1/audio-analysis/06bH77HAfaukaAAZGJKM48,204480,4
ありがとう,0.367,0.727,7,-5.126,1,0.0474,0.393,0,0.0804,0.33,159.748,audio_features,6ZAanLwyXfB41TuDXGTo5F,spotify:track:6ZAanLwyXfB41TuDXGTo5F,https://api.spotify.com/v1/tracks/6ZAanLwyXfB41TuDXGTo5F,https://api.spotify.com/v1/audio-analysis/6ZAanLwyXfB41TuDXGTo5F,332800,4
One More Time,0.672,0.578,8,-5.703,0,0.086,0.128,0,0.133,0.719,79.95,audio_features,161Ye5LPikWnLhUSFzQIYc,spotify:track:161Ye5LPikWnLhUSFzQIYc,https://api.spotify.com/v1/tracks/161Ye5LPikWnLhUSFzQIYc,https://api.spotify.com/v1/audio-analysis/161Ye5LPikWnLhUSFzQIYc,207400,4
Please Go Far Away,0.634,0.485,1,-8.089,1,0.0291,0.468,3.94e-06,0.129,0.659,80.004,audio_features,4TN6WsCrIWXbuebMMXRjLt,spotify:track:4TN6WsCrIWXbuebMMXRjLt,https://api.spotify.com/v1/tracks/4TN6WsCrIWXbuebMMXRjLt,https://api.spotify.com/v1/audio-analysis/4TN6WsCrIWXbuebMMXRjLt,330573,4
Run (Feat. G-DRAGON),0.779,0.799,4,-5.956,0,0.0361,0.0121,0,0.304,0.722,114.022,audio_features,12Fq2Cjz5HSfnNC1LG8Xiw,spotify:track:12Fq2Cjz5HSfnNC1LG8Xiw,https://api.spotify.com/v1/tracks/12Fq2Cjz5HSfnNC1LG8Xiw,https://api.spotify.com/v1/audio-analysis/12Fq2Cjz5HSfnNC1LG8Xiw,218120,4
That Guy (그런 사람),0.599,0.8,9,-4.689,1,0.0364,0.0761,0,0.342,0.301,139.962,audio_features,5SdLUzo8djxbPuE2ucgvcl,spotify:track:5SdLUzo8djxbPuE2ucgvcl,https://api.spotify.com/v1/tracks/5SdLUzo8djxbPuE2ucgvcl,https://api.spotify.com/v1/audio-analysis/5SdLUzo8djxbPuE2ucgvcl,242013,4
Pride,0.691,0.642,3,-7.272,0,0.0468,0.246,0,0.0933,0.902,93.958,audio_features,1DwYF0kP4AEEAXPK1PxYwe,spotify:track:1DwYF0kP4AEEAXPK1PxYwe,https://api.spotify.com/v1/tracks/1DwYF0kP4AEEAXPK1PxYwe,https://api.spotify.com/v1/audio-analysis/1DwYF0kP4AEEAXPK1PxYwe,230667,4
I Know (Feat. Teddy),0.779,0.815,7,-4.488,1,0.0677,0.00325,0,0.0647,0.744,114.966,audio_features,0ZRN874YnCK3ALqv8gAJZA,spotify:track:0ZRN874YnCK3ALqv8gAJZA,https://api.spotify.com/v1/tracks/0ZRN874YnCK3ALqv8gAJZA,https://api.spotify.com/v1/audio-analysis/0ZRN874YnCK3ALqv8gAJZA,205467,4
Drips,0.753,0.778,1,-4.943,0,0.126,0.0289,0,0.0484,0.805,128.05,audio_features,15fcN0WFMm3tzRhHFpQibi,spotify:track:15fcN0WFMm3tzRhHFpQibi,https://api.spotify.com/v1/tracks/15fcN0WFMm3tzRhHFpQibi,https://api.spotify.com/v1/audio-analysis/15fcN0WFMm3tzRhHFpQibi,202827,4
Unwanted Parting (feat. Wheesung),0.727,0.575,6,-7.244,0,0.0806,0.508,1.36e-06,0.113,0.8,139.948,audio_features,1TFiQPkas1dKKgoX9aMX1O,spotify:track:1TFiQPkas1dKKgoX9aMX1O,https://api.spotify.com/v1/tracks/1TFiQPkas1dKKgoX9aMX1O,https://api.spotify.com/v1/audio-analysis/1TFiQPkas1dKKgoX9aMX1O,237240,4
GOOD NIGHT (feat.REDDY),0.683,0.769,2,-5.929,1,0.109,0.199,0,0.262,0.435,100.404,audio_features,4uwNijtRjJtSXh4gtKWybp,spotify:track:4uwNijtRjJtSXh4gtKWybp,https://api.spotify.com/v1/tracks/4uwNijtRjJtSXh4gtKWybp,https://api.spotify.com/v1/audio-analysis/4uwNijtRjJtSXh4gtKWybp,200507,4
Baby I Like You Like That,0.832,0.556,1,-3.484,1,0.0361,0.0207,0,0.0587,0.942,108.992,audio_features,0YlWMajTe6LsnS1Gp1Q4Tz,spotify:track:0YlWMajTe6LsnS1Gp1Q4Tz,https://api.spotify.com/v1/tracks/0YlWMajTe6LsnS1Gp1Q4Tz,https://api.spotify.com/v1/audio-analysis/0YlWMajTe6LsnS1Gp1Q4Tz,182240,4
Angel,0.607,0.727,0,-4.994,1,0.044,0.129,0,0.209,0.671,121.071,audio_features,5R0CjjQ1zZXb0dXni5XBAc,spotify:track:5R0CjjQ1zZXb0dXni5XBAc,https://api.spotify.com/v1/tracks/5R0CjjQ1zZXb0dXni5XBAc,https://api.spotify.com/v1/audio-analysis/5R0CjjQ1zZXb0dXni5XBAc,226320,4
Make Good Love,0.72,0.661,7,-5.576,0,0.0312,0.0264,0,0.105,0.542,125.987,audio_features,78PYBROXIV0TeM3aAJv9JH,spotify:track:78PYBROXIV0TeM3aAJv9JH,https://api.spotify.com/v1/tracks/78PYBROXIV0TeM3aAJv9JH,https://api.spotify.com/v1/audio-analysis/78PYBROXIV0TeM3aAJv9JH,221253,4
Be Good To You,0.433,0.368,1,-8.344,1,0.0384,0.605,0,0.125,0.363,131.793,audio_features,3IzBo0ikl8NUvSZO5lcoRP,spotify:track:3IzBo0ikl8NUvSZO5lcoRP,https://api.spotify.com/v1/tracks/3IzBo0ikl8NUvSZO5lcoRP,https://api.spotify.com/v1/audio-analysis/3IzBo0ikl8NUvSZO5lcoRP,264040,4
I Just Wanna Be,0.825,0.496,10,-4.425,0,0.0507,0.0309,0,0.0922,0.777,89.016,audio_features,4GqoDHOpxl01kAxunAxhgl,spotify:track:4GqoDHOpxl01kAxunAxhgl,https://api.spotify.com/v1/tracks/4GqoDHOpxl01kAxunAxhgl,https://api.spotify.com/v1/audio-analysis/4GqoDHOpxl01kAxunAxhgl,233227,4
Se7en's Love,0.813,0.471,6,-7.977,1,0.0521,0.36,0,0.0602,0.86,131.946,audio_features,11eJ6mGRdtrhrdBuaITBPd,spotify:track:11eJ6mGRdtrhrdBuaITBPd,https://api.spotify.com/v1/tracks/11eJ6mGRdtrhrdBuaITBPd,https://api.spotify.com/v1/audio-analysis/11eJ6mGRdtrhrdBuaITBPd,179867,4
The One,0.783,0.558,0,-7.685,1,0.031,0.483,0,0.338,0.817,128.011,audio_features,6zLUApSRn693NxSL7J1Tus,spotify:track:6zLUApSRn693NxSL7J1Tus,https://api.spotify.com/v1/tracks/6zLUApSRn693NxSL7J1Tus,https://api.spotify.com/v1/audio-analysis/6zLUApSRn693NxSL7J1Tus,248827,4
I’M GOOD,0.685,0.722,11,-4.852,0,0.0389,0.0849,0,0.158,0.34,110.046,audio_features,09SqtQNHo30swumCg3pM0T,spotify:track:09SqtQNHo30swumCg3pM0T,https://api.spotify.com/v1/tracks/09SqtQNHo30swumCg3pM0T,https://api.spotify.com/v1/audio-analysis/09SqtQNHo30swumCg3pM0T,194913,4
Mona Lisa,0.775,0.724,9,-3.888,0,0.0367,0.00648,0,0.0524,0.578,117.007,audio_features,6EsYce3bOvjy02cxFDLMOe,spotify:track:6EsYce3bOvjy02cxFDLMOe,https://api.spotify.com/v1/tracks/6EsYce3bOvjy02cxFDLMOe,https://api.spotify.com/v1/audio-analysis/6EsYce3bOvjy02cxFDLMOe,198560,4
Intro (feat. Perry & G-DRAGON),0.927,0.436,3,-5.805,1,0.366,0.0268,0,0.0643,0.962,99.938,audio_features,6KK5YJaN7YU9wLD5EpmXUl,spotify:track:6KK5YJaN7YU9wLD5EpmXUl,https://api.spotify.com/v1/tracks/6KK5YJaN7YU9wLD5EpmXUl,https://api.spotify.com/v1/audio-analysis/6KK5YJaN7YU9wLD5EpmXUl,36067,4
GIVE IT TO ME,0.779,0.798,11,-4.097,0,0.238,0.106,0,0.0824,0.934,106.944,audio_features,1nmpNMenv8R59fztoDheNy,spotify:track:1nmpNMenv8R59fztoDheNy,https://api.spotify.com/v1/tracks/1nmpNMenv8R59fztoDheNy,https://api.spotify.com/v1/audio-analysis/1nmpNMenv8R59fztoDheNy,191477,4
Stray Leaves,0.761,0.375,3,-14.238,0,0.0809,0.166,0.906,0.113,0.431,147.967,audio_features,5qIKMBqPHvh0vb5odZh7x3,spotify:track:5qIKMBqPHvh0vb5odZh7x3,https://api.spotify.com/v1/tracks/5qIKMBqPHvh0vb5odZh7x3,https://api.spotify.com/v1/audio-analysis/5qIKMBqPHvh0vb5odZh7x3,90854,4
One To Ten,0.775,0.675,4,-5.403,0,0.0553,0.0307,2.33e-06,0.0532,0.685,92.981,audio_features,3LO8OJxUMuUpILtQ27Fhab,spotify:track:3LO8OJxUMuUpILtQ27Fhab,https://api.spotify.com/v1/tracks/3LO8OJxUMuUpILtQ27Fhab,https://api.spotify.com/v1/audio-analysis/3LO8OJxUMuUpILtQ27Fhab,249800,4
5-6-7,0.758,0.859,2,-5.462,1,0.147,0.00207,0,0.369,0.182,98.016,audio_features,3tD6QvBzFspWMGPniLWTWJ,spotify:track:3tD6QvBzFspWMGPniLWTWJ,https://api.spotify.com/v1/tracks/3tD6QvBzFspWMGPniLWTWJ,https://api.spotify.com/v1/audio-analysis/3tD6QvBzFspWMGPniLWTWJ,179658,4
Money Can't Buy Me Love,0.627,0.694,1,-5.724,1,0.0263,0.124,0,0.233,0.438,140.062,audio_features,59v0KwJn07jG4CSii2Qij7,spotify:track:59v0KwJn07jG4CSii2Qij7,https://api.spotify.com/v1/tracks/59v0KwJn07jG4CSii2Qij7,https://api.spotify.com/v1/audio-analysis/59v0KwJn07jG4CSii2Qij7,225720,4
Oh - No! (Feat. Teddy),0.751,0.749,5,-6.467,0,0.0507,0.000983,0,0.152,0.864,98.959,audio_features,4VNTNMqIiYHGAg5rr4FCT1,spotify:track:4VNTNMqIiYHGAg5rr4FCT1,https://api.spotify.com/v1/tracks/4VNTNMqIiYHGAg5rr4FCT1,https://api.spotify.com/v1/audio-analysis/4VNTNMqIiYHGAg5rr4FCT1,202373,4
Goodbye (feat. 거미),0.757,0.519,0,-6.493,1,0.0583,0.0988,0,0.23,0.578,138.087,audio_features,291JHDedBGLPsF4apMxjKS,spotify:track:291JHDedBGLPsF4apMxjKS,https://api.spotify.com/v1/tracks/291JHDedBGLPsF4apMxjKS,https://api.spotify.com/v1/audio-analysis/291JHDedBGLPsF4apMxjKS,254427,4
I Wanna,0.742,0.735,8,-5.028,1,0.0572,0.00614,0,0.0883,0.384,108.002,audio_features,0y72F6ENQtDYLiJD4nXnvF,spotify:track:0y72F6ENQtDYLiJD4nXnvF,https://api.spotify.com/v1/tracks/0y72F6ENQtDYLiJD4nXnvF,https://api.spotify.com/v1/audio-analysis/0y72F6ENQtDYLiJD4nXnvF,190433,4
Wishy Washy,0.592,0.672,4,-8.07,0,0.131,0.0394,0,0.641,0.708,204.016,audio_features,4ww3AJRdQR9DZucNU66uxN,spotify:track:4ww3AJRdQR9DZucNU66uxN,https://api.spotify.com/v1/tracks/4ww3AJRdQR9DZucNU66uxN,https://api.spotify.com/v1/audio-analysis/4ww3AJRdQR9DZucNU66uxN,219667,4
Love Story (Feat. Masta Wu),0.678,0.577,11,-5.05,1,0.0467,0.0329,0,0.0938,0.786,169.927,audio_features,2YRELv79XFHcbBwQ6e5cyX,spotify:track:2YRELv79XFHcbBwQ6e5cyX,https://api.spotify.com/v1/tracks/2YRELv79XFHcbBwQ6e5cyX,https://api.spotify.com/v1/audio-analysis/2YRELv79XFHcbBwQ6e5cyX,246707,4
I Know,0.549,0.415,7,-8.988,1,0.0308,0.356,0,0.181,0.234,136.035,audio_features,42NItuwYncYoYTtNYHxo7x,spotify:track:42NItuwYncYoYTtNYHxo7x,https://api.spotify.com/v1/tracks/42NItuwYncYoYTtNYHxo7x,https://api.spotify.com/v1/audio-analysis/42NItuwYncYoYTtNYHxo7x,239200,4
Should I Ever See You,0.613,0.673,10,-7.803,0,0.26,0.479,0,0.115,0.645,72.018,audio_features,14beJKq1uO85N8hd4EzwOw,spotify:track:14beJKq1uO85N8hd4EzwOw,https://api.spotify.com/v1/tracks/14beJKq1uO85N8hd4EzwOw,https://api.spotify.com/v1/audio-analysis/14beJKq1uO85N8hd4EzwOw,283893,4
Christmas With You,0.513,0.418,4,-9.049,1,0.0298,0.518,0,0.118,0.226,69.976,audio_features,5VLY4mYmJnOgHZdhO1Qc7F,spotify:track:5VLY4mYmJnOgHZdhO1Qc7F,https://api.spotify.com/v1/tracks/5VLY4mYmJnOgHZdhO1Qc7F,https://api.spotify.com/v1/audio-analysis/5VLY4mYmJnOgHZdhO1Qc7F,205853,4
Luz Control (feat. Wheesung & Lexy),0.857,0.665,6,-3.442,0,0.0437,0.0125,1.37e-05,0.308,0.619,93.991,audio_features,3qCXpA4UjMdK0rlMT09lHD,spotify:track:3qCXpA4UjMdK0rlMT09lHD,https://api.spotify.com/v1/tracks/3qCXpA4UjMdK0rlMT09lHD,https://api.spotify.com/v1/audio-analysis/3qCXpA4UjMdK0rlMT09lHD,229467,4
Can You Feel Me (Feat. G-Dragon),0.746,0.787,11,-4.201,0,0.052,0.00699,0,0.113,0.605,107.964,audio_features,50el7BEkKqqGWhN7lPNvpv,spotify:track:50el7BEkKqqGWhN7lPNvpv,https://api.spotify.com/v1/tracks/50el7BEkKqqGWhN7lPNvpv,https://api.spotify.com/v1/audio-analysis/50el7BEkKqqGWhN7lPNvpv,192853,4
You're My Everything,0.529,0.675,1,-7.933,0,0.083,0.0572,0,0.353,0.821,192.001,audio_features,00swK4NwNQuyJ8Wq6W02fv,spotify:track:00swK4NwNQuyJ8Wq6W02fv,https://api.spotify.com/v1/tracks/00swK4NwNQuyJ8Wq6W02fv,https://api.spotify.com/v1/audio-analysis/00swK4NwNQuyJ8Wq6W02fv,207400,4
Baby U,0.757,0.563,8,-5.573,1,0.0332,0.0633,0,0.152,0.788,125.04,audio_features,5e88QjvZy8KlSbL7hO72Nz,spotify:track:5e88QjvZy8KlSbL7hO72Nz,https://api.spotify.com/v1/tracks/5e88QjvZy8KlSbL7hO72Nz,https://api.spotify.com/v1/audio-analysis/5e88QjvZy8KlSbL7hO72Nz,209427,4
With These Flowers,0.718,0.378,0,-9.198,1,0.0283,0.61,0,0.0993,0.632,96.006,audio_features,6NndjFsEalJUt4LYNjt5wj,spotify:track:6NndjFsEalJUt4LYNjt5wj,https://api.spotify.com/v1/tracks/6NndjFsEalJUt4LYNjt5wj,https://api.spotify.com/v1/audio-analysis/6NndjFsEalJUt4LYNjt5wj,286733,4
Please Say Yes (Feat. TAEYANG),0.861,0.762,11,-4.684,0,0.0373,0.00427,0,0.0431,0.558,115.035,audio_features,5jRI0gsUMMP09IFLuGScep,spotify:track:5jRI0gsUMMP09IFLuGScep,https://api.spotify.com/v1/tracks/5jRI0gsUMMP09IFLuGScep,https://api.spotify.com/v1/audio-analysis/5jRI0gsUMMP09IFLuGScep,199653,4
밤새도록,0.794,0.804,10,-4.93,0,0.033,0.0113,8.57e-05,0.112,0.829,113.989,audio_features,1YNAQDyPuTQWHahjcDggGE,spotify:track:1YNAQDyPuTQWHahjcDggGE,https://api.spotify.com/v1/tracks/1YNAQDyPuTQWHahjcDggGE,https://api.spotify.com/v1/audio-analysis/1YNAQDyPuTQWHahjcDggGE,239147,4
Seven (Interlude),0.595,0.35,10,-13.742,0,0.0504,0.627,0,0.0895,0.189,144.177,audio_features,3XROqLnuumGYZwruvg2kC5,spotify:track:3XROqLnuumGYZwruvg2kC5,https://api.spotify.com/v1/tracks/3XROqLnuumGYZwruvg2kC5,https://api.spotify.com/v1/audio-analysis/3XROqLnuumGYZwruvg2kC5,41267,4
Medium Rare Freestyle,0.695,0.764,11,-10.397,0,0.29,0.18,0,0.205,0.463,95.999,audio_features,2iDkbdASjwK6e41zPd02T9,spotify:track:2iDkbdASjwK6e41zPd02T9,https://api.spotify.com/v1/tracks/2iDkbdASjwK6e41zPd02T9,https://api.spotify.com/v1/audio-analysis/2iDkbdASjwK6e41zPd02T9,197500,4
11:30 (feat.MASTA WU),0.681,0.572,1,-6.394,1,0.057,0.0323,0,0.0764,0.456,165.928,audio_features,1rsr9McAEPxq04xuYp6S8x,spotify:track:1rsr9McAEPxq04xuYp6S8x,https://api.spotify.com/v1/tracks/1rsr9McAEPxq04xuYp6S8x,https://api.spotify.com/v1/audio-analysis/1rsr9McAEPxq04xuYp6S8x,200194,4
Girls (Feat. Lil Kim),0.679,0.564,1,-7.499,1,0.156,0.0156,0,0.21,0.463,170.18,audio_features,5l1k1drpOh9HgedUiSWLgN,spotify:track:5l1k1drpOh9HgedUiSWLgN,https://api.spotify.com/v1/tracks/5l1k1drpOh9HgedUiSWLgN,https://api.spotify.com/v1/audio-analysis/5l1k1drpOh9HgedUiSWLgN,216854,4
I Hope It's You,0.626,0.152,11,-13.163,1,0.0407,0.93,0,0.125,0.348,126.27,audio_features,4GMvwNe04iDTfOSN9UT5wu,spotify:track:4GMvwNe04iDTfOSN9UT5wu,https://api.spotify.com/v1/tracks/4GMvwNe04iDTfOSN9UT5wu,https://api.spotify.com/v1/audio-analysis/4GMvwNe04iDTfOSN9UT5wu,220853,4
LOVE AGAIN,0.626,0.914,6,-3.589,1,0.0895,0.235,0,0.308,0.711,127.981,audio_features,5fGjU7O3mEdOlQK6tuKNNj,spotify:track:5fGjU7O3mEdOlQK6tuKNNj,https://api.spotify.com/v1/tracks/5fGjU7O3mEdOlQK6tuKNNj,https://api.spotify.com/v1/audio-analysis/5fGjU7O3mEdOlQK6tuKNNj,227413,4
Bokugautaenakutemo,0.704,0.604,0,-5.537,1,0.0275,0.534,0,0.134,0.626,144.068,audio_features,2rGOP4JkA4g0VJOpKNx6RC,spotify:track:2rGOP4JkA4g0VJOpKNx6RC,https://api.spotify.com/v1/tracks/2rGOP4JkA4g0VJOpKNx6RC,https://api.spotify.com/v1/audio-analysis/2rGOP4JkA4g0VJOpKNx6RC,243480,4
