name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
相合傘,0.608,0.389,4,-4.539,1,0.0422,0.00832,0,0.0961,0.467,135.891,audio_features,71ahkjI7TTaJBz8WPmjt5j,spotify:track:71ahkjI7TTaJBz8WPmjt5j,https://api.spotify.com/v1/tracks/71ahkjI7TTaJBz8WPmjt5j,https://api.spotify.com/v1/audio-analysis/71ahkjI7TTaJBz8WPmjt5j,211333,4
New Age Blues,0.382,0.875,5,-3.282,0,0.129,0.000691,5.68e-05,0.0682,0.439,149.838,audio_features,7mWP8bGZDgzmKrWom8GsYc,spotify:track:7mWP8bGZDgzmKrWom8GsYc,https://api.spotify.com/v1/tracks/7mWP8bGZDgzmKrWom8GsYc,https://api.spotify.com/v1/audio-analysis/7mWP8bGZDgzmKrWom8GsYc,201267,4
MARIA,0.124,0.828,0,-3.035,1,0.0949,0.000781,0,0.0846,0.422,177.469,audio_features,0fWI9NIIJTp09uIR2Ohr2e,spotify:track:0fWI9NIIJTp09uIR2Ohr2e,https://api.spotify.com/v1/tracks/0fWI9NIIJTp09uIR2Ohr2e,https://api.spotify.com/v1/audio-analysis/0fWI9NIIJTp09uIR2Ohr2e,268973,4
天使のスーツケース,0.32,0.942,7,-1.728,1,0.0827,0.0135,0,0.19,0.278,93.287,audio_features,6rsaDHIqLXAVBgrwBcJHQr,spotify:track:6rsaDHIqLXAVBgrwBcJHQr,https://api.spotify.com/v1/tracks/6rsaDHIqLXAVBgrwBcJHQr,https://api.spotify.com/v1/audio-analysis/6rsaDHIqLXAVBgrwBcJHQr,181867,4
ナイトタイマー,0.347,0.948,4,-0.856,1,0.0585,0.000137,0,0.342,0.73,178.324,audio_features,0Gk4bu5hkPxgm0q6iqCXC6,spotify:track:0Gk4bu5hkPxgm0q6iqCXC6,https://api.spotify.com/v1/tracks/0Gk4bu5hkPxgm0q6iqCXC6,https://api.spotify.com/v1/audio-analysis/0Gk4bu5hkPxgm0q6iqCXC6,143787,4
DO DO IN THE BOOM BOOM,0.419,0.907,7,-1.979,1,0.0592,0.00906,0,0.147,0.44,94.969,audio_features,7bUWL5X6JicOzuwZT2U0lX,spotify:track:7bUWL5X6JicOzuwZT2U0lX,https://api.spotify.com/v1/tracks/7bUWL5X6JicOzuwZT2U0lX,https://api.spotify.com/v1/audio-analysis/7bUWL5X6JicOzuwZT2U0lX,213480,4
メリールー,0.345,0.767,2,-4.442,1,0.0462,0.00114,0,0.368,0.408,128.837,audio_features,1QSqUUws87962Wq65IjDdQ,spotify:track:1QSqUUws87962Wq65IjDdQ,https://api.spotify.com/v1/tracks/1QSqUUws87962Wq65IjDdQ,https://api.spotify.com/v1/audio-analysis/1QSqUUws87962Wq65IjDdQ,285707,4
New Age Blues,0.382,0.875,5,-3.282,0,0.129,0.000691,5.68e-05,0.0682,0.439,149.838,audio_features,4bLFTbomhFMBvB1MyuKd1S,spotify:track:4bLFTbomhFMBvB1MyuKd1S,https://api.spotify.com/v1/tracks/4bLFTbomhFMBvB1MyuKd1S,https://api.spotify.com/v1/audio-analysis/4bLFTbomhFMBvB1MyuKd1S,201267,4
青に捧ぐ,0.244,0.879,0,-3.485,1,0.0938,0.0228,0,0.314,0.341,126.251,audio_features,6mTXlr896LCSpaZ5Dw1G6v,spotify:track:6mTXlr896LCSpaZ5Dw1G6v,https://api.spotify.com/v1/tracks/6mTXlr896LCSpaZ5Dw1G6v,https://api.spotify.com/v1/audio-analysis/6mTXlr896LCSpaZ5Dw1G6v,272027,3
ピアシング,0.258,0.891,7,-2.874,0,0.0543,0.00359,0,0.389,0.329,93.54,audio_features,59LkSnhXUYfBudXLmJWc7G,spotify:track:59LkSnhXUYfBudXLmJWc7G,https://api.spotify.com/v1/tracks/59LkSnhXUYfBudXLmJWc7G,https://api.spotify.com/v1/audio-analysis/59LkSnhXUYfBudXLmJWc7G,53413,4
