name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
何様,0.688,0.734,0,-5.316,0,0.133,0.0551,0,0.136,0.221,149.999,audio_features,5ZOLh4Vuk2pDdYk20AtF7q,spotify:track:5ZOLh4Vuk2pDdYk20AtF7q,https://api.spotify.com/v1/tracks/5ZOLh4Vuk2pDdYk20AtF7q,https://api.spotify.com/v1/audio-analysis/5ZOLh4Vuk2pDdYk20AtF7q,174280,4
JUST BREATHE - feat. 3RACHA of Stray Kids,0.521,0.824,5,-4.498,0,0.287,0.197,0,0.124,0.502,112.614,audio_features,6PqDYUTmTGXnCfSDhm6AlJ,spotify:track:6PqDYUTmTGXnCfSDhm6AlJ,https://api.spotify.com/v1/tracks/6PqDYUTmTGXnCfSDhm6AlJ,https://api.spotify.com/v1/audio-analysis/6PqDYUTmTGXnCfSDhm6AlJ,230853,3
Diver's High,0.602,0.955,5,-2.922,0,0.0487,0.0193,0,0.0696,0.676,128.001,audio_features,1Y2wWhbLCHW0WfTczmuA2X,spotify:track:1Y2wWhbLCHW0WfTczmuA2X,https://api.spotify.com/v1/tracks/1Y2wWhbLCHW0WfTczmuA2X,https://api.spotify.com/v1/audio-analysis/1Y2wWhbLCHW0WfTczmuA2X,213413,4
Diver's High,0.605,0.95,5,-2.99,0,0.0499,0.0194,0,0.0525,0.713,127.971,audio_features,3vtKnulWqlx6OqoxXREx7w,spotify:track:3vtKnulWqlx6OqoxXREx7w,https://api.spotify.com/v1/tracks/3vtKnulWqlx6OqoxXREx7w,https://api.spotify.com/v1/audio-analysis/3vtKnulWqlx6OqoxXREx7w,216013,4
Snatchaway,0.61,0.924,1,-3.454,0,0.177,0.0109,0,0.079,0.891,156.037,audio_features,5o2KHcbCjCha17oVfxJ6qs,spotify:track:5o2KHcbCjCha17oVfxJ6qs,https://api.spotify.com/v1/tracks/5o2KHcbCjCha17oVfxJ6qs,https://api.spotify.com/v1/audio-analysis/5o2KHcbCjCha17oVfxJ6qs,184787,4
ハリアッ!,0.657,0.928,7,-3.594,1,0.285,0.353,0,0.169,0.64,88.418,audio_features,0V8VXpP0hXbVDmTQSBnvB7,spotify:track:0V8VXpP0hXbVDmTQSBnvB7,https://api.spotify.com/v1/tracks/0V8VXpP0hXbVDmTQSBnvB7,https://api.spotify.com/v1/audio-analysis/0V8VXpP0hXbVDmTQSBnvB7,208140,4
Shiawase - feat. Honey C,0.609,0.869,0,-3.467,0,0.179,0.0629,0,0.246,0.402,149.032,audio_features,4nD1XyFEfdH1QiOE14X8S0,spotify:track:4nD1XyFEfdH1QiOE14X8S0,https://api.spotify.com/v1/tracks/4nD1XyFEfdH1QiOE14X8S0,https://api.spotify.com/v1/audio-analysis/4nD1XyFEfdH1QiOE14X8S0,229187,4
23:59,0.806,0.682,7,-7.242,0,0.0436,0.267,7.55e-06,0.096,0.676,104.973,audio_features,5AUbN3cw16ROQ0JEYdGQxw,spotify:track:5AUbN3cw16ROQ0JEYdGQxw,https://api.spotify.com/v1/tracks/5AUbN3cw16ROQ0JEYdGQxw,https://api.spotify.com/v1/audio-analysis/5AUbN3cw16ROQ0JEYdGQxw,229587,4
F-3 - Remastered,0.684,0.83,2,-3.876,1,0.0965,0.0943,0,0.182,0.406,103.981,audio_features,1gYJNXnXX8tE9NHnOsLOIA,spotify:track:1gYJNXnXX8tE9NHnOsLOIA,https://api.spotify.com/v1/tracks/1gYJNXnXX8tE9NHnOsLOIA,https://api.spotify.com/v1/audio-analysis/1gYJNXnXX8tE9NHnOsLOIA,190960,4
"14th Syndrome - feat. RUI, TAIKI, edhiii boi",0.688,0.722,7,-5.177,1,0.113,0.0897,0,0.303,0.539,157.04,audio_features,0lTQUu3Ln5O9EwwueWJBMJ,spotify:track:0lTQUu3Ln5O9EwwueWJBMJ,https://api.spotify.com/v1/tracks/0lTQUu3Ln5O9EwwueWJBMJ,https://api.spotify.com/v1/audio-analysis/0lTQUu3Ln5O9EwwueWJBMJ,241724,4
仕合わせ - feat. Kan Sano,0.919,0.816,4,-3.766,0,0.0771,0.124,0,0.343,0.446,110.028,audio_features,0mWmTRFN9GdkaobEjcaEp1,spotify:track:0mWmTRFN9GdkaobEjcaEp1,https://api.spotify.com/v1/tracks/0mWmTRFN9GdkaobEjcaEp1,https://api.spotify.com/v1/audio-analysis/0mWmTRFN9GdkaobEjcaEp1,234091,4
Marble,0.702,0.614,5,-4.249,1,0.0457,0.598,0,0.0936,0.537,130.098,audio_features,4o5cSyf29yrCVfPAeroRgj,spotify:track:4o5cSyf29yrCVfPAeroRgj,https://api.spotify.com/v1/tracks/4o5cSyf29yrCVfPAeroRgj,https://api.spotify.com/v1/audio-analysis/4o5cSyf29yrCVfPAeroRgj,271133,4
Chit-Chit-Chat,0.795,0.845,1,-3.892,1,0.0977,0.147,1.38e-05,0.0887,0.69,109.006,audio_features,65BZVEHk9694IRFdlA1OCy,spotify:track:65BZVEHk9694IRFdlA1OCy,https://api.spotify.com/v1/tracks/65BZVEHk9694IRFdlA1OCy,https://api.spotify.com/v1/audio-analysis/65BZVEHk9694IRFdlA1OCy,236337,4
何様 - feat. たなか - From THE FIRST TAKE,0.69,0.548,8,-9.507,1,0.0771,0.346,0,0.0707,0.123,150.079,audio_features,0yrrC7dfYRaEP7iyqa0Av5,spotify:track:0yrrC7dfYRaEP7iyqa0Av5,https://api.spotify.com/v1/tracks/0yrrC7dfYRaEP7iyqa0Av5,https://api.spotify.com/v1/audio-analysis/0yrrC7dfYRaEP7iyqa0Av5,175000,4
仕合わせ - feat. Kan Sano,0.921,0.814,4,-3.685,0,0.0802,0.133,0,0.346,0.476,110.021,audio_features,0KUVIKJz0F2Wcwekf6SGQy,spotify:track:0KUVIKJz0F2Wcwekf6SGQy,https://api.spotify.com/v1/tracks/0KUVIKJz0F2Wcwekf6SGQy,https://api.spotify.com/v1/audio-analysis/0KUVIKJz0F2Wcwekf6SGQy,235324,4
Bare-Bare,0.83,0.792,7,-3.775,1,0.131,0.315,0,0.0764,0.627,123.047,audio_features,4CaR99DEOcwpFMtC7LUVXK,spotify:track:4CaR99DEOcwpFMtC7LUVXK,https://api.spotify.com/v1/tracks/4CaR99DEOcwpFMtC7LUVXK,https://api.spotify.com/v1/audio-analysis/4CaR99DEOcwpFMtC7LUVXK,208187,3
Sexual Healing,0.797,0.598,9,-4.085,0,0.13,0.119,0,0.0453,0.632,141.974,audio_features,4NXs07LD1KyfHpf636zcvR,spotify:track:4NXs07LD1KyfHpf636zcvR,https://api.spotify.com/v1/tracks/4NXs07LD1KyfHpf636zcvR,https://api.spotify.com/v1/audio-analysis/4NXs07LD1KyfHpf636zcvR,218293,4
Brave Generation - BMSG United Remix,0.582,0.79,11,-8.047,1,0.0556,0.303,0,0.308,0.586,165.857,audio_features,1To3Sk85hzE1j2tbHfxWct,spotify:track:1To3Sk85hzE1j2tbHfxWct,https://api.spotify.com/v1/tracks/1To3Sk85hzE1j2tbHfxWct,https://api.spotify.com/v1/audio-analysis/1To3Sk85hzE1j2tbHfxWct,195253,4
Tyrant Island,0.57,0.934,11,-2.544,0,0.0785,0.00564,0,0.174,0.173,82.57,audio_features,748fHTQgYDkC6MgNSYP5kF,spotify:track:748fHTQgYDkC6MgNSYP5kF,https://api.spotify.com/v1/tracks/748fHTQgYDkC6MgNSYP5kF,https://api.spotify.com/v1/audio-analysis/748fHTQgYDkC6MgNSYP5kF,299253,4
Diary,0.721,0.765,1,-5.466,1,0.171,0.11,0,0.0989,0.833,87.004,audio_features,2piEoQpRcFZwvyYNCo5XCP,spotify:track:2piEoQpRcFZwvyYNCo5XCP,https://api.spotify.com/v1/tracks/2piEoQpRcFZwvyYNCo5XCP,https://api.spotify.com/v1/audio-analysis/2piEoQpRcFZwvyYNCo5XCP,249467,4
TOKYO SPOTLIGHT,0.649,0.981,7,-2.309,1,0.0906,0.0347,0,0.794,0.626,149.974,audio_features,7eAfhtX5R7zlWfE9rZWUz3,spotify:track:7eAfhtX5R7zlWfE9rZWUz3,https://api.spotify.com/v1/tracks/7eAfhtX5R7zlWfE9rZWUz3,https://api.spotify.com/v1/audio-analysis/7eAfhtX5R7zlWfE9rZWUz3,248213,4
What are you talking about?,0.585,0.663,6,-7.499,0,0.169,0.029,0,0.194,0.325,169.947,audio_features,41sYU89xLyALIXDiMh5B85,spotify:track:41sYU89xLyALIXDiMh5B85,https://api.spotify.com/v1/tracks/41sYU89xLyALIXDiMh5B85,https://api.spotify.com/v1/audio-analysis/41sYU89xLyALIXDiMh5B85,201500,4
