name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Cinderella Boy,0.596,0.735,9,-6.362,1,0.0332,0.0748,0,0.269,0.524,108.106,audio_features,4UALTBWz0OdQcjbTsjFceV,spotify:track:4UALTBWz0OdQcjbTsjFceV,https://api.spotify.com/v1/tracks/4UALTBWz0OdQcjbTsjFceV,https://api.spotify.com/v1/audio-analysis/4UALTBWz0OdQcjbTsjFceV,234324,4
Itsuka,0.603,0.509,7,-4.535,1,0.0263,0.0941,0,0.201,0.445,79.989,audio_features,37ZddqLVyF23NIg5I17SBd,spotify:track:37ZddqLVyF23NIg5I17SBd,https://api.spotify.com/v1/tracks/37ZddqLVyF23NIg5I17SBd,https://api.spotify.com/v1/audio-analysis/37ZddqLVyF23NIg5I17SBd,274872,4
sugar,0.449,0.713,0,-4.027,1,0.0326,0.233,0,0.183,0.529,174.104,audio_features,0HTYCexmBUxPf4a1E195do,spotify:track:0HTYCexmBUxPf4a1E195do,https://api.spotify.com/v1/tracks/0HTYCexmBUxPf4a1E195do,https://api.spotify.com/v1/audio-analysis/0HTYCexmBUxPf4a1E195do,301393,4
Shion,0.545,0.523,0,-6.242,1,0.0263,0.514,0,0.138,0.244,83.906,audio_features,1m3MYz2QXRxwqCQ7PkpC6k,spotify:track:1m3MYz2QXRxwqCQ7PkpC6k,https://api.spotify.com/v1/tracks/1m3MYz2QXRxwqCQ7PkpC6k,https://api.spotify.com/v1/audio-analysis/1m3MYz2QXRxwqCQ7PkpC6k,324699,4
Yasashisa Ni Afureta Sekaide,0.518,0.773,2,-7.454,1,0.0468,0.237,3.61e-06,0.126,0.526,147.937,audio_features,3PGlB1DpDki7Bb5sIG6Nd9,spotify:track:3PGlB1DpDki7Bb5sIG6Nd9,https://api.spotify.com/v1/tracks/3PGlB1DpDki7Bb5sIG6Nd9,https://api.spotify.com/v1/audio-analysis/3PGlB1DpDki7Bb5sIG6Nd9,258208,4
Yui,0.53,0.661,6,-7.09,1,0.0408,0.224,0,0.169,0.538,153.935,audio_features,3f8WNy5rgXq7J74qjExRkb,spotify:track:3f8WNy5rgXq7J74qjExRkb,https://api.spotify.com/v1/tracks/3f8WNy5rgXq7J74qjExRkb,https://api.spotify.com/v1/audio-analysis/3f8WNy5rgXq7J74qjExRkb,264840,4
Mahou Ni Kakerarete,0.51,0.563,7,-7.686,1,0.0303,0.563,2.24e-05,0.12,0.593,164.058,audio_features,2GPwsnWWSvxfUnmr4GcAyz,spotify:track:2GPwsnWWSvxfUnmr4GcAyz,https://api.spotify.com/v1/tracks/2GPwsnWWSvxfUnmr4GcAyz,https://api.spotify.com/v1/audio-analysis/2GPwsnWWSvxfUnmr4GcAyz,259353,4
"Ah,Mou.",0.688,0.61,4,-7.469,1,0.0311,0.317,0,0.123,0.649,112.124,audio_features,2orT8b8dMVPvGs9wr5KscC,spotify:track:2orT8b8dMVPvGs9wr5KscC,https://api.spotify.com/v1/tracks/2orT8b8dMVPvGs9wr5KscC,https://api.spotify.com/v1/audio-analysis/2orT8b8dMVPvGs9wr5KscC,284335,4
Respawn,0.273,0.701,1,-7.123,1,0.0514,0.00864,0,0.136,0.633,78.068,audio_features,2GV7hjaRrpxHzMvrUKEAMv,spotify:track:2GV7hjaRrpxHzMvrUKEAMv,https://api.spotify.com/v1/tracks/2GV7hjaRrpxHzMvrUKEAMv,https://api.spotify.com/v1/audio-analysis/2GV7hjaRrpxHzMvrUKEAMv,296129,4
Kemuri,0.459,0.903,2,-2.946,1,0.0805,0.0155,0,0.386,0.665,175.851,audio_features,50OvJS5ug6q3mnMI9ojZ1y,spotify:track:50OvJS5ug6q3mnMI9ojZ1y,https://api.spotify.com/v1/tracks/50OvJS5ug6q3mnMI9ojZ1y,https://api.spotify.com/v1/audio-analysis/50OvJS5ug6q3mnMI9ojZ1y,246063,4
