name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Avid,0.468,0.753,4,-4.329,0,0.031,0.179,5.65e-06,0.148,0.18,155.929,audio_features,28QpCzFbTf09Jsj2zuz58t,spotify:track:28QpCzFbTf09Jsj2zuz58t,https://api.spotify.com/v1/tracks/28QpCzFbTf09Jsj2zuz58t,https://api.spotify.com/v1/audio-analysis/28QpCzFbTf09Jsj2zuz58t,250293,4
BELONG,0.427,0.906,2,-4.348,1,0.0636,0.000377,0,0.092,0.433,167.142,audio_features,32MBCRb6ADfaoRreLCjU3z,spotify:track:32MBCRb6ADfaoRreLCjU3z,https://api.spotify.com/v1/tracks/32MBCRb6ADfaoRreLCjU3z,https://api.spotify.com/v1/audio-analysis/32MBCRb6ADfaoRreLCjU3z,230187,4
LilaS,0.558,0.559,5,-4.95,1,0.0273,0.13,0.000651,0.11,0.256,156.156,audio_features,3LgxJ3osWJJvrnmlKcfH7I,spotify:track:3LgxJ3osWJJvrnmlKcfH7I,https://api.spotify.com/v1/tracks/3LgxJ3osWJJvrnmlKcfH7I,https://api.spotify.com/v1/audio-analysis/3LgxJ3osWJJvrnmlKcfH7I,245397,4
NEXUS <PODv>,0.809,0.839,4,-5.772,0,0.0915,0.0883,0,0.0634,0.554,110.021,audio_features,1Esdref3JRFtpdLtF6VWwg,spotify:track:1Esdref3JRFtpdLtF6VWwg,https://api.spotify.com/v1/tracks/1Esdref3JRFtpdLtF6VWwg,https://api.spotify.com/v1/audio-analysis/1Esdref3JRFtpdLtF6VWwg,227893,4
aLIEz,0.654,0.917,4,-4.972,0,0.0588,0.00923,9.22e-06,0.114,0.626,98.997,audio_features,0w0LzMyUvgRYqYehX77UE7,spotify:track:0w0LzMyUvgRYqYehX77UE7,https://api.spotify.com/v1/tracks/0w0LzMyUvgRYqYehX77UE7,https://api.spotify.com/v1/audio-analysis/0w0LzMyUvgRYqYehX77UE7,268480,4
OUTSIDERS,0.71,0.767,8,-4.263,1,0.0405,0.0195,0,0.099,0.369,124.992,audio_features,2p8RSh9uibR5I17T6z5XGY,spotify:track:2p8RSh9uibR5I17T6z5XGY,https://api.spotify.com/v1/tracks/2p8RSh9uibR5I17T6z5XGY,https://api.spotify.com/v1/audio-analysis/2p8RSh9uibR5I17T6z5XGY,171573,4
Hands Up to the Sky,0.708,0.721,1,-3.815,0,0.0718,0.049,0,0.0731,0.525,97.992,audio_features,7kiWVIA95A2H7TMYSrA0b5,spotify:track:7kiWVIA95A2H7TMYSrA0b5,https://api.spotify.com/v1/tracks/7kiWVIA95A2H7TMYSrA0b5,https://api.spotify.com/v1/audio-analysis/7kiWVIA95A2H7TMYSrA0b5,212147,4
aLIEz (Remastered),0.636,0.899,4,-5.647,0,0.0615,0.00238,2.02e-05,0.131,0.524,98.993,audio_features,1SGbTAas72POl5N3IYSJHo,spotify:track:1SGbTAas72POl5N3IYSJHo,https://api.spotify.com/v1/tracks/1SGbTAas72POl5N3IYSJHo,https://api.spotify.com/v1/audio-analysis/1SGbTAas72POl5N3IYSJHo,268293,4
X.U.,0.589,0.888,10,-5.81,0,0.0456,0.00031,0.00054,0.093,0.472,127.006,audio_features,15tzlxIHJKn0axkuhhCvUX,spotify:track:15tzlxIHJKn0axkuhhCvUX,https://api.spotify.com/v1/tracks/15tzlxIHJKn0axkuhhCvUX,https://api.spotify.com/v1/audio-analysis/15tzlxIHJKn0axkuhhCvUX,283853,4
[nZk]o1,0.357,0.526,1,-9.424,1,0.0439,0.0647,0.739,0.118,0.0463,135.561,audio_features,0fucdazwUVInnMf6sdMqPG,spotify:track:0fucdazwUVInnMf6sdMqPG,https://api.spotify.com/v1/tracks/0fucdazwUVInnMf6sdMqPG,https://api.spotify.com/v1/audio-analysis/0fucdazwUVInnMf6sdMqPG,331053,3
scaPEGoat,0.458,0.824,0,-5.738,0,0.0391,0.00649,3.03e-06,0.125,0.452,155.965,audio_features,70MRLhyWZJ5M8QysieavTx,spotify:track:70MRLhyWZJ5M8QysieavTx,https://api.spotify.com/v1/tracks/70MRLhyWZJ5M8QysieavTx,https://api.spotify.com/v1/audio-analysis/70MRLhyWZJ5M8QysieavTx,307693,4
