name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hot Milk,0.694,0.582,2,-8.33,1,0.069,9.13e-05,0.0151,0.187,0.302,74.992,audio_features,4mCwspCTPF1aoWUNxsS5aD,spotify:track:4mCwspCTPF1aoWUNxsS5aD,https://api.spotify.com/v1/tracks/4mCwspCTPF1aoWUNxsS5aD,https://api.spotify.com/v1/audio-analysis/4mCwspCTPF1aoWUNxsS5aD,246583,4
Pixel Galaxy,0.557,0.864,0,-6.477,1,0.0449,0.00362,0.642,0.105,0.734,150.034,audio_features,7zHq5ayXLxpJ89392EYm1L,spotify:track:7zHq5ayXLxpJ89392EYm1L,https://api.spotify.com/v1/tracks/7zHq5ayXLxpJ89392EYm1L,https://api.spotify.com/v1/audio-analysis/7zHq5ayXLxpJ89392EYm1L,235625,4
I Secretly Love U,0.675,0.951,6,-3.727,0,0.202,0.0218,0.819,0.908,0.843,146.103,audio_features,6VsPKfhj0KXpspPWSS8M4z,spotify:track:6VsPKfhj0KXpspPWSS8M4z,https://api.spotify.com/v1/tracks/6VsPKfhj0KXpspPWSS8M4z,https://api.spotify.com/v1/audio-analysis/6VsPKfhj0KXpspPWSS8M4z,189585,4
Lullaby,0.488,0.596,11,-9.67,1,0.0367,0.0433,0.908,0.0939,0.186,170.762,audio_features,4d7yL696enC0Izoted33QT,spotify:track:4d7yL696enC0Izoted33QT,https://api.spotify.com/v1/tracks/4d7yL696enC0Izoted33QT,https://api.spotify.com/v1/audio-analysis/4d7yL696enC0Izoted33QT,211774,3
Restart!,0.379,0.905,2,-4.72,1,0.0543,0.00147,0.259,0.438,0.271,127.798,audio_features,21GpEWUd7UXo5pbtLHbAax,spotify:track:21GpEWUd7UXo5pbtLHbAax,https://api.spotify.com/v1/tracks/21GpEWUd7UXo5pbtLHbAax,https://api.spotify.com/v1/audio-analysis/21GpEWUd7UXo5pbtLHbAax,221469,4
Journey,0.615,0.601,7,-8.964,1,0.0333,0.123,0.000546,0.619,0.402,80.995,audio_features,3k4r8OoMutlaIQu3KvVGjC,spotify:track:3k4r8OoMutlaIQu3KvVGjC,https://api.spotify.com/v1/tracks/3k4r8OoMutlaIQu3KvVGjC,https://api.spotify.com/v1/audio-analysis/3k4r8OoMutlaIQu3KvVGjC,217558,3
Ma Chouchoute,0.375,0.598,9,-6.609,1,0.0958,0.00017,0.00179,0.0527,0.301,173.921,audio_features,349BLahNNlDWncqIWJ34Yd,spotify:track:349BLahNNlDWncqIWJ34Yd,https://api.spotify.com/v1/tracks/349BLahNNlDWncqIWJ34Yd,https://api.spotify.com/v1/audio-analysis/349BLahNNlDWncqIWJ34Yd,188944,4
melancholic,0.784,0.683,6,-3.058,0,0.0812,0.22,0.929,0.172,0.258,96.982,audio_features,3drG6UDqZc0kLumTuxwjey,spotify:track:3drG6UDqZc0kLumTuxwjey,https://api.spotify.com/v1/tracks/3drG6UDqZc0kLumTuxwjey,https://api.spotify.com/v1/audio-analysis/3drG6UDqZc0kLumTuxwjey,212977,4
ラ・ム・ネ,0.563,0.751,9,-4.986,1,0.0638,0.0189,0.0746,0.356,0.771,80.411,audio_features,4pILlUSO0PQfQuei5MIIjK,spotify:track:4pILlUSO0PQfQuei5MIIjK,https://api.spotify.com/v1/tracks/4pILlUSO0PQfQuei5MIIjK,https://api.spotify.com/v1/audio-analysis/4pILlUSO0PQfQuei5MIIjK,214682,4
Invader,0.598,0.907,11,-3.677,0,0.0417,0.000344,3.84e-05,0.112,0.611,140.572,audio_features,5KC46V3XXM48e59f1cPmKU,spotify:track:5KC46V3XXM48e59f1cPmKU,https://api.spotify.com/v1/tracks/5KC46V3XXM48e59f1cPmKU,https://api.spotify.com/v1/audio-analysis/5KC46V3XXM48e59f1cPmKU,300397,4
