name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
カレラ,0.622,0.886,0,-4.022,0,0.0657,0.0751,0.0457,0.388,0.968,139.976,audio_features,528tDJOGh348cRU6KySLmA,spotify:track:528tDJOGh348cRU6KySLmA,https://api.spotify.com/v1/tracks/528tDJOGh348cRU6KySLmA,https://api.spotify.com/v1/audio-analysis/528tDJOGh348cRU6KySLmA,201429,4
平気なんですよ本当に,0.604,0.811,8,-4.855,1,0.0329,0.112,0.127,0.0794,0.914,139.079,audio_features,5SOqTyjWfnuJqQBbAwCnQV,spotify:track:5SOqTyjWfnuJqQBbAwCnQV,https://api.spotify.com/v1/tracks/5SOqTyjWfnuJqQBbAwCnQV,https://api.spotify.com/v1/audio-analysis/5SOqTyjWfnuJqQBbAwCnQV,171500,4
TYQOON,0.616,0.984,11,-0.921,0,0.122,0.079,5.91e-05,0.0513,0.969,165.12,audio_features,4RU1hw9jEdy4hqameCWgql,spotify:track:4RU1hw9jEdy4hqameCWgql,https://api.spotify.com/v1/tracks/4RU1hw9jEdy4hqameCWgql,https://api.spotify.com/v1/audio-analysis/4RU1hw9jEdy4hqameCWgql,142500,4
月が遠いですね,0.695,0.854,7,-6.275,1,0.106,0.563,2.59e-05,0.145,0.826,139.024,audio_features,3mhaXD95oqz3ZjCceKvaAb,spotify:track:3mhaXD95oqz3ZjCceKvaAb,https://api.spotify.com/v1/tracks/3mhaXD95oqz3ZjCceKvaAb,https://api.spotify.com/v1/audio-analysis/3mhaXD95oqz3ZjCceKvaAb,229609,4
ボーイズセイハロウ,0.575,0.942,4,-2.716,0,0.0523,0.0327,0.035,0.39,0.961,111.991,audio_features,2nBMvwawGojcA8pzYEaiVR,spotify:track:2nBMvwawGojcA8pzYEaiVR,https://api.spotify.com/v1/tracks/2nBMvwawGojcA8pzYEaiVR,https://api.spotify.com/v1/audio-analysis/2nBMvwawGojcA8pzYEaiVR,200800,4
雨は実刑,0.609,0.781,5,-4.154,0,0.0552,0.0264,0,0.38,0.879,143.96,audio_features,1feNN17onsIp2wKSLVhX4V,spotify:track:1feNN17onsIp2wKSLVhX4V,https://api.spotify.com/v1/tracks/1feNN17onsIp2wKSLVhX4V,https://api.spotify.com/v1/audio-analysis/1feNN17onsIp2wKSLVhX4V,230417,4
ピンシアニール,0.729,0.785,4,-9.176,0,0.0454,0.101,7.81e-06,0.125,0.677,114.488,audio_features,2DGeKw0LXuZPG7XTqVmcQV,spotify:track:2DGeKw0LXuZPG7XTqVmcQV,https://api.spotify.com/v1/tracks/2DGeKw0LXuZPG7XTqVmcQV,https://api.spotify.com/v1/audio-analysis/2DGeKw0LXuZPG7XTqVmcQV,245969,4
バックレリルハ,0.464,0.946,10,-3.659,0,0.0936,0.0341,0.00141,0.44,0.943,170.08,audio_features,3ekrE4NKR4yUbkm2AxRuMy,spotify:track:3ekrE4NKR4yUbkm2AxRuMy,https://api.spotify.com/v1/tracks/3ekrE4NKR4yUbkm2AxRuMy,https://api.spotify.com/v1/audio-analysis/3ekrE4NKR4yUbkm2AxRuMy,149400,4
伝播 (feat. 吉乃),0.471,0.826,6,-3.858,0,0.0362,0.349,0.000349,0.305,0.973,120.582,audio_features,1UAJvCymDtZ1ZxH7cTcuCA,spotify:track:1UAJvCymDtZ1ZxH7cTcuCA,https://api.spotify.com/v1/tracks/1UAJvCymDtZ1ZxH7cTcuCA,https://api.spotify.com/v1/audio-analysis/1UAJvCymDtZ1ZxH7cTcuCA,214166,4
ガールズメイクライ,0.613,0.829,7,-4.73,1,0.0305,0.00102,1.16e-06,0.113,0.66,130.934,audio_features,3hHMc14xMynr9WJahjBfRn,spotify:track:3hHMc14xMynr9WJahjBfRn,https://api.spotify.com/v1/tracks/3hHMc14xMynr9WJahjBfRn,https://api.spotify.com/v1/audio-analysis/3hHMc14xMynr9WJahjBfRn,259300,4
リイガルユース,0.686,0.745,0,-6.328,1,0.0422,0.165,0,0.106,0.962,132.032,audio_features,72yhRP9S1YZodVJndn0RIF,spotify:track:72yhRP9S1YZodVJndn0RIF,https://api.spotify.com/v1/tracks/72yhRP9S1YZodVJndn0RIF,https://api.spotify.com/v1/audio-analysis/72yhRP9S1YZodVJndn0RIF,234659,4
System_Inferior,0.525,0.843,6,-5.948,0,0.0526,0.000195,0.00898,0.34,0.607,114.982,audio_features,2kOH8M3Al8UM0GECSjM3uW,spotify:track:2kOH8M3Al8UM0GECSjM3uW,https://api.spotify.com/v1/tracks/2kOH8M3Al8UM0GECSjM3uW,https://api.spotify.com/v1/audio-analysis/2kOH8M3Al8UM0GECSjM3uW,186562,4
VIDROAPE,0.549,0.943,4,-3.994,0,0.053,0.0199,1.94e-06,0.155,0.912,161.053,audio_features,70s5ZWuiFqNNSp7ypERbJf,spotify:track:70s5ZWuiFqNNSp7ypERbJf,https://api.spotify.com/v1/tracks/70s5ZWuiFqNNSp7ypERbJf,https://api.spotify.com/v1/audio-analysis/70s5ZWuiFqNNSp7ypERbJf,184500,4
シックマイナスチック,0.614,0.857,1,-6.851,1,0.0314,0.0367,1.85e-05,0.113,0.807,172.945,audio_features,0XVaJB3ZYk5U1iEdDu7545,spotify:track:0XVaJB3ZYk5U1iEdDu7545,https://api.spotify.com/v1/tracks/0XVaJB3ZYk5U1iEdDu7545,https://api.spotify.com/v1/audio-analysis/0XVaJB3ZYk5U1iEdDu7545,206547,4
次世代,0.488,0.834,3,-6.694,0,0.0484,0.17,0.0287,0.343,0.93,165.058,audio_features,3CoLeKhEMcFeKSxnwDfWbN,spotify:track:3CoLeKhEMcFeKSxnwDfWbN,https://api.spotify.com/v1/tracks/3CoLeKhEMcFeKSxnwDfWbN,https://api.spotify.com/v1/audio-analysis/3CoLeKhEMcFeKSxnwDfWbN,81364,4
ハルシネイト・デイト - Rapture ver.,0.574,0.871,6,-6.065,0,0.0623,0.00279,1.52e-06,0.353,0.961,157.928,audio_features,1u5k9WIokHWYy7rmwRnv1n,spotify:track:1u5k9WIokHWYy7rmwRnv1n,https://api.spotify.com/v1/tracks/1u5k9WIokHWYy7rmwRnv1n,https://api.spotify.com/v1/audio-analysis/1u5k9WIokHWYy7rmwRnv1n,238625,4
ベラボウコード- 月蝕 style -,0.636,0.952,5,-4.745,0,0.101,0.0427,0.0068,0.0696,0.884,144.98,audio_features,2ToDEHnMbqYA8ou9Z6zC28,spotify:track:2ToDEHnMbqYA8ou9Z6zC28,https://api.spotify.com/v1/tracks/2ToDEHnMbqYA8ou9Z6zC28,https://api.spotify.com/v1/audio-analysis/2ToDEHnMbqYA8ou9Z6zC28,193700,4
マクロハニムーン,0.635,0.852,4,-3.141,0,0.0338,0.0384,0.00303,0.324,0.954,140.986,audio_features,458aPpokLF3wnLe8w4OJ8R,spotify:track:458aPpokLF3wnLe8w4OJ8R,https://api.spotify.com/v1/tracks/458aPpokLF3wnLe8w4OJ8R,https://api.spotify.com/v1/audio-analysis/458aPpokLF3wnLe8w4OJ8R,234100,4
ヴィーナスの義務感,0.669,0.814,4,-7.171,0,0.0466,0.0949,0.000119,0.117,0.728,136.029,audio_features,5Kld3DXlbY3tvC8OJ9PF1c,spotify:track:5Kld3DXlbY3tvC8OJ9PF1c,https://api.spotify.com/v1/tracks/5Kld3DXlbY3tvC8OJ9PF1c,https://api.spotify.com/v1/audio-analysis/5Kld3DXlbY3tvC8OJ9PF1c,247469,4
