name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
CASE 143,0.812,0.89,6,-2.661,0,0.209,0.0961,0,0.0222,0.69,100.006,audio_features,3O8G8eVrhfXTGttyQ1xVuq,spotify:track:3O8G8eVrhfXTGttyQ1xVuq,https://api.spotify.com/v1/tracks/3O8G8eVrhfXTGttyQ1xVuq,https://api.spotify.com/v1/audio-analysis/3O8G8eVrhfXTGttyQ1xVuq,191965,4
MANIAC,0.581,0.8,1,-2.613,1,0.411,0.154,0,0.0697,0.709,119.872,audio_features,63irPUP3xB74fHdw1Aw9zR,spotify:track:63irPUP3xB74fHdw1Aw9zR,https://api.spotify.com/v1/tracks/63irPUP3xB74fHdw1Aw9zR,https://api.spotify.com/v1/audio-analysis/63irPUP3xB74fHdw1Aw9zR,182758,5
CIRCUS,0.767,0.809,5,-3.734,0,0.0958,0.0337,0,0.0353,0.69,97.958,audio_features,2uw2ftfyS4yJLWiTtbxasE,spotify:track:2uw2ftfyS4yJLWiTtbxasE,https://api.spotify.com/v1/tracks/2uw2ftfyS4yJLWiTtbxasE,https://api.spotify.com/v1/audio-analysis/2uw2ftfyS4yJLWiTtbxasE,194440,4
"TASTE (Lee Know, Hyunjin, Felix)",0.626,0.623,6,-5.718,0,0.0653,0.0559,0,0.199,0.123,140.209,audio_features,05ib88vsMeLfwlAfrZyz99,spotify:track:05ib88vsMeLfwlAfrZyz99,https://api.spotify.com/v1/tracks/05ib88vsMeLfwlAfrZyz99,https://api.spotify.com/v1/audio-analysis/05ib88vsMeLfwlAfrZyz99,216120,4
God’s Menu,0.689,0.771,5,-3.618,1,0.0548,0.00776,0,0.521,0.482,157.052,audio_features,4XPXrcpyNr30Km6aPiflJy,spotify:track:4XPXrcpyNr30Km6aPiflJy,https://api.spotify.com/v1/tracks/4XPXrcpyNr30Km6aPiflJy,https://api.spotify.com/v1/audio-analysis/4XPXrcpyNr30Km6aPiflJy,167922,4
"3RACHA (Bang Chan, Changbin, HAN)",0.721,0.856,0,-3.117,0,0.301,0.229,0,0.0853,0.627,142.068,audio_features,6T4o4xEh61CpgM9v4jG5DJ,spotify:track:6T4o4xEh61CpgM9v4jG5DJ,https://api.spotify.com/v1/tracks/6T4o4xEh61CpgM9v4jG5DJ,https://api.spotify.com/v1/audio-analysis/6T4o4xEh61CpgM9v4jG5DJ,208573,4
VENOM,0.812,0.807,9,-3.354,1,0.339,0.11,0,0.211,0.4,136.979,audio_features,4b3rGL8LDSkbARUUA20136,spotify:track:4b3rGL8LDSkbARUUA20136,https://api.spotify.com/v1/tracks/4b3rGL8LDSkbARUUA20136,https://api.spotify.com/v1/audio-analysis/4b3rGL8LDSkbARUUA20136,194840,4
Charmer,0.786,0.762,1,-2.508,1,0.0519,0.0524,1.04e-05,0.0971,0.731,90.963,audio_features,4QDpsNBlllaLGj8zbF2EE0,spotify:track:4QDpsNBlllaLGj8zbF2EE0,https://api.spotify.com/v1/tracks/4QDpsNBlllaLGj8zbF2EE0,https://api.spotify.com/v1/audio-analysis/4QDpsNBlllaLGj8zbF2EE0,188573,4
Thunderous,0.601,0.786,1,-3.706,1,0.234,0.213,0,0.209,0.79,172.156,audio_features,0nwTMzpatarzvLvtwwzdCt,spotify:track:0nwTMzpatarzvLvtwwzdCt,https://api.spotify.com/v1/tracks/0nwTMzpatarzvLvtwwzdCt,https://api.spotify.com/v1/audio-analysis/0nwTMzpatarzvLvtwwzdCt,183267,4
Back Door,0.82,0.842,7,-3.853,1,0.272,0.157,0,0.112,0.653,107.952,audio_features,0XuepwFJUcKN8T5zTqoP0F,spotify:track:0XuepwFJUcKN8T5zTqoP0F,https://api.spotify.com/v1/tracks/0XuepwFJUcKN8T5zTqoP0F,https://api.spotify.com/v1/audio-analysis/0XuepwFJUcKN8T5zTqoP0F,189287,4
