name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
覚醒,0.537,0.91,0,-4.455,0,0.181,0.112,5.07e-06,0.0922,0.135,108.065,audio_features,5YLFzFZPhlBlwM9t88tReb,spotify:track:5YLFzFZPhlBlwM9t88tReb,https://api.spotify.com/v1/tracks/5YLFzFZPhlBlwM9t88tReb,https://api.spotify.com/v1/audio-analysis/5YLFzFZPhlBlwM9t88tReb,255373,4
覚醒,0.544,0.903,0,-4.868,0,0.178,0.108,5.11e-06,0.0897,0.158,107.923,audio_features,0Zx9UoN735NPQxsQia53T5,spotify:track:0Zx9UoN735NPQxsQia53T5,https://api.spotify.com/v1/tracks/0Zx9UoN735NPQxsQia53T5,https://api.spotify.com/v1/audio-analysis/0Zx9UoN735NPQxsQia53T5,255160,4
Presence,0.378,0.726,6,-6.302,0,0.0663,0.00479,0.000107,0.357,0.108,159.898,audio_features,5Nv8sEUqdqrrNET339wP1X,spotify:track:5Nv8sEUqdqrrNET339wP1X,https://api.spotify.com/v1/tracks/5Nv8sEUqdqrrNET339wP1X,https://api.spotify.com/v1/audio-analysis/5Nv8sEUqdqrrNET339wP1X,249227,4
愛をこめて花束を,0.37,0.8,7,-3.403,1,0.0436,0.151,3.33e-06,0.089,0.451,161.934,audio_features,7CmWXD3w1xOO53AAO4LRVQ,spotify:track:7CmWXD3w1xOO53AAO4LRVQ,https://api.spotify.com/v1/tracks/7CmWXD3w1xOO53AAO4LRVQ,https://api.spotify.com/v1/audio-analysis/7CmWXD3w1xOO53AAO4LRVQ,295600,4
White Light,0.345,0.892,10,-2.443,0,0.0916,0.247,0.0011,0.381,0.588,178.021,audio_features,07c4I0Cre5KSjJiag0m1Vl,spotify:track:07c4I0Cre5KSjJiag0m1Vl,https://api.spotify.com/v1/tracks/07c4I0Cre5KSjJiag0m1Vl,https://api.spotify.com/v1/audio-analysis/07c4I0Cre5KSjJiag0m1Vl,285773,4
Beautiful,0.487,0.91,3,-2.454,1,0.0594,0.0737,0,0.105,0.328,144.81,audio_features,73t6LiJxRUahtLva4Vbwtn,spotify:track:73t6LiJxRUahtLva4Vbwtn,https://api.spotify.com/v1/tracks/73t6LiJxRUahtLva4Vbwtn,https://api.spotify.com/v1/audio-analysis/73t6LiJxRUahtLva4Vbwtn,297253,4
氷に閉じこめて,0.211,0.789,0,-3.774,1,0.0598,0.118,2.22e-05,0.099,0.513,169.658,audio_features,4IJcQgxNrGaHf7kK7adbNi,spotify:track:4IJcQgxNrGaHf7kK7adbNi,https://api.spotify.com/v1/tracks/4IJcQgxNrGaHf7kK7adbNi,https://api.spotify.com/v1/audio-analysis/4IJcQgxNrGaHf7kK7adbNi,270893,4
タマシイレボリューション,0.455,0.951,11,-2.365,0,0.109,0.0357,0.000614,0.389,0.383,131.814,audio_features,2RdWtPUo9k7HRKxb3sZqQ6,spotify:track:2RdWtPUo9k7HRKxb3sZqQ6,https://api.spotify.com/v1/tracks/2RdWtPUo9k7HRKxb3sZqQ6,https://api.spotify.com/v1/audio-analysis/2RdWtPUo9k7HRKxb3sZqQ6,226027,4
輝く月のように,0.452,0.759,9,-2.827,1,0.0307,0.0243,0,0.161,0.24,76.018,audio_features,1PFYXMX4sgxdfqTxCk9dRG,spotify:track:1PFYXMX4sgxdfqTxCk9dRG,https://api.spotify.com/v1/tracks/1PFYXMX4sgxdfqTxCk9dRG,https://api.spotify.com/v1/audio-analysis/1PFYXMX4sgxdfqTxCk9dRG,328173,4
氷に閉じこめて,0.453,0.774,0,-3.987,1,0.0429,0.124,2.14e-05,0.0896,0.489,124.936,audio_features,2vkY3IcpPmRSbC6r9Apspw,spotify:track:2vkY3IcpPmRSbC6r9Apspw,https://api.spotify.com/v1/tracks/2vkY3IcpPmRSbC6r9Apspw,https://api.spotify.com/v1/audio-analysis/2vkY3IcpPmRSbC6r9Apspw,272573,3
